sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
8, 817811, 177711, 191669, 190480, 176657, 40647, 40647, 2266893026
5, 817942, 211208, 152387, 151419, 210018, 46455, 46455, 4219387610
3, 820473, 129473, 236753, 235679, 128640, 44964, 44964, 3040306046
2, 818021, 225410, 138460, 137523, 224252, 46188, 46188, 3310254088
6, 819702, 130150, 215360, 214437, 129339, 65208, 65208, 3947804002
11, 819504, 161650, 209672, 208592, 160750, 39420, 39420, 4018949439
7, 819802, 175490, 191096, 190121, 174645, 44225, 44225, 1788192820
1, 820118, 188949, 177230, 176313, 187928, 44849, 44849, 2351581049
10, 821996, 189391, 192721, 191909, 188489, 29743, 29743, 1768558717
4, 819058, 199678, 155889, 154967, 198672, 54926, 54926, 1529104585
0, 820626, 206980, 168454, 167414, 206050, 35864, 35864, 3343699197
9, 817723, 157265, 202196, 201299, 156243, 50360, 50360, 3795685738
13, 819440, 145614, 229338, 228227, 144785, 35738, 35738, 1163757758
19, 819478, 150696, 212623, 211532, 149787, 47420, 47420, 2230262934
16, 818847, 235364, 144971, 144068, 234250, 30097, 30097, 2071983304
12, 818013, 206186, 160179, 159209, 205117, 43661, 43661, 903851900
17, 818844, 158105, 190228, 189189, 157196, 62063, 62063, 1208791534
15, 818057, 157556, 195753, 194766, 156556, 56713, 56713, 1255653171
14, 820317, 200505, 168848, 167939, 199573, 41726, 41726, 1840075745
21, 820843, 121312, 244901, 243511, 120509, 45305, 45305, 3156981692
18, 819403, 239445, 136487, 135562, 238309, 34800, 34800, 1256064764
20, 819730, 214934, 142918, 141942, 213680, 53128, 53128, 1410447103
23, 819095, 179946, 179098, 178248, 178889, 51457, 51457, 1238123617
22, 820330, 205367, 150786, 149843, 204482, 54926, 54926, 144654711
24, 820664, 158174, 212659, 211766, 157367, 40349, 40349, 2522844382
25, 818660, 153260, 194007, 193078, 152303, 63006, 63006, 2113108488
28, 819538, 142939, 211930, 210924, 142005, 55870, 55870, 2417691032
27, 820025, 173036, 203936, 202838, 172123, 34046, 34046, 2968012308
30, 818698, 208394, 152213, 151279, 207374, 49719, 49719, 470622464
29, 819258, 206000, 167501, 166466, 205029, 37131, 37131, 3271666561
26, 820646, 174355, 192537, 191593, 173439, 44361, 44361, 1926482776
32, 819928, 234393, 137599, 136720, 233334, 38941, 38941, 4094283998
33, 819054, 219940, 154814, 153930, 218846, 35762, 35762, 1430039740
31, 819668, 224475, 136476, 135522, 223515, 49840, 49840, 1793723337
34, 820274, 275096, 90791, 89983, 274008, 45198, 45198, 3751755429
35, 820836, 217366, 154842, 153938, 216430, 39130, 39130, 3177504489
37, 819398, 192827, 174840, 174010, 191815, 42953, 42953, 2228879975
36, 819927, 192095, 172037, 171054, 191291, 46725, 46725, 764978276
39, 819147, 186817, 158962, 158002, 185680, 64843, 64843, 337494894
