L	rho	mean_Delta_E	std_Delta_E
100	0.01	0.002910	0.739852
200	0.01	0.002690	1.320001
400	0.01	0.001940	2.465185
600	0.01	-0.012070	3.606772
800	0.01	-0.021540	4.761642
1200	0.01	-0.006180	7.063142
1600	0.01	0.010840	9.356041
2000	0.01	0.022970	11.621918
100	0.02	-0.002950	1.813213
200	0.02	-0.008600	3.403987
400	0.02	-0.024230	6.560421
600	0.02	0.000600	9.747693
800	0.02	-0.036120	12.926891
1200	0.02	-0.114570	19.173006
1600	0.02	-0.063010	25.451259
2000	0.02	-0.095550	31.779216
100	0.03	0.004210	3.110140
200	0.03	-0.004050	5.940998
400	0.03	-0.006540	11.648428
600	0.03	0.003140	17.281380
800	0.03	-0.015600	22.953247
1200	0.03	-0.003020	34.318083
1600	0.03	-0.149480	45.629218
2000	0.03	-0.131630	56.847117
100	0.04	-0.007980	4.565978
200	0.04	0.004550	8.828722
400	0.04	-0.034490	17.328077
600	0.04	0.036560	25.827018
800	0.04	0.094120	34.346313
1200	0.04	0.020630	51.562975
1600	0.04	-0.207950	68.667147
2000	0.04	-0.233460	85.525613
100	0.05	0.032920	6.105243
200	0.05	0.038230	11.902523
400	0.05	-0.073600	23.575205
600	0.05	-0.089360	35.107872
800	0.05	-0.137500	46.752008
1200	0.05	-0.026990	69.871387
1600	0.05	-0.494740	93.210547
2000	0.05	-0.471670	116.173684
100	0.06	-0.010990	7.716045
200	0.06	-0.009300	15.151633
400	0.06	0.056620	30.031499
600	0.06	0.120480	45.051324
800	0.06	0.204360	59.669287
1200	0.06	0.231400	89.264583
1600	0.06	-0.257370	118.921711
2000	0.06	-0.043020	148.729858
100	0.07	-0.004250	9.352773
200	0.07	0.061960	18.384848
400	0.07	0.022360	36.570735
600	0.07	-0.204270	54.688706
800	0.07	-0.031880	73.039927
1200	0.07	-0.211530	109.284119
1600	0.07	0.027490	145.425839
2000	0.07	-0.176330	181.613499
100	0.08	0.009590	11.072701
200	0.08	-0.030500	21.804886
400	0.08	0.136770	43.225360
600	0.08	0.217070	64.777416
800	0.08	0.396060	86.165970
1200	0.08	0.523620	129.388723
1600	0.08	0.668380	172.553381
2000	0.08	0.846330	215.727315
100	0.09	0.029860	12.746907
200	0.09	0.076930	25.197168
400	0.09	0.181640	50.221725
600	0.09	0.142580	75.348110
800	0.09	0.030190	100.034024
1200	0.09	0.036730	149.817566
1600	0.09	0.391260	199.470580
2000	0.09	0.050900	249.537846
100	0.1	-0.045910	14.453890
200	0.1	-0.099510	28.694364
400	0.1	-0.185780	56.834101
600	0.1	-0.269960	85.023638
800	0.1	-0.355460	113.168266
1200	0.1	0.169710	170.457508
1600	0.1	0.287610	226.234817
2000	0.1	0.341900	283.103540
100	0.11	-0.058350	16.058865
200	0.11	0.020170	31.805189
400	0.11	-0.013200	63.279688
600	0.11	-0.021300	94.908453
800	0.11	-0.388390	126.012284
1200	0.11	0.009810	189.934895
1600	0.11	-0.102070	253.241740
2000	0.11	-0.335030	315.486903
100	0.12	0.015390	17.673411
200	0.12	0.111700	35.198418
400	0.12	-0.205520	69.842073
600	0.12	-0.404180	104.895591
800	0.12	-0.295010	139.980973
1200	0.12	-0.974610	209.032084
1600	0.12	-0.665360	278.828015
2000	0.12	-0.021810	349.220213
100	0.13	-0.119860	19.258484
200	0.13	-0.219050	38.214556
400	0.13	0.015880	76.292642
600	0.13	0.087590	114.347949
800	0.13	-0.058790	152.203080
1200	0.13	-0.156860	227.842048
1600	0.13	-0.794380	303.622480
2000	0.13	-0.833780	379.343960
100	0.14	-0.015570	20.777212
200	0.14	-0.170110	41.326181
400	0.14	-0.332370	82.422866
600	0.14	-0.141980	123.589096
800	0.14	-0.580960	164.387951
1200	0.14	0.126680	246.530513
1600	0.14	-0.123550	328.801239
2000	0.14	0.411390	410.446780
100	0.15	0.032050	22.197625
200	0.15	-0.167090	44.193424
400	0.15	0.070170	87.643071
600	0.15	-0.041330	131.780263
800	0.15	-0.123260	175.940998
1200	0.15	0.594110	263.943527
1600	0.15	0.936160	351.346664
2000	0.15	-0.114630	439.972225
100	0.16	0.064060	23.494375
200	0.16	0.071700	46.753807
400	0.16	-0.217320	93.474960
600	0.16	-0.517030	139.841495
800	0.16	-0.599260	186.399253
1200	0.16	-1.171310	278.325104
1600	0.16	-2.252070	372.841904
2000	0.16	-1.351240	466.285108
100	0.17	0.001180	24.812281
200	0.17	0.025720	49.445287
400	0.17	0.030200	98.622085
600	0.17	0.132880	147.992880
800	0.17	0.882680	197.021558
1200	0.17	1.055970	295.788113
1600	0.17	1.331880	394.298624
2000	0.17	1.059620	493.744105
100	0.18	-0.000180	25.966317
200	0.18	0.204090	51.780499
400	0.18	0.387440	103.074346
600	0.18	0.399720	154.840759
800	0.18	-0.474300	206.533268
1200	0.18	-0.926650	310.110636
1600	0.18	-1.256480	413.825346
2000	0.18	-2.230320	517.254664
100	0.19	-0.070770	27.143659
200	0.19	-0.059530	53.970654
400	0.19	-0.341730	107.989638
600	0.19	0.067680	161.771529
800	0.19	0.161970	215.283557
1200	0.19	-1.496680	323.492921
1600	0.19	-0.090190	431.311044
2000	0.19	0.478910	538.800213
100	0.2	-0.092270	28.130005
200	0.2	0.095380	56.134805
400	0.2	0.502100	111.866641
600	0.2	0.545440	168.008466
800	0.2	0.375160	224.773078
1200	0.2	0.070170	335.205281
1600	0.2	-0.215610	448.338343
2000	0.2	-0.383750	560.206996
100	0.21	0.054700	29.092565
200	0.21	0.020390	57.843472
400	0.21	0.172910	115.929026
600	0.21	0.198020	173.721538
800	0.21	0.251660	231.954320
1200	0.21	-0.288070	348.743262
1600	0.21	-0.431990	464.256957
2000	0.21	-1.655850	577.826192
100	0.22	-0.184580	29.864006
200	0.22	-0.100470	59.637180
400	0.22	0.080090	119.175185
600	0.22	-0.255830	179.544598
800	0.22	-0.440510	238.868772
1200	0.22	-0.745710	358.679901
1600	0.22	1.191040	479.548767
2000	0.22	1.376210	600.912797
100	0.23	0.016900	30.642477
200	0.23	0.154090	61.246821
400	0.23	-0.225060	122.031068
600	0.23	0.209640	183.354557
800	0.23	0.272920	244.409109
1200	0.23	0.908440	366.337830
1600	0.23	0.408830	489.000803
2000	0.23	-0.607570	612.419778
100	0.24	-0.059080	31.363007
200	0.24	0.247910	62.674022
400	0.24	-0.048310	124.861063
600	0.24	-0.285780	187.311784
800	0.24	0.094880	249.839028
1200	0.24	-1.956260	375.291696
1600	0.24	-1.217640	500.860303
2000	0.24	0.411810	623.941613
