L	rho	mean_Delta_E	std_Delta_E
44	0.21	-2.817520	978.692549
16	0.22	0.323300	123.586104
20	0.22	0.562770	193.967392
24	0.22	0.502210	280.530213
28	0.22	0.281900	382.662031
32	0.22	1.093880	500.166200
36	0.22	2.721120	636.294968
40	0.22	2.122590	786.546857
44	0.22	3.135190	951.269560
16	0.23	0.791170	119.136965
20	0.23	0.807470	186.776120
24	0.23	0.908100	270.119356
28	0.23	0.631570	368.142443
32	0.23	0.395790	481.369967
36	0.23	0.302020	609.653074
40	0.23	-1.445120	754.836288
44	0.23	-2.539490	913.156528
16	0.24	-0.048100	114.147075
20	0.24	0.205580	179.273941
24	0.24	0.772140	258.237023
28	0.24	0.959740	353.414042
32	0.24	1.079230	461.073551
36	0.24	-0.280010	585.354111
40	0.24	0.482380	723.117876
44	0.24	2.733970	877.092268
