L	rho	mean_Delta_E	std_Delta_E
6	0.01	0.0559	8.175613692923951
6	0.02	0.3499	16.343273241551852
6	0.03	-0.4755	24.63428676780507
6	0.04	0.2973	31.328374669234623
6	0.05	-0.0994	37.63464834850502
6	0.06	0.687	43.12246497706932
6	0.07	-0.0793	47.463011759248126
6	0.08	0.4374	50.54432069061179
6	0.09	-0.1173	52.04167536030552
6	0.1	-0.3494	54.414685659677794
6	0.11	-0.2528	54.87719601823951
6	0.12	-0.0587	54.35441191402453
6	0.13	1.2279	54.115814820913236
6	0.14	0.2047	52.92104176578686
6	0.15	-1.5194	51.35227092556785
6	0.16	-0.1304	49.29753767240364
6	0.17	0.2549	47.928549326826676
6	0.18	-0.0611	45.135929058779766
6	0.19	0.2808	43.15881392811865
6	0.2	0.6729	40.40051145372509
6	0.21	-0.2121	38.28061198721112
6	0.21	-0.1015	38.35885936483145
6	0.22	-0.1576	35.880216014262274
6	0.22	-0.01707	35.94664546558277
6	0.23	-0.1064	33.81527800185346
6	0.23	-0.04675	33.62776342105177
6	0.24	-0.3549	31.152454053081485
6	0.24	-0.15999	31.172682761697068
8	0.01	0.1313	15.622466721252623
8	0.02	-0.55	31.94414410865133
8	0.03	0.9554	49.019397191011
8	0.04	-0.0188	63.25555922713286
8	0.05	1.0028	75.99888272321849
8	0.06	-1.3803	87.68544546071807
8	0.07	1.9956	97.62186631855771
8	0.08	-0.5859	103.44115539016782
8	0.09	-0.1304	106.78651381046757
8	0.1	-0.2362	112.2617667774207
8	0.11	0.2475	113.34062225616789
8	0.12	1.4398	114.49062837786607
8	0.13	-1.1419	112.6636510779649
8	0.14	-1.3411	110.13081417302354
8	0.15	1.4065	107.57884540441887
8	0.16	0.7748	102.99160068637245
8	0.17	-1.4311	100.07035255427071
8	0.18	0.0386	95.2736606680026
8	0.19	-0.5554	90.36853090527586
8	0.2	-1.4792	86.216661374875
8	0.2	0.04754	85.41905363615099
8	0.21	0.3769	80.88651252947501
8	0.21	-0.04303	80.4141506376541
8	0.22	0.5378	75.92249333141902
8	0.22	0.39967	75.15266271475835
8	0.23	-0.4702	70.42067039614082
8	0.23	0.33979	70.36652518942918
8	0.24	-0.4127	65.64454660792423
8	0.24	0.16352	65.6314108947123
10	0.01	-0.0116	25.9352950512027
10	0.02	0.8638	54.323738424519725
10	0.03	-0.461	82.8561198262341
10	0.04	0.7187	108.23734985068819
10	0.05	-1.5623	131.71274783977574
10	0.06	1.9302	150.20488833193104
10	0.07	-1.2213	167.48575006237814
10	0.08	-1.0056	181.23290624296274
10	0.09	2.1927	190.29461046121892
10	0.1	0.2655	198.63281377763576
10	0.11	-0.1	199.56500700073127
10	0.12	-1.4735	200.47513642789366
10	0.13	1.2439	196.97694637832737
10	0.14	2.569	194.0018482146783
10	0.15	-2.5633	188.7056659879284
10	0.16	-0.1421	185.42314980076844
10	0.17	2.3273	176.29847444013518
10	0.18	-0.7306	168.09131652976387
10	0.19	1.7848	160.26436021609902
10	0.2	1.6019	152.04191162531163
10	0.2	-0.68321	150.8652931507531
10	0.21	0.4854	143.88012627153756
10	0.21	-0.12005	142.93517650545064
10	0.22	-1.6666	135.44599073461202
10	0.22	-0.81093	132.81985624776604
10	0.23	-0.6848	123.43736357858882
10	0.23	-0.56072	125.06270299285235
10	0.24	0.2092	115.15369934486378
10	0.24	-0.17085	115.85183657050013
12	0.01	-0.028	38.87770265301639
12	0.02	-0.4034	82.90182832576116
12	0.03	1.5657	128.20980718718792
12	0.04	-0.682	170.29196754815285
12	0.05	1.3171	208.21417065530426
12	0.06	-1.2245	237.22179351333168
12	0.07	2.9858	263.29826394402903
12	0.08	4.4725	284.9824319890688
12	0.09	-6.3383	298.4008166172569
12	0.1	-2.7174	314.72299342993574
12	0.11	-0.9918	316.14644421561826
12	0.12	2.1987	317.2689874213172
12	0.13	-1.2575	307.8048728947087
12	0.14	-0.9522	307.826209431038
12	0.15	3.6868	300.23265723536315
12	0.16	1.8456	292.43177323067937
12	0.17	-0.1521	278.6049049009968
12	0.18	1.1036	263.58781481823485
12	0.19	0.7479	254.12169983970855
12	0.2	-2.5028	242.14744213089068
12	0.2	-0.06573	239.6222446221725
12	0.21	-2.2787	230.1647431888966
12	0.21	0.77994	227.15056558897422
12	0.22	2.1955	215.45575786715426
12	0.22	1.17265	211.29533875402763
12	0.23	2.7168	197.57151375657577
12	0.23	0.99889	198.4652562373254
12	0.24	0.1521	183.56984380432814
12	0.24	0.27471	184.35011623014898
14	0.01	0.1817	54.7570956046968
14	0.02	2.2638	119.54121975235985
14	0.03	-0.9423	185.45620175930244
14	0.04	-0.7485	247.58747061051037
14	0.05	0.4905	300.9840903636191
14	0.06	-1.8224	350.7940682310216
14	0.07	-1.4132	386.8648186441233
14	0.08	-3.3256	418.1270909795981
14	0.09	5.2952	437.3291818965364
14	0.1	8.4649	455.7433459390567
14	0.11	-0.5418	464.36585061466536
14	0.12	-5.1641	460.76124062607124
