L	rho	mean_Delta_E	std_Delta_E
40	0.01	0.0003	5.50259054400988
40	0.02	0.03504	12.837276196880769
40	0.03	0.04977	21.305633814731316
40	0.04	0.13378	30.190822078389612
40	0.05	0.03641	39.39907292286675
40	0.06	-0.07865	48.2672497813115
40	0.07	-0.16881	57.320007929317235
40	0.08	-0.29389	65.22567425909621
40	0.09	0.3129	73.47562439519518
40	0.1	0.44132	80.64434792200949
40	0.11	-0.3209	87.14024327146427
40	0.12	0.22426	93.0207134781483
40	0.13	-0.05445	97.72095956885038
40	0.14	0.19368	103.20881235944479
40	0.15	0.53675	106.42463846062252
40	0.16	0.41768	109.23256914015712
40	0.17	-0.17166	112.08181947214706
40	0.18	0.34262	113.61901585713214
40	0.19	0.44494	115.56742978324243
40	0.2	-0.51302	116.04996573211498
40	0.21	-0.32972	115.57946370720842
40	0.22	0.16893	115.84913811886184
40	0.23	0.00285	115.27035297256727
40	0.24	-0.29176	113.86457257422643
60	0.01	0.00183	9.293419732671246
60	0.02	-0.09416	22.44503846492398
60	0.03	0.11743	37.76703196813508
60	0.04	0.14485	54.086405703007465
60	0.05	-0.05676	70.88626077683932
60	0.06	0.1983	87.8169868268193
60	0.07	0.10711	103.8118175661257
60	0.08	-0.96455	118.96708454429547
60	0.09	0.29788	134.18648772376628
60	0.1	0.38771	147.26170252664545
60	0.11	-0.03075	159.0205845162836
60	0.12	-0.37088	170.25033280373876
60	0.13	0.52308	179.60998481370697
60	0.14	0.67728	187.86234437589124
60	0.15	1.50237	195.1104803319864
60	0.16	-0.57696	200.4448521627482
60	0.17	-0.72284	206.04474501113555
60	0.18	-0.05174	209.26827670501982
60	0.19	-0.06254	212.06931424109627
60	0.2	-0.15315	212.91796917050812
60	0.21	0.69549	212.77423418357597
60	0.22	0.65973	212.98107731843234
60	0.23	0.75361	211.64624528514395
60	0.24	-0.49851	209.70352408450375
80	0.01	-0.00998	13.556742169569446
80	0.02	0.10639	33.53932259347974
80	0.03	0.13577	56.98372213143837
80	0.04	0.15069	82.22689557041207
80	0.05	0.22858	107.40897503496988
80	0.06	-0.05658	133.89406766140593
80	0.07	-0.64839	158.61684738214487
80	0.08	-0.00608	182.5343885164204
80	0.09	0.6025	204.99762460577668
80	0.1	0.80481	225.91434660902777
80	0.11	-1.17445	244.33178646548686
80	0.12	-0.18328	262.68130771552023
80	0.13	0.32531	277.56112506110316
80	0.14	1.24364	289.4369018918496
80	0.15	2.45266	299.62123661012197
80	0.16	0.11884	308.7248688517024
80	0.17	0.30262	316.71650732886616
80	0.18	0.02046	321.50785162165937
80	0.19	0.18866	326.10160476448243
80	0.2	1.14417	327.59893283650825
80	0.21	0.28504	329.32605622499943
80	0.22	0.06165	326.80661274658877
80	0.23	0.34511	326.62190319659277
80	0.24	-0.2229	323.30548563233566
100	0.01	0.05254	18.39017187338431
100	0.02	0.32713	46.0286769563728
100	0.03	-0.26426	79.10360548329263
100	0.04	0.39329	114.46815628184079
100	0.05	0.22981	149.8816332390454
100	0.06	0.19669	185.76013703518043
100	0.07	-1.61658	220.70643887849133
