sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
10, 856703, 6068, 404819, 403842, 5512, 18231, 18231, 3207180333
7, 857143, 122755, 290372, 289557, 122081, 16189, 16189, 73584761
1, 855166, 285532, 125752, 125008, 284646, 17114, 17114, 3285126260
8, 857987, 53218, 364954, 364288, 52619, 11454, 11454, 2709912144
0, 853545, 304497, 104298, 103679, 303703, 18684, 18684, 981161651
3, 856002, 211298, 200682, 199922, 210642, 16729, 16729, 2960631892
5, 856248, 223164, 186382, 185604, 222416, 19341, 19341, 2568078459
6, 854945, 354873, 55102, 54475, 354169, 18163, 18163, 4114887969
9, 856146, 253115, 156883, 156239, 252437, 18736, 18736, 514866148
4, 854923, 308887, 100456, 99798, 307988, 18897, 18897, 731244124
2, 854637, 110118, 299566, 298913, 109398, 18321, 18321, 3464215680
11, 855275, 173355, 138700, 138042, 172716, 116231, 116231, 3673719225
15, 856219, 69255, 343356, 342549, 68605, 16227, 16227, 468215636
13, 856936, 73140, 341588, 340797, 72495, 14458, 14458, 1202741744
14, 856234, 237621, 173407, 172800, 236742, 17832, 17832, 3236315507
17, 856513, 313032, 97013, 96300, 312130, 19019, 19019, 2044609732
18, 854842, 96796, 293950, 293030, 96168, 37449, 37449, 2134267150
20, 855087, 83403, 328979, 328126, 82739, 15920, 15920, 902559650
19, 854151, 123905, 287732, 286972, 123248, 16147, 16147, 2036395973
21, 855558, 271906, 128100, 127353, 271117, 28541, 28541, 1846721242
12, 856945, 344945, 67353, 66728, 344239, 16840, 16840, 1233712746
22, 855554, 258570, 144984, 144352, 257862, 24893, 24893, 4217027115
16, 854333, 166820, 226944, 226218, 166109, 34121, 34121, 2812229835
23, 856571, 125479, 259111, 258476, 124907, 44299, 44299, 709451822
27, 856547, 139180, 271268, 270507, 138516, 18538, 18538, 1330624864
24, 855003, 7768, 408901, 408164, 7166, 11502, 11502, 2427872529
25, 855788, 164238, 249685, 248909, 163500, 14728, 14728, 1884916209
26, 856859, 186515, 221837, 221133, 185874, 20750, 20750, 3115165457
28, 857081, 72565, 342748, 342046, 71934, 13894, 13894, 3658287035
29, 854910, 158368, 250495, 249758, 157687, 19301, 19301, 2993322279
33, 855236, 136901, 269737, 268936, 136252, 21705, 21705, 1936289429
32, 855659, 224616, 187735, 186924, 223832, 16276, 16276, 4002985389
31, 856647, 176797, 232586, 231877, 176057, 19665, 19665, 1378187185
30, 856024, 321044, 87322, 86697, 320189, 20386, 20386, 712021711
35, 856930, 70250, 337411, 336647, 69642, 21490, 21490, 1713914638
34, 857500, 372703, 41259, 40676, 372040, 15411, 15411, 4052446335
37, 855052, 126736, 263925, 263195, 126016, 37590, 37590, 505132295
41, 855728, 108127, 303482, 302708, 107441, 16985, 16985, 3599925560
39, 855144, 94315, 285922, 285096, 93623, 48094, 48094, 2691782091
38, 856618, 168560, 226436, 225693, 167991, 33969, 33969, 3970029478
43, 856671, 90973, 314149, 313288, 90357, 23952, 23952, 2508142565
44, 855865, 227264, 182569, 181786, 226390, 18928, 18928, 1261663281
36, 857049, 240572, 168010, 167362, 239913, 20596, 20596, 1167430964
40, 856750, 306917, 100431, 99821, 306039, 21771, 21771, 1477078534
42, 855326, 247449, 162986, 162232, 246783, 17938, 17938, 4091550282
46, 856066, 319923, 93476, 92931, 319188, 15274, 15274, 2160432657
47, 856914, 330083, 83437, 82788, 329404, 15601, 15601, 1361542983
45, 855575, 337380, 75176, 74577, 336548, 15947, 15947, 1055602926
50, 855897, 71657, 337909, 336993, 71048, 19145, 19145, 750408679
48, 857560, 253917, 151464, 150740, 253239, 24100, 24100, 4083039503
53, 854228, 88059, 322753, 322047, 87417, 16976, 16976, 58030609
52, 855346, 38649, 379171, 378295, 38033, 10599, 10599, 3682582205
56, 857381, 67949, 344303, 343432, 67361, 17168, 17168, 334034575
51, 856973, 350911, 59046, 58436, 349998, 19291, 19291, 3966375057
55, 856418, 129119, 265554, 264787, 128424, 34267, 34267, 3961204712
49, 856671, 287324, 110426, 109798, 286669, 31227, 31227, 2396448367
54, 855871, 121561, 234221, 233473, 120966, 72825, 72825, 1999360165
57, 856982, 24470, 393522, 392644, 23866, 11240, 11240, 3809454222
59, 856087, 138625, 276046, 275340, 137938, 14069, 14069, 3442188879
58, 856854, 128669, 273871, 273262, 128036, 26508, 26508, 266841701
60, 857570, 181100, 229140, 228422, 180340, 19284, 19284, 3095892336
62, 853327, 240150, 154260, 153538, 239357, 33011, 33011, 4163413943
61, 856304, 374545, 38675, 38092, 373756, 15618, 15618, 1752209241
64, 855804, 136294, 273235, 272512, 135659, 19052, 19052, 1643569808
65, 855635, 256184, 153913, 153193, 255327, 18509, 18509, 1035865409
63, 855613, 184216, 217585, 216856, 183474, 26741, 26741, 3234535183
66, 856350, 392907, 20916, 20345, 392174, 15004, 15004, 3478648787
69, 854990, 228408, 177912, 177199, 227611, 21930, 21930, 2053646189
68, 856734, 310698, 99327, 98645, 310022, 19021, 19021, 1707936682
67, 855828, 246069, 144906, 144230, 245293, 37665, 37665, 1839567712
70, 856081, 181496, 221887, 221149, 180715, 25417, 25417, 2493109425
71, 856391, 366370, 32524, 31936, 365663, 29949, 29949, 2644392443
72, 853709, 288505, 115027, 114304, 287781, 24046, 24046, 1059211320
73, 856284, 285472, 125754, 125044, 284734, 17640, 17640, 3266254612
75, 855804, 242530, 170152, 169465, 241733, 15962, 15962, 2863577114
77, 854595, 143753, 263681, 262969, 143090, 20551, 20551, 4286842028
74, 856634, 245984, 166905, 166297, 245072, 16188, 16188, 1874427624
76, 856577, 189827, 197784, 197036, 189098, 41416, 41416, 2640975191
81, 857289, 215688, 190544, 189894, 215071, 23046, 23046, 3466744272
79, 855690, 305875, 109587, 108930, 305186, 13056, 13056, 477336177
80, 855963, 265518, 129851, 129180, 264826, 33294, 33294, 121564451
82, 857704, 118398, 291494, 290765, 117801, 19623, 19623, 929249868
78, 855873, 342329, 71559, 70879, 341438, 14834, 14834, 3564793848
83, 855978, 294122, 102179, 101487, 293380, 32405, 32405, 346435831
84, 856079, 134204, 254857, 254041, 133465, 39756, 39756, 1328051553
88, 856025, 88350, 325409, 324618, 87674, 14987, 14987, 2879812038
86, 855747, 23979, 392224, 391597, 23395, 12276, 12276, 3204825274
85, 857099, 165761, 244596, 243793, 165131, 18909, 18909, 1516336398
91, 857043, 111270, 300377, 299522, 110588, 17643, 17643, 1180568993
90, 855192, 38054, 328813, 328046, 37435, 61422, 61422, 1983371328
87, 856888, 88020, 325172, 324475, 87381, 15920, 15920, 4274181167
92, 857021, 108609, 285325, 284572, 107967, 35274, 35274, 2252853730
89, 856220, 327959, 80611, 79969, 327293, 20194, 20194, 2453600804
95, 856635, 159756, 251425, 250684, 159074, 17848, 17848, 1901430550
96, 857077, 26739, 390978, 390196, 26188, 11488, 11488, 1203604308
93, 856989, 200707, 202410, 201747, 199913, 26106, 26106, 2337152383
94, 855516, 183957, 43145, 42489, 183217, 201354, 201354, 4232385666
97, 855728, 258716, 126547, 125845, 257966, 43327, 43327, 3735256675
98, 855969, 250859, 159117, 158390, 250163, 18720, 18720, 4258031636
99, 855267, 235336, 163931, 163205, 234607, 29094, 29094, 1952624485
103, 854748, 53645, 357438, 356574, 53035, 17028, 17028, 3699157644
101, 855999, 377485, 34372, 33720, 376730, 16846, 16846, 4284423488
100, 856142, 357998, 54069, 53493, 357034, 16774, 16774, 3596153560
104, 855690, 263895, 142106, 141453, 263098, 22569, 22569, 2953801261
102, 856241, 231907, 163843, 163325, 231048, 33059, 33059, 3808895253
