L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
320,0.2365470,2.6555333292e-01,2.9834383587e-04,7.0518661632e-02,4.9729067450e-03,6.6666498376e-01
320,0.2408900,2.5159235876e-01,3.0947121505e-04,6.3298810761e-02,4.0067636916e-03,6.6666464941e-01
320,0.2450040,2.3817055661e-01,3.2510442917e-04,5.6725319729e-02,3.2177858770e-03,6.6666418268e-01
320,0.2488890,2.2524346060e-01,3.4145859446e-04,5.0734733138e-02,2.5740368040e-03,6.6666360304e-01
320,0.2525460,2.1272459131e-01,3.5915416928e-04,4.5251880739e-02,2.0477560614e-03,6.6666286555e-01
320,0.2559740,2.0048337967e-01,3.8157020711e-04,4.0193731119e-02,1.6155594287e-03,6.6666183703e-01
320,0.2591740,1.8846580347e-01,4.4561003390e-04,3.5519557645e-02,1.2616671893e-03,6.6665921232e-01
320,0.2621450,1.7660437357e-01,4.9048998408e-04,3.1189345343e-02,9.7280527696e-04,6.6665638199e-01
320,0.2648870,1.6476198666e-01,5.8565328202e-04,2.7146855239e-02,7.3698899308e-04,6.6664982083e-01
320,0.2674010,1.5287179306e-01,6.8015043068e-04,2.3370247718e-02,5.4621171229e-04,6.6664028049e-01
320,0.2696870,1.4080957281e-01,7.8053190510e-04,1.9827945026e-02,3.9319571680e-04,6.6662570423e-01
320,0.2717440,1.2857995316e-01,9.9540164861e-04,1.6533795178e-02,2.7343184498e-04,6.6658684462e-01
320,0.2735720,1.1590490628e-01,1.3300923871e-03,1.3435716446e-02,1.8061344791e-04,6.6649129864e-01
320,0.2751720,1.0279892377e-01,1.6758097548e-03,1.0570427066e-02,1.1185210412e-04,6.6631411555e-01
320,0.2765430,8.9209897705e-02,2.2885045955e-03,7.9636431018e-03,6.3585219886e-05,6.6579622912e-01
320,0.2776860,7.5269815704e-02,3.3150128793e-03,5.6765344666e-03,3.2467234893e-05,6.6414061371e-01
320,0.2786000,5.9767696808e-02,6.2856056744e-03,3.6116864204e-03,1.3540812622e-05,6.5397824772e-01
320,0.2792860,4.4149686340e-02,8.9753267705e-03,2.0297512946e-03,4.6474462827e-06,6.2398300892e-01
320,0.2797430,3.2644316864e-02,1.0099144524e-02,1.1676441436e-03,1.7563253718e-06,5.7059933809e-01
320,0.2799710,2.6482899139e-02,9.6249590285e-03,7.9398378313e-04,9.0257890940e-07,5.2275579675e-01
320,0.2800290,2.5622849518e-02,9.5651686156e-03,7.4802286806e-04,8.1589198336e-07,5.1394920125e-01
320,0.2802570,2.0748940094e-02,8.4680938829e-03,5.0222712903e-04,3.9487455278e-07,4.7815977191e-01
320,0.2807140,1.3049878448e-02,6.0721367741e-03,2.0717017252e-04,8.3198435601e-08,3.5384092214e-01
320,0.2814000,7.0934774475e-03,3.4524961927e-03,6.2237152259e-05,8.9357669913e-09,2.3102688633e-01
320,0.2823140,3.5762419739e-03,1.5526633671e-03,1.5200270187e-05,4.6147151550e-10,3.3423489411e-01
320,0.2834570,1.9281637268e-03,7.4912367727e-04,4.2790016412e-06,3.7086354702e-11,3.2483800645e-01
320,0.2848280,1.1348700256e-03,3.8021888272e-04,1.4324963739e-06,3.3426877673e-12,4.5701542208e-01
320,0.2864280,6.7573681641e-04,1.9891478950e-04,4.9618733853e-07,3.6560428509e-13,5.0500744532e-01
320,0.2882560,4.3494427490e-04,1.1263104699e-04,2.0186227502e-07,5.3993774843e-14,5.5831555026e-01
320,0.2903130,2.8751800537e-04,6.6205423991e-05,8.7049761578e-08,9.6435085389e-15,5.7579220683e-01
320,0.2925990,2.0170620728e-04,4.1211263148e-05,4.2383762264e-08,2.1525384965e-15,6.0057921339e-01
320,0.2951130,1.4447351074e-04,3.0657531904e-05,2.1812479569e-08,5.7990344110e-16,5.9372101753e-01
320,0.2978550,1.0485412598e-04,1.9510609220e-05,1.1375051606e-08,1.5015444382e-16,6.1317887501e-01
320,0.3008260,7.8857543945e-05,1.4345835548e-05,6.4243152346e-09,4.8136860141e-17,6.1122098267e-01
320,0.3040260,6.0749023438e-05,1.0540297039e-05,3.8015417103e-09,1.6506528711e-17,6.1927186004e-01
320,0.3074540,4.7043853760e-05,8.0342680885e-06,2.2776736403e-09,5.9147625701e-18,6.1995670939e-01
320,0.3111110,3.7275848389e-05,6.3360102980e-06,1.4296338996e-09,2.3293328354e-18,6.2010758823e-01
320,0.3149960,2.9636016846e-05,4.7259579255e-06,9.0062817279e-10,9.1018475825e-19,6.2596068957e-01
320,0.3191100,2.4166839600e-05,3.6845727268e-06,5.9761221241e-10,3.9619820121e-19,6.3021242295e-01
320,0.3234530,1.9727508545e-05,3.0548521359e-06,3.9850671496e-10,1.7717110457e-19,6.2812211657e-01
320,0.3280240,1.6240600586e-05,2.3432127846e-06,2.6924775355e-10,7.9486214216e-20,6.3451767318e-01
320,0.3328230,1.3480773926e-05,1.8936798690e-06,1.8531728908e-10,3.7501704242e-20,6.3600294265e-01
320,0.3378510,1.1491821289e-05,1.6812382526e-06,1.3488851860e-10,1.9972866433e-20,6.3409430177e-01
320,0.3431080,9.6901245117e-06,1.4309325386e-06,9.5946080983e-11,1.0198421422e-20,6.3071878259e-01
320,0.3485930,8.2868957520e-06,1.1198803482e-06,6.9926773198e-11,5.2828554436e-21,6.3986900874e-01
320,0.3543070,7.1001586914e-06,9.4266869157e-07,5.1300877705e-11,2.8396485923e-21,6.4033866373e-01
320,0.3602490,6.1267395020e-06,8.1151047787e-07,3.8195486180e-11,1.5737552322e-21,6.4042304742e-01
320,0.3664200,5.2916564941e-06,7.1289310128e-07,2.8509845026e-11,8.8363787129e-22,6.3762072407e-01
320,0.3728190,4.5801391602e-06,5.7979324680e-07,2.1313834935e-11,4.8812686675e-22,6.4183077992e-01
320,0.3794470,4.0214843750e-06,5.0468898572e-07,1.6427047551e-11,2.8917095622e-22,6.4279758386e-01
320,0.3863030,3.5541076660e-06,4.6483438847e-07,1.2847752310e-11,1.7860052477e-22,6.3933237066e-01
320,0.3933880,3.1383056641e-06,4.1363321399e-07,1.0020054877e-11,1.0832206370e-22,6.4037036637e-01
320,0.4007020,2.7429199219e-06,3.1702402816e-07,7.6241139323e-12,6.1513864192e-23,6.4724514516e-01
320,0.4082440,2.4621887207e-06,3.1860298800e-07,6.1638811603e-12,4.0994850834e-23,6.4033387000e-01
320,0.4160150,2.1979675293e-06,2.6572815736e-07,4.9016727135e-12,2.5579845453e-23,6.4511467440e-01
320,0.4240140,1.9507751465e-06,2.3432864486e-07,3.8604335859e-12,1.5841516013e-23,6.4567376032e-01
320,0.4322420,1.7538146973e-06,2.2090392768e-07,3.1246645376e-12,1.0496365977e-23,6.4164710854e-01
320,0.4406980,1.5837402344e-06,1.9440244371e-07,2.5460254401e-12,6.9163340419e-24,6.4434474661e-01
320,0.4493830,1.4169616699e-06,1.7950261753e-07,2.0400015637e-12,4.4571364542e-24,6.4299551285e-01
320,0.4582960,1.2732543945e-06,1.6635499935e-07,1.6488507390e-12,2.9316300811e-24,6.4056097454e-01
360,0.0000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,6.6666666667e-01
360,0.0111990,9.9567302709e-01,3.4409892110e-05,9.9136477806e-01,9.8280412788e-01,6.6666666507e-01
360,0.0221690,9.8368144918e-01,6.8023972823e-05,9.6762919809e-01,9.3630628291e-01,6.6666666029e-01
360,0.0329110,9.6542907560e-01,9.5783736867e-05,9.3205330918e-01,8.6872340536e-01,6.6666665354e-01
360,0.0434240,9.4217361881e-01,1.2062670290e-04,8.8769114252e-01,7.8799561618e-01,6.6666664481e-01
360,0.0537090,9.1505191765e-01,1.4581864349e-04,8.3732003326e-01,7.0110490932e-01,6.6666663281e-01
360,0.0637650,8.8503513705e-01,1.6696325294e-04,7.8328722168e-01,6.1353895899e-01,6.6666661921e-01
360,0.0735920,8.5298773618e-01,1.8680371852e-04,7.2758811296e-01,5.2938456368e-01,6.6666660272e-01
360,0.0831920,8.1963231282e-01,1.9682833721e-04,6.7179716696e-01,4.5131153765e-01,6.6666658977e-01
360,0.0925620,7.8555241416e-01,2.1128671758e-04,6.1709264003e-01,3.8080343658e-01,6.6666657021e-01
360,0.1017040,7.5123436319e-01,2.1349076993e-04,5.6435311402e-01,3.1849454019e-01,6.6666655898e-01
360,0.1106170,7.1712062929e-01,2.2301852528e-04,5.1426204669e-01,2.6446555498e-01,6.6666653771e-01
360,0.1193020,6.8349724955e-01,2.3649890704e-04,4.6716854607e-01,2.1824655496e-01,6.6666650703e-01
360,0.1277580,6.5061967020e-01,2.4557828163e-04,4.2330601556e-01,1.7918808492e-01,6.6666647672e-01
360,0.1359860,6.1869189513e-01,2.5871197994e-04,3.8277972803e-01,1.4652042267e-01,6.6666643352e-01
360,0.1439850,5.8779236304e-01,2.4720809534e-04,3.4549992316e-01,1.1937028136e-01,6.6666643083e-01
360,0.1517560,5.5809088377e-01,2.4384155626e-04,3.1146549400e-01,9.7010828033e-02,6.6666641213e-01
360,0.1592980,5.2960308404e-01,2.3699782906e-04,2.8047948279e-01,7.8668803284e-02,6.6666639966e-01
360,0.1666120,5.0236115850e-01,2.3773978805e-04,2.5236679009e-01,6.3689053793e-02,6.6666636807e-01
360,0.1736970,4.7643584047e-01,2.4818543061e-04,2.2699117168e-01,5.1525047949e-02,6.6666630485e-01
360,0.1805530,4.5174940539e-01,2.2991507535e-04,2.0407757813e-01,4.1647701048e-02,6.6666632130e-01
360,0.1871810,4.2831550096e-01,2.3291535718e-04,1.8345422262e-01,3.3655491605e-02,6.6666627238e-01
360,0.1935800,4.0608435279e-01,2.4759949065e-04,1.6490456289e-01,2.7193555301e-02,6.6666617097e-01
360,0.1997510,3.8501764834e-01,2.3787583099e-04,1.4823864612e-01,2.1974729754e-02,6.6666615774e-01
360,0.2056930,3.6507588117e-01,2.3827765549e-04,1.3328045579e-01,1.7763710165e-02,6.6666609867e-01
360,0.2114070,3.4618019635e-01,2.3975088397e-04,1.1984078583e-01,1.4361841501e-02,6.6666602717e-01
360,0.2168920,3.2829567876e-01,2.3557562938e-04,1.0777810819e-01,1.1616144527e-02,6.6666598016e-01
360,0.2221490,3.1134260635e-01,2.4090105777e-04,9.6934276564e-02,9.3962764745e-03,6.6666586842e-01
360,0.2271770,2.9525365336e-01,2.3735267603e-04,8.7174776157e-02,7.5994612439e-03,6.6666580494e-01
360,0.2319760,2.7996387639e-01,2.5584356060e-04,7.8379837541e-02,6.1434194570e-03,6.6666555305e-01
360,0.2365470,2.6536759386e-01,2.5334254513e-04,7.0420024052e-02,4.9589978644e-03,6.6666545157e-01
360,0.2408900,2.5141588164e-01,2.6319219004e-04,6.3210014813e-02,3.9955234873e-03,6.6666520547e-01
360,0.2450040,2.3802958063e-01,2.7584107823e-04,5.6658157344e-02,3.2101640402e-03,6.6666487583e-01
360,0.2488890,2.2513573311e-01,2.9267101226e-04,5.0686183979e-02,2.5691066129e-03,6.6666441341e-01
360,0.2525460,2.1261961743e-01,3.0272257891e-04,4.5207193359e-02,2.0437069021e-03,6.6666396392e-01
360,0.2559740,2.0041188780e-01,3.3646730287e-04,4.0165037980e-02,1.6132484609e-03,6.6666290921e-01
360,0.2591740,1.8845580939e-01,3.8674508638e-04,3.5515741665e-02,1.2613891532e-03,6.6666105182e-01
360,0.2621450,1.7661127229e-01,4.0517665716e-04,3.1191705668e-02,9.7294298449e-04,6.6665964933e-01
360,0.2648870,1.6486500150e-01,4.8193588394e-04,2.7180700982e-02,7.3881574502e-04,6.6665527907e-01
360,0.2674010,1.5302646009e-01,5.3548056264e-04,2.3417384227e-02,5.4840072784e-04,6.6665034946e-01
360,0.2696870,1.4110051466e-01,6.5852260379e-04,1.9909788889e-02,3.9643421823e-04,6.6663763486e-01
360,0.2717440,1.2895290514e-01,8.4897191396e-04,1.6629572496e-02,2.7659061145e-04,6.6660889373e-01
360,0.2735720,1.1643366677e-01,1.0082267219e-03,1.3557815280e-02,1.8386938633e-04,6.6656687182e-01
360,0.2751720,1.0361237035e-01,1.3630597842e-03,1.0737381221e-02,1.1537105868e-04,6.6643622675e-01
360,0.2765430,9.0228703682e-02,1.9035211067e-03,8.1448423608e-03,6.6455878098e-05,6.6607665688e-01
360,0.2776860,7.6511790445e-02,2.7071393253e-03,5.8613826804e-03,3.4524158886e-05,6.6503325081e-01
360,0.2786000,6.2151723701e-02,4.4472709923e-03,3.8826149783e-03,1.5364942855e-05,6.6024876553e-01
360,0.2792860,4.7443560850e-02,7.1837614403e-03,2.3024978945e-03,5.6971392639e-06,6.4179050164e-01
360,0.2797430,3.4599805234e-02,9.1544934473e-03,1.2809512725e-03,1.9996528355e-06,5.9377361349e-01
360,0.2799710,2.8489507973e-02,9.5872273650e-03,9.0356699311e-04,1.1005729668e-06,5.5065814849e-01
360,0.2800290,2.7467872578e-02,9.7210333881e-03,8.4898251409e-04,1.0017272955e-06,5.3673364323e-01
360,0.2802570,2.1140497214e-02,8.3257295481e-03,5.1623839495e-04,4.0851224855e-07,4.8904432827e-01
360,0.2807140,1.2796026063e-02,6.0805754794e-03,2.0071168117e-04,7.9253937391e-08,3.4422584648e-01
360,0.2814000,6.2407037680e-03,3.0179085143e-03,4.8054155321e-05,5.2808869213e-09,2.3770386495e-01
360,0.2823140,2.9842800497e-03,1.2820012173e-03,1.0549454536e-05,2.3754724448e-10,2.8851011115e-01
360,0.2834570,1.5612716264e-03,5.3768975593e-04,2.7266793649e-06,1.2101775414e-11,4.5742510966e-01
360,0.2848280,8.8236460477e-04,2.8538652161e-04,8.6001276246e-07,1.1629660877e-12,4.7587363825e-01
360,0.2864280,5.2244302984e-04,1.4237860564e-04,2.9321838677e-07,1.1692462099e-13,5.4668267635e-01
360,0.2882560,3.3055600566e-04,8.2063498113e-05,1.1600169060e-07,1.7597558497e-14,5.6408428532e-01
360,0.2903130,2.1950522977e-04,4.7439596584e-05,5.0433061219e-08,3.1023814776e-15,5.9342255344e-01
360,0.2925990,1.5052334105e-04,3.0695212323e-05,2.3599472260e-08,6.6226465981e-16,6.0362546698e-01
360,0.2951130,1.0619849537e-04,2.0604759724e-05,1.1702676542e-08,1.6161099473e-16,6.0664991735e-01
360,0.2978550,7.7698216735e-05,1.4461475620e-05,6.2461471609e-09,4.5315718304e-17,6.1282867078e-01
360,0.3008260,5.8010866770e-05,9.3763868246e-06,3.4531772932e-09,1.3338137660e-17,6.2714824843e-01
360,0.3040260,4.4451131687e-05,7.1774775804e-06,2.0274192927e-09,4.5897914370e-18,6.2779299111e-01
360,0.3074540,3.4437757202e-05,5.4589851896e-06,1.2157596404e-09,1.6527190511e-18,6.2728031143e-01
360,0.3111110,2.7337127058e-05,4.2545838751e-06,7.6541999971e-10,6.5036477296e-19,6.2997067505e-01
360,0.3149960,2.1803197874e-05,3.2091774677e-06,4.8567825754e-10,2.5948239646e-19,6.3331822753e-01
360,0.3191100,1.7646797840e-05,2.6083613167e-06,3.1821302275e-10,1.1151035381e-19,6.3292226689e-01
360,0.3234530,1.4457111626e-05,2.1296419555e-06,2.1354345141e-10,5.0291278859e-20,6.3238018750e-01
360,0.3280240,1.1911544067e-05,1.5857378972e-06,1.4439944674e-10,2.2483509921e-20,6.4057209043e-01
360,0.3328230,9.8440286351e-06,1.3008624487e-06,9.8597142879e-11,1.0504844650e-20,6.3980330881e-01
360,0.3378510,8.3898533951e-06,1.1210430493e-06,7.1646377509e-11,5.5456640483e-21,6.3988283045e-01
360,0.3431080,7.0445173182e-06,9.4632581668e-07,5.0520756798e-11,2.7626516124e-21,6.3920112797e-01
360,0.3485930,6.0229123800e-06,8.1366517942e-07,3.6937524561e-11,1.4779723907e-21,6.3891496259e-01
360,0.3543070,5.1536779835e-06,6.6403627837e-07,2.7001340937e-11,7.8355410483e-22,6.4175753030e-01
360,0.3602490,4.4414437586e-06,5.7527674411e-07,2.0057365993e-11,4.3266757472e-22,6.4150318969e-01
360,0.3664200,3.8541666667e-06,4.9709185729e-07,1.5101701009e-11,2.4569323853e-22,6.4089602300e-01
360,0.3728190,3.3530092593e-06,4.4323678855e-07,1.1439129943e-11,1.4142693034e-22,6.3973267608e-01
360,0.3794470,2.9631558642e-06,3.6218316199e-07,8.9114693184e-12,8.4695816278e-23,6.4449798153e-01
360,0.3863030,2.5930641289e-06,3.1592068580e-07,6.8237874565e-12,4.9714525100e-23,6.4411387369e-01
360,0.3933880,2.2744127229e-06,2.7734925330e-07,5.2498758424e-12,2.9373527511e-23,6.4474779291e-01
360,0.4007020,2.0118741427e-06,2.3275608588e-07,4.1018129614e-12,1.7818959755e-23,6.4697180999e-01
360,0.4082440,1.7902734911e-06,2.2362749990e-07,3.2550884316e-12,1.1357396086e-23,6.4270089035e-01
360,0.4160150,1.5879415295e-06,1.9516635049e-07,2.5596482055e-12,6.9971643373e-24,6.4400798386e-01
360,0.4240140,1.4132373114e-06,1.6637386023e-07,2.0249199597e-12,4.3525607184e-24,6.4615923847e-01
360,0.4322420,1.2658607682e-06,1.4877731342e-07,1.6245381734e-12,2.8000955809e-24,6.4633526286e-01
360,0.4406980,1.1392318244e-06,1.4208450487e-07,1.3180371563e-12,1.8595964155e-24,6.4318579241e-01
360,0.4493830,1.0196544925e-06,1.2319803540e-07,1.0548730399e-12,1.1857534579e-24,6.4480016180e-01
360,0.4582960,9.2358967764e-07,1.1653722848e-07,8.6659881827e-13,8.0385275246e-25,6.4320475042e-01
400,0.0000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,6.6666666667e-01
400,0.0111990,9.9567015839e-01,2.7069486063e-05,9.9135906504e-01,9.8279279875e-01,6.6666666568e-01
400,0.0221690,9.8367554506e-01,5.5548707263e-05,9.6761758104e-01,9.3628379508e-01,6.6666666241e-01
400,0.0329110,9.6541211467e-01,7.8771860055e-05,9.3202055736e-01,8.6866234247e-01,6.6666665779e-01
400,0.0434240,9.4215284208e-01,1.0220483602e-04,8.8765198828e-01,7.8792608939e-01,6.6666665098e-01
400,0.0537090,9.1500863250e-01,1.2432743035e-04,8.3724081301e-01,7.0097223073e-01,6.6666664205e-01
400,0.0637650,8.8498619591e-01,1.3882035527e-04,7.8320058622e-01,6.1340321862e-01,6.6666663386e-01
