sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
9, 2196667, 341631, 632794, 622694, 332418, 133565, 133565, 64868266
14, 2197898, 390542, 576626, 566094, 381526, 141555, 141555, 2879604946
1, 2196247, 368150, 607317, 597413, 359121, 132123, 132123, 1038045535
13, 2198088, 379214, 592293, 582077, 370718, 136893, 136893, 1939910511
5, 2197958, 575279, 410160, 400882, 565235, 123201, 123201, 294850461
2, 2197842, 465104, 515623, 506354, 455623, 127569, 127569, 2102069641
0, 2198281, 476640, 488793, 479578, 466524, 143373, 143373, 1521711624
7, 2200337, 431694, 535289, 525552, 422674, 142564, 142564, 1408523415
6, 2201255, 495809, 483619, 474296, 485747, 130892, 130892, 3953408632
12, 2199733, 495639, 481914, 472532, 486386, 131631, 131631, 4217805325
3, 2198886, 534260, 435232, 425956, 524738, 139350, 139350, 772683329
10, 2198912, 460963, 496858, 487521, 451418, 151076, 151076, 1416370603
8, 2200927, 499092, 463390, 454606, 489499, 147170, 147170, 1720369599
4, 2190836, 528631, 431736, 422137, 518052, 145140, 145140, 2746614658
15, 2196131, 431842, 534723, 524585, 422519, 141231, 141231, 666502807
11, 2200306, 501668, 470573, 461069, 492362, 137317, 137317, 3739296366
16, 2204958, 518087, 464344, 455281, 508522, 129362, 129362, 3165485605
17, 2200786, 405773, 561323, 551915, 396731, 142522, 142522, 3007812144
18, 2194749, 507394, 459318, 449957, 497610, 140235, 140235, 2787635541
20, 2196032, 467556, 508640, 498955, 457765, 131558, 131558, 4071498023
22, 2195679, 346377, 625291, 615296, 337663, 135526, 135526, 1753780373
19, 2201265, 530489, 444613, 435542, 520699, 134961, 134961, 3202052399
21, 2198953, 467707, 491189, 482128, 458349, 149790, 149790, 2799849990
26, 2198829, 318207, 656738, 646490, 309538, 133928, 133928, 2101424690
23, 2192222, 500276, 467419, 458037, 490040, 138225, 138225, 744851825
28, 2201256, 533501, 439435, 429879, 524279, 137081, 137081, 3200606062
29, 2196083, 520529, 448154, 438604, 510720, 139038, 139038, 3985684690
31, 2200608, 614026, 360052, 351373, 603243, 135957, 135957, 106044897
25, 2204472, 507871, 470836, 461971, 498474, 132660, 132660, 2207125622
24, 2194444, 498466, 475053, 465488, 488321, 133558, 133558, 602753598
27, 2197992, 540482, 438519, 429105, 530230, 129828, 129828, 3022299271
30, 2203697, 556973, 416277, 406886, 547687, 137937, 137937, 3765074970
32, 2197394, 469935, 494006, 484242, 460615, 144298, 144298, 3402726
33, 2198595, 434345, 535323, 525034, 425323, 139285, 139285, 3571844906
34, 2202633, 531094, 430393, 420937, 521653, 149278, 149278, 1072800507
39, 2191082, 442351, 530771, 520625, 432633, 132351, 132351, 2266815864
36, 2203234, 436659, 540119, 530412, 426876, 134584, 134584, 2858189809
41, 2193228, 545792, 415758, 406670, 535428, 144790, 144790, 2722420520
37, 2195834, 560871, 395977, 386602, 550570, 150907, 150907, 2750282323
40, 2196757, 546610, 418372, 409530, 537135, 142555, 142555, 3076243938
35, 2207037, 489753, 493743, 484194, 480781, 129283, 129283, 321809193
42, 2195707, 458404, 508571, 498673, 448415, 140822, 140822, 507252750
43, 2191305, 479684, 476701, 466970, 470232, 148859, 148859, 1616277997
38, 2198551, 459074, 523905, 514163, 449569, 125920, 125920, 3502395744
46, 2198498, 433915, 537463, 527523, 424951, 137323, 137323, 586945181
44, 2197900, 529049, 423012, 413214, 519379, 156623, 156623, 3816076462
45, 2198945, 506823, 472081, 462918, 497229, 129947, 129947, 288328704
47, 2194086, 504501, 469852, 460198, 494723, 132406, 132406, 1295561365
49, 2199312, 404442, 568680, 558655, 395397, 136069, 136069, 2766819715
51, 2202734, 564615, 415748, 406776, 554645, 130475, 130475, 4012723200
52, 2201073, 367967, 610737, 600909, 359140, 131160, 131160, 1466647111
50, 2202061, 571047, 403029, 394170, 561103, 136356, 136356, 3932296773
48, 2201273, 578156, 400039, 391072, 569046, 131480, 131480, 2876227153
56, 2195800, 379029, 586514, 575962, 370003, 142146, 142146, 3407203401
53, 2201265, 553489, 415360, 406395, 543511, 141255, 141255, 3341166504
59, 2200502, 560233, 427553, 417949, 549489, 122639, 122639, 203399550
54, 2196229, 616088, 356572, 347623, 606056, 134945, 134945, 4032295772
58, 2200207, 495043, 486728, 477492, 485338, 127803, 127803, 3432045778
55, 2195442, 473533, 485648, 476173, 463960, 148064, 148064, 3124789862
60, 2194916, 564935, 405385, 396102, 555098, 136698, 136698, 3545256790
57, 2200249, 465053, 507960, 498637, 455517, 136541, 136541, 3264415336
61, 2200837, 461129, 495308, 485693, 451795, 153456, 153456, 1771748443
63, 2200532, 410236, 559560, 549432, 400910, 140197, 140197, 4048312986
62, 2198197, 492413, 483972, 474258, 482956, 132299, 132299, 2488592563
64, 2192617, 478475, 487366, 477541, 468933, 140151, 140151, 3107687874
66, 2195627, 405746, 569985, 560116, 396446, 131667, 131667, 1291789125
65, 2198105, 604209, 366151, 357293, 594546, 137953, 137953, 503415955
67, 2201808, 480566, 477383, 468087, 471330, 152221, 152221, 3964154573
68, 2198945, 537265, 432085, 422531, 527440, 139812, 139812, 234960969
70, 2197446, 427131, 546550, 537091, 417588, 134543, 134543, 226872058
69, 2201034, 394462, 578906, 569108, 385818, 136370, 136370, 3108587717
72, 2197907, 484079, 484378, 474534, 474064, 140426, 140426, 1418457205
74, 2194817, 522898, 451573, 441672, 513072, 132801, 132801, 986140347
71, 2194894, 499069, 472023, 462360, 489988, 135727, 135727, 1957198724
75, 2201074, 525807, 448638, 439524, 515723, 135691, 135691, 2718702232
76, 2210031, 501714, 469576, 460235, 492326, 143090, 143090, 4269474374
77, 2195321, 487377, 482514, 472261, 478135, 137517, 137517, 3471616756
78, 2201896, 585606, 396668, 387399, 574905, 128659, 128659, 87538738
73, 2192667, 597652, 377769, 369032, 586538, 130838, 130838, 1737651135
79, 2197732, 353008, 623637, 613794, 344513, 131390, 131390, 337044650
82, 2192672, 454678, 508807, 498771, 444860, 142778, 142778, 727036981
80, 2196094, 502373, 426747, 417468, 492744, 178381, 178381, 3824440218
81, 2200194, 546515, 435436, 426521, 536266, 127728, 127728, 2988906800
87, 2191480, 411738, 538770, 528642, 401994, 155168, 155168, 1002155743
88, 2196777, 442095, 528389, 518831, 432424, 137519, 137519, 1061110142
86, 2196377, 411457, 545672, 535766, 402442, 150520, 150520, 3355308911
85, 2201475, 498008, 467404, 458052, 488829, 144591, 144591, 4138409606
84, 2191269, 546317, 425450, 416097, 536501, 133452, 133452, 949177171
83, 2199162, 485130, 483514, 474411, 475117, 140495, 140495, 3837896903
90, 2194175, 479455, 490395, 480656, 470061, 136804, 136804, 2123244295
89, 2205415, 459316, 517846, 508332, 449745, 135088, 135088, 4248859967
91, 2202985, 569187, 400078, 391473, 558563, 141842, 141842, 1401533737
94, 2198625, 431595, 524842, 514730, 422266, 152596, 152596, 2252803492
92, 2194063, 476751, 493644, 484260, 467236, 136086, 136086, 2955055522
93, 2200418, 652398, 332300, 323681, 642899, 124570, 124570, 483261402
95, 2197057, 497484, 476889, 467273, 488175, 133618, 133618, 3737512814
96, 2199263, 439230, 532762, 522549, 429656, 137533, 137533, 2176179271
97, 2195515, 413639, 552368, 542293, 404827, 141194, 141194, 973698929
98, 2191406, 397846, 568601, 558781, 388446, 138866, 138866, 1800682825
99, 2200380, 469701, 490192, 480813, 460280, 149697, 149697, 2664070412
102, 2200312, 423015, 553830, 544369, 413808, 132645, 132645, 2925707165
103, 2195821, 461839, 513351, 503357, 452188, 132543, 132543, 673822780
100, 2197835, 539374, 426732, 417440, 529543, 142373, 142373, 2341306522
106, 2198456, 390141, 589442, 579113, 381130, 129315, 129315, 2545624420
104, 2199004, 557111, 410913, 401907, 547095, 140989, 140989, 2797661626
101, 2200882, 615722, 354937, 346238, 605681, 139152, 139152, 1265949700
107, 2195560, 475304, 482361, 472683, 465866, 149673, 149673, 3532157268
105, 2197179, 447953, 524480, 514363, 438549, 135917, 135917, 1550951363
108, 2200735, 486169, 479825, 470526, 476811, 143702, 143702, 3296602378
110, 2195479, 431619, 545313, 535469, 422186, 130446, 130446, 109169981
111, 2197621, 371885, 587374, 577349, 362537, 149238, 149238, 1926323169
109, 2199854, 384359, 568423, 558023, 375543, 156753, 156753, 1232549811
112, 2194074, 585699, 388404, 379520, 575545, 132453, 132453, 1002941204
113, 2197012, 581005, 389822, 380628, 570975, 137291, 137291, 675529863
114, 2198882, 470431, 501803, 491720, 461118, 136905, 136905, 4207298177
117, 2195548, 429465, 544882, 534490, 419879, 133416, 133416, 2946800667
115, 2196298, 444549, 508684, 499044, 435299, 154361, 154361, 388808026
116, 2200912, 563962, 411828, 402899, 554337, 133943, 133943, 1762537260
122, 2195208, 439327, 537552, 527715, 429774, 130420, 130420, 3669396232
118, 2200431, 456543, 507065, 497530, 447643, 145825, 145825, 228288140
123, 2197415, 400153, 576331, 566283, 391144, 131752, 131752, 172082691
120, 2204870, 564884, 402319, 393092, 555577, 144499, 144499, 3214938510
121, 2202548, 447081, 532881, 522751, 438533, 130651, 130651, 430192568
119, 2198161, 583617, 392921, 383904, 573543, 132088, 132088, 2478312939
125, 2195490, 397971, 579209, 569845, 388789, 129838, 129838, 984912422
126, 2198687, 455095, 514059, 504374, 445307, 139926, 139926, 4115242474
124, 2193223, 446799, 523702, 513602, 437370, 135875, 135875, 368957954
127, 2201076, 442812, 527825, 518165, 434054, 139110, 139110, 1338744782
