sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
101, 2477398, 495989, 511408, 466000, 451187, 276407, 276407
102, 2481063, 500269, 506258, 461451, 455901, 278592, 278592
103, 2478317, 496233, 504813, 460018, 452153, 282550, 282550
104, 2475471, 502588, 497085, 452129, 457717, 282976, 282976
105, 2471610, 493274, 507546, 461922, 448570, 280149, 280149
106, 2480000, 486524, 512936, 468131, 442297, 285056, 285056
107, 2475130, 496075, 500451, 455894, 451516, 285597, 285597
108, 2477767, 502676, 494766, 450679, 458058, 285794, 285794
109, 2480721, 496727, 499128, 454844, 452784, 288619, 288619
110, 2484349, 497731, 502086, 457429, 453675, 286714, 286714
111, 2480099, 499443, 501896, 457922, 454974, 282932, 282932
112, 2476701, 498900, 499236, 454770, 454117, 284839, 284839
113, 2479452, 489349, 512708, 467377, 445110, 282454, 282454
114, 2478699, 499729, 497084, 452674, 454654, 287279, 287279
115, 2476622, 498835, 497013, 452328, 453872, 287287, 287287
116, 2480983, 491298, 506248, 461240, 447371, 287413, 287413
117, 2473151, 492331, 505928, 460840, 447670, 283191, 283191
118, 2480095, 501560, 497365, 453041, 456463, 285833, 285833
119, 2482155, 503960, 492186, 447968, 459511, 289265, 289265
120, 2479717, 497942, 501373, 456607, 453339, 285228, 285228
121, 2473820, 495057, 500322, 455147, 450260, 286517, 286517
122, 2482123, 492303, 502093, 458141, 447992, 290797, 290797
123, 2478363, 501379, 494344, 450330, 455978, 288166, 288166
124, 2478526, 495746, 507141, 461997, 451042, 281300, 281300
125, 2479966, 503425, 492274, 448028, 458401, 288919, 288919
126, 2473471, 502230, 488558, 443988, 457177, 290759, 290759
127, 2481664, 498211, 503561, 458711, 454185, 283498, 283498
128, 2476786, 499126, 493210, 449104, 454624, 290361, 290361
129, 2479118, 499789, 501732, 456873, 455316, 282704, 282704
130, 2478249, 487040, 511111, 466197, 442619, 285641, 285641
131, 2477516, 506430, 492634, 448153, 461701, 284299, 284299
132, 2479938, 497549, 500108, 455408, 453247, 286813, 286813
133, 2478806, 499821, 501146, 456263, 455444, 283066, 283066
134, 2476686, 503584, 490562, 446129, 458819, 288796, 288796
135, 2474521, 503568, 498566, 453734, 458579, 280037, 280037
136, 2478218, 490132, 499521, 454960, 446287, 293659, 293659
137, 2479094, 497333, 501274, 456303, 452572, 285806, 285806
138, 2476458, 504364, 497083, 452100, 458853, 282029, 282029
139, 2478710, 503325, 492565, 447944, 458172, 288352, 288352
140, 2474318, 495775, 497964, 452816, 451893, 287935, 287935
141, 2477496, 500671, 497644, 452856, 456205, 285060, 285060
142, 2476989, 493903, 505331, 460051, 449382, 284161, 284161
143, 2478559, 499249, 495079, 450611, 454364, 289628, 289628
144, 2478439, 510815, 490879, 446363, 465674, 282354, 282354
145, 2474958, 496039, 496492, 451500, 450885, 290021, 290021
146, 2478378, 497106, 499930, 455509, 453021, 286406, 286406
147, 2477874, 502765, 498128, 453201, 457998, 282891, 282891
148, 2473575, 498336, 495909, 451162, 453678, 287245, 287245
149, 2479156, 506966, 491333, 447379, 462068, 285705, 285705
150, 2475383, 496542, 503438, 458195, 451322, 282943, 282943
151, 2478880, 498641, 500551, 456031, 453963, 284847, 284847
152, 2477154, 495995, 495478, 451051, 451490, 291570, 291570
153, 2477426, 499032, 504015, 458762, 454281, 280668, 280668
154, 2476898, 511903, 485000, 441209, 466352, 286217, 286217
155, 2477795, 507108, 498772, 453814, 461715, 278193, 278193
156, 2476472, 494343, 506618, 461448, 449661, 282201, 282201
157, 2478888, 493677, 502448, 458017, 449286, 287730, 287730
158, 2474356, 504296, 491372, 446303, 459195, 286595, 286595
159, 2477281, 500311, 493758, 449583, 455613, 289008, 289008
160, 2481121, 497783, 505180, 460339, 453361, 282229, 282229
161, 2473503, 499164, 499197, 454423, 454737, 282991, 282991
162, 2477917, 496456, 501337, 456610, 451774, 285870, 285870
163, 2480832, 496734, 508228, 463710, 452304, 279928, 279928
164, 2478812, 498306, 502719, 458094, 453927, 282883, 282883
165, 2483474, 496343, 510988, 466184, 452133, 278913, 278913
166, 2480663, 505586, 495327, 451072, 461138, 283770, 283770
167, 2475344, 496402, 498821, 453783, 451766, 287286, 287286
168, 2478116, 494764, 504910, 459784, 450380, 284139, 284139
