sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
5, 2443581, 29288, 1139316, 1131014, 22141, 60911, 60911, 2277065006
8, 2436596, 35383, 1125095, 1116942, 27920, 65628, 65628, 851119056
6, 2443599, 27351, 1141043, 1133174, 20377, 60827, 60827, 821468856
3, 2441549, 32665, 1129481, 1121694, 25371, 66169, 66169, 1983887433
4, 2443920, 1122881, 39343, 31920, 1114752, 67512, 67512, 1171412298
12, 2439785, 27503, 1130719, 1123109, 20358, 69048, 69048, 879756425
14, 2438101, 33060, 1127677, 1119979, 25611, 65887, 65887, 3348498945
0, 2439336, 1107002, 52353, 44958, 1098635, 68194, 68194, 3428871443
9, 2443772, 1141371, 26230, 19089, 1133738, 61672, 61672, 3718129329
13, 2440874, 1120537, 41329, 33741, 1112861, 66203, 66203, 2668079577
10, 2444298, 33852, 1131883, 1124736, 26661, 63583, 63583, 3510062505
2, 2445225, 58789, 1106723, 1098527, 51712, 64737, 64737, 2304337968
1, 2441852, 1111614, 51202, 43724, 1104476, 65418, 65418, 3711513564
21, 2444088, 32389, 1134698, 1126273, 25132, 62798, 62798, 1361788528
7, 2446094, 1124629, 35896, 28821, 1117470, 69639, 69639, 2816152967
18, 2442599, 33457, 1133152, 1124690, 26232, 62534, 62534, 365153048
11, 2447161, 1125305, 40923, 33828, 1118127, 64489, 64489, 1800195652
15, 2440709, 35318, 1127857, 1120560, 27920, 64527, 64527, 1136845082
17, 2442899, 1143918, 24338, 17230, 1136551, 60431, 60431, 50185251
23, 2444645, 27998, 1141850, 1133917, 20988, 59946, 59946, 552129668
16, 2448016, 1092028, 71853, 64485, 1084640, 67505, 67505, 1654605524
20, 2448722, 1146172, 24478, 17501, 1138241, 61165, 61165, 54445666
27, 2436749, 37567, 1122367, 1113831, 30268, 66358, 66358, 3818237405
19, 2446001, 1134460, 33860, 26716, 1126897, 62034, 62034, 3865243961
25, 2447937, 1133582, 37441, 30311, 1125093, 60755, 60755, 2428859901
30, 2443668, 31205, 1131596, 1122971, 24024, 66936, 66936, 387488771
24, 2444659, 1135839, 32239, 25220, 1128041, 61660, 61660, 2394755089
22, 2444442, 1127998, 36825, 29616, 1120371, 64816, 64816, 2927445028
28, 2439316, 28702, 1135244, 1127410, 21494, 63233, 63233, 2401041904
26, 2446790, 35859, 1135985, 1128717, 28773, 58728, 58728, 3630045354
29, 2442198, 61875, 1097087, 1089462, 54488, 69643, 69643, 995324054
33, 2439799, 30363, 1136021, 1127431, 23068, 61458, 61458, 522861327
39, 2442209, 40803, 1121630, 1112402, 33592, 66891, 66891, 1217390341
32, 2442948, 1140278, 29708, 22573, 1131319, 59535, 59535, 144265063
35, 2442465, 30002, 1137141, 1129211, 22949, 61581, 61581, 1406672815
37, 2439173, 27873, 1137479, 1129816, 20609, 61698, 61698, 3271709785
36, 2444789, 1143248, 25081, 18026, 1135892, 61271, 61271, 701990066
34, 2444007, 35353, 1124700, 1117479, 27921, 69277, 69277, 3561926121
40, 2439329, 33179, 1128588, 1120988, 25624, 65475, 65475, 908821691
44, 2446942, 29794, 1137808, 1130421, 22487, 63216, 63216, 745239669
38, 2444783, 1136100, 32007, 24946, 1128614, 61558, 61558, 2756892063
31, 2444554, 1051466, 106436, 99122, 1043436, 72047, 72047, 1859256490
47, 2441704, 32854, 1133387, 1125889, 25712, 61931, 61931, 484390061
42, 2437836, 1104564, 49477, 42070, 1096417, 72654, 72654, 3588495361
41, 2438933, 1138218, 27737, 20537, 1130553, 60944, 60944, 1166803212
43, 2438018, 40619, 1120373, 1112903, 33131, 65496, 65496, 1126009791
