sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
12, 3223975, 660274, 758221, 752814, 655290, 198688, 198688, 1942373631
0, 3226413, 734985, 679907, 674724, 729879, 203459, 203459, 1645139079
9, 3226595, 778348, 662305, 657211, 772579, 178076, 178076, 2364841098
3, 3230579, 705598, 713708, 708493, 700308, 201236, 201236, 888526618
10, 3227353, 647072, 750298, 745244, 642313, 221213, 221213, 2381076611
11, 3219625, 670066, 733338, 728090, 664767, 211682, 211682, 929390869
6, 3228429, 741778, 683804, 678724, 736615, 193754, 193754, 1525936640
5, 3229921, 746006, 699962, 694835, 740620, 174249, 174249, 3680516732
2, 3230338, 643451, 812612, 807343, 638458, 164237, 164237, 2355694245
1, 3230176, 635190, 816032, 810951, 630321, 168841, 168841, 2576729757
7, 3229973, 789939, 664685, 659806, 784695, 165424, 165424, 2363538482
13, 3228631, 760256, 697419, 692344, 755012, 161800, 161800, 2984595026
4, 3230174, 689904, 739164, 734212, 684942, 190976, 190976, 3878357539
8, 3227417, 776926, 624953, 620005, 771535, 216999, 216999, 1952016301
14, 3228742, 689372, 754549, 749100, 684427, 175647, 175647, 3151738442
17, 3228382, 795735, 646473, 641406, 790466, 177151, 177151, 2198744508
15, 3224261, 794448, 639606, 634363, 789096, 183374, 183374, 1253655140
18, 3225576, 723216, 725064, 719926, 718098, 169636, 169636, 3898381557
21, 3228544, 739255, 678740, 673826, 734111, 201306, 201306, 75361366
20, 3230748, 747252, 706607, 701269, 742196, 166712, 166712, 1288264145
16, 3228455, 706849, 718917, 714114, 701627, 193474, 193474, 2212657933
22, 3227543, 711094, 739122, 734192, 705907, 168614, 168614, 859270419
19, 3228025, 704445, 711549, 706128, 699417, 203243, 203243, 1110453614
23, 3231219, 700117, 717458, 712266, 694932, 203223, 203223, 3031463878
26, 3225241, 705574, 716297, 710918, 700528, 195962, 195962, 3278117538
25, 3234487, 727243, 728587, 723646, 722067, 166472, 166472, 3208275898
24, 3226932, 701902, 714306, 709214, 696840, 202335, 202335, 1445148671
27, 3229088, 746384, 672555, 668092, 741123, 200467, 200467, 1108160374
29, 3228797, 687142, 727730, 722442, 682145, 204669, 204669, 3934519553
30, 3226566, 719192, 706405, 701040, 714075, 192927, 192927, 202111343
31, 3225595, 694694, 727228, 722001, 689556, 196058, 196058, 1183934714
33, 3229633, 773077, 649684, 644830, 767908, 197067, 197067, 1677599107
32, 3228883, 723940, 718225, 713114, 718696, 177454, 177454, 1987522740
37, 3225721, 726235, 718398, 713073, 720955, 173530, 173530, 2296344114
28, 3226754, 652023, 773647, 768223, 647033, 192914, 192914, 3215302033
34, 3227794, 689312, 734249, 729042, 683915, 195638, 195638, 3610206343
38, 3228596, 788493, 641150, 636151, 783106, 189848, 189848, 1537477492
35, 3226263, 748289, 682121, 677312, 743007, 187767, 187767, 430214707
36, 3226692, 787700, 636616, 631531, 782513, 194166, 194166, 4009335559
39, 3230563, 667625, 748182, 742967, 662693, 204548, 204548, 1845786087
40, 3227889, 668816, 772256, 767040, 663895, 177941, 177941, 280458540
41, 3231145, 649602, 790511, 785007, 644719, 180653, 180653, 873215181
42, 3227857, 706531, 700857, 695570, 701327, 211786, 211786, 742685242
43, 3229001, 827572, 604194, 599369, 822004, 187931, 187931, 95481889
47, 3227897, 761342, 690818, 685893, 755846, 166999, 166999, 3808759129
48, 3231044, 719964, 717208, 712135, 714817, 183460, 183460, 427402295
46, 3226100, 775592, 650126, 645330, 769752, 192650, 192650, 3002663782
44, 3228069, 711538, 723980, 718913, 706512, 183563, 183563, 1272636196
45, 3223952, 789904, 659250, 654076, 784458, 168132, 168132, 1671497707
49, 3226803, 744342, 694710, 689944, 739139, 179334, 179334, 2987105390
50, 3229654, 711073, 717180, 712021, 706074, 191653, 191653, 1707654646
51, 3229837, 683984, 752843, 747794, 679010, 183103, 183103, 1085035471
52, 3225881, 722747, 723704, 718417, 717511, 171751, 171751, 2222203565
53, 3231935, 762298, 684800, 679764, 757119, 173977, 173977, 2244566939
54, 3223214, 724456, 702269, 697111, 719282, 190048, 190048, 3915116757
55, 3228268, 753596, 649339, 644248, 748231, 216427, 216427, 3319734850
56, 3225606, 783110, 665112, 659808, 777622, 169977, 169977, 944552672
59, 3228919, 622211, 826261, 820983, 617252, 171106, 171106, 1635472951
61, 3227253, 637460, 801031, 795596, 632802, 180182, 180182, 2160423522
57, 3228932, 680704, 763687, 758474, 675567, 175250, 175250, 4126879013
60, 3227688, 695137, 744061, 738654, 689862, 179987, 179987, 3037458542
63, 3232777, 752859, 694329, 689299, 747794, 174248, 174248, 1366726769
65, 3230235, 768710, 672808, 668174, 763647, 178448, 178448, 3025686173
64, 3229172, 729625, 706543, 701558, 724502, 183472, 183472, 1710352997
58, 3227503, 798352, 631568, 626924, 793045, 188807, 188807, 3012662819
62, 3227106, 689850, 734624, 729343, 684745, 194272, 194272, 426481377
66, 3228857, 665442, 738449, 733281, 660281, 215702, 215702, 2239490153
67, 3230754, 710829, 714974, 709787, 705946, 194609, 194609, 630970130
68, 3225179, 721762, 727166, 721929, 716436, 168943, 168943, 1500014676
69, 3227492, 751334, 703168, 697955, 746307, 164364, 164364, 3225241002
70, 3230717, 681997, 751709, 746467, 677120, 186712, 186712, 2811493105
75, 3228394, 632548, 786210, 780918, 627542, 200588, 200588, 2534253979
71, 3231429, 705260, 729486, 724225, 700260, 186099, 186099, 3255681503
72, 3227701, 717824, 685221, 680099, 712909, 215824, 215824, 3911956583
76, 3228094, 808039, 632826, 628074, 802835, 178160, 178160, 2025847647
74, 3227526, 713410, 729062, 723899, 708147, 176504, 176504, 3694028095
73, 3228253, 694098, 728695, 723451, 689073, 196468, 196468, 824664111
78, 3223180, 648301, 765458, 760313, 642960, 203074, 203074, 2924204188
80, 3224745, 760251, 681902, 676778, 754762, 175526, 175526, 1632912014
79, 3231790, 724943, 719395, 714438, 719834, 176590, 176590, 2539581080
82, 3229312, 665067, 794432, 788842, 660333, 160319, 160319, 173953405
81, 3227166, 700160, 743534, 737938, 695102, 175216, 175216, 3037209227
77, 3226820, 714462, 711622, 706281, 709485, 192485, 192485, 2229675800
83, 3226906, 707838, 718623, 713318, 702893, 192117, 192117, 1027445005
84, 3225341, 716665, 731750, 726483, 711347, 169548, 169548, 3700454071
85, 3227005, 757827, 680003, 674991, 752484, 180850, 180850, 1069905593
89, 3225802, 745744, 679582, 674343, 740411, 192861, 192861, 118787451
88, 3232281, 688996, 760554, 755352, 683929, 171725, 171725, 3190996300
86, 3227662, 691937, 738320, 733220, 686835, 188675, 188675, 2451230642
87, 3225851, 815352, 623723, 618996, 809766, 179007, 179007, 1994516069
92, 3229304, 766577, 683703, 678350, 761266, 169704, 169704, 3092856451
90, 3231200, 681526, 765538, 760138, 676374, 173812, 173812, 3650655456
93, 3225708, 714177, 710924, 705747, 709076, 192892, 192892, 1557909754
91, 3232022, 831592, 614713, 610044, 826375, 174649, 174649, 2675065016
94, 3228695, 737863, 697065, 691877, 732640, 184625, 184625, 2040891273
