sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
2, 934322, 100, 466145, 465878, 21, 1089, 1089, 3546321074
5, 932554, 91, 465171, 464936, 18, 1169, 1169, 1451547296
8, 932678, 151, 465128, 464920, 69, 1205, 1205, 766903664
11, 934203, 104, 465890, 465715, 28, 1233, 1233, 2601869505
10, 933294, 115, 465419, 465314, 46, 1200, 1200, 2339999749
4, 932911, 132, 465118, 464991, 48, 1311, 1311, 617796781
0, 933989, 150, 465827, 465695, 63, 1127, 1127, 395302702
6, 931970, 464682, 153, 65, 464494, 1288, 1288, 1797690049
3, 931990, 464802, 133, 50, 464621, 1192, 1192, 2847927391
7, 932952, 465052, 182, 72, 464932, 1357, 1357, 4123968598
9, 933970, 465745, 151, 64, 465642, 1184, 1184, 3746725032
1, 933371, 465268, 141, 62, 465170, 1365, 1365, 1053298362
14, 931854, 115, 464609, 464448, 32, 1325, 1325, 370352670
13, 932641, 464941, 117, 25, 464824, 1367, 1367, 1859907180
20, 932085, 127, 464771, 464639, 48, 1250, 1250, 1902793763
18, 932477, 108, 464886, 464752, 31, 1350, 1350, 151377849
12, 934148, 114, 465840, 465736, 36, 1211, 1211, 1681166649
15, 933644, 465613, 115, 28, 465440, 1224, 1224, 3234337808
22, 932801, 101, 465233, 465006, 27, 1217, 1217, 2108204348
21, 933768, 465577, 113, 20, 465488, 1285, 1285, 3301083029
19, 933560, 465584, 118, 35, 465363, 1230, 1230, 1982524974
16, 932656, 465092, 120, 30, 464958, 1228, 1228, 4261759212
17, 932790, 465212, 95, 15, 465114, 1177, 1177, 695803430
25, 932541, 113, 464861, 464664, 33, 1435, 1435, 2949048768
24, 933175, 465464, 129, 45, 465233, 1152, 1152, 257063974
28, 934195, 96, 465955, 465756, 18, 1185, 1185, 3219345724
23, 932875, 465210, 135, 44, 465052, 1217, 1217, 1539595240
27, 934636, 88, 466109, 465990, 15, 1217, 1217, 2118411761
30, 933853, 152, 465600, 465425, 78, 1299, 1299, 3238605550
31, 933950, 104, 465863, 465633, 26, 1162, 1162, 3197725314
29, 932466, 464744, 146, 65, 464555, 1478, 1478, 2824196435
26, 933661, 465643, 105, 35, 465520, 1179, 1179, 4201071444
32, 933872, 119, 465712, 465537, 42, 1231, 1231, 3527506373
33, 932610, 465170, 119, 30, 464981, 1155, 1155, 2869577961
34, 933186, 143, 465292, 465167, 56, 1264, 1264, 251562810
38, 934324, 115, 466142, 465955, 32, 1040, 1040, 498028079
35, 933708, 98, 465574, 465452, 30, 1277, 1277, 3371816809
40, 933178, 115, 465354, 465121, 26, 1281, 1281, 1658089560
36, 934035, 465645, 99, 18, 465539, 1367, 1367, 2832519684
39, 934152, 465914, 144, 63, 465779, 1126, 1126, 2626611167
37, 935074, 466319, 95, 21, 466221, 1209, 1209, 4126627157
41, 932732, 465136, 112, 22, 464992, 1235, 1235, 3541292970
43, 932226, 128, 464559, 464457, 28, 1527, 1527, 923909831
49, 932678, 129, 465082, 464878, 43, 1273, 1273, 4044293111
47, 933696, 465630, 87, 9, 465436, 1267, 1267, 2141461277
44, 932507, 465095, 128, 36, 464992, 1128, 1128, 1744398166
42, 932376, 464967, 121, 26, 464862, 1200, 1200, 4110028187
48, 932881, 465178, 127, 49, 465055, 1236, 1236, 4157470718
46, 933879, 465628, 174, 77, 465500, 1250, 1250, 3884157432
51, 932955, 108, 465183, 465025, 43, 1298, 1298, 1092968293
