sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 2054631, 419609, 412443, 345199, 351736, 262822, 262822
1, 2060283, 412755, 416879, 349537, 345520, 267796, 267796
2, 2062781, 419135, 413761, 347052, 352021, 265406, 265406
3, 2060137, 412437, 418938, 351109, 345911, 265871, 265871
4, 2057711, 407734, 420134, 352091, 341356, 268198, 268198
5, 2056235, 412827, 416186, 348627, 345619, 266488, 266488
6, 2058895, 416573, 413828, 346881, 349907, 265853, 265853
7, 2058406, 418086, 415027, 348424, 351163, 262853, 262853
8, 2058615, 415121, 414615, 347736, 347835, 266654, 266654
9, 2059000, 413638, 420222, 352473, 346555, 263056, 263056
10, 2058675, 415447, 417987, 350871, 347622, 263374, 263374
11, 2057483, 412236, 417963, 350650, 345250, 265692, 265692
12, 2060484, 414939, 417286, 349948, 348105, 265103, 265103
13, 2058199, 418099, 411536, 344803, 350799, 266481, 266481
14, 2058637, 409818, 418488, 350796, 343037, 268249, 268249
15, 2062659, 415361, 413488, 346367, 348417, 269513, 269513
16, 2060266, 414888, 419996, 352593, 348001, 262394, 262394
17, 2049238, 416314, 412466, 344946, 348128, 263692, 263692
18, 2057575, 416382, 412985, 346169, 348937, 266551, 266551
19, 2059557, 409868, 420541, 352977, 343625, 266273, 266273
20, 2061374, 416494, 414636, 347968, 349390, 266443, 266443
21, 2057293, 415998, 415762, 348534, 348867, 264066, 264066
22, 2059947, 412150, 417293, 349959, 344765, 267890, 267890
23, 2056070, 418255, 413192, 346198, 350383, 264021, 264021
24, 2062125, 419868, 411795, 345411, 352533, 266259, 266259
25, 2053389, 407257, 415136, 347522, 340170, 271652, 271652
26, 2057165, 415513, 418124, 351027, 348259, 262121, 262121
27, 2053268, 416541, 409855, 343208, 349216, 267224, 267224
28, 2062900, 418102, 413592, 347000, 351066, 266570, 266570
29, 2054798, 419356, 411862, 344467, 351531, 263791, 263791
30, 2060331, 410190, 420289, 352613, 343623, 266808, 266808
31, 2058502, 413786, 417581, 350673, 346924, 264769, 264769
32, 2056794, 417415, 414366, 347737, 349844, 263716, 263716
33, 2064813, 417798, 415515, 348889, 350537, 266037, 266037
34, 2058654, 417022, 414044, 347212, 349570, 265403, 265403
35, 2059839, 418524, 413605, 346176, 351566, 264984, 264984
36, 2055106, 414028, 415602, 348363, 346775, 265169, 265169
37, 2057223, 413065, 416123, 348912, 345939, 266592, 266592
38, 2061450, 414916, 416955, 349726, 348279, 265787, 265787
39, 2058376, 408533, 423041, 355339, 342069, 264697, 264697
40, 2058496, 413727, 417443, 350141, 347117, 265034, 265034
