sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
11, 605275, 120876, 119606, 111713, 112888, 70096, 70096, 794660723
9, 605155, 119361, 120756, 112820, 111454, 70382, 70382, 1342861871
0, 606067, 115563, 128441, 120197, 107878, 66994, 66994, 2620474242
2, 608102, 119335, 117927, 110120, 111534, 74593, 74593, 3609556554
1, 606702, 116960, 124693, 116814, 109025, 69605, 69605, 4001578004
8, 605482, 121628, 121285, 113202, 113661, 67853, 67853, 4142965876
5, 606653, 118564, 124771, 116784, 110546, 67994, 67994, 2885759873
6, 609350, 119113, 123534, 115575, 111442, 69843, 69843, 3062438187
4, 607019, 124747, 119702, 111856, 116756, 66979, 66979, 3244268925
3, 609868, 124008, 117988, 110403, 116175, 70647, 70647, 4030652371
10, 606831, 120281, 120174, 112384, 112454, 70769, 70769, 1459331275
7, 612642, 121920, 122570, 114906, 114092, 69577, 69577, 4202809546
12, 607876, 120149, 120414, 112496, 112345, 71236, 71236, 1852512581
15, 605499, 125409, 115371, 107558, 117271, 69945, 69945, 3780635196
13, 607399, 118812, 121262, 113447, 111196, 71341, 71341, 3396595610
14, 607736, 120764, 120258, 112347, 112911, 70728, 70728, 3499222169
17, 606123, 117358, 124760, 116819, 109550, 68818, 68818, 2449918760
16, 606206, 118900, 121985, 114081, 110886, 70177, 70177, 1933916531
18, 607773, 122493, 120971, 113131, 114430, 68374, 68374, 3893550079
20, 605705, 120441, 119706, 111834, 112390, 70667, 70667, 1102119038
21, 608273, 126946, 114295, 106612, 118780, 70820, 70820, 1207275972
22, 607129, 118241, 122289, 114319, 110562, 70859, 70859, 762713287
19, 603893, 123435, 118587, 110699, 115608, 67782, 67782, 1572047053
23, 603727, 118274, 122765, 114759, 110551, 68689, 68689, 335253985
25, 607893, 122450, 119227, 111465, 114625, 70063, 70063, 3077588396
24, 607377, 123572, 119702, 111867, 115828, 68204, 68204, 1040913708
26, 606550, 121108, 118702, 110901, 113303, 71268, 71268, 633507426
28, 608314, 122859, 119915, 112188, 114944, 69204, 69204, 1492733791
29, 607293, 121061, 120936, 113041, 113245, 69505, 69505, 2944006853
33, 608420, 119971, 125056, 117142, 112015, 67118, 67118, 1902515069
27, 606529, 122889, 118818, 111099, 115101, 69311, 69311, 1213942102
32, 604217, 120872, 120904, 113046, 112869, 68263, 68263, 2104352021
30, 605354, 116187, 124296, 116218, 108343, 70155, 70155, 1647608577
31, 607258, 124310, 119009, 111138, 116439, 68181, 68181, 2497905085
34, 607268, 114611, 124604, 116691, 106992, 72185, 72185, 3801465896
35, 607657, 122241, 117748, 110022, 113986, 71830, 71830, 2768462927
37, 608555, 116777, 123416, 115346, 108990, 72013, 72013, 182395792
36, 605874, 120213, 118471, 110877, 112359, 71977, 71977, 2009932065
38, 606945, 125387, 118543, 110694, 117409, 67456, 67456, 3831288808
43, 603332, 119606, 118659, 110705, 111590, 71386, 71386, 521336135
39, 609763, 114355, 123286, 115335, 106639, 75074, 75074, 616520683
40, 605390, 121343, 118494, 110633, 113442, 70739, 70739, 3288228292
41, 605224, 118202, 122196, 114303, 110455, 70034, 70034, 3300498813
42, 605740, 115908, 122596, 114767, 108247, 72111, 72111, 2276421432
44, 607136, 126260, 114961, 107351, 118068, 70248, 70248, 589776944
45, 606522, 118651, 123135, 115201, 110869, 69333, 69333, 3765112196
46, 605889, 116733, 127254, 119060, 109032, 66905, 66905, 538823778
47, 605729, 118918, 120673, 112672, 111058, 71204, 71204, 2843879250
48, 608363, 121736, 122350, 114467, 113920, 67945, 67945, 3873584305
49, 608737, 121730, 118792, 111052, 114045, 71559, 71559, 2278431635
