L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
40,0.13,0.50247059,0.25247721,0.06374526,0.96339133,-0.04260873,0.92892171,0.86583307,-2.28651612,5.22968369,27.38142676,0.02058811,0.00073289,0.00000113
40,0.131,0.50256224,0.25256934,0.06379181,0.96116236,-0.04458449,0.92471360,0.85831555,-2.27663561,5.18468566,26.91434288,0.02149508,0.00079239,0.00000132
40,0.132,0.50265973,0.25266735,0.06384134,0.95852291,-0.03867538,0.91975182,0.84951927,-2.26639268,5.13825945,26.43700024,0.02258767,0.00086449,0.00000156
40,0.133,0.50276222,0.25277042,0.06389346,0.95590973,-0.04313657,0.91486274,0.84093396,-2.25643926,5.09333666,25.97898093,0.02354270,0.00093237,0.00000181
40,0.134,0.50287106,0.25287989,0.06394883,0.95300997,-0.04480631,0.90945303,0.83148659,-2.24622089,5.04743816,25.51544337,0.02460962,0.00100973,0.00000211
40,0.135,0.50298336,0.25299286,0.06400599,0.95005436,-0.04953895,0.90396456,0.82198378,-2.23608134,5.00209894,25.06162747,0.02562357,0.00108637,0.00000245
40,0.136,0.50309977,0.25310999,0.06406528,0.94642759,-0.04645694,0.89726888,0.81050003,-2.22537583,4.95446874,24.58960900,0.02691864,0.00118342,0.00000288
40,0.137,0.50321900,0.25322998,0.06412605,0.94234837,-0.04020761,0.88977116,0.79774322,-2.21438135,4.90578009,24.11154215,0.02835026,0.00129261,0.00000340
40,0.138,0.50334510,0.25335693,0.06419038,0.93864440,-0.04884126,0.88300189,0.78636821,-2.20399465,4.86000912,23.66646928,0.02948060,0.00138776,0.00000392
40,0.139,0.50347834,0.25349109,0.06425839,0.93403355,-0.05041313,0.87470342,0.77268345,-2.19310784,4.81229267,23.20743429,0.03086215,0.00150496,0.00000458
40,0.14,0.50361756,0.25363131,0.06432952,0.92852684,-0.05053957,0.86492642,0.75693896,-2.18179464,4.76296171,22.73766742,0.03242724,0.00164047,0.00000541
40,0.141,0.50376494,0.25377979,0.06440487,0.92301241,-0.06122438,0.85534732,0.74192838,-2.17090554,4.71573505,22.29267922,0.03378171,0.00176852,0.00000631
40,0.142,0.50391910,0.25393515,0.06448377,0.91638563,-0.06166428,0.84384146,0.72394954,-2.15933629,4.66580941,21.82691572,0.03548926,0.00192422,0.00000741
40,0.143,0.50408236,0.25409974,0.06456740,0.90911273,-0.06174457,0.83111893,0.70420065,-2.14746940,4.61486151,21.35641801,0.03730880,0.00209429,0.00000867
40,0.144,0.50425245,0.25427126,0.06465462,0.89986995,-0.06294280,0.81566427,0.68124508,-2.13519239,4.56245402,20.87789393,0.03933979,0.00228955,0.00001023
40,0.145,0.50443190,0.25445228,0.06474673,0.88921864,-0.06423554,0.79818154,0.65616543,-2.12265563,4.50928681,20.39869410,0.04149958,0.00250815,0.00001212
40,0.146,0.50462494,0.25464709,0.06484592,0.87777075,-0.06908477,0.78033836,0.63177658,-2.11022898,4.45689170,19.93180922,0.04359286,0.00272990,0.00001420
40,0.147,0.50482731,0.25485140,0.06495003,0.86385657,-0.07742646,0.75875217,0.60294708,-2.09740970,4.40312534,19.45765357,0.04588105,0.00297250,0.00001660
40,0.148,0.50503880,0.25506499,0.06505897,0.84849808,-0.08126373,0.73574267,0.57342596,-2.08430455,4.34851597,18.98223168,0.04831410,0.00324329,0.00001943
40,0.149,0.50526053,0.25528903,0.06517334,0.83063802,-0.08459613,0.70940209,0.54052070,-2.07066131,4.29197026,18.49519819,0.05101591,0.00354533,0.00002267
40,0.15,0.50550202,0.25553315,0.06529807,0.80940928,-0.08300399,0.67904009,0.50422893,-2.05618861,4.23239776,17.98907339,0.05410067,0.00390332,0.00002665
40,0.151,0.50575293,0.25578691,0.06542785,0.78635295,-0.08684412,0.64769773,0.46839400,-2.04198255,4.17426424,17.50087006,0.05707550,0.00425447,0.00003074
40,0.152,0.50602064,0.25605780,0.06556653,0.76177256,-0.09462875,0.61526864,0.43330066,-2.02783467,4.11682862,17.02608125,0.05999954,0.00462218,0.00003542
40,0.153,0.50630203,0.25634270,0.06571256,0.73248687,-0.09759399,0.57751889,0.39384451,-2.01280038,4.05610662,16.52927238,0.06336845,0.00504199,0.00004064
40,0.154,0.50659986,0.25664440,0.06586736,0.70199128,-0.10015389,0.53972754,0.35566141,-1.99779060,3.99587555,16.04278330,0.06673816,0.00547206,0.00004624
40,0.155,0.50691339,0.25696221,0.06603063,0.67015845,-0.10623906,0.50096163,0.31799118,-1.98292409,3.93664760,15.57122832,0.07002916,0.00590721,0.00005211
40,0.156,0.50724728,0.25730087,0.06620484,0.63692195,-0.11129766,0.46269952,0.28295243,-1.96815524,3.87817030,15.11135892,0.07325233,0.00634056,0.00005807
40,0.157,0.50759553,0.25765435,0.06638693,0.60405538,-0.10786100,0.42424618,0.24795353,-1.95292561,3.81828401,14.64691247,0.07669682,0.00681652,0.00006472
