sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
0, 890295, 205993, 204260, 116667, 118557, 122409, 122409, 2946073937
11, 886029, 202969, 206812, 118051, 115875, 121161, 121161, 468842490
1, 888788, 204177, 206350, 118268, 116635, 121679, 121679, 1860318141
4, 885389, 203352, 205149, 117182, 116072, 121817, 121817, 835419814
3, 892312, 204362, 207517, 119429, 117360, 121822, 121822, 3476864548
7, 890395, 203825, 205263, 117539, 116774, 123497, 123497, 3144280580
12, 893957, 205348, 206605, 118897, 117563, 122772, 122772, 4213156880
8, 888041, 203800, 203525, 116271, 116353, 124046, 124046, 1866557775
5, 888019, 203896, 205885, 117682, 116252, 122152, 122152, 685367096
9, 886610, 204295, 204603, 117125, 116995, 121796, 121796, 1306191175
6, 888500, 203552, 205794, 117453, 116529, 122586, 122586, 617924228
13, 889985, 203459, 206230, 118082, 116366, 122924, 122924, 380781867
2, 890863, 205155, 205844, 118217, 116727, 122460, 122460, 3181865881
10, 894509, 205079, 206113, 118778, 117675, 123432, 123432, 3829546757
14, 892916, 205951, 204326, 116731, 118136, 123886, 123886, 3195764307
16, 887671, 204609, 204090, 116708, 116914, 122675, 122675, 1050882008
20, 893046, 205658, 205705, 117509, 117708, 123233, 123233, 2809593450
15, 890847, 204199, 205066, 117575, 116897, 123555, 123555, 2495933916
21, 888262, 205563, 205111, 117017, 118151, 121210, 121210, 1802232331
18, 892276, 202029, 208488, 120544, 115515, 122850, 122850, 3924441936
22, 886957, 203212, 205378, 118295, 115664, 122204, 122204, 3217574977
17, 893718, 205010, 205687, 118355, 117680, 123493, 123493, 3248327860
19, 887866, 202897, 204683, 117602, 116290, 123197, 123197, 1844125188
25, 890780, 205852, 203612, 116730, 118488, 123049, 123049, 153945158
23, 889359, 205273, 204054, 116247, 117541, 123122, 123122, 1398802479
24, 890893, 203700, 206553, 117831, 116699, 123055, 123055, 414055840
26, 887384, 205116, 203090, 115754, 117068, 123178, 123178, 1883901470
27, 892195, 206556, 205113, 117478, 118546, 122251, 122251, 1437224998
29, 886934, 205944, 202846, 115662, 117832, 122325, 122325, 3454668777
28, 886593, 205722, 203466, 115824, 118187, 121697, 121697, 1042969147
31, 888632, 203623, 204846, 117672, 115873, 123309, 123309, 2283947290
30, 884866, 206444, 201645, 114303, 117868, 122303, 122303, 2239938966
35, 889991, 205944, 204210, 116329, 118356, 122576, 122576, 3141025285
32, 889743, 204412, 206163, 118528, 116298, 122171, 122171, 2438023112
33, 886790, 203993, 204649, 116682, 116020, 122723, 122723, 1720727939
34, 888655, 204697, 205213, 117439, 116692, 122307, 122307, 2181719460
36, 886155, 205886, 203415, 115512, 117800, 121771, 121771, 1015595482
37, 888547, 204843, 204212, 116212, 117228, 123026, 123026, 258040397
39, 892165, 202919, 207893, 119642, 116121, 122795, 122795, 3660304584
40, 888506, 206120, 202287, 115222, 118085, 123396, 123396, 114142713
38, 886225, 205036, 201983, 115145, 116849, 123606, 123606, 1519877958
41, 888819, 204301, 206908, 119178, 116376, 121028, 121028, 2151149858
42, 884609, 207213, 201887, 114774, 118349, 121193, 121193, 2752766198
43, 887833, 203116, 206753, 118292, 116050, 121811, 121811, 2277476247
44, 886545, 203437, 204058, 116638, 115842, 123285, 123285, 3006865265
45, 888097, 205996, 203222, 116241, 117914, 122362, 122362, 2246416870
46, 887509, 204753, 204034, 116376, 116880, 122733, 122733, 3618734844
48, 888579, 205455, 204253, 117413, 117160, 122149, 122149, 1381206945
49, 890563, 204466, 207285, 118637, 116995, 121590, 121590, 2356441152
47, 892919, 204081, 206192, 118258, 117440, 123474, 123474, 3770482805
51, 891934, 203933, 207392, 119367, 116552, 122345, 122345, 2819998813
50, 890063, 204640, 204436, 117022, 117193, 123386, 123386, 2926423532
54, 894384, 204390, 207059, 119896, 117835, 122602, 122602, 2348043091
53, 888161, 205807, 203974, 116814, 117398, 122084, 122084, 2960872366
52, 889311, 204101, 204689, 117170, 116919, 123216, 123216, 878072506
55, 889791, 205089, 204237, 117094, 117155, 123108, 123108, 1226203644
56, 888477, 205766, 203224, 116113, 118064, 122655, 122655, 4151689769
57, 891753, 204800, 206204, 118526, 116817, 122703, 122703, 440653942
59, 893538, 209138, 202898, 116240, 120770, 122246, 122246, 2273290153
58, 892842, 205533, 206140, 118235, 118180, 122377, 122377, 616800451
61, 892272, 205440, 204186, 116595, 118331, 123860, 123860, 3741316808
60, 886481, 207774, 199901, 113011, 119105, 123345, 123345, 3431817914
62, 885692, 204010, 204533, 117059, 116146, 121972, 121972, 377087183
63, 894099, 208791, 202757, 115874, 120087, 123295, 123295, 99071493
64, 889851, 203644, 206350, 118066, 117117, 122337, 122337, 4214211828
65, 889349, 204579, 204270, 116319, 116833, 123674, 123674, 1164899659
67, 886770, 204493, 205338, 117248, 116919, 121386, 121386, 606874932
66, 889841, 204932, 205818, 118267, 117678, 121573, 121573, 765195160
69, 887278, 207420, 201916, 114854, 118640, 122224, 122224, 3343792908
68, 889670, 202467, 207397, 119154, 115814, 122419, 122419, 1319853962
70, 887257, 204494, 204544, 116696, 116837, 122343, 122343, 826971488
71, 890081, 203318, 205869, 117749, 116197, 123474, 123474, 3119966489
72, 887864, 202841, 206263, 118184, 115822, 122377, 122377, 1593125871
73, 889839, 205726, 206100, 117647, 117826, 121270, 121270, 3448183893
74, 890533, 203334, 205966, 118199, 116154, 123440, 123440, 655877113
75, 889988, 204426, 205646, 117524, 116880, 122756, 122756, 820906102
76, 889171, 203854, 206112, 118404, 116591, 122105, 122105, 2968845608
77, 889702, 204586, 203100, 116081, 116901, 124517, 124517, 1894683658
78, 893193, 207344, 204040, 117311, 119164, 122667, 122667, 3840297466
79, 890848, 204044, 206186, 118208, 116992, 122709, 122709, 3911811442
80, 890290, 205511, 204553, 116701, 117661, 122932, 122932, 1512353477
81, 888020, 201442, 206715, 118413, 114372, 123539, 123539, 3248042438
82, 890273, 206675, 203742, 116766, 118412, 122339, 122339, 384554345
83, 889556, 202789, 206045, 118270, 115542, 123455, 123455, 1730402418
84, 889655, 204617, 203803, 116479, 117106, 123825, 123825, 2095074538
85, 891739, 206308, 204361, 117047, 118403, 122810, 122810, 4098584911
86, 887935, 203280, 204280, 116948, 116149, 123639, 123639, 2235788178
88, 891616, 205890, 204949, 117664, 117973, 122570, 122570, 2516232539
89, 891291, 205547, 203690, 117096, 117910, 123524, 123524, 2608197736
87, 888248, 202609, 205865, 118121, 115591, 123031, 123031, 3565814154
90, 887883, 202792, 206979, 118384, 115486, 122121, 122121, 845714938
91, 888473, 205671, 203754, 116951, 117363, 122367, 122367, 12972000
92, 888760, 205769, 203218, 115820, 117853, 123050, 123050, 2072132584
93, 889711, 206025, 201763, 115428, 118391, 124052, 124052, 1674143285
95, 882684, 202309, 205042, 116415, 115584, 121667, 121667, 1550005710
94, 889467, 205209, 202897, 115914, 117345, 124051, 124051, 1753136283
96, 888150, 204275, 204025, 115866, 117024, 123480, 123480, 125842638
97, 888443, 202662, 205522, 117976, 115529, 123377, 123377, 736324603
98, 887358, 203587, 205070, 117217, 115962, 122761, 122761, 3021480199
99, 887064, 204770, 203561, 116136, 116875, 122861, 122861, 1559001507
100, 888700, 204673, 204289, 117309, 117223, 122603, 122603, 1610146905
102, 893399, 205113, 205595, 117794, 118009, 123444, 123444, 1680866070
101, 888400, 206237, 202775, 115978, 117602, 122904, 122904, 2282112678
104, 890549, 204572, 206140, 118116, 116797, 122462, 122462, 2553626060
103, 889924, 205883, 204031, 116314, 118362, 122667, 122667, 2395849602
105, 886536, 205844, 202918, 115799, 117755, 122110, 122110, 3139010305
106, 890863, 203929, 206454, 118677, 116223, 122790, 122790, 2906540010
108, 887886, 206015, 203629, 116231, 117777, 122117, 122117, 4202377686
107, 890894, 203173, 206899, 118677, 115901, 123122, 123122, 3973065641
109, 888198, 205235, 204670, 116979, 117330, 121992, 121992, 3022705354
111, 888208, 203494, 206023, 117994, 115531, 122583, 122583, 1020082874
110, 888354, 206605, 203436, 115772, 118315, 122113, 122113, 3422651500
112, 888450, 206686, 203532, 116286, 118858, 121544, 121544, 3187393959
113, 886780, 202941, 205148, 117911, 115884, 122448, 122448, 1188230809
114, 891230, 203593, 206449, 118620, 116134, 123217, 123217, 2477584158
115, 890718, 205173, 205157, 117836, 117508, 122522, 122522, 3182204269
118, 890378, 204843, 204281, 116776, 117090, 123694, 123694, 2918018385
116, 891896, 204615, 204634, 117038, 116975, 124317, 124317, 1582773884
117, 889038, 204636, 204417, 116531, 117256, 123099, 123099, 1139503369
120, 891547, 203263, 207704, 119985, 115975, 122310, 122310, 198730590
119, 891382, 206379, 205073, 118149, 118035, 121873, 121873, 4152838253
122, 884577, 201317, 204809, 117209, 114074, 123584, 123584, 1635503235
121, 887882, 204646, 204378, 116362, 116614, 122941, 122941, 2046302294
123, 891071, 205475, 204950, 116645, 117795, 123103, 123103, 426591974
