cluster_size,total_clusters_of_this_size,n_s
1,121457210398,1.2145721040e-02
2,10948454199,1.0948454199e-03
3,6398518397,6.3985183970e-04
4,4258116196,4.2581161960e-04
5,3387960976,3.3879609760e-04
6,2580134034,2.5801340340e-04
7,2023834510,2.0238345100e-04
8,1725305406,1.7253054060e-04
9,1457296069,1.4572960690e-04
10,1248560722,1.2485607220e-04
11,1103257411,1.1032574110e-04
12,972765983,9.7276598300e-05
13,868849131,8.6884913100e-05
14,783737783,7.8373778300e-05
15,709320219,7.0932021900e-05
16,646952179,6.4695217900e-05
17,592778312,5.9277831200e-05
18,545344425,5.4534442500e-05
19,503981199,5.0398119900e-05
20,467291893,4.6729189300e-05
21,434688361,4.3468836100e-05
22,405601333,4.0560133300e-05
23,379431105,3.7943110500e-05
24,355870291,3.5587029100e-05
25,334487857,3.3448785700e-05
26,315126347,3.1512634700e-05
27,297431649,2.9743164900e-05
28,281248685,2.8124868500e-05
29,266470094,2.6647009400e-05
30,252802569,2.5280256900e-05
31,240234585,2.4023458500e-05
32,228658004,2.2865800400e-05
33,217874114,2.1787411400e-05
34,207931947,2.0793194700e-05
35,198648578,1.9864857800e-05
36,189979437,1.8997943700e-05
37,181927882,1.8192788200e-05
38,174378599,1.7437859900e-05
39,167320389,1.6732038900e-05
40,160681579,1.6068157900e-05
41,154468215,1.5446821500e-05
42,148621262,1.4862126200e-05
43,143131591,1.4313159100e-05
44,137919294,1.3791929400e-05
45,132998321,1.3299832100e-05
46,128353046,1.2835304600e-05
47,123985572,1.2398557200e-05
48,119795280,1.1979528000e-05
49,115851162,1.1585116200e-05
50,112132358,1.1213235800e-05
51,108552018,1.0855201800e-05
52,105173888,1.0517388800e-05
53,101941977,1.0194197700e-05
54,98869088,9.8869088000e-06
55,95951421,9.5951421000e-06
56,93139503,9.3139503000e-06
57,90487572,9.0487572000e-06
58,87921297,8.7921297000e-06
59,85479709,8.5479709000e-06
60,83148000,8.3148000000e-06
61,80916866,8.0916866000e-06
62,78765084,7.8765084000e-06
63,76713134,7.6713134000e-06
64,74739799,7.4739799000e-06
65,72836246,7.2836246000e-06
66,71025638,7.1025638000e-06
67,69257284,6.9257284000e-06
68,67612256,6.7612256000e-06
69,65950306,6.5950306000e-06
70,64401474,6.4401474000e-06
71,62899917,6.2899917000e-06
72,61442489,6.1442489000e-06
73,60053905,6.0053905000e-06
74,58703492,5.8703492000e-06
75,57392927,5.7392927000e-06
76,56132254,5.6132254000e-06
77,54931494,5.4931494000e-06
78,53746243,5.3746243000e-06
79,52610573,5.2610573000e-06
80,51519545,5.1519545000e-06
81,50447696,5.0447696000e-06
82,49431241,4.9431241000e-06
83,48443156,4.8443156000e-06
84,47453518,4.7453518000e-06
85,46533586,4.6533586000e-06
86,45620650,4.5620650000e-06
87,44750576,4.4750576000e-06
88,43900447,4.3900447000e-06
89,43067281,4.3067281000e-06
90,42256027,4.2256027000e-06
91,41487134,4.1487134000e-06
92,40714267,4.0714267000e-06
93,39988888,3.9988888000e-06
94,39267561,3.9267561000e-06
95,38563275,3.8563275000e-06
96,37899226,3.7899226000e-06
97,37247529,3.7247529000e-06
98,36605193,3.6605193000e-06
99,35974382,3.5974382000e-06
100,35366339,3.5366339000e-06
101,34783804,3.4783804000e-06
102,34197425,3.4197425000e-06
103,33638959,3.3638959000e-06
104,33090244,3.3090244000e-06
105,32583076,3.2583076000e-06
106,32046039,3.2046039000e-06
107,31543426,3.1543426000e-06
108,31052298,3.1052298000e-06
109,30568062,3.0568062000e-06
110,30095118,3.0095118000e-06
111,29646954,2.9646954000e-06
112,29177363,2.9177363000e-06
113,28750098,2.8750098000e-06
114,28323204,2.8323204000e-06
115,27895302,2.7895302000e-06
116,27498038,2.7498038000e-06
117,27095054,2.7095054000e-06
118,26707070,2.6707070000e-06
119,26320971,2.6320971000e-06
120,25956388,2.5956388000e-06
121,25588625,2.5588625000e-06
122,25227533,2.5227533000e-06
123,24882003,2.4882003000e-06
124,24538253,2.4538253000e-06
125,24209845,2.4209845000e-06
126,23886160,2.3886160000e-06
127,23568843,2.3568843000e-06
128,23254365,2.3254365000e-06
129,22944827,2.2944827000e-06
130,22646121,2.2646121000e-06
131,22351183,2.2351183000e-06
