cluster_size,total_clusters_of_this_size,n_s
1,228979189409,2.2897918941e-02
2,28542339222,2.8542339222e-03
3,18915913435,1.8915913435e-03
4,13296242137,1.3296242137e-03
5,10944620380,1.0944620380e-03
6,8596798633,8.5967986330e-04
7,7023833355,7.0238333550e-04
8,6100332699,6.1003326990e-04
9,5252318885,5.2523188850e-04
10,4591213552,4.5912135520e-04
11,4099067664,4.0990676640e-04
12,3658914587,3.6589145870e-04
13,3298800683,3.2988006830e-04
14,2995576675,2.9955766750e-04
15,2728557543,2.7285575430e-04
16,2499745227,2.4997452270e-04
17,2298035886,2.2980358860e-04
18,2119502844,2.1195028440e-04
19,1961340141,1.9613401410e-04
20,1819684754,1.8196847540e-04
21,1692592484,1.6925924840e-04
22,1577864347,1.5778643470e-04
23,1473890093,1.4738900930e-04
24,1379461045,1.3794610450e-04
25,1293287448,1.2932874480e-04
26,1214560467,1.2145604670e-04
27,1142262924,1.1422629240e-04
28,1075851410,1.0758514100e-04
29,1014564262,1.0145642620e-04
30,958055562,9.5805556200e-05
31,905634385,9.0563438500e-05
32,857071592,8.5707159200e-05
33,811960629,8.1196062900e-05
34,769921013,7.6992101300e-05
35,730816428,7.3081642800e-05
36,694240410,6.9424041000e-05
37,660041438,6.6004143800e-05
38,628047679,6.2804767900e-05
39,598042345,5.9804234500e-05
40,569849567,5.6984956700e-05
41,543414773,5.4341477300e-05
42,518463071,5.1846307100e-05
43,495083355,4.9508335500e-05
44,472925901,4.7292590100e-05
45,452090941,4.5209094100e-05
46,432356171,4.3235617100e-05
47,413726381,4.1372638100e-05
48,396099909,3.9609990900e-05
49,379382643,3.7938264300e-05
50,363518620,3.6351862000e-05
51,348555700,3.4855570000e-05
52,334246077,3.3424607700e-05
53,320724523,3.2072452300e-05
54,307837196,3.0783719600e-05
55,295624547,2.9562454700e-05
56,283984656,2.8398465600e-05
57,272869946,2.7286994600e-05
58,262327489,2.6232748900e-05
59,252265984,2.5226598400e-05
60,242647158,2.4264715800e-05
61,233497534,2.3349753400e-05
62,224725047,2.2472504700e-05
63,216354483,2.1635448300e-05
64,208370095,2.0837009500e-05
65,200739469,2.0073946900e-05
66,193436514,1.9343651400e-05
67,186417179,1.8641717900e-05
68,179749439,1.7974943900e-05
69,173342117,1.7334211700e-05
70,167170609,1.6717060900e-05
71,161292123,1.6129212300e-05
72,155647384,1.5564738400e-05
73,150234524,1.5023452400e-05
74,145030740,1.4503074000e-05
75,140060888,1.4006088800e-05
76,135254032,1.3525403200e-05
77,130670163,1.3067016300e-05
78,126249506,1.2624950600e-05
79,121981700,1.2198170000e-05
80,117891452,1.1789145200e-05
81,113999865,1.1399986500e-05
82,110200411,1.1020041100e-05
83,106586628,1.0658662800e-05
84,103094931,1.0309493100e-05
85,99731299,9.9731299000e-06
86,96484945,9.6484945000e-06
87,93361426,9.3361426000e-06
88,90366813,9.0366813000e-06
89,87470988,8.7470988000e-06
90,84679598,8.4679598000e-06
91,81989952,8.1989952000e-06
92,79403397,7.9403397000e-06
93,76915669,7.6915669000e-06
94,74502927,7.4502927000e-06
95,72163848,7.2163848000e-06
96,69917012,6.9917012000e-06
97,67751619,6.7751619000e-06
98,65677417,6.5677417000e-06
99,63631670,6.3631670000e-06
100,61696605,6.1696605000e-06
101,59821327,5.9821327000e-06
102,57979102,5.7979102000e-06
103,56228740,5.6228740000e-06
104,54529266,5.4529266000e-06
105,52894401,5.2894401000e-06
106,51301332,5.1301332000e-06
107,49775196,4.9775196000e-06
108,48281107,4.8281107000e-06
109,46853334,4.6853334000e-06
110,45464346,4.5464346000e-06
111,44134774,4.4134774000e-06
112,42832627,4.2832627000e-06
113,41582711,4.1582711000e-06
114,40345446,4.0345446000e-06
115,39186912,3.9186912000e-06
116,38045970,3.8045970000e-06
117,36944376,3.6944376000e-06
118,35864733,3.5864733000e-06
119,34842128,3.4842128000e-06
120,33819186,3.3819186000e-06
121,32870683,3.2870683000e-06
122,31928921,3.1928921000e-06
123,31005727,3.1005727000e-06
124,30126440,3.0126440000e-06
125,29274826,2.9274826000e-06
126,28443521,2.8443521000e-06
127,27644061,2.7644061000e-06
128,26861014,2.6861014000e-06
129,26121145,2.6121145000e-06
130,25382283,2.5382283000e-06
131,24671571,2.4671571000e-06
132,23984472,2.3984472000e-06
133,23312187,2.3312187000e-06
134,22657159,2.2657159000e-06
135,22038981,2.2038981000e-06
136,21424500,2.1424500000e-06
137,20837694,2.0837694000e-06
138,20262956,2.0262956000e-06
139,19708299,1.9708299000e-06
140,19164375,1.9164375000e-06
141,18640305,1.8640305000e-06
142,18132819,1.8132819000e-06
143,17638930,1.7638930000e-06
144,17155955,1.7155955000e-06
145,16694184,1.6694184000e-06
146,16241889,1.6241889000e-06
147,15803001,1.5803001000e-06
148,15377036,1.5377036000e-06
149,14965504,1.4965504000e-06
150,14562793,1.4562793000e-06
151,14166760,1.4166760000e-06
152,13793414,1.3793414000e-06
153,13425085,1.3425085000e-06
154,13062193,1.3062193000e-06
155,12706221,1.2706221000e-06
156,12387458,1.2387458000e-06
157,12053527,1.2053527000e-06
158,11731281,1.1731281000e-06
159,11423919,1.1423919000e-06
160,11116399,1.1116399000e-06
161,10825140,1.0825140000e-06
162,10539385,1.0539385000e-06
163,10266126,1.0266126000e-06
164,9993046,9.9930460000e-07
165,9735830,9.7358300000e-07
166,9482448,9.4824480000e-07
167,9230838,9.2308380000e-07
168,8989408,8.9894080000e-07
169,8759295,8.7592950000e-07
170,8529801,8.5298010000e-07
171,8305322,8.3053220000e-07
172,8098091,8.0980910000e-07
173,7888456,7.8884560000e-07
174,7678514,7.6785140000e-07
175,7481484,7.4814840000e-07
176,7287866,7.2878660000e-07
177,7102648,7.1026480000e-07
178,6921249,6.9212490000e-07
179,6742250,6.7422500000e-07
180,6572426,6.5724260000e-07
181,6404589,6.4045890000e-07
182,6239573,6.2395730000e-07
183,6079496,6.0794960000e-07
184,5924476,5.9244760000e-07
185,5774781,5.7747810000e-07
186,5631589,5.6315890000e-07
187,5487767,5.4877670000e-07
188,5350775,5.3507750000e-07
189,5211703,5.2117030000e-07
190,5077861,5.0778610000e-07
191,4950429,4.9504290000e-07
192,4827738,4.8277380000e-07
193,4703948,4.7039480000e-07
194,4583099,4.5830990000e-07
195,4467484,4.4674840000e-07
196,4359744,4.3597440000e-07
197,4244763,4.2447630000e-07
198,4142461,4.1424610000e-07
199,4038530,4.0385300000e-07
200,3936622,3.9366220000e-07
201,3838891,3.8388910000e-07
202,3742367,3.7423670000e-07
