cluster_size,total_clusters_of_this_size,n_s
206,41058,4.1058000000e-09
207,40775,4.0775000000e-09
208,39202,3.9202000000e-09
209,38720,3.8720000000e-09
210,37924,3.7924000000e-09
211,37005,3.7005000000e-09
212,36566,3.6566000000e-09
213,35836,3.5836000000e-09
214,35013,3.5013000000e-09
215,34886,3.4886000000e-09
216,33678,3.3678000000e-09
217,33101,3.3101000000e-09
218,32522,3.2522000000e-09
219,31861,3.1861000000e-09
220,31059,3.1059000000e-09
221,30667,3.0667000000e-09
222,29926,2.9926000000e-09
223,29293,2.9293000000e-09
224,29184,2.9184000000e-09
225,28592,2.8592000000e-09
226,27881,2.7881000000e-09
227,27594,2.7594000000e-09
228,26898,2.6898000000e-09
229,26731,2.6731000000e-09
230,25950,2.5950000000e-09
231,25310,2.5310000000e-09
232,25083,2.5083000000e-09
233,24725,2.4725000000e-09
234,24020,2.4020000000e-09
235,23740,2.3740000000e-09
236,23509,2.3509000000e-09
237,22627,2.2627000000e-09
238,22478,2.2478000000e-09
239,22263,2.2263000000e-09
240,21551,2.1551000000e-09
241,21314,2.1314000000e-09
242,20816,2.0816000000e-09
243,20266,2.0266000000e-09
244,20084,2.0084000000e-09
245,19809,1.9809000000e-09
246,19698,1.9698000000e-09
247,19372,1.9372000000e-09
248,18905,1.8905000000e-09
249,18587,1.8587000000e-09
250,18166,1.8166000000e-09
251,17651,1.7651000000e-09
252,17505,1.7505000000e-09
253,17340,1.7340000000e-09
254,17206,1.7206000000e-09
255,16550,1.6550000000e-09
256,16430,1.6430000000e-09
257,16298,1.6298000000e-09
258,15938,1.5938000000e-09
259,15740,1.5740000000e-09
260,15308,1.5308000000e-09
261,15148,1.5148000000e-09
262,14755,1.4755000000e-09
263,14692,1.4692000000e-09
264,14468,1.4468000000e-09
265,14074,1.4074000000e-09
266,13951,1.3951000000e-09
267,13713,1.3713000000e-09
268,13563,1.3563000000e-09
269,13223,1.3223000000e-09
270,12854,1.2854000000e-09
271,12832,1.2832000000e-09
272,12742,1.2742000000e-09
273,12569,1.2569000000e-09
274,12206,1.2206000000e-09
275,12160,1.2160000000e-09
276,12040,1.2040000000e-09
277,11453,1.1453000000e-09
278,11473,1.1473000000e-09
279,11281,1.1281000000e-09
280,11078,1.1078000000e-09
281,11098,1.1098000000e-09
282,10844,1.0844000000e-09
283,10581,1.0581000000e-09
284,10312,1.0312000000e-09
285,10428,1.0428000000e-09
286,10212,1.0212000000e-09
287,10122,1.0122000000e-09
288,9862,9.8620000000e-10
289,9640,9.6400000000e-10
290,9635,9.6350000000e-10
291,9467,9.4670000000e-10
292,9031,9.0310000000e-10
293,8922,8.9220000000e-10
294,8846,8.8460000000e-10
295,8706,8.7060000000e-10
296,8602,8.6020000000e-10
297,8599,8.5990000000e-10
298,8313,8.3130000000e-10
299,8068,8.0680000000e-10
300,8060,8.0600000000e-10
301,8050,8.0500000000e-10
302,8080,8.0800000000e-10
303,7719,7.7190000000e-10
304,7551,7.5510000000e-10
305,7504,7.5040000000e-10
306,7498,7.4980000000e-10
307,7337,7.3370000000e-10
308,7235,7.2350000000e-10
309,7071,7.0710000000e-10
310,7020,7.0200000000e-10
311,6838,6.8380000000e-10
312,6845,6.8450000000e-10
313,6732,6.7320000000e-10
314,6757,6.7570000000e-10
315,6584,6.5840000000e-10
316,6344,6.3440000000e-10
317,6236,6.2360000000e-10
318,6274,6.2740000000e-10
319,6029,6.0290000000e-10
320,6141,6.1410000000e-10
321,6014,6.0140000000e-10
322,5811,5.8110000000e-10
323,5663,5.6630000000e-10
324,5465,5.4650000000e-10
325,5755,5.7550000000e-10
326,5545,5.5450000000e-10
327,5527,5.5270000000e-10
328,5376,5.3760000000e-10
329,5432,5.4320000000e-10
330,5203,5.2030000000e-10
331,5262,5.2620000000e-10
332,5060,5.0600000000e-10
333,5023,5.0230000000e-10
334,4931,4.9310000000e-10
335,5030,5.0300000000e-10
336,4944,4.9440000000e-10
337,4793,4.7930000000e-10
338,4716,4.7160000000e-10
339,4591,4.5910000000e-10
340,4500,4.5000000000e-10
341,4504,4.5040000000e-10
342,4460,4.4600000000e-10
343,4283,4.2830000000e-10
344,4287,4.2870000000e-10
345,4306,4.3060000000e-10
346,4158,4.1580000000e-10
347,4131,4.1310000000e-10
348,4104,4.1040000000e-10
349,3901,3.9010000000e-10
350,4046,4.0460000000e-10
351,3966,3.9660000000e-10
352,3744,3.7440000000e-10
353,3732,3.7320000000e-10
354,3853,3.8530000000e-10
355,3706,3.7060000000e-10
356,3782,3.7820000000e-10
357,3746,3.7460000000e-10
358,3552,3.5520000000e-10
359,3513,3.5130000000e-10
360,3552,3.5520000000e-10
361,3456,3.4560000000e-10
362,3360,3.3600000000e-10
363,3338,3.3380000000e-10
364,3360,3.3600000000e-10
365,3200,3.2000000000e-10
366,3156,3.1560000000e-10
367,3190,3.1900000000e-10
368,3026,3.0260000000e-10
369,3017,3.0170000000e-10
370,3017,3.0170000000e-10
371,2930,2.9300000000e-10
372,2808,2.8080000000e-10
373,2946,2.9460000000e-10
374,2971,2.9710000000e-10
375,2973,2.9730000000e-10
376,2728,2.7280000000e-10
377,2813,2.8130000000e-10
378,2699,2.6990000000e-10
379,2668,2.6680000000e-10
380,2624,2.6240000000e-10
381,2702,2.7020000000e-10
382,2598,2.5980000000e-10
383,2548,2.5480000000e-10
384,2510,2.5100000000e-10
385,2592,2.5920000000e-10
386,2509,2.5090000000e-10
387,2486,2.4860000000e-10
388,2408,2.4080000000e-10
389,2375,2.3750000000e-10
390,2392,2.3920000000e-10
391,2338,2.3380000000e-10
392,2252,2.2520000000e-10
393,2303,2.3030000000e-10
394,2216,2.2160000000e-10
395,2233,2.2330000000e-10
396,2202,2.2020000000e-10
397,2302,2.3020000000e-10
398,2118,2.1180000000e-10
399,2145,2.1450000000e-10
400,2015,2.0150000000e-10
401,2051,2.0510000000e-10
402,2057,2.0570000000e-10
403,1978,1.9780000000e-10
404,1960,1.9600000000e-10
405,1913,1.9130000000e-10
406,2001,2.0010000000e-10
407,1892,1.8920000000e-10
408,1863,1.8630000000e-10
409,1888,1.8880000000e-10
410,1929,1.9290000000e-10
411,1750,1.7500000000e-10
412,1855,1.8550000000e-10
413,1802,1.8020000000e-10
414,1778,1.7780000000e-10
415,1784,1.7840000000e-10
416,1703,1.7030000000e-10
417,1722,1.7220000000e-10
418,1725,1.7250000000e-10
419,1653,1.6530000000e-10
420,1631,1.6310000000e-10
421,1623,1.6230000000e-10
422,1575,1.5750000000e-10
423,1611,1.6110000000e-10
424,1570,1.5700000000e-10
425,1533,1.5330000000e-10
426,1528,1.5280000000e-10
427,1449,1.4490000000e-10
428,1510,1.5100000000e-10
429,1508,1.5080000000e-10
430,1493,1.4930000000e-10
431,1424,1.4240000000e-10
432,1425,1.4250000000e-10
433,1416,1.4160000000e-10
434,1461,1.4610000000e-10
435,1389,1.3890000000e-10
436,1380,1.3800000000e-10
437,1354,1.3540000000e-10
438,1347,1.3470000000e-10
439,1332,1.3320000000e-10
440,1323,1.3230000000e-10
441,1215,1.2150000000e-10
442,1324,1.3240000000e-10
443,1245,1.2450000000e-10
444,1218,1.2180000000e-10
445,1258,1.2580000000e-10
446,1178,1.1780000000e-10
447,1163,1.1630000000e-10
448,1181,1.1810000000e-10
449,1216,1.2160000000e-10
450,1150,1.1500000000e-10
451,1164,1.1640000000e-10
452,1115,1.1150000000e-10
453,1088,1.0880000000e-10
454,1096,1.0960000000e-10
455,1095,1.0950000000e-10
456,1137,1.1370000000e-10
457,1054,1.0540000000e-10
458,1016,1.0160000000e-10
459,1064,1.0640000000e-10
460,1072,1.0720000000e-10
461,1039,1.0390000000e-10
462,1034,1.0340000000e-10
463,1012,1.0120000000e-10
464,994,9.9400000000e-11
465,981,9.8100000000e-11
466,972,9.7200000000e-11
467,923,9.2300000000e-11
468,929,9.2900000000e-11
469,893,8.9300000000e-11
470,934,9.3400000000e-11
471,903,9.0300000000e-11
472,928,9.2800000000e-11
473,857,8.5700000000e-11
474,831,8.3100000000e-11
