cluster_size,total_clusters_of_this_size,n_s
1,22190801774,2.2190801774e-03
2,830035036,8.3003503600e-05
3,301641010,3.0164101000e-05
4,164745350,1.6474535000e-05
5,109094408,1.0909440800e-05
6,68918084,6.8918084000e-06
7,43796973,4.3796973000e-06
8,32641679,3.2641679000e-06
9,23563384,2.3563384000e-06
10,17276694,1.7276694000e-06
11,13509875,1.3509875000e-06
12,10436625,1.0436625000e-06
13,8225059,8.2250590000e-07
14,6624567,6.6245670000e-07
15,5338879,5.3388790000e-07
16,4376575,4.3765750000e-07
17,3608002,3.6080020000e-07
18,2991477,2.9914770000e-07
19,2504857,2.5048570000e-07
20,2107541,2.1075410000e-07
21,1784432,1.7844320000e-07
22,1519156,1.5191560000e-07
23,1300306,1.3003060000e-07
24,1116141,1.1161410000e-07
25,962534,9.6253400000e-08
26,835031,8.3503100000e-08
27,724220,7.2422000000e-08
28,631772,6.3177200000e-08
29,551384,5.5138400000e-08
30,485583,4.8558300000e-08
31,427233,4.2723300000e-08
32,377930,3.7793000000e-08
33,333746,3.3374600000e-08
34,296106,2.9610600000e-08
35,262555,2.6255500000e-08
36,234817,2.3481700000e-08
37,209035,2.0903500000e-08
38,186530,1.8653000000e-08
39,167437,1.6743700000e-08
40,150241,1.5024100000e-08
41,135195,1.3519500000e-08
42,122197,1.2219700000e-08
43,109506,1.0950600000e-08
44,99673,9.9673000000e-09
45,89836,8.9836000000e-09
46,80990,8.0990000000e-09
47,74129,7.4129000000e-09
48,66901,6.6901000000e-09
49,61562,6.1562000000e-09
50,55668,5.5668000000e-09
51,50490,5.0490000000e-09
52,46484,4.6484000000e-09
53,42451,4.2451000000e-09
54,39064,3.9064000000e-09
55,35601,3.5601000000e-09
56,32649,3.2649000000e-09
57,29879,2.9879000000e-09
58,27783,2.7783000000e-09
59,25310,2.5310000000e-09
60,23452,2.3452000000e-09
61,21657,2.1657000000e-09
62,19682,1.9682000000e-09
63,18367,1.8367000000e-09
64,17267,1.7267000000e-09
65,15805,1.5805000000e-09
66,14835,1.4835000000e-09
67,13505,1.3505000000e-09
68,12770,1.2770000000e-09
69,11689,1.1689000000e-09
70,10702,1.0702000000e-09
71,10052,1.0052000000e-09
72,9304,9.3040000000e-10
73,8807,8.8070000000e-10
74,8029,8.0290000000e-10
75,7406,7.4060000000e-10
76,6789,6.7890000000e-10
77,6342,6.3420000000e-10
78,6151,6.1510000000e-10
79,5723,5.7230000000e-10
80,5235,5.2350000000e-10
81,4939,4.9390000000e-10
82,4543,4.5430000000e-10
83,4447,4.4470000000e-10
84,4103,4.1030000000e-10
85,3792,3.7920000000e-10
86,3531,3.5310000000e-10
87,3387,3.3870000000e-10
88,3141,3.1410000000e-10
89,3047,3.0470000000e-10
90,2875,2.8750000000e-10
91,2728,2.7280000000e-10
92,2420,2.4200000000e-10
93,2235,2.2350000000e-10
94,2072,2.0720000000e-10
95,2099,2.0990000000e-10
96,1878,1.8780000000e-10
97,1867,1.8670000000e-10
98,1659,1.6590000000e-10
99,1615,1.6150000000e-10
100,1490,1.4900000000e-10
101,1374,1.3740000000e-10
102,1348,1.3480000000e-10
103,1286,1.2860000000e-10
104,1208,1.2080000000e-10
105,1072,1.0720000000e-10
106,1122,1.1220000000e-10
107,1009,1.0090000000e-10
108,975,9.7500000000e-11
109,956,9.5600000000e-11
110,902,9.0200000000e-11
111,796,7.9600000000e-11
112,827,8.2700000000e-11
113,753,7.5300000000e-11
114,691,6.9100000000e-11
115,681,6.8100000000e-11
116,605,6.0500000000e-11
117,595,5.9500000000e-11
118,524,5.2400000000e-11
119,529,5.2900000000e-11
120,476,4.7600000000e-11
121,513,5.1300000000e-11
122,454,4.5400000000e-11
123,426,4.2600000000e-11
124,441,4.4100000000e-11
125,385,3.8500000000e-11
126,415,4.1500000000e-11
127,383,3.8300000000e-11
128,336,3.3600000000e-11
129,318,3.1800000000e-11
130,298,2.9800000000e-11
131,281,2.8100000000e-11
132,288,2.8800000000e-11
133,263,2.6300000000e-11
134,265,2.6500000000e-11
135,270,2.7000000000e-11
136,256,2.5600000000e-11
137,221,2.2100000000e-11
138,203,2.0300000000e-11
139,224,2.2400000000e-11
140,188,1.8800000000e-11
141,183,1.8300000000e-11
142,192,1.9200000000e-11
143,169,1.6900000000e-11
144,173,1.7300000000e-11
145,170,1.7000000000e-11
146,165,1.6500000000e-11
147,148,1.4800000000e-11
148,146,1.4600000000e-11
149,141,1.4100000000e-11
150,136,1.3600000000e-11
151,113,1.1300000000e-11
152,123,1.2300000000e-11
153,122,1.2200000000e-11
154,100,1.0000000000e-11
155,112,1.1200000000e-11
156,101,1.0100000000e-11
157,81,8.1000000000e-12
158,74,7.4000000000e-12
159,94,9.4000000000e-12
160,74,7.4000000000e-12
161,79,7.9000000000e-12
162,72,7.2000000000e-12
163,72,7.2000000000e-12
164,79,7.9000000000e-12
165,88,8.8000000000e-12
166,64,6.4000000000e-12
167,88,8.8000000000e-12
168,63,6.3000000000e-12
169,55,5.5000000000e-12
170,53,5.3000000000e-12
171,50,5.0000000000e-12
172,46,4.6000000000e-12
173,60,6.0000000000e-12
174,42,4.2000000000e-12
175,65,6.5000000000e-12
176,43,4.3000000000e-12
177,44,4.4000000000e-12
178,41,4.1000000000e-12
179,34,3.4000000000e-12
180,26,2.6000000000e-12
181,41,4.1000000000e-12
182,34,3.4000000000e-12
183,47,4.7000000000e-12
184,29,2.9000000000e-12
185,34,3.4000000000e-12
186,34,3.4000000000e-12
187,30,3.0000000000e-12
188,27,2.7000000000e-12
189,32,3.2000000000e-12
190,30,3.0000000000e-12
191,26,2.6000000000e-12
192,24,2.4000000000e-12
193,30,3.0000000000e-12
194,26,2.6000000000e-12
195,25,2.5000000000e-12
196,22,2.2000000000e-12
197,17,1.7000000000e-12
198,24,2.4000000000e-12
199,18,1.8000000000e-12
200,13,1.3000000000e-12
201,19,1.9000000000e-12
202,19,1.9000000000e-12
203,16,1.6000000000e-12
204,16,1.6000000000e-12
205,16,1.6000000000e-12
206,23,2.3000000000e-12
207,12,1.2000000000e-12
208,6,6.0000000000e-13
209,22,2.2000000000e-12
210,11,1.1000000000e-12
211,7,7.0000000000e-13
212,15,1.5000000000e-12
213,11,1.1000000000e-12
214,8,8.0000000000e-13
215,7,7.0000000000e-13
216,11,1.1000000000e-12
217,15,1.5000000000e-12
218,11,1.1000000000e-12
219,17,1.7000000000e-12
220,10,1.0000000000e-12
221,8,8.0000000000e-13
222,15,1.5000000000e-12
223,14,1.4000000000e-12
224,10,1.0000000000e-12
225,7,7.0000000000e-13
226,10,1.0000000000e-12
227,6,6.0000000000e-13
228,7,7.0000000000e-13
229,9,9.0000000000e-13
230,6,6.0000000000e-13
231,9,9.0000000000e-13
232,8,8.0000000000e-13
233,5,5.0000000000e-13
234,6,6.0000000000e-13
235,4,4.0000000000e-13
236,5,5.0000000000e-13
237,10,1.0000000000e-12
238,5,5.0000000000e-13
239,8,8.0000000000e-13
240,11,1.1000000000e-12
241,3,3.0000000000e-13
242,2,2.0000000000e-13
243,3,3.0000000000e-13
244,5,5.0000000000e-13
245,7,7.0000000000e-13
246,3,3.0000000000e-13
247,4,4.0000000000e-13
248,1,1.0000000000e-13
249,4,4.0000000000e-13
250,3,3.0000000000e-13
251,3,3.0000000000e-13
252,7,7.0000000000e-13
253,5,5.0000000000e-13
254,7,7.0000000000e-13
255,6,6.0000000000e-13
256,5,5.0000000000e-13
257,2,2.0000000000e-13
258,7,7.0000000000e-13
259,3,3.0000000000e-13
260,3,3.0000000000e-13
261,1,1.0000000000e-13
263,2,2.0000000000e-13
264,2,2.0000000000e-13
265,4,4.0000000000e-13
266,2,2.0000000000e-13
267,4,4.0000000000e-13
269,7,7.0000000000e-13
270,4,4.0000000000e-13
271,2,2.0000000000e-13
272,3,3.0000000000e-13
273,2,2.0000000000e-13
274,3,3.0000000000e-13
275,6,6.0000000000e-13
276,3,3.0000000000e-13
277,2,2.0000000000e-13
278,2,2.0000000000e-13
279,4,4.0000000000e-13
280,2,2.0000000000e-13
281,3,3.0000000000e-13
282,3,3.0000000000e-13
283,1,1.0000000000e-13
284,2,2.0000000000e-13
286,1,1.0000000000e-13
288,5,5.0000000000e-13
290,1,1.0000000000e-13
291,1,1.0000000000e-13
292,1,1.0000000000e-13
293,2,2.0000000000e-13
294,1,1.0000000000e-13
295,1,1.0000000000e-13
296,2,2.0000000000e-13
297,1,1.0000000000e-13
298,2,2.0000000000e-13
300,1,1.0000000000e-13
301,5,5.0000000000e-13
302,1,1.0000000000e-13
303,2,2.0000000000e-13
306,1,1.0000000000e-13
307,1,1.0000000000e-13
309,3,3.0000000000e-13
312,1,1.0000000000e-13
313,2,2.0000000000e-13
317,1,1.0000000000e-13
318,3,3.0000000000e-13
319,1,1.0000000000e-13
320,1,1.0000000000e-13
321,1,1.0000000000e-13
323,1,1.0000000000e-13
324,2,2.0000000000e-13
325,1,1.0000000000e-13
328,1,1.0000000000e-13
329,1,1.0000000000e-13
331,1,1.0000000000e-13
332,1,1.0000000000e-13
337,2,2.0000000000e-13
338,1,1.0000000000e-13
341,1,1.0000000000e-13
342,1,1.0000000000e-13
344,1,1.0000000000e-13
345,1,1.0000000000e-13
346,1,1.0000000000e-13
347,1,1.0000000000e-13
349,1,1.0000000000e-13
350,1,1.0000000000e-13
352,1,1.0000000000e-13
355,1,1.0000000000e-13
356,1,1.0000000000e-13
360,1,1.0000000000e-13
372,1,1.0000000000e-13
375,1,1.0000000000e-13
379,1,1.0000000000e-13
381,1,1.0000000000e-13
395,1,1.0000000000e-13
397,1,1.0000000000e-13
401,1,1.0000000000e-13
453,1,1.0000000000e-13
457,1,1.0000000000e-13
460,1,1.0000000000e-13
566,1,1.0000000000e-13
74905209,1,1.0000000000e-13
74916419,1,1.0000000000e-13
74916893,1,1.0000000000e-13
74917742,1,1.0000000000e-13
74918568,1,1.0000000000e-13
74918578,1,1.0000000000e-13
74918905,1,1.0000000000e-13
74919607,1,1.0000000000e-13
74921048,1,1.0000000000e-13
74921167,1,1.0000000000e-13
74921766,1,1.0000000000e-13
74922320,1,1.0000000000e-13
74922473,1,1.0000000000e-13
74922739,1,1.0000000000e-13
74922951,1,1.0000000000e-13
74923569,1,1.0000000000e-13
74923928,1,1.0000000000e-13
74923932,1,1.0000000000e-13
74924269,1,1.0000000000e-13
74924281,1,1.0000000000e-13
74924405,1,1.0000000000e-13
74924409,1,1.0000000000e-13
74924416,1,1.0000000000e-13
74924610,1,1.0000000000e-13
74924732,1,1.0000000000e-13
74924827,1,1.0000000000e-13
74925112,1,1.0000000000e-13
74925323,1,1.0000000000e-13
74925445,1,1.0000000000e-13
74925683,1,1.0000000000e-13
74925694,1,1.0000000000e-13
74925942,1,1.0000000000e-13
74926064,1,1.0000000000e-13
74926093,1,1.0000000000e-13
74926108,1,1.0000000000e-13
74926158,1,1.0000000000e-13
74926195,1,1.0000000000e-13
74926208,1,1.0000000000e-13
74926284,1,1.0000000000e-13
74926351,1,1.0000000000e-13
74926368,1,1.0000000000e-13
74926404,1,1.0000000000e-13
74926470,1,1.0000000000e-13
74926638,1,1.0000000000e-13
74926686,1,1.0000000000e-13
74926757,1,1.0000000000e-13
74926784,1,1.0000000000e-13
74926810,1,1.0000000000e-13
74926831,1,1.0000000000e-13
74926842,1,1.0000000000e-13
74926894,1,1.0000000000e-13
74927042,1,1.0000000000e-13
74927131,1,1.0000000000e-13
74927137,1,1.0000000000e-13
74927266,1,1.0000000000e-13
74927499,1,1.0000000000e-13
74927555,1,1.0000000000e-13
74927610,1,1.0000000000e-13
74927614,1,1.0000000000e-13
74927744,1,1.0000000000e-13
74927765,1,1.0000000000e-13
74927934,1,1.0000000000e-13
74928091,1,1.0000000000e-13
74928135,1,1.0000000000e-13
74928157,1,1.0000000000e-13
74928347,1,1.0000000000e-13
74928412,1,1.0000000000e-13
74928415,2,2.0000000000e-13
74928423,1,1.0000000000e-13
74928454,1,1.0000000000e-13
74928473,1,1.0000000000e-13
74928539,1,1.0000000000e-13
74928544,1,1.0000000000e-13
74928603,1,1.0000000000e-13
74928660,1,1.0000000000e-13
74928776,1,1.0000000000e-13
74928788,1,1.0000000000e-13
74928830,1,1.0000000000e-13
74928845,1,1.0000000000e-13
74928962,1,1.0000000000e-13
74928973,1,1.0000000000e-13
74928991,1,1.0000000000e-13
74929205,1,1.0000000000e-13
74929224,1,1.0000000000e-13
74929240,1,1.0000000000e-13
74929297,1,1.0000000000e-13
74929387,1,1.0000000000e-13
74929397,1,1.0000000000e-13
74929405,1,1.0000000000e-13
74929410,1,1.0000000000e-13
74929538,1,1.0000000000e-13
74929576,1,1.0000000000e-13
74929621,1,1.0000000000e-13
74929653,1,1.0000000000e-13
74929709,1,1.0000000000e-13
74929731,1,1.0000000000e-13
74929787,1,1.0000000000e-13
74929869,1,1.0000000000e-13
74929879,1,1.0000000000e-13
74929901,1,1.0000000000e-13
74929919,1,1.0000000000e-13
74929929,1,1.0000000000e-13
74929975,1,1.0000000000e-13
74929976,1,1.0000000000e-13
74929990,1,1.0000000000e-13
74929998,1,1.0000000000e-13
74930010,1,1.0000000000e-13
74930062,1,1.0000000000e-13
74930108,1,1.0000000000e-13
74930241,1,1.0000000000e-13
74930263,1,1.0000000000e-13
74930268,1,1.0000000000e-13
74930337,1,1.0000000000e-13
74930356,1,1.0000000000e-13
74930441,1,1.0000000000e-13
74930525,1,1.0000000000e-13
74930526,1,1.0000000000e-13
74930534,1,1.0000000000e-13
74930548,1,1.0000000000e-13
74930591,1,1.0000000000e-13
74930625,1,1.0000000000e-13
74930659,1,1.0000000000e-13
74930662,1,1.0000000000e-13
74930698,1,1.0000000000e-13
74930742,1,1.0000000000e-13
74930745,1,1.0000000000e-13
74930767,1,1.0000000000e-13
74930795,1,1.0000000000e-13
74930820,1,1.0000000000e-13
74930870,1,1.0000000000e-13
74930875,1,1.0000000000e-13
74930889,1,1.0000000000e-13
74930893,1,1.0000000000e-13
74930957,1,1.0000000000e-13
74930968,1,1.0000000000e-13
74930997,1,1.0000000000e-13
74931015,1,1.0000000000e-13
74931066,1,1.0000000000e-13
74931068,1,1.0000000000e-13
74931092,1,1.0000000000e-13
74931112,1,1.0000000000e-13
74931127,1,1.0000000000e-13
74931132,1,1.0000000000e-13
74931165,1,1.0000000000e-13
74931182,1,1.0000000000e-13
74931192,1,1.0000000000e-13
74931204,1,1.0000000000e-13
74931208,1,1.0000000000e-13
74931238,1,1.0000000000e-13
74931243,1,1.0000000000e-13
74931251,1,1.0000000000e-13
74931255,1,1.0000000000e-13
74931282,1,1.0000000000e-13
74931314,1,1.0000000000e-13
74931368,1,1.0000000000e-13
74931398,1,1.0000000000e-13
74931415,1,1.0000000000e-13
74931421,1,1.0000000000e-13
74931462,1,1.0000000000e-13
74931482,1,1.0000000000e-13
74931490,1,1.0000000000e-13
74931509,1,1.0000000000e-13
74931601,1,1.0000000000e-13
74931675,1,1.0000000000e-13
74931709,1,1.0000000000e-13
74931742,1,1.0000000000e-13
74931763,1,1.0000000000e-13
74931794,1,1.0000000000e-13
74931801,1,1.0000000000e-13
74931826,1,1.0000000000e-13
74931858,1,1.0000000000e-13
74931860,1,1.0000000000e-13
74931917,1,1.0000000000e-13
74931925,1,1.0000000000e-13
74931963,1,1.0000000000e-13
74931990,1,1.0000000000e-13
74931991,1,1.0000000000e-13
74932003,1,1.0000000000e-13
74932019,1,1.0000000000e-13
74932083,1,1.0000000000e-13
74932087,1,1.0000000000e-13
74932164,1,1.0000000000e-13
74932190,1,1.0000000000e-13
74932225,1,1.0000000000e-13
74932263,1,1.0000000000e-13
74932337,1,1.0000000000e-13
74932420,1,1.0000000000e-13
74932432,1,1.0000000000e-13
