cluster_size,total_clusters_of_this_size,n_s
1,5291822280,5.2918222800e-04
2,94071913,9.4071913000e-06
3,20589065,2.0589065000e-06
4,9760998,9.7609980000e-07
5,5478133,5.4781330000e-07
6,2873101,2.8731010000e-07
7,1479319,1.4793190000e-07
8,993432,9.9343200000e-08
9,609427,6.0942700000e-08
10,382323,3.8232300000e-08
11,267514,2.6751400000e-08
12,181817,1.8181700000e-08
13,127040,1.2704000000e-08
14,92343,9.2343000000e-09
15,66506,6.6506000000e-09
16,49367,4.9367000000e-09
17,36524,3.6524000000e-09
18,27390,2.7390000000e-09
19,20923,2.0923000000e-09
20,16208,1.6208000000e-09
21,12635,1.2635000000e-09
22,9906,9.9060000000e-10
23,7761,7.7610000000e-10
24,6157,6.1570000000e-10
25,4890,4.8900000000e-10
26,3942,3.9420000000e-10
27,3189,3.1890000000e-10
28,2547,2.5470000000e-10
29,2119,2.1190000000e-10
30,1789,1.7890000000e-10
31,1496,1.4960000000e-10
32,1178,1.1780000000e-10
33,1033,1.0330000000e-10
34,807,8.0700000000e-11
35,684,6.8400000000e-11
36,623,6.2300000000e-11
37,501,5.0100000000e-11
38,444,4.4400000000e-11
39,386,3.8600000000e-11
40,295,2.9500000000e-11
41,274,2.7400000000e-11
42,233,2.3300000000e-11
43,179,1.7900000000e-11
44,177,1.7700000000e-11
45,139,1.3900000000e-11
46,107,1.0700000000e-11
47,101,1.0100000000e-11
48,82,8.2000000000e-12
49,79,7.9000000000e-12
50,78,7.8000000000e-12
51,53,5.3000000000e-12
52,53,5.3000000000e-12
53,51,5.1000000000e-12
54,36,3.6000000000e-12
55,43,4.3000000000e-12
56,22,2.2000000000e-12
57,29,2.9000000000e-12
58,31,3.1000000000e-12
59,22,2.2000000000e-12
60,31,3.1000000000e-12
61,11,1.1000000000e-12
62,12,1.2000000000e-12
63,16,1.6000000000e-12
64,8,8.0000000000e-13
65,12,1.2000000000e-12
66,9,9.0000000000e-13
67,8,8.0000000000e-13
68,9,9.0000000000e-13
69,8,8.0000000000e-13
70,9,9.0000000000e-13
71,8,8.0000000000e-13
72,4,4.0000000000e-13
73,3,3.0000000000e-13
74,6,6.0000000000e-13
75,8,8.0000000000e-13
76,4,4.0000000000e-13
77,3,3.0000000000e-13
78,2,2.0000000000e-13
79,1,1.0000000000e-13
82,3,3.0000000000e-13
83,1,1.0000000000e-13
84,5,5.0000000000e-13
85,2,2.0000000000e-13
86,1,1.0000000000e-13
87,1,1.0000000000e-13
88,3,3.0000000000e-13
90,1,1.0000000000e-13
91,1,1.0000000000e-13
93,2,2.0000000000e-13
94,2,2.0000000000e-13
95,1,1.0000000000e-13
99,2,2.0000000000e-13
101,1,1.0000000000e-13
103,2,2.0000000000e-13
104,1,1.0000000000e-13
106,1,1.0000000000e-13
107,1,1.0000000000e-13
108,1,1.0000000000e-13
115,1,1.0000000000e-13
120,1,1.0000000000e-13
132,1,1.0000000000e-13
87300623,1,1.0000000000e-13
87301216,1,1.0000000000e-13
87302081,1,1.0000000000e-13
87302243,1,1.0000000000e-13
87302353,1,1.0000000000e-13
87302453,1,1.0000000000e-13
87303089,1,1.0000000000e-13
87303519,1,1.0000000000e-13
87303617,1,1.0000000000e-13
87303716,1,1.0000000000e-13
87303772,1,1.0000000000e-13
87304047,1,1.0000000000e-13
87304288,1,1.0000000000e-13
87304370,1,1.0000000000e-13
87304386,1,1.0000000000e-13
