cluster_size,total_clusters_of_this_size,n_s
1,171368631518,1.7136863152e-02
2,18421224036,1.8421224036e-03
3,11595492080,1.1595492080e-03
4,7992140641,7.9921406410e-04
5,6521355560,6.5213555600e-04
6,5088471663,5.0884716630e-04
7,4109250562,4.1092505620e-04
8,3563811784,3.5638117840e-04
9,3064581326,3.0645813260e-04
10,2674120180,2.6741201800e-04
11,2393706544,2.3937065440e-04
12,2140861258,2.1408612580e-04
13,1936410730,1.9364107300e-04
14,1766183771,1.7661837710e-04
15,1616182253,1.6161822530e-04
16,1488760045,1.4887600450e-04
17,1377025822,1.3770258220e-04
18,1278178233,1.2781782330e-04
19,1191002784,1.1910027840e-04
20,1113079137,1.1130791370e-04
21,1043125600,1.0431256000e-04
22,980263832,9.8026383200e-05
23,923196119,9.2319611900e-05
24,871392603,8.7139260300e-05
25,824120123,8.2412012300e-05
26,780881438,7.8088143800e-05
27,741204075,7.4120407500e-05
28,704673050,7.0467305000e-05
29,670948994,6.7094899400e-05
30,639737560,6.3973756000e-05
31,610764240,6.1076424000e-05
32,583882552,5.8388255200e-05
33,558813925,5.5881392500e-05
34,535508898,5.3550889800e-05
35,513569935,5.1356993500e-05
36,493114982,4.9311498200e-05
37,473907795,4.7390779500e-05
38,455873056,4.5587305600e-05
39,438884973,4.3888497300e-05
40,422846445,4.2284644500e-05
41,407779381,4.0777938100e-05
42,393491186,3.9349118600e-05
43,379967916,3.7996791600e-05
44,367245839,3.6724583900e-05
45,355085890,3.5508589000e-05
46,343590676,3.4359067600e-05
47,332685265,3.3268526500e-05
48,322308199,3.2230819900e-05
49,312372446,3.1237244600e-05
50,302915054,3.0291505400e-05
51,293938053,2.9393805300e-05
52,285327079,2.8532707900e-05
53,277145315,2.7714531500e-05
54,269300754,2.6930075400e-05
55,261771761,2.6177176100e-05
56,254559470,2.5455947000e-05
57,247682982,2.4768298200e-05
58,241073818,2.4107381800e-05
59,234757492,2.3475749200e-05
60,228639248,2.2863924800e-05
61,222814317,2.2281431700e-05
62,217188534,2.1718853400e-05
63,211761340,2.1176134000e-05
64,206535146,2.0653514600e-05
65,201560674,2.0156067400e-05
66,196719406,1.9671940600e-05
67,192096363,1.9209636300e-05
68,187594847,1.8759484700e-05
69,183232017,1.8323201700e-05
70,179052115,1.7905211500e-05
71,175047247,1.7504724700e-05
72,171104630,1.7110463000e-05
73,167328898,1.6732889800e-05
74,163693681,1.6369368100e-05
75,160185437,1.6018543700e-05
76,156751479,1.5675147900e-05
77,153458964,1.5345896400e-05
78,150217069,1.5021706900e-05
79,147141527,1.4714152700e-05
80,144124706,1.4412470600e-05
81,141207245,1.4120724500e-05
82,138385006,1.3838500600e-05
83,135640255,1.3564025500e-05
84,132933620,1.3293362000e-05
85,130377842,1.3037784200e-05
86,127825521,1.2782552100e-05
87,125400300,1.2540030000e-05
88,123028411,1.2302841100e-05
89,120720485,1.2072048500e-05
90,118490093,1.1849009300e-05
91,116279945,1.1627994500e-05
92,114159531,1.1415953100e-05
93,112100265,1.1210026500e-05
94,110070279,1.1007027900e-05
95,108118592,1.0811859200e-05
96,106185971,1.0618597100e-05
97,104334769,1.0433476900e-05
98,102502276,1.0250227600e-05
99,100737717,1.0073771700e-05
100,99031326,9.9031326000e-06
101,97335723,9.7335723000e-06
102,95686687,9.5686687000e-06
103,94078850,9.4078850000e-06
104,92528069,9.2528069000e-06
105,91010680,9.1010680000e-06
106,89517765,8.9517765000e-06
107,88042937,8.8042937000e-06
108,86643215,8.6643215000e-06
109,85256170,8.5256170000e-06
110,83901459,8.3901459000e-06
111,82582993,8.2582993000e-06
112,81290142,8.1290142000e-06
113,80003897,8.0003897000e-06
114,78769020,7.8769020000e-06
115,77567970,7.7567970000e-06
116,76393226,7.6393226000e-06
117,75217315,7.5217315000e-06
118,74092921,7.4092921000e-06
119,72987662,7.2987662000e-06
120,71900256,7.1900256000e-06
121,70821010,7.0821010000e-06
122,69796851,6.9796851000e-06
123,68774755,6.8774755000e-06
124,67763326,6.7763326000e-06
125,66793112,6.6793112000e-06
