sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1285092, 258197, 244702, 220488, 233365, 164170, 164170
1, 1278921, 244641, 252919, 228486, 220467, 166204, 166204
2, 1271138, 251102, 249093, 224901, 226908, 159567, 159567
3, 1272520, 252080, 247706, 223664, 227594, 160738, 160738
4, 1271663, 249984, 248936, 224886, 225455, 161201, 161201
5, 1269131, 249515, 250067, 225522, 225225, 159401, 159401
6, 1272919, 256188, 246113, 222145, 231553, 158460, 158460
7, 1267456, 248120, 249964, 225854, 223966, 159776, 159776
8, 1279582, 249427, 252505, 228426, 224942, 162141, 162141
9, 1269654, 243640, 254314, 230133, 219597, 160985, 160985
10, 1284315, 254202, 250384, 225993, 229696, 162020, 162020
11, 1268442, 245689, 251203, 226911, 221545, 161547, 161547
12, 1272196, 255026, 247073, 223095, 230468, 158267, 158267
13, 1276269, 246481, 253854, 229584, 222524, 161913, 161913
14, 1274689, 251155, 252524, 228258, 226532, 158110, 158110
15, 1280382, 254878, 246513, 222196, 229813, 163491, 163491
16, 1283787, 248146, 257417, 232848, 224468, 160454, 160454
17, 1282789, 252247, 252295, 227951, 227870, 161213, 161213
18, 1283575, 249934, 252396, 227886, 225577, 163891, 163891
19, 1270932, 257045, 243291, 219674, 232494, 159214, 159214
20, 1270797, 243664, 254907, 230367, 219741, 161059, 161059
21, 1273982, 255211, 246812, 222583, 230922, 159227, 159227
22, 1276337, 252043, 248673, 224330, 227653, 161819, 161819
23, 1279122, 253557, 248112, 224230, 229167, 162028, 162028
24, 1280000, 247977, 255279, 230463, 223703, 161289, 161289
25, 1278041, 251917, 252857, 228491, 227744, 158516, 158516
26, 1273203, 245323, 251318, 227027, 221573, 163981, 163981
27, 1276270, 248962, 252036, 227565, 224491, 161608, 161608
28, 1273843, 250429, 250910, 226505, 226267, 159866, 159866
29, 1276235, 249268, 253760, 229740, 225025, 159221, 159221
30, 1266109, 243863, 254483, 229674, 219923, 159083, 159083
31, 1272944, 249010, 249861, 225846, 224699, 161764, 161764
32, 1273850, 247790, 251057, 226719, 223704, 162290, 162290
33, 1270956, 248875, 247828, 223418, 224449, 163193, 163193
34, 1275963, 251432, 251040, 226951, 227110, 159715, 159715
35, 1281320, 246501, 258975, 234033, 222513, 159649, 159649
36, 1276900, 248339, 252152, 227747, 224404, 162129, 162129
37, 1276829, 253216, 250284, 225940, 228481, 159454, 159454
38, 1277168, 251632, 248161, 223916, 227079, 163190, 163190
39, 1272109, 248738, 250467, 226399, 224423, 161041, 161041
40, 1278116, 253227, 247971, 223670, 229114, 162067, 162067
41, 1273715, 249679, 252841, 228574, 225279, 158671, 158671
42, 1280953, 250886, 252834, 228094, 226535, 161302, 161302
43, 1272911, 249778, 249146, 224678, 225583, 161863, 161863
44, 1285950, 254595, 248117, 224055, 230089, 164547, 164547
45, 1279447, 257908, 245474, 221358, 233307, 160700, 160700
46, 1271695, 247755, 252553, 228306, 223513, 159784, 159784
47, 1283199, 249580, 251961, 227596, 225380, 164341, 164341
48, 1285754, 255422, 249539, 225264, 230761, 162384, 162384
49, 1279994, 247621, 255338, 230667, 223546, 161411, 161411
50, 1277519, 250219, 251399, 227128, 225955, 161409, 161409
51, 1267658, 247905, 247938, 223625, 223484, 162353, 162353
52, 1274484, 248474, 249589, 225421, 224604, 163198, 163198
