sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1986678, 430019, 432005, 426347, 424565, 136871, 136871
1, 1986552, 445482, 420370, 414784, 439856, 133030, 133030
2, 1989037, 424381, 444175, 438534, 419035, 131456, 131456
3, 1988174, 406534, 447133, 441634, 401311, 145781, 145781
4, 1986634, 426449, 424365, 418787, 420763, 148135, 148135
5, 1985405, 417338, 442633, 437027, 411767, 138320, 138320
6, 1988235, 467163, 392382, 387127, 461617, 139973, 139973
7, 1983713, 451179, 398838, 393159, 445287, 147625, 147625
8, 1986543, 402223, 445434, 439896, 396548, 151221, 151221
9, 1986636, 440090, 412735, 407361, 434436, 146007, 146007
10, 1985352, 425440, 437626, 431980, 420238, 135034, 135034
11, 1985942, 423297, 437830, 432186, 417601, 137514, 137514
12, 1989010, 446021, 411598, 406289, 440370, 142366, 142366
13, 1986123, 408084, 431388, 425649, 402466, 159268, 159268
14, 1985915, 408440, 446520, 440893, 403034, 143514, 143514
15, 1985881, 420749, 435450, 429636, 415380, 142333, 142333
16, 1991552, 391904, 469676, 463987, 386739, 139623, 139623
17, 1988097, 447102, 402560, 397113, 441436, 149943, 149943
18, 1985941, 425659, 415998, 410615, 420371, 156649, 156649
19, 1988029, 446275, 412893, 407532, 440661, 140334, 140334
20, 1989060, 412994, 450676, 445229, 407639, 136261, 136261
21, 1983722, 415426, 436351, 430675, 409900, 145685, 145685
22, 1986024, 437326, 422287, 416656, 431609, 139073, 139073
23, 1984178, 410512, 446441, 440804, 404791, 140815, 140815
24, 1983029, 426788, 417765, 412255, 421295, 152463, 152463
25, 1984355, 419345, 429163, 423522, 413579, 149373, 149373
26, 1983996, 437631, 422522, 416969, 431894, 137490, 137490
27, 1982985, 439245, 420923, 415231, 433534, 137026, 137026
28, 1984364, 440365, 413132, 407733, 434618, 144258, 144258
29, 1991597, 417501, 442111, 436707, 412140, 141569, 141569
30, 1987514, 410518, 451739, 445934, 405017, 137153, 137153
31, 1985856, 413378, 447362, 441813, 407789, 137757, 137757
32, 1988929, 374602, 482346, 476383, 369400, 143099, 143099
33, 1987112, 431948, 423009, 417370, 426353, 144216, 144216
34, 1986904, 438586, 411595, 405828, 433017, 148939, 148939
35, 1987559, 430318, 429572, 423977, 424770, 139461, 139461
36, 1987486, 405307, 449145, 443402, 400074, 144779, 144779
37, 1986551, 415384, 442339, 436750, 409924, 141077, 141077
38, 1986302, 461550, 390431, 385249, 455954, 146559, 146559
39, 1984252, 373244, 476690, 470912, 367848, 147779, 147779
40, 1985045, 419826, 425623, 420268, 414462, 152433, 152433
41, 1988229, 455085, 399991, 394699, 449384, 144535, 144535
42, 1985900, 419718, 427421, 422266, 414157, 151169, 151169
43, 1986298, 449040, 409783, 404210, 443265, 140000, 140000
44, 1986399, 422756, 428324, 422954, 417049, 147658, 147658
45, 1989528, 426474, 426185, 420994, 420865, 147505, 147505
46, 1988604, 395905, 462042, 456427, 390714, 141758, 141758
47, 1984686, 449652, 394734, 389058, 443878, 153682, 153682
48, 1989003, 424215, 434137, 428908, 418863, 141440, 141440
49, 1988392, 435695, 403894, 398579, 430262, 159981, 159981
50, 1985860, 424282, 427702, 422279, 418977, 146310, 146310
51, 1988598, 423691, 435995, 430709, 418067, 140068, 140068
52, 1987604, 415610, 437827, 432309, 410224, 145817, 145817
53, 1989973, 438041, 418939, 413811, 432580, 143301, 143301
54, 1984649, 457246, 392263, 386921, 451223, 148498, 148498
55, 1990322, 410739, 451650, 445958, 405223, 138376, 138376
56, 1986651, 414361, 438187, 432870, 408961, 146136, 146136
57, 1988162, 405527, 449937, 444318, 400210, 144085, 144085
58, 1987620, 393139, 455104, 449693, 387722, 150981, 150981
59, 1986408, 407118, 445436, 439785, 401817, 146126, 146126
60, 1985598, 422009, 426439, 420715, 416509, 149963, 149963
61, 1985606, 463815, 393449, 388178, 457848, 141158, 141158
62, 1987658, 458782, 389430, 384199, 453129, 151059, 151059
63, 1988884, 437214, 410949, 405822, 431949, 151475, 151475
64, 1987292, 398858, 452477, 446804, 393807, 147673, 147673
65, 1985658, 426789, 414712, 409427, 421332, 156699, 156699
66, 1990202, 457714, 396835, 391712, 452343, 145799, 145799
67, 1989682, 445328, 410774, 405395, 439891, 144147, 144147
68, 1984659, 484011, 372832, 367633, 478123, 141030, 141030
69, 1992853, 442771, 416097, 410794, 437213, 142989, 142989
70, 1987590, 448342, 402057, 396761, 442820, 148805, 148805
71, 1989412, 467712, 377556, 372424, 462010, 154855, 154855
72, 1988243, 455439, 404974, 399728, 449864, 139119, 139119
73, 1987838, 406994, 442948, 437361, 401879, 149328, 149328
74, 1988873, 401866, 453738, 448185, 396580, 144252, 144252
75, 1987027, 438249, 413575, 407970, 432559, 147337, 147337
76, 1989977, 451093, 401002, 395687, 445473, 148361, 148361
77, 1986452, 387790, 450473, 444823, 382582, 160392, 160392
78, 1985707, 466253, 388670, 382967, 460397, 143710, 143710
79, 1987230, 464529, 396938, 391539, 458820, 137702, 137702
80, 1987457, 423607, 433944, 428391, 417985, 141765, 141765
81, 1987484, 382464, 463385, 457652, 377177, 153403, 153403
82, 1988913, 412368, 440971, 435671, 406909, 146497, 146497
83, 1987907, 463084, 398896, 393635, 457592, 137350, 137350
84, 1986192, 412841, 442127, 436147, 407377, 143850, 143850
85, 1985991, 453340, 410322, 404691, 447970, 134834, 134834
86, 1985929, 441165, 423078, 417600, 435302, 134392, 134392
87, 1986822, 442717, 409026, 403832, 436955, 147146, 147146
88, 1986035, 394090, 457742, 452099, 388648, 146728, 146728
89, 1986979, 418514, 438350, 432686, 413121, 142154, 142154
90, 1985734, 430507, 421809, 416083, 424935, 146200, 146200
91, 1988116, 427253, 428891, 423377, 421785, 143405, 143405
92, 1988160, 430581, 418911, 413228, 425440, 150000, 150000
93, 1986087, 410730, 449737, 444201, 405339, 138040, 138040
94, 1987058, 430374, 431568, 426154, 424838, 137062, 137062
95, 1989221, 405809, 443858, 438350, 400298, 150453, 150453
96, 1986267, 446319, 424326, 418719, 440509, 128197, 128197
97, 1987070, 431978, 431035, 425269, 426282, 136253, 136253
98, 1983196, 428980, 417441, 411919, 423480, 150688, 150688
99, 1988481, 425660, 437911, 432391, 420333, 136093, 136093
100, 1985729, 470558, 378731, 373544, 464600, 149148, 149148
101, 1984525, 434706, 417861, 412547, 429013, 145199, 145199
102, 1987618, 427970, 426864, 421303, 422169, 144656, 144656
103, 1982663, 426307, 433273, 427496, 420573, 137507, 137507
104, 1984988, 415999, 432689, 427147, 410393, 149380, 149380
105, 1989772, 427414, 440203, 434680, 422041, 132717, 132717
106, 1985804, 431704, 432330, 426846, 426040, 134442, 134442
107, 1986540, 415631, 445730, 440224, 410013, 137471, 137471
108, 1983056, 451416, 390765, 385509, 445734, 154816, 154816
109, 1983962, 406431, 435374, 429791, 400882, 155742, 155742
110, 1989644, 479813, 372758, 367602, 474097, 147687, 147687
111, 1985506, 421878, 426864, 421436, 416320, 149504, 149504
112, 1986506, 452026, 402599, 397256, 446237, 144194, 144194
113, 1988295, 434888, 417631, 412247, 429345, 147092, 147092
114, 1987074, 407524, 443688, 438189, 402075, 147799, 147799
115, 1987416, 416118, 438048, 432361, 410431, 145229, 145229
116, 1990043, 421661, 441876, 436454, 416468, 136792, 136792
117, 1989107, 434211, 431061, 425850, 428703, 134641, 134641
118, 1989415, 414405, 438583, 433065, 409134, 147114, 147114
119, 1986886, 441798, 411138, 405829, 436025, 146048, 146048
120, 1985340, 405240, 460274, 454553, 399797, 132738, 132738
121, 1984549, 410829, 432326, 426794, 405374, 154613, 154613
122, 1990486, 462964, 406345, 401211, 457302, 131332, 131332
123, 1986679, 429040, 419400, 413914, 423437, 150444, 150444
124, 1986280, 420883, 422187, 416396, 415588, 155613, 155613
125, 1985696, 408146, 445365, 439803, 402332, 145025, 145025
126, 1988531, 404894, 448671, 443057, 399859, 146025, 146025
127, 1986462, 396544, 461935, 456173, 391176, 140317, 140317
128, 1987155, 431575, 429452, 423881, 426083, 138082, 138082
129, 1984846, 422351, 444260, 438625, 416808, 131401, 131401
130, 1984694, 393893, 459178, 453397, 388332, 144947, 144947
131, 1985792, 468730, 384755, 379469, 462658, 145090, 145090
132, 1987494, 431517, 418237, 413180, 426102, 149229, 149229
133, 1986997, 423990, 431940, 426443, 418466, 143079, 143079
134, 1988796, 447588, 416145, 410579, 442070, 136207, 136207
135, 1987773, 389501, 466238, 460421, 384177, 143718, 143718
136, 1987181, 397482, 463342, 457783, 391926, 138324, 138324
137, 1989973, 464812, 389312, 384032, 458933, 146442, 146442
138, 1984585, 429776, 425162, 419447, 424168, 143016, 143016
139, 1989515, 467539, 375537, 370510, 461835, 157047, 157047
140, 1985431, 463320, 394424, 389071, 457584, 140516, 140516
141, 1989350, 443627, 414303, 409042, 437866, 142256, 142256
142, 1986299, 446257, 409076, 403743, 440775, 143224, 143224
143, 1986415, 414636, 438186, 432717, 409068, 145904, 145904
144, 1988393, 414202, 441312, 435678, 408879, 144161, 144161
145, 1988109, 438129, 408309, 403054, 432563, 153027, 153027
146, 1988687, 424456, 433310, 427815, 418968, 142069, 142069
147, 1984328, 416946, 437993, 432385, 411522, 142741, 142741
148, 1984008, 440483, 402387, 396722, 434808, 154804, 154804
149, 1988124, 393668, 443632, 437991, 388225, 162304, 162304
150, 1988779, 379157, 483792, 478153, 374021, 136828, 136828
151, 1987444, 462761, 393967, 388707, 456949, 142530, 142530
152, 1989064, 417398, 438145, 432411, 412230, 144440, 144440
153, 1985486, 458660, 393179, 387602, 452891, 146577, 146577
154, 1988963, 404263, 460302, 454550, 398634, 135607, 135607
155, 1986710, 442707, 405543, 400074, 437254, 150566, 150566
156, 1986510, 428953, 422335, 416798, 423594, 147415, 147415
157, 1988451, 405963, 445251, 439783, 400318, 148568, 148568
158, 1986435, 409410, 458350, 452113, 403992, 131285, 131285
159, 1983878, 415392, 435494, 429852, 409712, 146714, 146714
160, 1983888, 429720, 419035, 413615, 424236, 148641, 148641
161, 1987423, 450208, 398516, 393291, 444546, 150431, 150431
162, 1989709, 486439, 373410, 368198, 480570, 140546, 140546
163, 1990798, 412918, 436409, 431148, 407699, 151312, 151312
164, 1984272, 426108, 425852, 420184, 420604, 145762, 145762
165, 1988440, 430588, 428451, 422994, 425135, 140636, 140636
166, 1984993, 384943, 465016, 459356, 379612, 148033, 148033
167, 1985677, 388170, 468208, 462452, 382637, 142105, 142105
168, 1985739, 415935, 428070, 422414, 410580, 154370, 154370
169, 1989292, 406076, 439160, 433922, 400898, 154618, 154618
170, 1984249, 437988, 413632, 408096, 432109, 146212, 146212
171, 1985689, 442557, 411290, 405557, 436943, 144671, 144671
172, 1986872, 446797, 391425, 385952, 441182, 160758, 160758
173, 1983162, 447216, 408001, 402364, 440979, 142301, 142301
174, 1987615, 426347, 436827, 431415, 421066, 135980, 135980
175, 1988696, 428593, 425846, 420192, 423275, 145395, 145395
176, 1987160, 451759, 388973, 383559, 446131, 158369, 158369
177, 1990682, 444183, 415717, 410420, 438652, 140855, 140855
178, 1989350, 453814, 404428, 399008, 448234, 141933, 141933
179, 1986001, 405638, 457609, 451649, 400229, 135438, 135438
180, 1986004, 432519, 435921, 430072, 426894, 130299, 130299
181, 1987297, 422145, 426317, 420990, 416803, 150521, 150521
