sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
5, 3643300, 715, 1810752, 1810378, 569, 10443, 10443, 3556353371
1, 3645609, 755, 1812945, 1812564, 595, 9375, 9375, 3367159790
0, 3644362, 770, 1811526, 1811033, 621, 10206, 10206, 2177120013
11, 3644142, 1812713, 647, 521, 1812145, 9058, 9058, 4155642958
7, 3648225, 576, 1813769, 1813514, 448, 9959, 9959, 3343215229
4, 3642418, 681, 1810357, 1810007, 543, 10415, 10415, 1177993154
9, 3644223, 686, 1811682, 1811423, 540, 9946, 9946, 3265293950
13, 3643022, 1810853, 759, 600, 1810592, 10109, 10109, 745811434
12, 3643970, 1812000, 671, 526, 1811601, 9586, 9586, 641971605
8, 3642696, 703, 1810899, 1810748, 556, 9895, 9895, 796434391
10, 3645461, 1811898, 926, 779, 1811690, 10084, 10084, 3834876309
2, 3641929, 1811080, 575, 451, 1810605, 9609, 9609, 1387067923
3, 3641909, 1810333, 629, 498, 1810163, 10143, 10143, 611630874
17, 3642342, 721, 1810986, 1810438, 599, 9799, 9799, 4112159033
6, 3644345, 1811824, 661, 531, 1811669, 9830, 9830, 3536834165
16, 3645593, 1813057, 511, 379, 1812620, 9513, 9513, 2391862765
15, 3645120, 1812495, 731, 598, 1811920, 9688, 9688, 3904247349
18, 3642846, 1810363, 695, 548, 1810102, 10569, 10569, 361883136
19, 3646681, 1813695, 590, 442, 1812888, 9533, 9533, 1150661592
25, 3642780, 763, 1811128, 1810550, 607, 9866, 9866, 2249498504
14, 3644880, 1811792, 669, 530, 1811413, 10238, 10238, 2442190668
20, 3646708, 1813208, 686, 558, 1812844, 9706, 9706, 4255676816
26, 3641378, 1810577, 833, 699, 1809967, 9651, 9651, 2231242038
22, 3643649, 1811584, 698, 555, 1811126, 9843, 9843, 2027177928
27, 3646069, 867, 1813247, 1812910, 703, 9171, 9171, 1544148762
21, 3642198, 704, 1809477, 1809285, 590, 11071, 11071, 2661581543
24, 3644241, 859, 1811388, 1811156, 720, 10059, 10059, 3724976840
23, 3643265, 1811111, 760, 619, 1810773, 10001, 10001, 3667193926
34, 3639416, 675, 1809199, 1808667, 531, 10172, 10172, 2118743538
28, 3641040, 1809412, 798, 637, 1809187, 10503, 10503, 984473375
37, 3643400, 799, 1811342, 1810791, 646, 9911, 9911, 3673754806
31, 3642164, 1811220, 683, 551, 1810872, 9419, 9419, 1552008518
39, 3642215, 744, 1810907, 1810525, 595, 9722, 9722, 4023192272
32, 3646631, 1813566, 711, 569, 1813165, 9310, 9310, 1847031024
41, 3644748, 603, 1812505, 1812023, 475, 9571, 9571, 440392869
29, 3645834, 1812452, 745, 612, 1812235, 9895, 9895, 3931421688
42, 3646946, 639, 1813472, 1812758, 499, 9789, 9789, 345850823
38, 3644676, 612, 1812452, 1811989, 499, 9562, 9562, 794774837
30, 3643885, 1812297, 635, 488, 1812053, 9206, 9206, 2239612451
36, 3644868, 705, 1811714, 1811571, 554, 10162, 10162, 886682879
40, 3643336, 1811414, 743, 594, 1810947, 9819, 9819, 428307762
35, 3643043, 1810933, 843, 703, 1810808, 9878, 9878, 2130013683
49, 3643775, 646, 1811694, 1811135, 506, 9897, 9897, 2065781484
33, 3644313, 1811482, 936, 778, 1811325, 9896, 9896, 1341280676
44, 3646276, 609, 1813308, 1813012, 495, 9426, 9426, 3947207580
47, 3645265, 653, 1812610, 1812247, 515, 9620, 9620, 1536148796
48, 3646727, 1813961, 507, 403, 1813152, 9352, 9352, 1361426545
50, 3648245, 681, 1814088, 1813656, 546, 9637, 9637, 2351312846
46, 3643387, 1810899, 785, 629, 1810520, 10277, 10277, 3591417291
43, 3643782, 1811197, 630, 504, 1811001, 10225, 10225, 3951599754
45, 3642914, 1810512, 776, 623, 1810303, 10350, 10350, 1315567166
54, 3643448, 700, 1811150, 1810963, 553, 10041, 10041, 4237372538
51, 3642044, 646, 1810508, 1810296, 508, 10043, 10043, 181761191
52, 3640569, 623, 1809907, 1809697, 480, 9931, 9931, 1407441410
60, 3643158, 685, 1811263, 1810372, 550, 10144, 10144, 1291053449
57, 3642200, 717, 1810113, 1809746, 576, 10524, 10524, 2482696002
55, 3646039, 1812939, 780, 615, 1812563, 9571, 9571, 3395097453
56, 3642890, 1811306, 667, 524, 1810757, 9818, 9818, 285779209
59, 3642336, 1810313, 672, 550, 1809759, 10521, 10521, 4136790384
53, 3643290, 1811441, 594, 454, 1811185, 9808, 9808, 212273436
61, 3645703, 716, 1812417, 1812143, 577, 9925, 9925, 2156519918
62, 3645016, 761, 1812034, 1811797, 610, 9907, 9907, 2513496409
68, 3643218, 961, 1810003, 1809652, 808, 10897, 10897, 3516555775
58, 3644784, 1812359, 567, 457, 1812211, 9595, 9595, 2335643941
69, 3647431, 597, 1814006, 1813605, 469, 9377, 9377, 4292186327
64, 3644861, 1811996, 591, 450, 1811638, 10093, 10093, 606755575
65, 3643870, 741, 1811852, 1811696, 591, 9495, 9495, 434826741
70, 3644192, 1811379, 720, 576, 1810867, 10325, 10325, 1146933913
71, 3643859, 756, 1811722, 1811193, 616, 9786, 9786, 3755389964
72, 3643374, 1811547, 578, 444, 1811165, 9820, 9820, 3286248001
63, 3643303, 1811248, 662, 507, 1811094, 9896, 9896, 3417239370
66, 3644974, 1811438, 948, 809, 1811311, 10234, 10234, 2819334033
67, 3643460, 1811335, 723, 582, 1811028, 9896, 9896, 3855535911
73, 3645573, 1812680, 681, 527, 1812505, 9590, 9590, 1007078033
79, 3646603, 748, 1812858, 1812613, 638, 9873, 9873, 4178056134
76, 3643852, 1811540, 509, 391, 1811040, 10186, 10186, 2596534987
74, 3641015, 525, 1810504, 1810352, 396, 9619, 9619, 3830563809
77, 3644031, 1812290, 556, 448, 1812029, 9354, 9354, 626218303
75, 3641481, 724, 1810099, 1809935, 587, 10068, 10068, 3015573068
83, 3641319, 730, 1809327, 1809048, 584, 10815, 10815, 2299450910
81, 3647048, 625, 1813483, 1813243, 475, 9611, 9611, 882073898
82, 3644437, 667, 1812100, 1811852, 546, 9636, 9636, 1496869047
85, 3643847, 1811269, 828, 693, 1811035, 10011, 10011, 2943954904
78, 3642277, 1810150, 702, 557, 1809938, 10465, 10465, 299493807
80, 3643696, 1811057, 888, 761, 1810786, 10102, 10102, 3621420931
87, 3642346, 1810694, 869, 715, 1810196, 9936, 9936, 2887844719
91, 3646124, 1812910, 530, 398, 1812602, 9842, 9842, 2846325841
84, 3644738, 1811688, 827, 673, 1811544, 10003, 10003, 582450106
90, 3643538, 1810925, 757, 603, 1810465, 10394, 10394, 1553594392
86, 3642836, 529, 1810999, 1810803, 395, 10055, 10055, 1908605926
89, 3642982, 755, 1811232, 1811089, 608, 9649, 9649, 4223894247
93, 3642448, 1810798, 794, 649, 1810201, 10003, 10003, 894137325
94, 3646906, 532, 1813122, 1812901, 423, 9964, 9964, 553263221
98, 3641787, 629, 1810429, 1810077, 498, 10077, 10077, 2223669072
95, 3645899, 837, 1812652, 1812366, 686, 9679, 9679, 2297080507
88, 3640947, 1809483, 843, 698, 1809067, 10428, 10428, 227584829
101, 3643314, 606, 1811685, 1811249, 466, 9654, 9654, 2072529437
97, 3642898, 1810513, 816, 665, 1810336, 10284, 10284, 3787030488
