sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 2776242, 562391, 559223, 539457, 542531, 286320, 286320
1, 2775653, 565216, 574072, 553905, 545574, 268443, 268443
2, 2774922, 583985, 539455, 519436, 563476, 284285, 284285
3, 2778683, 558869, 576217, 556230, 539273, 274047, 274047
4, 2772955, 568550, 568719, 548917, 548573, 269098, 269098
5, 2780415, 573226, 565901, 546015, 553273, 271000, 271000
6, 2778490, 573839, 563178, 543143, 553468, 272431, 272431
7, 2783663, 570918, 562412, 542865, 550936, 278266, 278266
8, 2779435, 548701, 596512, 575901, 528865, 264728, 264728
9, 2774250, 569670, 561445, 541164, 549357, 276307, 276307
10, 2780321, 572602, 575852, 555612, 552313, 261971, 261971
11, 2777952, 562772, 577545, 558058, 542917, 268330, 268330
12, 2779837, 580132, 552627, 532892, 559564, 277311, 277311
13, 2779443, 560981, 571212, 551374, 540882, 277497, 277497
14, 2776357, 578957, 557511, 537667, 558594, 271814, 271814
15, 2776828, 567189, 569076, 549113, 547324, 272063, 272063
16, 2779453, 543481, 591249, 570583, 524302, 274919, 274919
17, 2773031, 571170, 565067, 545185, 550793, 270408, 270408
18, 2780916, 570730, 560484, 541143, 550689, 278935, 278935
19, 2775180, 566383, 563439, 543139, 546601, 277809, 277809
20, 2775670, 577297, 555982, 535903, 557062, 274713, 274713
21, 2783876, 561007, 573411, 553603, 541395, 277230, 277230
22, 2775890, 570526, 567141, 547065, 550028, 270565, 270565
23, 2776807, 570591, 567082, 547214, 550692, 270614, 270614
24, 2779106, 561441, 574133, 554436, 541416, 273840, 273840
25, 2773756, 564152, 569366, 548958, 544238, 273521, 273521
26, 2781900, 555775, 590132, 570019, 536478, 264748, 264748
27, 2779440, 547460, 589416, 568773, 528003, 272894, 272894
28, 2775398, 560086, 563738, 543939, 539605, 284015, 284015
29, 2781158, 581051, 560233, 540333, 561223, 269159, 269159
30, 2781584, 582511, 561740, 542112, 562549, 266336, 266336
31, 2776174, 575572, 560037, 540249, 555098, 272609, 272609
32, 2783153, 565578, 570159, 550284, 545826, 275653, 275653
33, 2779591, 560124, 567142, 547420, 540543, 282181, 282181
34, 2779189, 553304, 575363, 555219, 533595, 280854, 280854
35, 2776464, 569136, 566106, 546230, 549222, 272885, 272885
36, 2780291, 581125, 548741, 529050, 561297, 280039, 280039
37, 2779951, 570420, 575949, 555547, 550543, 263746, 263746
38, 2780311, 566117, 566818, 547286, 546150, 276970, 276970
39, 2780696, 562794, 570693, 550664, 543139, 276703, 276703
40, 2778040, 568504, 568205, 548342, 548459, 272265, 272265
41, 2779145, 566338, 565758, 545886, 546657, 277253, 277253
42, 2774617, 567607, 572679, 553097, 547502, 266866, 266866
43, 2780746, 560853, 574623, 554694, 541180, 274698, 274698
44, 2778710, 556610, 576210, 556399, 537267, 276112, 276112
45, 2781927, 563957, 558613, 538369, 544286, 288351, 288351
46, 2782433, 574183, 565706, 546091, 554195, 271129, 271129
47, 2775129, 571712, 571562, 551267, 551860, 264364, 264364
48, 2776908, 566003, 568826, 548993, 545960, 273563, 273563
49, 2779794, 573291, 575928, 556077, 552948, 260775, 260775
50, 2776558, 570574, 569560, 549080, 550574, 268385, 268385
