sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
1, 2061187, 434760, 471700, 468186, 431469, 127536, 127536, 3626636100
0, 2058492, 503421, 394892, 391663, 499980, 134268, 134268, 990053860
10, 2058443, 487939, 438762, 435459, 484269, 106007, 106007, 1871494928
11, 2058630, 488002, 431578, 428059, 484315, 113338, 113338, 2939363613
3, 2058643, 462856, 459823, 456359, 459367, 110119, 110119, 3422902870
9, 2058657, 443328, 466965, 463552, 439944, 122434, 122434, 1386072075
6, 2059876, 513992, 409098, 405770, 510478, 110269, 110269, 3590318371
5, 2059886, 509608, 400870, 397392, 506104, 122956, 122956, 1454225915
4, 2062216, 491877, 429006, 425596, 488329, 113704, 113704, 4091802818
8, 2060504, 432946, 480658, 476981, 429541, 120189, 120189, 1029102174
7, 2057653, 461571, 458176, 454762, 458066, 112539, 112539, 1625915754
2, 2062982, 506512, 411528, 408315, 503027, 116800, 116800, 1325917062
14, 2062242, 430239, 486939, 483577, 427003, 117242, 117242, 1499337606
13, 2060168, 407605, 505105, 501680, 404152, 120813, 120813, 2927913077
16, 2062519, 502521, 396106, 393007, 499009, 135938, 135938, 737847639
12, 2060710, 484627, 441039, 437769, 480923, 108176, 108176, 3294464851
15, 2057838, 532140, 392821, 389547, 528232, 107549, 107549, 4164106850
17, 2060837, 464929, 444873, 441430, 461423, 124091, 124091, 3877458736
21, 2061687, 394734, 493727, 490065, 391603, 145779, 145779, 2438027553
22, 2062495, 437587, 476189, 472923, 434322, 120737, 120737, 1595078280
18, 2061576, 447456, 469635, 466149, 444192, 117072, 117072, 2440236104
20, 2059194, 516454, 385132, 381852, 512656, 131550, 131550, 2555711887
23, 2059743, 450554, 466473, 463098, 447158, 116230, 116230, 362422222
19, 2057593, 504151, 396424, 393039, 500575, 131702, 131702, 416175008
26, 2059781, 436780, 475762, 472127, 433306, 120903, 120903, 129444658
24, 2058387, 350276, 549273, 545610, 347118, 133055, 133055, 3715124162
27, 2059693, 413547, 501637, 498086, 410287, 118068, 118068, 2374141978
33, 2057598, 428028, 482573, 478927, 424736, 121667, 121667, 1157771627
28, 2057992, 496082, 404880, 401678, 492270, 131541, 131541, 3737593775
31, 2054513, 454914, 463426, 459748, 451165, 112630, 112630, 981186100
29, 2059408, 472796, 453585, 450214, 469051, 106881, 106881, 1719355163
25, 2063355, 520132, 401655, 398487, 516529, 113276, 113276, 1838228982
30, 2059085, 434634, 472895, 469465, 431433, 125329, 125329, 3600226118
34, 2060223, 484225, 428371, 425154, 480653, 120910, 120910, 1633784898
32, 2061734, 512242, 415628, 412434, 508528, 106451, 106451, 255272412
35, 2061891, 471257, 452173, 448693, 467530, 111119, 111119, 1668899655
36, 2062829, 488392, 413298, 410041, 485058, 133020, 133020, 2619336714
38, 2059664, 433079, 475827, 472424, 429730, 124302, 124302, 3524485557
37, 2064330, 432437, 497967, 494573, 429035, 105159, 105159, 1795312274
41, 2060085, 410312, 508360, 504543, 407122, 114874, 114874, 1357108255
40, 2058826, 389401, 530208, 526346, 385953, 113459, 113459, 2931892709
39, 2060532, 425621, 477959, 474547, 422059, 130173, 130173, 651727833
42, 2060664, 456266, 453217, 449956, 452885, 124170, 124170, 4021111035
43, 2058061, 436830, 476085, 472378, 433424, 119672, 119672, 3295725023
45, 2059658, 408047, 506017, 502321, 404745, 119264, 119264, 1880474328
44, 2059108, 508930, 384024, 380826, 505432, 139948, 139948, 3822205528
46, 2058554, 496073, 423763, 420385, 492367, 112983, 112983, 3035711973
47, 2058744, 495515, 418303, 414876, 491992, 119029, 119029, 1504462320
48, 2058633, 426597, 461706, 458291, 423243, 144398, 144398, 931700108
49, 2060906, 456253, 461680, 458176, 452815, 115991, 115991, 3414024167
52, 2057005, 452944, 470216, 466716, 449355, 108887, 108887, 2563831979
51, 2057268, 429224, 476099, 472691, 425770, 126742, 126742, 3096700748
54, 2060167, 511559, 404639, 401541, 507960, 117234, 117234, 2081058728
55, 2058685, 417698, 491351, 487731, 414347, 123779, 123779, 2877002104
50, 2060104, 506832, 410592, 407157, 502947, 116288, 116288, 3049195319
53, 2059081, 455208, 432201, 428690, 451784, 145599, 145599, 5809812
57, 2060291, 467576, 438612, 435138, 464161, 127402, 127402, 3856318261
56, 2059601, 424079, 464131, 460505, 420668, 145109, 145109, 910111880
58, 2058567, 458759, 457457, 453989, 455424, 116469, 116469, 1282954149
59, 2059908, 445920, 467716, 464256, 442742, 119637, 119637, 1031430282
60, 2059814, 411814, 508959, 505188, 408483, 112685, 112685, 2365428774
62, 2058653, 404986, 502577, 498714, 401708, 125334, 125334, 1478432934
61, 2057635, 454609, 432813, 429259, 451386, 144784, 144784, 2086682740
64, 2059483, 391788, 508636, 504833, 388440, 132893, 132893, 54050655
63, 2057630, 442525, 445093, 441520, 438946, 144773, 144773, 119241212
66, 2058532, 463866, 436606, 433194, 460240, 132313, 132313, 3571562108
65, 2060309, 464865, 437540, 434027, 461395, 131241, 131241, 2768876841
69, 2056966, 443128, 457290, 453679, 439443, 131713, 131713, 4182937560
70, 2058555, 439614, 464983, 461537, 436007, 128207, 128207, 1887738184
68, 2063573, 406094, 515599, 512044, 402746, 113545, 113545, 3411195365
67, 2060218, 518071, 392702, 389692, 514541, 122606, 122606, 2383651490
71, 2058961, 494678, 425964, 422418, 491183, 112359, 112359, 723149181
72, 2060188, 479404, 420872, 417697, 475713, 133251, 133251, 182109536
74, 2059110, 518979, 404738, 401425, 515244, 109362, 109362, 2125917833
73, 2062018, 441268, 451153, 447898, 437959, 141870, 141870, 12029048
75, 2060808, 440734, 456316, 452788, 437224, 136873, 136873, 3599993080
76, 2062087, 489666, 433454, 429887, 486066, 111507, 111507, 2316221178
77, 2059565, 509713, 410935, 407676, 506129, 112556, 112556, 2442692848
78, 2060929, 450158, 458743, 455432, 446884, 124856, 124856, 2795827408
80, 2061174, 449948, 483483, 480008, 446303, 100716, 100716, 3065929340
79, 2057457, 477073, 443517, 440080, 473459, 111664, 111664, 1669136072
81, 2058128, 416272, 489137, 485493, 412896, 127165, 127165, 946759475
82, 2061395, 441965, 454116, 450374, 438686, 138127, 138127, 2334561517
83, 2059524, 462620, 429139, 425709, 459222, 141417, 141417, 2466523274
84, 2059097, 493658, 422173, 418961, 489977, 117164, 117164, 95601466
85, 2060321, 442083, 457564, 453988, 438692, 133997, 133997, 2866775876
86, 2058280, 451155, 446462, 442991, 447624, 135024, 135024, 658453477
87, 2059314, 464785, 461687, 458151, 461391, 106650, 106650, 3856474902
90, 2057504, 441895, 480570, 476713, 438234, 110046, 110046, 1593456964
89, 2059262, 412709, 499176, 495556, 409255, 121283, 121283, 265895766
88, 2057265, 499275, 422993, 419624, 495645, 109864, 109864, 1378762928
92, 2059804, 457480, 469443, 466176, 453929, 106388, 106388, 893096484
91, 2059965, 460570, 454298, 450876, 457219, 118501, 118501, 1501594306
93, 2057064, 418386, 484781, 481109, 414930, 128929, 128929, 1009676336
94, 2060491, 476331, 445951, 442569, 472922, 111359, 111359, 182579860
95, 2056792, 402176, 515933, 512182, 398873, 113814, 113814, 2562271558
