sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
12, 1923142, 404815, 410671, 377484, 372818, 178677, 178677, 2267611092
14, 1923562, 398367, 423168, 389140, 364879, 174004, 174004, 2311847812
2, 1926573, 406490, 417345, 383428, 373262, 173024, 173024, 3315982627
10, 1928288, 435100, 391137, 359383, 400588, 171040, 171040, 1483483276
6, 1922823, 388672, 429959, 395746, 356080, 176183, 176183, 410802334
1, 1922810, 408621, 413676, 380163, 375264, 172543, 172543, 2720122710
15, 1926304, 388565, 431102, 396701, 356768, 176584, 176584, 2503068952
7, 1920783, 443210, 379858, 346722, 408367, 171313, 171313, 1535649534
11, 1927073, 425205, 402960, 370386, 391944, 168289, 168289, 2146424402
3, 1922879, 402240, 422320, 389088, 368833, 170199, 170199, 2585341860
9, 1923584, 408899, 415431, 382068, 375588, 170799, 170799, 3980222998
13, 1930859, 430585, 399356, 367140, 396924, 168427, 168427, 3406238269
5, 1923636, 405776, 423415, 390051, 373282, 165556, 165556, 2472227213
0, 1925285, 408069, 417375, 384161, 374604, 170538, 170538, 1957031979
8, 1920625, 403691, 415271, 382173, 370450, 174520, 174520, 1085928804
4, 1925637, 433667, 392490, 359969, 399547, 169982, 169982, 3541021031
16, 1925951, 378254, 443576, 409963, 346100, 174029, 174029, 1413675299
17, 1921855, 403572, 421607, 387825, 370097, 169377, 169377, 2929296976
18, 1922354, 403055, 417096, 383928, 369941, 174167, 174167, 2013366447
19, 1924612, 419595, 397406, 364650, 386415, 178273, 178273, 3600290801
21, 1920902, 422959, 394806, 361824, 388801, 176256, 176256, 3543583025
20, 1920855, 426578, 396283, 362879, 392995, 171060, 171060, 1063769674
22, 1921714, 398271, 420946, 387595, 365438, 174732, 174732, 2138221510
23, 1920906, 409473, 413082, 379228, 376135, 171494, 171494, 2390134461
29, 1926369, 396642, 423559, 390109, 364173, 175943, 175943, 3820393356
27, 1922582, 402788, 421258, 388328, 369568, 170320, 170320, 2609079499
25, 1920259, 407870, 410799, 377495, 373867, 175114, 175114, 1559890817
28, 1925282, 423383, 401032, 367867, 389466, 171767, 171767, 1237884998
26, 1922253, 430187, 387651, 354548, 395885, 176991, 176991, 2695146028
24, 1925845, 403253, 417468, 384155, 370277, 175346, 175346, 3026855210
30, 1922572, 415798, 409153, 375946, 382161, 169757, 169757, 1593650115
31, 1925824, 427333, 395650, 363116, 393815, 172955, 172955, 2572183268
32, 1927285, 409523, 420391, 387120, 375709, 167271, 167271, 2343275199
33, 1924424, 408359, 415454, 381986, 375519, 171553, 171553, 1917842984
36, 1930887, 429853, 399692, 367045, 396059, 169119, 169119, 2741952247
34, 1927834, 432732, 391424, 358750, 399890, 172519, 172519, 158858735
37, 1925666, 420393, 395340, 362559, 386602, 180386, 180386, 2292172547
39, 1920454, 410757, 410856, 377347, 377136, 172179, 172179, 3808430537
38, 1923008, 400469, 422022, 388636, 367681, 172100, 172100, 2622124006
35, 1925269, 418486, 404525, 371432, 384614, 173106, 173106, 1448273422
42, 1931953, 404669, 422143, 389882, 371829, 171715, 171715, 1296011482
41, 1926034, 424903, 401926, 368522, 391245, 169719, 169719, 10552661
40, 1927142, 397556, 429930, 396434, 364518, 169352, 169352, 3712161986
44, 1921659, 424837, 396799, 363736, 391239, 172524, 172524, 970583937
43, 1921042, 412460, 409542, 376550, 378516, 171987, 171987, 305531183
46, 1926535, 396250, 426460, 392715, 362924, 174093, 174093, 2672565197
45, 1927261, 396456, 427072, 393617, 363888, 173114, 173114, 1366559333
47, 1926686, 402565, 418297, 385639, 369739, 175223, 175223, 1713522974
48, 1921394, 392003, 429209, 394851, 359373, 172979, 172979, 1308151525
49, 1921037, 419755, 400959, 367538, 385599, 173593, 173593, 3011527798
50, 1928127, 385870, 426859, 393889, 352697, 184406, 184406, 4036398119
51, 1927922, 418296, 407364, 374240, 385442, 171290, 171290, 673505657
53, 1927777, 399053, 430771, 396912, 366113, 167464, 167464, 3625856721
52, 1928358, 396832, 427048, 393892, 364438, 173074, 173074, 717990068
54, 1919898, 422032, 399096, 365097, 388269, 172702, 172702, 1658677622
55, 1923402, 403544, 414718, 381793, 369783, 176782, 176782, 1062251963
59, 1931439, 422628, 405869, 373035, 389289, 170309, 170309, 922717805
58, 1925729, 419176, 403206, 370378, 385625, 173672, 173672, 2126273252
57, 1922071, 414005, 408209, 374861, 380574, 172211, 172211, 818634811
60, 1924915, 432419, 394082, 360999, 398347, 169534, 169534, 1897437732
56, 1924604, 406734, 412523, 378794, 373259, 176647, 176647, 3395955503
62, 1919094, 404003, 419549, 385781, 370491, 169635, 169635, 2851021873
61, 1922719, 424246, 394873, 362148, 390898, 175277, 175277, 2959972181
63, 1925491, 420971, 400992, 368490, 387856, 173591, 173591, 487180739
64, 1924172, 415257, 397231, 364621, 381983, 182540, 182540, 2532656841
65, 1923672, 406734, 416581, 383397, 373588, 171686, 171686, 143354581
67, 1928887, 389513, 439513, 405877, 357406, 168289, 168289, 725468986
66, 1916535, 413279, 406715, 372972, 379387, 172091, 172091, 3544997008
68, 1926254, 417111, 404486, 371459, 383880, 174659, 174659, 2930099048
71, 1922603, 387247, 435118, 400704, 354544, 172495, 172495, 821010424
70, 1924715, 436456, 385592, 353091, 402492, 173542, 173542, 2638021178
72, 1927293, 415221, 415120, 382318, 382104, 166265, 166265, 2137305118
69, 1927411, 415623, 400955, 368345, 381402, 180543, 180543, 4193102756
75, 1921932, 395208, 427733, 394220, 362759, 171006, 171006, 359990002
74, 1925288, 404378, 418160, 384263, 371725, 173381, 173381, 3659839199
76, 1925056, 403765, 425748, 391813, 370568, 166581, 166581, 2544903024
73, 1929300, 411386, 407130, 373596, 378402, 179393, 179393, 3389275028
77, 1923287, 429083, 393499, 360980, 394985, 172370, 172370, 3438174646
79, 1925366, 394391, 426355, 393511, 361549, 174780, 174780, 3989170622
78, 1923139, 407816, 420210, 386239, 374354, 167260, 167260, 1954368393
80, 1927515, 421051, 405750, 372312, 388272, 170065, 170065, 2854030341
81, 1921935, 393769, 425329, 391790, 360737, 175155, 175155, 1952286566
