sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
3, 488830, 100634, 98514, 80192, 82712, 63389, 63389, 2311377431
2, 489003, 99391, 100470, 82319, 81409, 62707, 62707, 786637772
0, 488902, 100642, 96538, 78831, 82559, 65166, 65166, 3153145351
6, 489561, 100552, 97815, 79974, 82496, 64362, 64362, 465819155
4, 489064, 98750, 99226, 81075, 80903, 64555, 64555, 1967872872
5, 489234, 98888, 100576, 82219, 80847, 63352, 63352, 827353919
7, 490246, 98269, 102874, 84765, 80298, 62020, 62020, 2207315525
1, 489937, 98330, 99524, 81564, 80377, 65071, 65071, 3790357371
8, 490167, 99235, 99957, 81934, 81103, 63969, 63969, 3887947145
9, 489171, 98669, 99499, 81450, 80625, 64464, 64464, 2999380567
10, 490552, 100385, 99100, 81286, 81919, 63931, 63931, 226874817
11, 488055, 97406, 101174, 82998, 79373, 63552, 63552, 2518717624
12, 487159, 100007, 99084, 81138, 81804, 62563, 62563, 1003405547
17, 490048, 99750, 98664, 80689, 81663, 64641, 64641, 3451172212
20, 488588, 97039, 99689, 81640, 79248, 65486, 65486, 84200569
18, 488380, 101199, 97882, 79990, 82931, 63189, 63189, 817844544
13, 489667, 101095, 96914, 79247, 82741, 64835, 64835, 1252558817
21, 489123, 99757, 99472, 81657, 81509, 63364, 63364, 3515436642
15, 487730, 100683, 97563, 79198, 82474, 63906, 63906, 642378069
19, 489499, 101236, 98226, 80020, 82731, 63643, 63643, 1703179000
14, 489454, 97113, 100603, 82560, 79272, 64953, 64953, 3743804343
16, 489961, 98647, 98560, 80724, 80754, 65638, 65638, 2463861424
22, 488722, 97077, 99954, 81805, 79060, 65413, 65413, 2185645997
23, 489694, 98622, 98252, 80593, 80515, 65856, 65856, 2057972558
24, 490310, 99711, 99173, 80964, 81514, 64474, 64474, 1081151803
27, 487666, 97447, 98615, 80365, 79435, 65902, 65902, 1719998859
28, 488999, 96905, 100702, 82482, 79010, 64950, 64950, 2315129783
25, 489838, 96967, 101293, 83113, 79181, 64642, 64642, 1201068247
29, 489243, 100833, 97822, 79884, 82476, 64114, 64114, 4278217660
32, 489061, 98819, 96756, 78949, 80757, 66890, 66890, 1069876442
30, 489377, 100049, 100081, 81896, 82021, 62665, 62665, 1556540373
26, 486486, 99248, 98715, 80556, 80921, 63523, 63523, 2044158972
31, 489506, 97818, 100420, 82468, 79868, 64466, 64466, 3855373163
35, 488999, 99616, 99073, 80866, 81500, 63972, 63972, 2108602436
34, 488703, 99833, 99639, 81928, 81701, 62801, 62801, 1565008443
33, 489652, 99962, 98766, 80620, 81732, 64286, 64286, 1224268248
36, 492344, 98190, 100136, 82164, 80630, 65612, 65612, 1082682623
38, 488664, 100558, 98838, 80692, 82178, 63199, 63199, 3152808629
40, 488554, 99150, 98255, 80427, 80896, 64913, 64913, 2275321442
41, 490853, 97787, 101512, 83519, 79707, 64164, 64164, 3659290020
37, 489924, 98156, 99449, 81566, 79945, 65404, 65404, 1071927089
43, 491249, 98698, 100582, 82447, 80626, 64448, 64448, 2025041999
39, 488768, 101758, 97286, 79200, 83542, 63491, 63491, 3621394811
42, 490999, 100511, 98116, 80150, 82464, 64879, 64879, 3177355969
44, 489283, 98077, 101855, 83586, 80055, 62855, 62855, 756982774
45, 491573, 98840, 99384, 81628, 80949, 65386, 65386, 2081492468
46, 488823, 101291, 97161, 79312, 82655, 64202, 64202, 3149961154
47, 490518, 100129, 98775, 80769, 82213, 64316, 64316, 3862199354
49, 488609, 100144, 98832, 80554, 82051, 63514, 63514, 2756620295
48, 487683, 102165, 96446, 78505, 83735, 63416, 63416, 3423054460
