sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
11, 1037741, 9576, 488277, 484702, 6768, 24209, 24209, 1493551987
2, 1038564, 9250, 489669, 486036, 6467, 23571, 23571, 2459629199
9, 1036313, 14297, 483344, 479924, 11390, 23679, 23679, 2860007080
3, 1034805, 13067, 482977, 479434, 10133, 24597, 24597, 3597725422
6, 1038487, 488254, 9336, 6487, 485202, 24604, 24604, 2761767389
4, 1035471, 13457, 481277, 478159, 10438, 26070, 26070, 1688932409
1, 1036998, 487408, 9535, 6739, 484080, 24618, 24618, 32815380
7, 1034713, 10745, 481780, 478587, 7769, 27916, 27916, 2629283771
0, 1035207, 480197, 13210, 10279, 476785, 27368, 27368, 1022615128
15, 1038639, 485786, 11299, 8431, 482665, 25229, 25229, 3980522027
8, 1034124, 482411, 12373, 9372, 478804, 25582, 25582, 1692549344
12, 1038455, 485789, 10751, 7792, 482623, 25750, 25750, 419705287
5, 1036174, 476861, 16878, 13971, 473966, 27249, 27249, 1227461771
13, 1038814, 488854, 9304, 6470, 485940, 24123, 24123, 3547496549
14, 1038510, 9259, 488608, 485572, 6349, 24361, 24361, 3440571954
10, 1035976, 482653, 11520, 8585, 479510, 26854, 26854, 3903300843
18, 1038849, 11536, 487370, 483999, 8730, 23607, 23607, 2956048832
22, 1030980, 11279, 482144, 478068, 8345, 25572, 25572, 483646060
16, 1033622, 19401, 473391, 470284, 16370, 27088, 27088, 3980996825
19, 1037423, 483493, 11943, 9155, 480468, 26182, 26182, 3838654037
24, 1041731, 9811, 490361, 486872, 6983, 23852, 23852, 935138598
23, 1038133, 11232, 486647, 483524, 8454, 24138, 24138, 2406326679
17, 1036002, 479431, 16833, 13905, 476347, 24743, 24743, 2433899923
26, 1033964, 11973, 482895, 479649, 9147, 25150, 25150, 795983193
21, 1036485, 485028, 10876, 8027, 482172, 25191, 25191, 317196268
20, 1039255, 489933, 8933, 6219, 486734, 23718, 23718, 3237934205
27, 1038640, 10591, 487011, 484165, 7717, 24578, 24578, 3506308205
31, 1041383, 10361, 489392, 486460, 7500, 23835, 23835, 1233906799
30, 1035288, 11466, 483703, 480788, 8419, 25456, 25456, 2777640256
25, 1036747, 483824, 11553, 8616, 480844, 25955, 25955, 739210238
28, 1038566, 9584, 489472, 486418, 6844, 23124, 23124, 3508088740
33, 1037511, 9934, 488104, 485082, 7083, 23654, 23654, 1510278619
32, 1038740, 479905, 16456, 13602, 476637, 26070, 26070, 2721799484
34, 1039719, 486146, 13168, 10324, 482469, 23806, 23806, 3101171170
35, 1037159, 485701, 12014, 9022, 482120, 24151, 24151, 746528684
40, 1042600, 8934, 491155, 488156, 6215, 24070, 24070, 2723566394
38, 1036953, 488334, 10198, 7461, 484984, 22988, 22988, 1191154321
36, 1038556, 480986, 15150, 12322, 477506, 26296, 26296, 2251441592
43, 1037309, 9136, 488382, 484650, 6215, 24463, 24463, 2428160761
29, 1033961, 484438, 10201, 7226, 481368, 25364, 25364, 1530650534
