sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
8, 4575459, 378189, 1734458, 1724226, 369346, 184620, 184620, 4253316786
14, 4572952, 318194, 1783730, 1773365, 308993, 194335, 194335, 1473446857
3, 4568974, 294612, 1810251, 1800128, 285511, 189236, 189236, 667238642
9, 4565269, 360532, 1742776, 1732621, 351224, 189058, 189058, 3765540238
10, 4569313, 1813529, 303587, 294411, 1802642, 177572, 177572, 39230573
13, 4562484, 462661, 1630751, 1620484, 453446, 197571, 197571, 535998641
15, 4569764, 1592756, 426740, 417580, 1581560, 275564, 275564, 1001180251
0, 4576517, 720858, 1383986, 1373920, 711801, 192976, 192976, 1040396792
6, 4569458, 1634716, 464584, 455437, 1624043, 195339, 195339, 957336618
2, 4570408, 1598051, 500709, 491145, 1587461, 196521, 196521, 3779448921
11, 4570583, 1680538, 427557, 418467, 1670977, 186522, 186522, 1628214336
7, 4569197, 1000112, 1092721, 1083252, 989888, 201612, 201612, 3780699048
5, 4568419, 341102, 1767008, 1757494, 332113, 185351, 185351, 2353632163
4, 4566067, 459391, 1615572, 1605166, 450072, 217933, 217933, 2858429419
1, 4558680, 1637038, 456719, 447524, 1626877, 195261, 195261, 3725275721
12, 4571999, 1057886, 1019266, 1009768, 1047967, 218556, 218556, 1799192209
24, 4570570, 1755586, 356734, 347344, 1745490, 182708, 182708, 508382233
16, 4559828, 542808, 1553991, 1543631, 533358, 193020, 193020, 2897328658
22, 4567571, 1968008, 155153, 146504, 1956550, 170678, 170678, 114459872
21, 4566196, 1201372, 901615, 891774, 1191465, 189985, 189985, 2859441677
29, 4573575, 1914963, 210964, 202311, 1903619, 170859, 170859, 3308205536
17, 4566327, 986988, 1095441, 1086111, 977555, 210116, 210116, 404707016
23, 4565402, 1858870, 255060, 245927, 1847993, 178776, 178776, 1372539683
18, 4562435, 847332, 1239518, 1229094, 837887, 204302, 204302, 1951437039
25, 4574598, 1815434, 295500, 286683, 1805523, 185729, 185729, 2718646760
30, 4567968, 621689, 1470018, 1460808, 611833, 201810, 201810, 1287994337
26, 4574396, 1695641, 395661, 386575, 1685035, 205742, 205742, 2726169360
19, 4571539, 764678, 1333169, 1323207, 754501, 197992, 197992, 3687024829
28, 4561616, 339308, 1769283, 1758902, 330437, 181843, 181843, 3282545070
20, 4574551, 1440005, 655688, 646645, 1429707, 201253, 201253, 1919777827
27, 4573117, 1932828, 193501, 184644, 1922900, 169622, 169622, 2739684887
31, 4567176, 1530293, 561236, 551832, 1520483, 201666, 201666, 140743023
34, 4571253, 325504, 1765638, 1755270, 316379, 204231, 204231, 2824211677
32, 4572172, 1663498, 436539, 426819, 1653200, 196058, 196058, 4091693468
38, 4555889, 418160, 1678170, 1667836, 408527, 191598, 191598, 389562280
33, 4568308, 1698323, 400648, 391687, 1688282, 194684, 194684, 2937564938
