rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.130000	0.961091	0.923695	0.000320	0.853213	0.963355	0.928053	0.000317	0.861282
0.131000	0.958582	0.918880	0.000369	0.844342	0.960946	0.923417	0.000367	0.852699
0.132000	0.954896	0.912738	0.030208	0.833926	0.957359	0.917454	0.030286	0.842566
0.133000	0.952821	0.907868	0.000481	0.824225	0.955394	0.912777	0.000479	0.833163
0.134000	0.949493	0.901537	0.000581	0.812770	0.952174	0.906637	0.000579	0.821991
0.135000	0.945768	0.894477	0.000697	0.800090	0.948560	0.899767	0.000697	0.809583
0.136000	0.941578	0.886569	0.000885	0.786008	0.944484	0.892051	0.000885	0.795757
0.137000	0.936795	0.877587	0.001161	0.770163	0.939816	0.883255	0.001162	0.780144
0.138000	0.931077	0.866907	0.001672	0.751538	0.934213	0.872757	0.001676	0.761715
0.139000	0.923235	0.853223	0.029332	0.728744	0.926483	0.859236	0.029435	0.739052
0.140000	0.915307	0.837820	0.005725	0.702046	0.918666	0.843980	0.005744	0.712408
0.141000	0.902039	0.813791	0.010814	0.662614	0.905495	0.820040	0.010855	0.672830
0.142000	0.879076	0.773643	0.029481	0.600757	0.882590	0.779841	0.029598	0.610421
0.143000	0.830372	0.697379	0.088668	0.498700	0.833833	0.703204	0.089036	0.507066
0.144000	0.715104	0.538778	0.165546	0.323518	0.718211	0.543471	0.166264	0.329177
0.145000	0.526914	0.327325	0.222903	0.147610	0.529301	0.330296	0.223912	0.150302
0.146000	0.358488	0.168188	0.199185	0.050411	0.360179	0.169778	0.200123	0.051368
0.147000	0.234540	0.078631	0.153693	0.013608	0.235693	0.079405	0.154448	0.013877
0.148000	0.158624	0.037930	0.112998	0.003894	0.159435	0.038319	0.113576	0.003974
0.149000	0.121727	0.022008	0.084796	0.001246	0.122375	0.022243	0.085246	0.001273
0.150000	0.091310	0.012812	0.066888	0.000456	0.091816	0.012954	0.067259	0.000466
0.151000	0.071869	0.008065	0.053853	0.000189	0.072283	0.008158	0.054162	0.000194
0.152000	0.057796	0.005268	0.043910	0.000082	0.058142	0.005332	0.044173	0.000084
0.153000	0.047494	0.003452	0.034581	0.000033	0.047790	0.003495	0.034797	0.000033
0.154000	0.040784	0.002663	0.031612	0.000021	0.041048	0.002697	0.031817	0.000022
0.155000	0.036730	0.002175	0.028735	0.000015	0.036977	0.002204	0.028928	0.000015
0.156000	0.030452	0.001456	0.022987	0.000006	0.030664	0.001476	0.023148	0.000006
0.157000	0.026172	0.001077	0.019812	0.000003	0.026361	0.001093	0.019955	0.000004
0.158000	0.023388	0.000862	0.017743	0.000002	0.023564	0.000875	0.017876	0.000002
0.159000	0.021023	0.000695	0.015919	0.000001	0.021187	0.000706	0.016043	0.000002
0.160000	0.018537	0.000543	0.014118	0.000001	0.018685	0.000552	0.014232	0.000001
0.161000	0.017036	0.000465	0.013224	0.000001	0.017179	0.000473	0.013334	0.000001
0.162000	0.015702	0.000389	0.011915	0.000000	0.015838	0.000395	0.012018	0.000000
0.163000	0.014661	0.000337	0.011041	0.000000	0.014794	0.000343	0.011139	0.000000
0.164000	0.013819	0.000301	0.010477	0.000000	0.013947	0.000306	0.010575	0.000000
0.165000	0.012287	0.000237	0.009262	0.000000	0.012405	0.000241	0.009352	0.000000
0.166000	0.012129	0.000224	0.008741	0.000000	0.012251	0.000228	0.008830	0.000000
0.167000	0.010684	0.000181	0.008190	0.000000	0.010795	0.000185	0.008275	0.000000
0.168000	0.010423	0.000169	0.007796	0.000000	0.010534	0.000173	0.007879	0.000000
0.169000	0.010046	0.000155	0.007351	0.000000	0.010159	0.000158	0.007433	0.000000
0.170000	0.008744	0.000120	0.006580	0.000000	0.008844	0.000123	0.006657	0.000000
0.171000	0.008538	0.000115	0.006515	0.000000	0.008640	0.000118	0.006593	0.000000
0.172000	0.007891	0.000097	0.005922	0.000000	0.007990	0.000100	0.005995	0.000000
0.173000	0.007782	0.000092	0.005572	0.000000	0.007880	0.000094	0.005642	0.000000
0.174000	0.007110	0.000080	0.005384	0.000000	0.007204	0.000082	0.005454	0.000000
0.175000	0.006848	0.000073	0.005147	0.000000	0.006942	0.000075	0.005216	0.000000
0.176000	0.006563	0.000066	0.004798	0.000000	0.006656	0.000068	0.004867	0.000000
0.177000	0.006230	0.000061	0.004735	0.000000	0.006323	0.000063	0.004804	0.000000
0.178000	0.005848	0.000054	0.004438	0.000000	0.005936	0.000056	0.004503	0.000000
0.179000	0.005748	0.000053	0.004440	0.000000	0.005837	0.000054	0.004511	0.000000
0.180000	0.005456	0.000046	0.004042	0.000000	0.005542	0.000048	0.004109	0.000000
