rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.130000	0.960237	0.922976	0.030349	0.852743	0.962498	0.927328	0.030418	0.860804
0.131000	0.958752	0.919208	0.001348	0.844950	0.961115	0.923743	0.001336	0.853309
0.132000	0.956140	0.914205	0.001480	0.835780	0.958605	0.918925	0.001468	0.844432
0.133000	0.953092	0.908388	0.001742	0.825180	0.955663	0.913294	0.001734	0.834118
0.134000	0.948854	0.901229	0.030085	0.813043	0.951531	0.906322	0.030172	0.822257
0.135000	0.946203	0.895305	0.002272	0.801590	0.948986	0.900580	0.002270	0.811063
0.136000	0.942027	0.887425	0.003143	0.787557	0.944932	0.892906	0.003144	0.797316
0.137000	0.936429	0.877784	0.029744	0.771319	0.939445	0.883447	0.029839	0.781305
0.138000	0.930792	0.867263	0.029828	0.752978	0.933925	0.873111	0.029927	0.763167
0.139000	0.923649	0.854883	0.041905	0.732461	0.926896	0.860904	0.042052	0.742816
0.140000	0.917254	0.841466	0.010558	0.708421	0.920619	0.847651	0.010589	0.718873
0.141000	0.906866	0.823537	0.033650	0.679772	0.910337	0.829855	0.033776	0.690242
0.142000	0.893435	0.798886	0.025686	0.640043	0.897000	0.805274	0.025778	0.650317
0.143000	0.870289	0.762072	0.068333	0.587665	0.873914	0.768434	0.068615	0.597517
0.144000	0.831463	0.701185	0.099265	0.507855	0.835079	0.707297	0.099695	0.516746
0.145000	0.780639	0.627402	0.134182	0.419559	0.784171	0.633091	0.134783	0.427199
0.146000	0.700803	0.524240	0.181974	0.314092	0.704110	0.529197	0.182830	0.320059
0.147000	0.602207	0.407619	0.212050	0.210705	0.605167	0.411636	0.213092	0.214877
0.148000	0.500342	0.299248	0.221146	0.129814	0.502902	0.302317	0.222275	0.132489
0.149000	0.412633	0.214981	0.211460	0.075561	0.414826	0.217272	0.212583	0.077179
0.150000	0.324823	0.143190	0.194115	0.039291	0.326619	0.144779	0.195188	0.040167
0.151000	0.268744	0.100902	0.169347	0.021106	0.270294	0.102068	0.170322	0.021596
0.152000	0.213453	0.067926	0.149544	0.011132	0.214731	0.068741	0.150439	0.011400
0.153000	0.182786	0.049477	0.126752	0.006128	0.183920	0.050092	0.127536	0.006281
0.154000	0.156095	0.036854	0.111752	0.003525	0.157104	0.037332	0.112475	0.003617
0.155000	0.134367	0.027657	0.097993	0.002100	0.135270	0.028030	0.098650	0.002157
0.156000	0.112300	0.019372	0.082225	0.001013	0.113086	0.019645	0.082802	0.001041
0.157000	0.096047	0.014566	0.073083	0.000615	0.096741	0.014778	0.073614	0.000633
0.158000	0.087470	0.012183	0.067317	0.000431	0.088128	0.012367	0.067823	0.000444
0.159000	0.080259	0.009979	0.059475	0.000310	0.080886	0.010136	0.059942	0.000320
0.160000	0.073768	0.008664	0.056769	0.000219	0.074368	0.008806	0.057233	0.000226
0.161000	0.062674	0.006370	0.049411	0.000129	0.063198	0.006476	0.049824	0.000134
0.162000	0.060667	0.005591	0.043712	0.000085	0.061194	0.005689	0.044090	0.000088
0.163000	0.053880	0.004519	0.040196	0.000061	0.054363	0.004600	0.040560	0.000063
0.164000	0.049974	0.003943	0.038025	0.000046	0.050443	0.004017	0.038378	0.000048
0.165000	0.046951	0.003393	0.034483	0.000035	0.047406	0.003460	0.034817	0.000036
0.166000	0.042270	0.002783	0.031565	0.000023	0.042692	0.002839	0.031881	0.000024
0.167000	0.041302	0.002653	0.030781	0.000020	0.041732	0.002709	0.031099	0.000021
0.168000	0.035499	0.001983	0.026889	0.000013	0.035880	0.002026	0.027177	0.000013
0.169000	0.034069	0.001878	0.026781	0.000011	0.034444	0.001920	0.027082	0.000012
0.170000	0.032076	0.001635	0.024626	0.000008	0.032443	0.001673	0.024910	0.000008
0.171000	0.030812	0.001519	0.023866	0.000007	0.031184	0.001556	0.024148	0.000007
0.172000	0.029035	0.001332	0.022121	0.000005	0.029392	0.001365	0.022392	0.000006
0.173000	0.028948	0.001309	0.021697	0.000005	0.029316	0.001342	0.021979	0.000005
0.174000	0.026982	0.001140	0.020303	0.000004	0.027338	0.001171	0.020571	0.000004
0.175000	0.025072	0.000992	0.019061	0.000003	0.025412	0.001019	0.019324	0.000003
0.176000	0.023773	0.000889	0.017996	0.000002	0.024108	0.000914	0.018246	0.000002
0.177000	0.023367	0.000864	0.017845	0.000002	0.023698	0.000889	0.018102	0.000002
0.178000	0.022279	0.000780	0.016837	0.000002	0.022610	0.000803	0.017091	0.000002
0.179000	0.020403	0.000656	0.015486	0.000001	0.020714	0.000676	0.015722	0.000001
0.180000	0.020721	0.000677	0.015740	0.000001	0.021062	0.000699	0.015993	0.000001
