rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.130000	0.961139	0.923788	0.000677	0.853387	0.963401	0.928142	0.000672	0.861450
0.131000	0.958644	0.918999	0.000702	0.844560	0.961006	0.923533	0.000697	0.852916
0.132000	0.954939	0.912822	0.030217	0.834081	0.957402	0.917537	0.030295	0.842719
0.133000	0.952906	0.908030	0.000971	0.824522	0.955478	0.912938	0.000967	0.833460
0.134000	0.947768	0.900064	0.042422	0.811744	0.950446	0.905157	0.042542	0.820955
0.135000	0.945926	0.894777	0.001420	0.800633	0.948718	0.900068	0.001420	0.810130
0.136000	0.941749	0.886894	0.001712	0.786591	0.944653	0.892372	0.001711	0.796339
0.137000	0.936880	0.877750	0.002327	0.770463	0.939899	0.883416	0.002329	0.780443
0.138000	0.931322	0.867370	0.003131	0.752364	0.934458	0.873222	0.003137	0.762550
0.139000	0.924922	0.855499	0.004241	0.731940	0.928174	0.861525	0.004253	0.742287
0.140000	0.916587	0.840175	0.006534	0.706031	0.919951	0.846353	0.006555	0.716453
0.141000	0.902801	0.816746	0.041198	0.668854	0.906259	0.823016	0.041355	0.679161
0.142000	0.886655	0.787167	0.031788	0.621786	0.890198	0.793472	0.031913	0.631786
0.143000	0.857012	0.737471	0.054783	0.550098	0.860587	0.743636	0.055010	0.559334
0.144000	0.801642	0.655475	0.113335	0.448115	0.805127	0.661185	0.113826	0.455956
0.145000	0.696619	0.516577	0.176913	0.303704	0.699774	0.521266	0.177714	0.309243
0.146000	0.559224	0.361031	0.219771	0.172607	0.561864	0.364448	0.220809	0.175889
0.147000	0.443111	0.240103	0.209179	0.088661	0.445289	0.242469	0.210206	0.090416
0.148000	0.312658	0.132943	0.187584	0.034277	0.314259	0.134308	0.188545	0.034985
0.149000	0.234870	0.079669	0.156542	0.014497	0.236119	0.080519	0.157374	0.014808
0.150000	0.189419	0.053923	0.134325	0.007143	0.190469	0.054522	0.135070	0.007302
0.151000	0.142192	0.030846	0.103088	0.002584	0.143011	0.031202	0.103682	0.002644
0.152000	0.119663	0.021995	0.087610	0.001391	0.120379	0.022259	0.088134	0.001424
0.153000	0.099006	0.015342	0.074431	0.000652	0.099623	0.015533	0.074892	0.000668
0.154000	0.082363	0.010860	0.063849	0.000355	0.082897	0.011001	0.064262	0.000364
0.155000	0.070446	0.007904	0.054233	0.000203	0.070920	0.008011	0.054597	0.000208
0.156000	0.061629	0.005747	0.044143	0.000088	0.062059	0.005827	0.044451	0.000091
0.157000	0.051525	0.004264	0.040113	0.000058	0.051897	0.004326	0.040403	0.000059
0.158000	0.048782	0.003768	0.037265	0.000042	0.049148	0.003825	0.037546	0.000043
0.159000	0.042689	0.002876	0.032453	0.000025	0.043021	0.002920	0.032705	0.000026
0.160000	0.039809	0.002487	0.030044	0.000019	0.040132	0.002528	0.030290	0.000020
0.161000	0.036040	0.002012	0.026712	0.000011	0.036341	0.002046	0.026937	0.000012
0.162000	0.030850	0.001504	0.023493	0.000007	0.031119	0.001530	0.023696	0.000007
0.163000	0.030358	0.001409	0.022070	0.000006	0.030631	0.001434	0.022268	0.000006
0.164000	0.027077	0.001153	0.020485	0.000004	0.027330	0.001174	0.020678	0.000004
0.165000	0.024969	0.000976	0.018767	0.000003	0.025209	0.000995	0.018948	0.000003
0.166000	0.023391	0.000848	0.017345	0.000002	0.023629	0.000865	0.017516	0.000002
0.167000	0.021858	0.000735	0.016050	0.000002	0.022084	0.000751	0.016216	0.000002
0.168000	0.021455	0.000705	0.015639	0.000001	0.021685	0.000720	0.015807	0.000001
0.169000	0.019175	0.000586	0.014785	0.000001	0.019389	0.000599	0.014950	0.000001
0.170000	0.017990	0.000506	0.013492	0.000001	0.018197	0.000517	0.013647	0.000001
0.171000	0.017048	0.000454	0.012765	0.000001	0.017253	0.000464	0.012914	0.000001
0.172000	0.015576	0.000377	0.011578	0.000000	0.015764	0.000386	0.011723	0.000000
0.173000	0.014678	0.000345	0.011392	0.000000	0.014865	0.000354	0.011534	0.000000
0.174000	0.014725	0.000348	0.011441	0.000000	0.014919	0.000357	0.011590	0.000000
0.175000	0.012851	0.000263	0.009870	0.000000	0.013021	0.000270	0.010005	0.000000
0.176000	0.013191	0.000273	0.009939	0.000000	0.013379	0.000280	0.010075	0.000000
0.177000	0.012430	0.000242	0.009338	0.000000	0.012612	0.000249	0.009476	0.000000
0.178000	0.011847	0.000222	0.009048	0.000000	0.012026	0.000229	0.009185	0.000000
0.179000	0.011495	0.000204	0.008486	0.000000	0.011674	0.000211	0.008618	0.000000
0.180000	0.011091	0.000186	0.007967	0.000000	0.011266	0.000192	0.008096	0.000000
