sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
5, 4200984, 771940, 1065820, 1042226, 750776, 285111, 285111, 1487091,2088865,580125964
6, 4203257, 953423, 873902, 852245, 931177, 296255, 296255, 1857981,1690630,693262100
14, 4206682, 881274, 951408, 929106, 859116, 292889, 292889, 1710454,1854256,1254570425
4, 4201768, 893504, 941107, 919275, 871224, 288329, 288329, 1735658,1836188,1957674372
2, 4202907, 944509, 870177, 848783, 922546, 308446, 308446, 1833366,1689708,2743485929
11, 4195530, 954714, 862696, 840926, 931962, 302616, 302616, 1862567,1674299,3573999099
13, 4192009, 906202, 923565, 901226, 884714, 288151, 288151, 1764222,1799670,2380510049
7, 4197951, 966801, 853567, 831483, 944330, 300885, 300885, 1884817,1653794,2630864033
15, 4199160, 819405, 1003724, 981079, 798108, 298422, 298422, 1585044,1961509,3655703996
12, 4207758, 955690, 882436, 860180, 934472, 287490, 287490, 1867044,1714084,3737912117
3, 4199363, 979517, 836685, 815182, 956533, 305723, 305723, 1916373,1614804,2758510445
18, 4196079, 1016095, 821452, 800196, 993582, 282377, 282377, 1989288,1587115,4046869096
20, 4198585, 944318, 892669, 871752, 922660, 283593, 283593, 1841822,1735877,828970448
16, 4197255, 836787, 1003575, 980689, 815780, 280212, 280212, 1612315,1964161,2266148445
21, 4202514, 859351, 950731, 929184, 837946, 312651, 312651, 1664354,1857122,1521762686
17, 4200505, 943798, 885990, 863793, 921580, 292672, 292672, 1840183,1723058,3018841093
19, 4204295, 866497, 971178, 949642, 845452, 285763, 285763, 1684296,1896236,691786595
23, 4202265, 889532, 957537, 934266, 867446, 276742, 276742, 1726982,1866676,2034357822
24, 4202048, 970563, 879112, 857475, 947968, 273465, 273465, 1895705,1696837,1711398588
1, 4200492, 886085, 940363, 918226, 863900, 295959, 295959, 1723180,1831655,3778300341
8, 4206604, 901337, 932089, 910166, 879480, 291766, 291766, 1748022,1811908,1468823486
25, 4209859, 971904, 859303, 837233, 950159, 295630, 295630, 1897677,1660626,3264172858
0, 4202958, 850006, 982484, 959572, 827906, 291495, 291495, 1647747,1916404,2888701467
26, 4198371, 919364, 884493, 862474, 897342, 317349, 317349, 1789077,1714001,90940447
10, 4198302, 857323, 977074, 954615, 836058, 286616, 286616, 1661018,1908536,2071884797
9, 4201733, 1039452, 799308, 778360, 1016949, 283832, 283832, 2032776,1535246,116343491
22, 4211323, 889596, 951011, 929394, 868354, 286484, 286484, 1726223,1856153,2665761184
28, 4202706, 834894, 990907, 968503, 813564, 297419, 297419, 1612620,1937800,741704587
27, 4200955, 864854, 955125, 933363, 843115, 302249, 302249, 1676431,1861782,3448518767
29, 4203799, 1006448, 826591, 804375, 983981, 291202, 291202, 1965121,1594475,1078652047
31, 4204818, 943186, 893884, 871326, 921278, 287572, 287572, 1837448,1737303,1825079677
30, 4205060, 842649, 968784, 946809, 821712, 312553, 312553, 1631511,1890588,3813777344
33, 4203530, 974057, 855643, 833718, 952296, 293908, 293908, 1903533,1660111,1816201389
34, 4200347, 912992, 931051, 909444, 890888, 277986, 277986, 1774557,1812913,2519083465
38, 4201493, 957490, 880398, 857843, 934414, 285674, 285674, 1869112,1707789,3976162734
35, 4208555, 948012, 870603, 848950, 925582, 307704, 307704, 1849515,1690558,1965039516
37, 4195928, 868582, 961558, 939593, 846873, 289661, 289661, 1688907,1878037,3563346691
40, 4197470, 864233, 948074, 925055, 842280, 308914, 308914, 1669257,1845693,2550982854
32, 4200388, 883462, 937985, 915620, 861789, 300766, 300766, 1718413,1828963,3928182104
44, 4203518, 1005538, 823104, 801783, 982895, 295099, 295099, 1969817,1591593,3676872806
42, 4203578, 974864, 872424, 851518, 952642, 276065, 276065, 1908295,1699369,3929095337
45, 4205620, 839840, 991247, 968463, 818360, 293855, 293855, 1626779,1939956,3601444296
46, 4203009, 957119, 875688, 853795, 934833, 290787, 290787, 1867505,1697572,1278145350
39, 4201759, 849852, 972275, 949509, 828375, 300874, 300874, 1643505,1896589,206396607
47, 4203207, 847753, 981461, 959895, 826676, 293711, 293711, 1645116,1920067,2891398516
36, 4199439, 895349, 932840, 911131, 872587, 293766, 293766, 1733689,1820134,4004130423
50, 4200118, 924562, 901810, 879914, 901954, 295939, 295939, 1801735,1752285,3446099425
54, 4197824, 905788, 931236, 909272, 883870, 283829, 283829, 1764379,1813205,2636829953
49, 4203577, 947584, 882899, 861866, 925506, 292861, 292861, 1846026,1713123,937862615
41, 4198689, 1014821, 805398, 783988, 992610, 300936, 300936, 1984937,1549697,2994306802
51, 4193803, 887375, 953061, 929882, 865491, 278997, 278997, 1721846,1859179,1262800468
52, 4204626, 924681, 910308, 887149, 902892, 289798, 289798, 1801595,1762077,484323791
43, 4202490, 919674, 923342, 901556, 897638, 280140, 280140, 1788097,1795056,3025512164
48, 4197921, 935074, 878097, 856039, 912881, 307915, 307915, 1818212,1701370,522900002
55, 4203358, 975096, 853818, 832202, 953086, 294578, 294578, 1904979,1658206,2691506667
59, 4202214, 819346, 1021652, 999255, 798659, 281651, 281651, 1585372,2000762,430698006
57, 4197196, 1041046, 797177, 775637, 1017640, 282848, 282848, 2038645,1536573,3495731754
