sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
11, 995822, 30247, 437212, 432832, 26307, 34612, 34612, 3761804475
13, 992473, 40755, 419679, 415289, 36646, 40052, 40052, 1922207702
9, 992169, 39443, 425285, 420912, 35391, 35569, 35569, 2856826945
0, 991069, 87438, 371903, 366956, 83336, 40718, 40718, 1377759862
2, 994038, 78892, 379694, 375026, 74890, 42768, 42768, 986179924
4, 990230, 41195, 420577, 416089, 37195, 37587, 37587, 3664390677
1, 992134, 214486, 240251, 235956, 210095, 45673, 45673, 3499506962
6, 993229, 421021, 30250, 26311, 416359, 49644, 49644, 1575731753
7, 991464, 46669, 416433, 411916, 42580, 36933, 36933, 1965226269
14, 995160, 44748, 417745, 413897, 40874, 38948, 38948, 3657540134
8, 989192, 426662, 35087, 30827, 422012, 37302, 37302, 2209659085
5, 992852, 57564, 406241, 402168, 53525, 36677, 36677, 3163913281
12, 990861, 390986, 67416, 63218, 386495, 41373, 41373, 2241010922
15, 992605, 224052, 228330, 223853, 219756, 48307, 48307, 1977572302
3, 990714, 429017, 35239, 31171, 424063, 35612, 35612, 292384095
10, 991966, 405556, 56550, 52357, 401271, 38116, 38116, 4256900215
22, 991629, 29291, 433906, 429164, 25312, 36978, 36978, 4009090935
27, 991724, 31848, 430351, 425360, 27601, 38282, 38282, 2619858087
19, 992263, 70573, 392082, 387582, 66540, 37743, 37743, 38062157
23, 990573, 434773, 25463, 21609, 429732, 39498, 39498, 3994391743
17, 994921, 301017, 155800, 151545, 296823, 44868, 44868, 1424158802
16, 991894, 368679, 92786, 88413, 363916, 39050, 39050, 2911790156
20, 993713, 46678, 416262, 412155, 42688, 37965, 37965, 3713205159
30, 990533, 100997, 355354, 350672, 96774, 43368, 43368, 2146819550
21, 989694, 430439, 29220, 25084, 426039, 39456, 39456, 303515932
18, 990962, 286383, 167465, 163145, 282221, 45874, 45874, 2005577790
26, 989352, 86099, 373123, 368958, 81786, 39693, 39693, 3010164450
29, 990067, 433999, 31816, 27600, 428904, 33874, 33874, 1693569359
28, 991239, 392886, 68438, 64354, 388353, 38604, 38604, 171515265
31, 989108, 405845, 54469, 50304, 401456, 38517, 38517, 2442528589
24, 992819, 161388, 290910, 286611, 157442, 48234, 48234, 3264133238
25, 988924, 318105, 134664, 130426, 313595, 46067, 46067, 1200780084
33, 987529, 55883, 400988, 396323, 51635, 41350, 41350, 738326477
32, 989713, 427167, 35732, 31594, 422170, 36525, 36525, 1296571143
35, 990860, 102035, 344447, 339884, 97784, 53355, 53355, 4245996134
36, 993209, 419391, 46185, 42030, 414819, 35392, 35392, 3688971252
39, 986013, 419199, 39916, 35746, 413352, 38900, 38900, 2892745040
42, 990159, 23281, 441884, 437190, 19336, 34234, 34234, 1957355171
