sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
8, 3352331, 739187, 828114, 823643, 734827, 113280, 113280, 1872170186
11, 3350118, 773137, 765278, 760926, 768611, 141083, 141083, 2840731524
12, 3351832, 809370, 742034, 737559, 804847, 129011, 129011, 1544157046
6, 3352237, 671996, 772983, 768498, 667746, 235507, 235507, 964590365
2, 3349758, 773701, 752921, 748441, 769077, 152809, 152809, 3489607086
3, 3348345, 945948, 620034, 615713, 941178, 112736, 112736, 1131779859
0, 3350636, 844176, 674811, 670573, 839726, 160675, 160675, 2370021758
4, 3352828, 837546, 723225, 719052, 833095, 119955, 119955, 3341334598
1, 3352428, 917539, 616978, 612752, 912931, 146114, 146114, 256218907
5, 3349336, 753843, 798488, 794018, 749459, 126764, 126764, 2542904793
7, 3347913, 773805, 779042, 774629, 769461, 125488, 125488, 4189263475
13, 3347998, 752754, 726025, 721757, 748078, 199692, 199692, 127378913
10, 3347708, 701505, 850839, 846159, 697405, 125900, 125900, 2543822181
9, 3349507, 712340, 811790, 807386, 708045, 154973, 154973, 642660504
16, 3348794, 835554, 699515, 695415, 831132, 143589, 143589, 206369750
14, 3346412, 878576, 667156, 662554, 874064, 132031, 132031, 1428089828
15, 3349323, 927294, 611877, 607544, 922474, 140067, 140067, 2936158422
19, 3347720, 910833, 653109, 648788, 905946, 114522, 114522, 898041938
22, 3352464, 838505, 721488, 717322, 834101, 120524, 120524, 2697906450
21, 3352102, 938043, 595080, 590882, 933143, 147477, 147477, 3150178822
27, 3347173, 779015, 783754, 778970, 774634, 115400, 115400, 47101476
24, 3355392, 651443, 925827, 921247, 647301, 104787, 104787, 963174198
18, 3352247, 833978, 673201, 669174, 829496, 173199, 173199, 3940476213
26, 3351222, 669201, 857632, 853191, 665056, 153071, 153071, 1196598755
23, 3348293, 966511, 590885, 586685, 962028, 121092, 121092, 3823048019
17, 3348107, 827506, 713445, 709419, 823225, 137256, 137256, 2557421499
20, 3346490, 920315, 629201, 624750, 915548, 128338, 128338, 1594063325
25, 3354812, 739669, 781322, 776952, 735227, 160821, 160821, 4011324131
28, 3348875, 825635, 715986, 711658, 820904, 137346, 137346, 3867826291
29, 3349166, 628055, 902024, 897605, 623842, 148820, 148820, 794281301
37, 3352506, 692650, 833973, 829165, 688080, 154319, 154319, 937645879
33, 3349133, 867203, 707105, 702633, 862610, 104791, 104791, 3213215581
30, 3345918, 888307, 648113, 643783, 883633, 141041, 141041, 2110695905
34, 3347841, 897842, 661461, 657094, 893228, 119108, 119108, 1298350508
32, 3350339, 701503, 828463, 824050, 697305, 149509, 149509, 1622398711
31, 3348160, 760639, 803072, 798591, 756112, 114873, 114873, 821902922
40, 3349663, 879833, 677422, 673182, 875412, 121907, 121907, 939108675
38, 3348287, 734796, 809848, 805370, 730401, 133936, 133936, 1315162237
35, 3348723, 765189, 787364, 782894, 760886, 126195, 126195, 1356927979
39, 3347945, 645080, 905287, 900602, 640676, 128150, 128150, 51034562
41, 3351805, 685578, 848487, 844016, 681084, 146320, 146320, 3313244551
36, 3348237, 699750, 834083, 829528, 695472, 144702, 144702, 1740768315
49, 3344658, 771655, 777524, 773216, 766847, 127708, 127708, 1861970360
43, 3352108, 743823, 801544, 797239, 739734, 134884, 134884, 4053370004
44, 3352098, 714862, 815621, 811341, 710720, 149777, 149777, 132772719
47, 3346071, 725453, 741886, 737201, 721269, 210131, 210131, 3556942748
42, 3351087, 784010, 771619, 767286, 779658, 124257, 124257, 3749853826
46, 3347750, 870565, 685867, 681443, 866083, 121896, 121896, 2653782545
45, 3353753, 743674, 833906, 829362, 739241, 103785, 103785, 1129875712
52, 3351131, 742860, 805893, 801560, 738582, 131118, 131118, 2200484563
51, 3348534, 837754, 684847, 680603, 833244, 156043, 156043, 991990407
50, 3349294, 646167, 867512, 862856, 641809, 165475, 165475, 232769313
48, 3350160, 771803, 790458, 786228, 767221, 117225, 117225, 120097281
53, 3350536, 847754, 707502, 703049, 843083, 124574, 124574, 505567816
54, 3350544, 924803, 632485, 628082, 920254, 122460, 122460, 2538898256
55, 3353698, 758412, 769087, 764509, 754156, 153767, 153767, 807217216
60, 3346981, 762895, 797834, 793533, 758371, 117174, 117174, 1579683336
59, 3352690, 785301, 756207, 751590, 781068, 139262, 139262, 516771256
58, 3344903, 865547, 676436, 672133, 860899, 134944, 134944, 993876807
57, 3349661, 873998, 673742, 669110, 869315, 131748, 131748, 2748434133
66, 3348210, 681672, 818048, 813300, 677518, 178836, 178836, 2972556573
63, 3350718, 629969, 932381, 927825, 625763, 117390, 117390, 3241016157
56, 3345790, 725483, 774788, 770549, 720984, 176993, 176993, 4212443230
61, 3354953, 730660, 802315, 797991, 726281, 148853, 148853, 1888312147
62, 3350163, 794026, 718683, 714236, 789516, 166851, 166851, 523239706
64, 3348590, 743012, 802723, 798164, 738677, 133007, 133007, 631755380
65, 3349159, 601668, 918811, 913985, 597579, 158558, 158558, 1316413813
67, 3350232, 546743, 975910, 971174, 542685, 156860, 156860, 66675787
68, 3342882, 748503, 781104, 776885, 743874, 146258, 146258, 1583573551
69, 3347728, 888286, 671229, 666913, 883766, 118767, 118767, 141747231
72, 3346402, 874181, 650584, 646261, 869680, 152848, 152848, 186511827
70, 3351701, 622585, 875054, 870272, 618164, 182813, 182813, 429132870
73, 3345954, 781894, 769209, 764526, 777287, 126519, 126519, 2133794616
71, 3353720, 633213, 938042, 933307, 629214, 109972, 109972, 7062430
81, 3349750, 630186, 925369, 920899, 625726, 123785, 123785, 1674881886
78, 3350743, 738078, 802321, 797941, 733653, 139375, 139375, 442701567
77, 3349126, 812301, 737164, 732868, 807737, 129528, 129528, 597947160
80, 3347890, 878645, 696910, 692604, 874015, 102858, 102858, 2490115704
75, 3349346, 777685, 767827, 763601, 773523, 133355, 133355, 3801723276
74, 3350171, 807561, 732405, 728119, 803006, 139540, 139540, 1915433283
79, 3352251, 846176, 717282, 713065, 841712, 117008, 117008, 3585417422
83, 3350898, 904455, 654661, 650344, 899904, 120767, 120767, 543787925
76, 3347317, 956836, 605332, 601339, 952110, 115850, 115850, 3385954444
82, 3353986, 833503, 729957, 725889, 829185, 117726, 117726, 2901188875
84, 3352240, 652036, 901152, 896315, 647791, 127473, 127473, 3124021581
85, 3355126, 594045, 969134, 964484, 589929, 118767, 118767, 866861571
88, 3352503, 647243, 916567, 911985, 642884, 116912, 116912, 2692656717
86, 3350503, 842345, 655979, 651633, 837826, 181360, 181360, 2356781051
87, 3348971, 851724, 715895, 711646, 847176, 111265, 111265, 1467022118
91, 3352686, 755769, 802376, 797881, 751428, 122616, 122616, 3067238603
90, 3352031, 665108, 875543, 871220, 660944, 139608, 139608, 1593818403
92, 3350423, 758052, 789659, 785296, 753890, 131763, 131763, 479406525
93, 3352217, 897197, 665780, 661397, 892717, 117563, 117563, 69578102
94, 3351764, 796561, 764501, 760406, 792186, 119055, 119055, 2011087893
89, 3349100, 733329, 713017, 708740, 729050, 232482, 232482, 2075313737
96, 3350321, 842541, 698769, 694416, 838181, 138207, 138207, 2671052192
95, 3347745, 844789, 689608, 685216, 840108, 144012, 144012, 3252391265
97, 3350564, 1004363, 555536, 551379, 999816, 119735, 119735, 2924837501
98, 3351240, 733136, 780605, 776269, 728900, 166165, 166165, 1517061655
99, 3351035, 835184, 722223, 717964, 830642, 122511, 122511, 3482131982
103, 3350646, 853045, 716988, 712654, 848399, 109780, 109780, 2343001524
101, 3346526, 738014, 755913, 751683, 733558, 183679, 183679, 3939323214
105, 3348797, 776314, 791255, 786834, 771736, 111329, 111329, 3036240548
107, 3353815, 643554, 901662, 897193, 639480, 135963, 135963, 1058900626
102, 3349251, 907119, 614145, 609938, 902449, 157800, 157800, 3372368337
109, 3350328, 773802, 770785, 766541, 769210, 134995, 134995, 3314044182
100, 3348391, 912890, 624197, 619983, 908067, 141627, 141627, 126656172
104, 3351142, 816317, 711771, 707253, 811773, 152014, 152014, 3016452822
106, 3352042, 837745, 672552, 668478, 833359, 169954, 169954, 2389484800
108, 3353010, 742374, 789728, 785375, 738085, 148724, 148724, 795549176
111, 3348334, 703996, 858210, 853698, 699518, 116456, 116456, 2520238966
110, 3350110, 834854, 716203, 712094, 830197, 128381, 128381, 2990271632
112, 3348341, 819362, 714712, 710349, 814850, 144534, 144534, 2108925415
113, 3350031, 824367, 716941, 712710, 819911, 138051, 138051, 427414778
114, 3351540, 813395, 749162, 744821, 809024, 117569, 117569, 2707925560
119, 3349029, 698290, 834100, 829457, 693848, 146667, 146667, 2567147451
115, 3347848, 858605, 702330, 698003, 853808, 117551, 117551, 3559116459
118, 3348756, 937973, 586053, 581799, 933229, 154851, 154851, 1189847471
117, 3345858, 833132, 688743, 684383, 828374, 155613, 155613, 3275909587
120, 3353253, 658930, 902066, 897503, 654462, 120146, 120146, 3309707779
121, 3350039, 638230, 879924, 875532, 633985, 161184, 161184, 2050376388
122, 3349383, 583717, 955707, 951073, 579642, 139622, 139622, 3693480071
116, 3348977, 745747, 823355, 819143, 741446, 109643, 109643, 64356605
123, 3351396, 699537, 818257, 813988, 695250, 162182, 162182, 847061744
125, 3348543, 641413, 908400, 904066, 637208, 128728, 128728, 198288217
124, 3348096, 827637, 744487, 740057, 823187, 106364, 106364, 923554374
126, 3351136, 741075, 813240, 808869, 736750, 125601, 125601, 2560648366
128, 3352121, 597961, 934548, 929545, 593713, 148177, 148177, 1313054502
129, 3349335, 652947, 912539, 907900, 648873, 113538, 113538, 458441715
127, 3353704, 868582, 698710, 694618, 864052, 113871, 113871, 261526247
130, 3348101, 789236, 785578, 781105, 784792, 103695, 103695, 1276939076
135, 3349671, 643223, 925119, 920399, 638828, 111051, 111051, 4022094522
134, 3350014, 877758, 672872, 668747, 873181, 128728, 128728, 981073557
132, 3347997, 758760, 800414, 796045, 754468, 119155, 119155, 824733286
136, 3348922, 649890, 883874, 879257, 645479, 145211, 145211, 3045820867
131, 3351539, 741917, 802338, 798099, 737323, 135931, 135931, 2984138923
133, 3352543, 933322, 638700, 634539, 928810, 108586, 108586, 1419322350
137, 3351557, 1025122, 526720, 522895, 1020616, 128102, 128102, 3715941982
138, 3349466, 822576, 721769, 717373, 818368, 134690, 134690, 3099096295
139, 3349812, 821798, 720332, 715860, 817300, 137261, 137261, 3160220955
140, 3349631, 1021561, 526191, 521881, 1016956, 131521, 131521, 4202499542
141, 3350506, 783612, 759158, 754835, 779083, 136909, 136909, 2288298707
142, 3350320, 767844, 752991, 748659, 763472, 158677, 158677, 2284180894
145, 3347228, 728253, 778291, 773887, 723985, 171406, 171406, 1741393112
147, 3346455, 797092, 745209, 740738, 792658, 135379, 135379, 2814123741
144, 3347886, 860097, 681459, 677193, 855471, 136833, 136833, 3921578729
148, 3348870, 699336, 859343, 854696, 694949, 120273, 120273, 741871709
146, 3352211, 648002, 906981, 902503, 643813, 125456, 125456, 3383868880
143, 3350837, 979294, 573055, 568968, 974736, 127392, 127392, 4145621005
149, 3351840, 1011639, 514878, 510865, 1007232, 153613, 153613, 1712458959
150, 3351969, 592638, 944214, 939695, 588450, 143486, 143486, 2196132019
153, 3348445, 610941, 962327, 957877, 606916, 105192, 105192, 146493504
151, 3352507, 690983, 865353, 861030, 686809, 124166, 124166, 1561940286
152, 3350114, 956910, 607139, 603164, 952343, 115279, 115279, 2632433613
154, 3345798, 647314, 876013, 871314, 643023, 154067, 154067, 1269671590
155, 3348065, 880320, 670644, 666463, 876026, 127306, 127306, 2942741083
158, 3347475, 715580, 860580, 855940, 711245, 102065, 102065, 1502633374
157, 3348306, 703778, 833326, 828924, 699436, 141421, 141421, 1282276076
156, 3349225, 605468, 940257, 935646, 601448, 133203, 133203, 3862714475
159, 3351385, 708023, 840783, 836534, 703677, 131184, 131184, 1965101870
160, 3351478, 839013, 667065, 662843, 834581, 173988, 173988, 3203337609
162, 3349010, 626238, 892402, 887801, 622135, 160217, 160217, 2594633945
161, 3349500, 818280, 729906, 725511, 813757, 131023, 131023, 2711771154
163, 3350359, 769036, 781689, 777375, 764495, 128882, 128882, 1903395936
164, 3349148, 755952, 756836, 752561, 751525, 166137, 166137, 1964059293
166, 3350365, 745152, 804885, 800528, 740706, 129547, 129547, 2501514598
165, 3350405, 779119, 736321, 732104, 774861, 164000, 164000, 2187523183
167, 3349582, 799797, 763402, 759147, 795504, 115866, 115866, 1158113091
168, 3349802, 693098, 875020, 870848, 688842, 110997, 110997, 2177678043
169, 3349746, 822000, 743478, 739167, 817491, 113805, 113805, 1114043931
170, 3347448, 661979, 894750, 890330, 657735, 121327, 121327, 1565942822
171, 3349884, 780299, 768234, 764066, 775811, 130737, 130737, 1019022019
172, 3349374, 819108, 753996, 749628, 814730, 105956, 105956, 2085290237
