sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
8, 816787, 163527, 204544, 202901, 161971, 41922, 41922, 3905086900
11, 818390, 117479, 258329, 256624, 116082, 34938, 34938, 423409220
2, 818149, 174379, 194421, 192916, 172791, 41821, 41821, 479505415
3, 817038, 191140, 175334, 173716, 189412, 43718, 43718, 666912051
7, 817079, 154476, 208671, 206961, 152863, 47054, 47054, 3177580230
6, 817678, 206839, 168314, 166668, 205143, 35357, 35357, 1908942945
10, 817120, 179723, 197469, 195744, 177948, 33118, 33118, 1548280709
4, 816701, 190875, 178006, 176413, 189233, 41087, 41087, 3315944930
1, 817786, 186793, 178949, 177244, 185108, 44846, 44846, 2249909227
0, 817583, 276249, 99453, 97994, 274417, 34735, 34735, 2702159057
5, 817097, 182565, 187600, 185963, 181001, 39984, 39984, 3886847575
9, 819333, 242119, 123703, 122317, 240408, 45393, 45393, 3275874646
15, 819238, 144112, 223683, 221922, 142705, 43408, 43408, 167769578
13, 817813, 176393, 197306, 195558, 174744, 36906, 36906, 526011415
17, 819770, 167231, 203702, 202050, 165801, 40493, 40493, 1871381147
18, 818108, 170909, 199466, 197813, 169408, 40256, 40256, 3989562973
12, 817491, 180307, 177946, 176325, 178489, 52212, 52212, 194495155
16, 816988, 175745, 194934, 193341, 174032, 39468, 39468, 1784301800
14, 817543, 180104, 179260, 177589, 178526, 51032, 51032, 3888255592
19, 816026, 213095, 147455, 145740, 211406, 49165, 49165, 426488709
22, 818057, 215829, 153753, 152139, 214074, 41131, 41131, 3713633564
20, 818494, 170941, 191207, 189556, 169312, 48739, 48739, 581016560
21, 818162, 230225, 138318, 136854, 228481, 42142, 42142, 2464601213
23, 820551, 187282, 189431, 187793, 185823, 35111, 35111, 293183706
24, 816719, 144718, 229153, 227278, 143090, 36240, 36240, 4240290400
25, 818176, 170642, 200410, 198533, 169051, 39770, 39770, 853117408
28, 819230, 148641, 220528, 218742, 147095, 42112, 42112, 3715201127
31, 819443, 178048, 187931, 186153, 176481, 45415, 45415, 2037173328
26, 820148, 150344, 218179, 216488, 149005, 43066, 43066, 2836804959
33, 818002, 178293, 178340, 176716, 176619, 54017, 54017, 4180306307
27, 818514, 146834, 226085, 224431, 145332, 37916, 37916, 2548788581
29, 818219, 188573, 190153, 188524, 186897, 32036, 32036, 3428488106
30, 819529, 221938, 151754, 150179, 220284, 37687, 37687, 1731282669
34, 817880, 195308, 185121, 183620, 193447, 30192, 30192, 150473186
32, 817494, 178833, 198312, 196712, 177203, 33217, 33217, 1239910043
35, 819354, 114834, 248147, 246574, 113345, 48227, 48227, 1129057897
36, 817430, 176972, 191760, 190055, 175357, 41643, 41643, 3681790454
37, 818677, 177603, 198564, 196848, 176004, 34829, 34829, 2579867567
38, 818902, 199553, 169868, 168198, 197825, 41729, 41729, 558571616
40, 816673, 191782, 171205, 169617, 190119, 46975, 46975, 3487609201
39, 816606, 205379, 161667, 160067, 203695, 42899, 42899, 1695219602
41, 816132, 194508, 182410, 180732, 192748, 32867, 32867, 1875949720
42, 819114, 143271, 200634, 198874, 141873, 67231, 67231, 2733362153
44, 818439, 173451, 197473, 195869, 171850, 39898, 39898, 1638750702
43, 817121, 176257, 182606, 181096, 174570, 51296, 51296, 3975201585
