sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
79, 2297378, 1139099, 1342, 739, 1138252, 8973, 8973, 784387907
87, 2298456, 1140648, 1107, 544, 1139679, 8239, 8239, 449623233
86, 2300913, 1140984, 1398, 829, 1140070, 8816, 8816, 2987152959
82, 2295455, 1136760, 1701, 1071, 1136065, 9929, 9929, 1282750477
84, 2297394, 1139421, 1071, 461, 1138685, 8878, 8878, 2695145169
89, 2296396, 1138599, 1186, 601, 1137630, 9190, 9190, 2278154603
92, 2298135, 1139835, 1128, 563, 1138983, 8813, 8813, 3967194190
88, 2295170, 1137058, 1741, 1153, 1136346, 9436, 9436, 2754574935
90, 2298221, 1085, 1139123, 1138499, 532, 9491, 9491, 3408674778
94, 2298856, 2889, 1138380, 1137600, 2305, 8841, 8841, 304454763
93, 2295556, 1138255, 1448, 839, 1137624, 8695, 8695, 4066228105
95, 2297678, 1362, 1138085, 1137496, 755, 9990, 9990, 1050390945
91, 2297351, 1138763, 1308, 673, 1138083, 9262, 9262, 3126077614
97, 2294249, 1137857, 1335, 729, 1136922, 8703, 8703, 1355584147
96, 2298738, 1140112, 1324, 724, 1139340, 8619, 8619, 384752356
101, 2295831, 1179, 1138282, 1137394, 560, 9208, 9208, 524817576
99, 2298274, 1138370, 1645, 1046, 1137695, 9759, 9759, 684157102
98, 2295045, 1136929, 1476, 842, 1136352, 9723, 9723, 3492154562
100, 2298006, 1188, 1139753, 1139095, 642, 8664, 8664, 3516672354
106, 2295836, 1135, 1138113, 1137257, 543, 9394, 9394, 1679393826
104, 2296397, 1581, 1136269, 1135510, 959, 11039, 11039, 3504564952
102, 2298814, 1139333, 1398, 811, 1138642, 9315, 9315, 1880872900
107, 2298768, 1321, 1139225, 1138547, 731, 9472, 9472, 1660008955
103, 2298590, 1139825, 1228, 672, 1139249, 8808, 8808, 2345198923
109, 2291972, 1476, 1136116, 1135355, 829, 9098, 9098, 546477857
105, 2297588, 1139854, 1197, 637, 1138982, 8459, 8459, 134648959
108, 2298797, 1139674, 1209, 641, 1138817, 9228, 9228, 1116333376
111, 2295802, 1371, 1137418, 1136721, 732, 9780, 9780, 1676752383
112, 2299337, 1095, 1140599, 1139841, 516, 8643, 8643, 3727363128
110, 2297419, 1205, 1139016, 1138303, 601, 9147, 9147, 985040644
113, 2296389, 1579, 1138311, 1137534, 1007, 8979, 8979, 1135869193
116, 2298930, 1139967, 1291, 715, 1139137, 8910, 8910, 1239480180
123, 2299536, 1166, 1140408, 1139422, 630, 8955, 8955, 2804573357
118, 2299885, 1140406, 1387, 803, 1139769, 8760, 8760, 4142068613
120, 2298735, 1416, 1139008, 1138331, 796, 9592, 9592, 469868851
117, 2295908, 1137333, 1639, 1007, 1136691, 9619, 9619, 3195756816
115, 2296180, 1138713, 1197, 628, 1137944, 8849, 8849, 2071205988
119, 2296824, 1138288, 1663, 1077, 1137614, 9091, 9091, 3249728410
114, 2295573, 1138159, 1291, 691, 1137520, 8956, 8956, 1368142074
122, 2299172, 1545, 1139379, 1138846, 988, 9207, 9207, 1083056545
124, 2298409, 1139983, 1320, 736, 1138978, 8696, 8696, 1857667100
121, 2297313, 1138576, 1627, 1051, 1137815, 9122, 9122, 3178836477
125, 2298447, 1138318, 1877, 1300, 1137668, 9642, 9642, 1414007491
126, 2298594, 1463, 1139120, 1138377, 844, 9395, 9395, 375718506
133, 2296860, 1428, 1138045, 1137107, 818, 9731, 9731, 3440791931
128, 2297490, 1344, 1138583, 1137834, 739, 9495, 9495, 3121393538
136, 2296477, 1362, 1138923, 1137925, 749, 8759, 8759, 2920423776
129, 2295728, 1137335, 1382, 793, 1136516, 9851, 9851, 2913392098
127, 2295001, 1137098, 1342, 778, 1136479, 9652, 9652, 3847425505
132, 2296998, 1138972, 1252, 660, 1138144, 8985, 8985, 3017300997
130, 2296822, 1138189, 1244, 565, 1137560, 9632, 9632, 3389790723
131, 2295762, 1251, 1137433, 1136777, 643, 9829, 9829, 3190982078
135, 2296905, 1366, 1137930, 1137274, 783, 9776, 9776, 4248268146
134, 2296640, 2818, 1136784, 1136202, 2242, 9297, 9297, 161394856
137, 2296482, 1138301, 1420, 779, 1137394, 9294, 9294, 2570973402
140, 2296434, 1560, 1137799, 1136927, 966, 9591, 9591, 1278611463
139, 2295042, 1137606, 1385, 780, 1136901, 9185, 9185, 3078872241
142, 2296961, 1144, 1138972, 1138263, 572, 9005, 9005, 415230224
138, 2298019, 1139588, 1249, 664, 1138918, 8800, 8800, 1574714694
143, 2296260, 1138297, 1295, 685, 1137293, 9345, 9345, 1826526822
146, 2295848, 1597, 1137978, 1137147, 988, 9069, 9069, 3187207166
141, 2300460, 1140586, 1398, 799, 1139779, 8949, 8949, 647942676
147, 2298588, 1294, 1138336, 1137684, 716, 10279, 10279, 2192188160
145, 2295940, 1137454, 1617, 1001, 1136778, 9545, 9545, 3301433001
144, 2297379, 1139247, 1198, 627, 1138563, 8872, 8872, 2060295112
149, 2296963, 1428, 1138716, 1138025, 816, 8989, 8989, 3570235199
150, 2299174, 1356, 1140067, 1139213, 760, 8889, 8889, 4067404083
153, 2295675, 1532, 1138369, 1137429, 919, 8713, 8713, 1699881118
155, 2298304, 1440, 1139047, 1138159, 868, 9395, 9395, 3367394791
148, 2296960, 1138962, 1388, 821, 1138073, 8858, 8858, 3132658152
154, 2298114, 1254, 1139474, 1138749, 621, 9008, 9008, 2258292666
160, 2295640, 1433, 1138464, 1137394, 841, 8754, 8754, 427562253
157, 2298390, 1435, 1139265, 1138495, 829, 9183, 9183, 1244572156
152, 2297075, 1126700, 11721, 11140, 1126030, 10742, 10742, 386114083
158, 2294910, 1137061, 1406, 775, 1136300, 9684, 9684, 2162588764
151, 2295737, 1137884, 1409, 813, 1137097, 9267, 9267, 3527577578
156, 2296855, 1138636, 1668, 1080, 1138029, 8721, 8721, 2102513068
163, 2298370, 1118, 1137847, 1136876, 571, 10979, 10979, 1621088487
159, 2296072, 1137271, 1482, 873, 1136658, 9894, 9894, 3467596762
162, 2298201, 1138744, 1276, 655, 1137882, 9822, 9822, 134078514
161, 2297626, 1136142, 3384, 2813, 1135533, 9877, 9877, 3264409073
165, 2297920, 1376, 1138840, 1138132, 754, 9409, 9409, 184240595
168, 2297949, 1419, 1138379, 1137662, 829, 9830, 9830, 1179992364
166, 2297876, 1125315, 14125, 13512, 1124494, 10215, 10215, 215952347
164, 2297048, 1324, 1138823, 1138236, 703, 8981, 8981, 1383947180
167, 2298083, 1139879, 1122, 522, 1139036, 8762, 8762, 1980636851
170, 2295324, 1813, 1136816, 1136157, 1224, 9657, 9657, 28578390
177, 2296426, 1657, 1138159, 1137261, 1051, 9149, 9149, 59081727
169, 2299564, 1140053, 1263, 684, 1139422, 9071, 9071, 1415352508
173, 2295704, 1137491, 1663, 1050, 1136794, 9353, 9353, 2715282521
175, 2296640, 1634, 1138133, 1137481, 1022, 9185, 9185, 871874707
174, 2297025, 1138165, 1543, 906, 1137549, 9431, 9431, 1854195300
172, 2300266, 1140135, 1138, 558, 1139457, 9489, 9489, 813986995
171, 2298786, 1138833, 1156, 570, 1138175, 10026, 10026, 723131988
176, 2298054, 1440, 1138787, 1138186, 823, 9409, 9409, 1595748068
182, 2295293, 1386, 1137897, 1136908, 818, 9142, 9142, 3555953029
178, 2294196, 1446, 1137014, 1136329, 833, 9287, 9287, 1347267802
183, 2298110, 1233, 1138961, 1138098, 618, 9600, 9600, 3227460316
181, 2296832, 1001, 1139377, 1138611, 417, 8713, 8713, 4125988153
184, 2296154, 1599, 1137682, 1136941, 1012, 9460, 9460, 1055424533
180, 2297327, 1139046, 1568, 975, 1138432, 8653, 8653, 656776217
187, 2296622, 1180, 1138932, 1138204, 610, 8848, 8848, 2449358806
179, 2297026, 1138970, 1240, 679, 1138075, 9031, 9031, 3133682211
186, 2297153, 1139398, 1237, 658, 1138450, 8705, 8705, 2791603314
185, 2297059, 1138366, 1319, 703, 1137431, 9620, 9620, 1773820204
190, 2296455, 1118, 1138098, 1137244, 551, 9722, 9722, 3399253371
191, 2296834, 1138246, 1508, 898, 1137228, 9477, 9477, 992528025
194, 2298651, 1254, 1140127, 1139048, 686, 8768, 8768, 336670642
188, 2297785, 1014, 1139100, 1138458, 473, 9370, 9370, 2581460378
189, 2295878, 1168, 1137343, 1136672, 615, 10040, 10040, 3961565687
193, 2299164, 1578, 1139736, 1139057, 971, 8911, 8911, 3402155736
192, 2295187, 1136599, 1943, 1327, 1135798, 9760, 9760, 2800564177
198, 2295079, 1137636, 1220, 624, 1136607, 9496, 9496, 1971602010
196, 2297740, 1137952, 1634, 1073, 1137135, 9973, 9973, 2987719947
197, 2297070, 1138444, 1187, 629, 1137688, 9561, 9561, 2193334621
203, 2296971, 3001, 1136806, 1135884, 2384, 9448, 9448, 1933266771
195, 2297140, 1137605, 1295, 685, 1136813, 10371, 10371, 1153487081
205, 2295873, 1324, 1138354, 1137294, 725, 9088, 9088, 281861118
200, 2296400, 1138508, 1255, 671, 1137914, 9026, 9026, 1559330967
202, 2297638, 1374, 3304, 2765, 735, 1144730, 1144730, 2575213081
204, 2295458, 1352, 1137959, 1137266, 727, 9077, 9077, 3325876198
201, 2295748, 1137827, 1342, 760, 1137113, 9353, 9353, 924264779
208, 2296409, 1717, 1137436, 1136541, 1081, 9817, 9817, 2228561563
206, 2299881, 1140199, 1655, 1054, 1139435, 8769, 8769, 3209769168
199, 2297464, 1138285, 1302, 652, 1137559, 9833, 9833, 3568117674
210, 2297173, 1289, 1139200, 1138345, 685, 8827, 8827, 1173151837
207, 2295111, 1268, 1137892, 1137164, 669, 9059, 9059, 618194154
211, 2295255, 1521, 1137501, 1136790, 905, 9269, 9269, 852406042
212, 2296712, 1716, 1138295, 1137383, 1122, 9098, 9098, 2501470502
217, 2296115, 1415, 1138443, 1137623, 840, 8897, 8897, 1635760641
213, 2297299, 1254, 1138777, 1138043, 621, 9302, 9302, 4050619363
209, 2297255, 1100025, 39163, 38549, 1099214, 10152, 10152, 2221484395
219, 2296531, 1312, 1138217, 1137509, 707, 9393, 9393, 1592081159
218, 2297284, 1138567, 1346, 726, 1137947, 9349, 9349, 2133955695
216, 2295447, 1137899, 1317, 732, 1137239, 9130, 9130, 3243835245
220, 2296658, 1138675, 1308, 697, 1137768, 9105, 9105, 1053315702
214, 2298421, 1305, 1139440, 1138747, 701, 9114, 9114, 1229150831
221, 2298640, 1139655, 1255, 657, 1139013, 9030, 9030, 3265838905
215, 2296458, 1138244, 1583, 982, 1137523, 9063, 9063, 570808991
224, 2297528, 1128, 1138852, 1138121, 567, 9430, 9430, 4139307415
223, 2296551, 1526, 1138061, 1137381, 913, 9335, 9335, 4074857332
225, 2296581, 1138343, 1598, 1009, 1137569, 9031, 9031, 1082861679
222, 2295946, 1137989, 1305, 686, 1137230, 9368, 9368, 3778262084
229, 2297913, 1362, 1139427, 1138457, 751, 8958, 8958, 1964282786
226, 2297033, 1215, 1138436, 1137824, 616, 9471, 9471, 483095568
227, 2295570, 1414, 1137376, 1136645, 827, 9654, 9654, 1679322208
232, 2299570, 1106, 1140781, 1139991, 534, 8579, 8579, 100445810
228, 2296953, 1292, 1138290, 1137580, 683, 9554, 9554, 2360655654
230, 2295850, 1333, 1138098, 1137255, 760, 9202, 9202, 1928432369
233, 2293914, 1086, 1136822, 1136090, 480, 9718, 9718, 1375145782
231, 2298300, 1140355, 922, 404, 1139565, 8527, 8527, 541757468
234, 2293903, 1360, 1136226, 1135578, 719, 10010, 10010, 4205261993
236, 2297735, 1139533, 1243, 633, 1138792, 8767, 8767, 1815658272
240, 2296595, 1361, 1137914, 1136903, 773, 9822, 9822, 1277368219
239, 2297717, 1786, 1138597, 1137877, 1155, 9151, 9151, 1383722801
235, 2296585, 1139337, 1305, 747, 1138624, 8286, 8286, 364783736
242, 2295954, 1455, 1138004, 1137075, 880, 9270, 9270, 2557769436
245, 2297479, 1332, 1139095, 1138330, 732, 8995, 8995, 1951449240
237, 2297179, 1138329, 1406, 759, 1137681, 9502, 9502, 1989499811
244, 2295441, 1478, 1137360, 1136727, 860, 9508, 9508, 2415256533
241, 2295081, 1137422, 1583, 960, 1136566, 9275, 9275, 519034319
238, 2298000, 1138985, 1297, 701, 1138421, 9298, 9298, 717552313
243, 2296946, 1556, 1138168, 1137575, 953, 9347, 9347, 1237635028
249, 2295549, 1559, 1136751, 1135956, 935, 10174, 10174, 4193547749
251, 2297909, 1186, 1139220, 1138407, 546, 9275, 9275, 2948935110
250, 2294569, 1165, 1137657, 1136827, 608, 9156, 9156, 3234557908
254, 2299588, 1287, 1140088, 1139324, 721, 9084, 9084, 1410149015
246, 2296147, 1137655, 1390, 783, 1137037, 9641, 9641, 3658367928
252, 2297435, 1138896, 1166, 607, 1138024, 9371, 9371, 3104062832
247, 2298973, 1347, 1139847, 1139228, 751, 8900, 8900, 2833529072
258, 2297231, 1366, 1138237, 1137431, 765, 9716, 9716, 4080014955
253, 2298513, 1155, 1139597, 1138938, 585, 9119, 9119, 779442078
248, 2296077, 1575, 1137524, 1136930, 970, 9539, 9539, 4111477667
256, 2298206, 1138605, 1323, 746, 1137914, 9809, 9809, 3826012415
255, 2297427, 1138492, 1585, 957, 1137735, 9329, 9329, 4246426733
257, 2298287, 1139401, 1138, 566, 1138786, 9198, 9198, 1145455941
262, 2297444, 1457, 1138986, 1138138, 855, 9004, 9004, 917573257
259, 2296686, 1138414, 1434, 821, 1137653, 9182, 9182, 1407957673
260, 2298761, 1242, 1140146, 1139185, 640, 8774, 8774, 2491667399
263, 2296978, 1080, 1138975, 1138359, 468, 9048, 9048, 1339759957
264, 2294463, 1836, 1136468, 1135765, 1280, 9557, 9557, 1860997339
261, 2295932, 1138081, 1367, 743, 1137277, 9232, 9232, 864003989
265, 2296746, 1138400, 1302, 736, 1137634, 9337, 9337, 824398337
266, 2295875, 1271, 1135679, 1135038, 705, 11591, 11591, 2542674997
273, 2297006, 1244, 1138508, 1137647, 615, 9496, 9496, 4119324465
267, 2296168, 1138199, 1270, 638, 1137393, 9334, 9334, 325142065
274, 2299020, 1303, 1140801, 1140052, 732, 8066, 8066, 2124964870
270, 2299029, 1136223, 3604, 3056, 1135372, 10387, 10387, 1140205256
269, 2295833, 1236, 1138171, 1137549, 685, 9096, 9096, 297464921
