sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
4, 975809, 0, 487807, 487762, 0, 120, 120, 234731144
6, 976563, 2, 488183, 488143, 1, 117, 117, 1748216544
11, 976790, 0, 488279, 488259, 0, 126, 126, 3492608684
1, 975676, 0, 487751, 487721, 0, 102, 102, 3906993619
9, 976345, 0, 488088, 488065, 0, 96, 96, 1847861608
0, 976922, 2, 488340, 488323, 1, 128, 128, 3188639652
5, 976544, 488151, 0, 0, 488139, 127, 127, 1478939564
7, 976394, 488074, 0, 0, 488022, 149, 149, 3292559327
3, 975812, 487759, 0, 0, 487719, 167, 167, 2963292502
8, 976207, 0, 487974, 487965, 0, 134, 134, 784912258
2, 976513, 488160, 2, 1, 488138, 106, 106, 3475140371
10, 976961, 488352, 0, 0, 488329, 140, 140, 2041105586
12, 976444, 0, 488156, 488034, 0, 127, 127, 3544692990
20, 976530, 0, 488203, 488085, 0, 121, 121, 3921741889
14, 976690, 488249, 0, 0, 488211, 115, 115, 270425871
19, 976950, 0, 488422, 488350, 0, 89, 89, 1431256561
21, 976067, 0, 487900, 487855, 0, 156, 156, 1664812265
15, 976013, 0, 487889, 487864, 0, 130, 130, 3077368224
16, 976932, 0, 488335, 488325, 0, 136, 136, 4116298824
23, 976050, 2, 487884, 487861, 1, 151, 151, 1413480330
17, 976818, 0, 488312, 488304, 0, 101, 101, 1745366983
13, 976259, 488004, 0, 0, 487981, 137, 137, 1157930274
18, 976545, 488139, 2, 1, 488131, 136, 136, 3196140975
22, 976654, 0, 4, 2, 0, 488324, 488324, 3400114822
24, 975953, 2, 487856, 487836, 1, 129, 129, 3524861735
25, 976170, 487958, 0, 0, 487942, 135, 135, 702761792
29, 975482, 2, 487562, 487525, 1, 196, 196, 140634318
27, 976985, 3, 488348, 488326, 2, 153, 153, 3427537322
28, 977185, 0, 488471, 488460, 0, 127, 127, 1300013048
33, 977330, 488591, 0, 0, 488545, 97, 97, 65656949
26, 977079, 488445, 0, 0, 488436, 99, 99, 1974722875
31, 975890, 487859, 0, 0, 487819, 106, 106, 935139342
34, 976769, 488280, 3, 2, 488230, 127, 127, 1189603012
30, 976211, 487987, 0, 0, 487980, 122, 122, 2032517389
32, 976211, 487939, 0, 0, 487924, 174, 174, 4026725452
36, 976118, 487911, 0, 0, 487835, 186, 186, 672451094
35, 976170, 487958, 3, 2, 487931, 138, 138, 3327240677
37, 977167, 0, 488482, 488461, 0, 112, 112, 3468682896
38, 976781, 488280, 0, 0, 488225, 138, 138, 628916836
43, 976425, 0, 488129, 488064, 0, 116, 116, 1281880658
39, 976254, 488020, 0, 0, 487962, 136, 136, 2156696354
41, 976789, 488312, 2, 1, 488284, 95, 95, 2670242492
42, 976961, 0, 488347, 488342, 0, 136, 136, 1460489291
45, 976696, 3, 488216, 488199, 2, 138, 138, 339801038
40, 976400, 488105, 5, 3, 488067, 110, 110, 4265797385
46, 976917, 3, 0, 0, 2, 488456, 488456, 293477970
49, 975775, 0, 487724, 487699, 0, 176, 176, 3468955018
50, 976517, 3, 488176, 488102, 2, 117, 117, 3930193415
44, 976990, 488365, 2, 1, 488356, 133, 133, 3950317645
47, 976030, 487879, 2, 1, 487878, 135, 135, 277731625
48, 977540, 488644, 0, 0, 488642, 127, 127, 3853120966
51, 976583, 488199, 2, 1, 488175, 103, 103, 2565922623
53, 976607, 3, 488204, 488200, 2, 99, 99, 1256986662
56, 976348, 3, 488055, 488006, 2, 141, 141, 2254770016
54, 977113, 488426, 6, 4, 488385, 146, 146, 2999632926
55, 975946, 487865, 0, 0, 487845, 118, 118, 4276849116
57, 976793, 488287, 0, 0, 488242, 132, 132, 1898327675
52, 976274, 488004, 0, 0, 487994, 138, 138, 237282082
60, 976798, 0, 488280, 488266, 0, 126, 126, 2690718043
61, 976885, 0, 488344, 488277, 0, 132, 132, 3658016929
58, 976918, 0, 488346, 488338, 0, 117, 117, 716428005
64, 976980, 2, 488406, 488355, 1, 108, 108, 1896137919
62, 976280, 488064, 0, 0, 488034, 91, 91, 2999078759
59, 975946, 487829, 2, 1, 487808, 153, 153, 74629507
63, 976341, 488090, 3, 2, 488016, 115, 115, 996208005
66, 976445, 0, 488084, 488071, 0, 145, 145, 1688214343
71, 977047, 0, 488417, 488386, 0, 122, 122, 2649053029
69, 976010, 0, 487880, 487848, 0, 141, 141, 1390800620
70, 975673, 3, 487709, 487683, 2, 138, 138, 4069281987
65, 977177, 488489, 0, 0, 488464, 112, 112, 4251875104
68, 976543, 488143, 0, 0, 488078, 161, 161, 609297004
67, 976585, 488194, 0, 0, 488147, 122, 122, 219210031
72, 976447, 488059, 2, 1, 488057, 164, 164, 1204570966
75, 977080, 0, 488419, 488395, 0, 133, 133, 4208056045
76, 977026, 488440, 0, 0, 488370, 108, 108, 1684439115
73, 976407, 2, 488078, 488074, 1, 126, 126, 1717105504
81, 977010, 0, 488399, 488381, 0, 115, 115, 3382949678
