L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
80,0.2594110,1.5736215566e-01,6.4363568275e-03,2.4804274724e-02,6.1927644080e-04,6.6448631569e-01
80,0.2596430,1.5609953457e-01,6.5969500710e-03,2.4410584443e-02,6.0002635625e-04,6.6434531179e-01
80,0.2598050,1.5525904805e-01,6.6242868423e-03,2.4149253177e-02,5.8732494750e-04,6.6430120323e-01
80,0.2599080,1.5447779902e-01,6.8025799041e-03,2.3909665484e-02,5.7598524439e-04,6.6415173967e-01
80,0.2599670,1.5415117852e-01,6.8877410490e-03,2.3810026815e-02,5.7130390907e-04,6.6408749473e-01
80,0.2599930,1.5398550137e-01,6.8031269052e-03,2.3757817167e-02,5.6872692729e-04,6.6413135301e-01
80,0.2600000,1.5401362754e-01,6.7888679927e-03,2.3766286196e-02,5.6910834927e-04,6.6414558858e-01
80,0.2600070,1.5398926836e-01,6.8302910024e-03,2.3759347645e-02,5.6882208909e-04,6.6411843040e-01
80,0.2600330,1.5388166797e-01,6.8660152735e-03,2.3726709903e-02,5.6732531516e-04,6.6407999534e-01
80,0.2600920,1.5353823496e-01,6.8865579552e-03,2.3621414275e-02,5.6233389768e-04,6.6406038806e-01
80,0.2601950,1.5279704824e-01,7.0928425303e-03,2.3397246367e-02,5.5199298202e-04,6.6388893862e-01
80,0.2603570,1.5191623750e-01,7.0680350774e-03,2.3128500336e-02,5.3941006621e-04,6.6387342946e-01
80,0.2605890,1.5060633965e-01,7.1634209333e-03,2.2733584142e-02,5.2134583763e-04,6.6374493628e-01
80,0.2609040,1.4858028418e-01,7.4738666743e-03,2.2131959530e-02,4.9460756451e-04,6.6341111946e-01
80,0.2613160,1.4602929258e-01,7.8494935011e-03,2.1386168839e-02,4.6242387307e-04,6.6298206765e-01
80,0.2618380,1.4262879570e-01,8.3769967449e-03,2.0413147438e-02,4.2212300585e-04,6.6232584437e-01
80,0.2624820,1.3834380527e-01,9.0238693367e-03,1.9220438675e-02,3.7532167247e-04,6.6134632162e-01
80,0.2632600,1.3258774180e-01,1.0059908646e-02,1.7680711037e-02,3.1920601773e-04,6.5963071470e-01
80,0.2641870,1.2513177949e-01,1.2169064202e-02,1.5806048362e-02,2.5791017691e-04,6.5588737087e-01
80,0.2652740,1.1563887031e-01,1.4379602665e-02,1.3579121300e-02,1.9383832742e-04,6.4959115233e-01
80,0.2665350,1.0283585059e-01,1.7926592061e-02,1.0896574869e-02,1.2995287503e-04,6.3517497319e-01
80,0.2679830,8.6201856641e-02,2.1204603439e-02,7.8803952953e-03,7.3558407687e-05,6.0516553173e-01
80,0.2696300,6.6209467383e-02,2.2019159641e-02,4.8685369624e-03,3.1978621236e-05,5.5028068831e-01
80,0.2714890,4.6304511133e-02,1.9529066953e-02,2.5254922073e-03,1.0340803264e-05,4.5956812583e-01
80,0.2735730,3.0098281055e-02,1.4471847422e-02,1.1153408902e-03,2.4344954124e-06,3.4766233183e-01
80,0.2758950,1.8968450000e-02,9.3735797892e-03,4.4766609347e-04,4.4019213411e-07,2.6782883804e-01
80,0.2784680,1.1848801953e-02,5.5569508295e-03,1.7127381025e-04,6.6502722799e-08,2.4432291428e-01
80,0.2813050,7.8780853516e-03,3.4476206160e-03,7.3950316719e-05,1.1595839236e-08,2.9319298001e-01
80,0.2844180,5.3947720703e-03,2.1458019771e-03,3.3708031816e-05,2.2208461651e-09,3.4847598012e-01
80,0.2878200,3.7769269531e-03,1.3741368885e-03,1.6153429398e-05,4.6895030114e-10,4.0093204567e-01
80,0.2915250,2.7256955078e-03,8.9219529163e-04,8.2254284397e-06,1.0692626863e-10,4.7319959504e-01
80,0.2955450,2.0286019531e-03,6.1187978306e-04,4.4896227531e-06,2.9880439669e-11,5.0586453157e-01
80,0.2998930,1.5371146484e-03,4.4121119901e-04,2.5573887646e-06,9.4179570474e-12,5.1999921791e-01
