L,rho,mean_density,std_density
10,0.2599950,1.9641050000e-01,8.0591500729e-02
10,0.2600050,1.9600670000e-01,8.1147095174e-02
10,0.2600450,1.9583320000e-01,8.1285865793e-02
10,0.2601260,1.9568310000e-01,8.0777014518e-02
10,0.2602470,1.9567420000e-01,8.0275431200e-02
10,0.2604090,1.9557760000e-01,8.0418079921e-02
10,0.2606110,1.9409180000e-01,8.1515139531e-02
10,0.2608540,1.9298500000e-01,8.0745992935e-02
10,0.2611360,1.9205200000e-01,8.0472036733e-02
10,0.2614600,1.9091010000e-01,8.0572074678e-02
10,0.2618230,1.9015740000e-01,8.0192276593e-02
10,0.2622270,1.8782780000e-01,7.9327302659e-02
10,0.2626720,1.8870890000e-01,7.9711625004e-02
10,0.2631560,1.8430320000e-01,7.8784658848e-02
10,0.2636820,1.8300830000e-01,7.9462255387e-02
10,0.2642470,1.8187140000e-01,7.8117090717e-02
10,0.2648530,1.7811820000e-01,7.7490657687e-02
10,0.2655000,1.7762360000e-01,7.7800521355e-02
10,0.2661870,1.7403890000e-01,7.6954300639e-02
10,0.2669140,1.7188190000e-01,7.6765020370e-02
10,0.2676820,1.6932100000e-01,7.6350228284e-02
10,0.2684900,1.6627320000e-01,7.5687893099e-02
10,0.2693380,1.6386680000e-01,7.4454519391e-02
10,0.2702270,1.5961930000e-01,7.3527148507e-02
10,0.2711560,1.5730300000e-01,7.2798626299e-02
10,0.2721260,1.5364550000e-01,7.2430659460e-02
10,0.2731360,1.5229450000e-01,7.1798235144e-02
10,0.2741870,1.4780410000e-01,7.0525333911e-02
10,0.2752770,1.4417010000e-01,7.0043481966e-02
10,0.2764090,1.4037660000e-01,6.8191008003e-02
10,0.2775800,1.3767140000e-01,6.8108628103e-02
10,0.2787920,1.3396530000e-01,6.6508097972e-02
10,0.2800450,1.3014790000e-01,6.4552334006e-02
10,0.2813380,1.2693330000e-01,6.3348313720e-02
10,0.2826710,1.2397290000e-01,6.3191116192e-02
10,0.2840450,1.1999960000e-01,6.1254931229e-02
10,0.2854590,1.1595660000e-01,6.0179783287e-02
10,0.2869130,1.1373520000e-01,5.9109197939e-02
10,0.2884080,1.0938810000e-01,5.7562597912e-02
10,0.2899440,1.0607630000e-01,5.5663545326e-02
10,0.2915190,1.0245850000e-01,5.4317530115e-02
10,0.2931360,9.8766900000e-02,5.2842987845e-02
10,0.2947920,9.5428300000e-02,5.0499976823e-02
10,0.2964890,9.2465000000e-02,4.9627524369e-02
10,0.2982260,9.0055900000e-02,4.8828333733e-02
10,0.3000040,8.5676400000e-02,4.6187289193e-02
10,0.3018220,8.2156100000e-02,4.5077270689e-02
10,0.3036810,7.9147600000e-02,4.3425398262e-02
10,0.3055800,7.6322300000e-02,4.1330105525e-02
10,0.3075190,7.4110600000e-02,4.0527419948e-02
10,0.3094990,7.1359000000e-02,3.9172208503e-02
10,0.3115190,6.8528200000e-02,3.7413430807e-02
10,0.3135790,6.5866200000e-02,3.6448260556e-02
10,0.3156800,6.3231400000e-02,3.4472131556e-02
10,0.3178220,6.0482300000e-02,3.3204567257e-02
10,0.3200040,5.7980300000e-02,3.1805932024e-02
10,0.3222260,5.5898800000e-02,3.0704168423e-02
10,0.3244880,5.3373400000e-02,2.8655690053e-02
10,0.3267910,5.0993800000e-02,2.7565165727e-02
10,0.3291350,4.8690100000e-02,2.6176952878e-02
10,0.3315180,4.7285700000e-02,2.5916459548e-02
10,0.3339430,4.4852600000e-02,2.4233131726e-02
10,0.3364070,4.3156200000e-02,2.3381077853e-02
10,0.3389120,4.1624500000e-02,2.2089185131e-02
10,0.3414580,3.9850600000e-02,2.1334073208e-02
10,0.3440430,3.8243400000e-02,2.0242207302e-02
10,0.3466700,3.6551900000e-02,1.9449876771e-02
10,0.3493360,3.5257400000e-02,1.8850552916e-02
10,0.3520430,3.3775500000e-02,1.8135586557e-02
