L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
240,0.06000000,1000,8.8326903154e-01,3.3139341732e-04,7.8016429179e-01,6.0865666456e-01,0.6666664791625448
240,0.06400000,1000,8.6948206973e-01,3.3886975258e-04,7.5599918431e-01,5.7153511359e-01,0.666666464337766
240,0.06795900,1000,8.5539852894e-01,3.6887291457e-04,7.3170677924e-01,5.3539520861e-01,0.6666664189789958
240,0.07187800,1000,8.4101870978e-01,3.9378542494e-04,7.0731262511e-01,5.0029158792e-01,0.6666663746527339
240,0.07575700,1000,8.2645102785e-01,3.9515703703e-04,6.8302145743e-01,4.6651873750e-01,0.6666663621484882
240,0.07959500,1000,8.1175581033e-01,3.9892521349e-04,6.5894765459e-01,4.3421243052e-01,0.6666663449851284
240,0.08339300,1000,7.9693904196e-01,4.0744005575e-04,6.3511200244e-01,4.0336767693e-01,0.6666663185170063
240,0.08715100,1000,7.8199154962e-01,4.0546793914e-04,6.1151094792e-01,3.7394604115e-01,0.6666663085723412
240,0.09086800,1000,7.6709337775e-01,4.2835393147e-04,5.8843243349e-01,3.4625316022e-01,0.6666662513303081
240,0.09454500,1000,7.5215164178e-01,4.4620156207e-04,5.6573229113e-01,3.2005347535e-01,0.6666661978701992
240,0.09818100,1000,7.3726724508e-01,4.3125481296e-04,5.4356317646e-01,2.9546133079e-01,0.6666662109052371
240,0.10177700,1000,7.2246190357e-01,4.7221769254e-04,5.2195142488e-01,2.7243375501e-01,0.6666660976296817
240,0.10533200,1000,7.0773058167e-01,4.5931208980e-04,5.0088278699e-01,2.5088398852e-01,0.6666661056845016
240,0.10884700,1000,6.9307393743e-01,4.6347228173e-04,4.8035169733e-01,2.3073816545e-01,0.6666660710124863
240,0.11232200,1000,6.7860702394e-01,4.5094735605e-04,4.6050769610e-01,2.1206771232e-01,0.6666660785542002
240,0.11575600,1000,6.6427039164e-01,4.8432494483e-04,4.4125538754e-01,1.9470673063e-01,0.6666659585996385
240,0.11915000,1000,6.5006228009e-01,4.9365659413e-04,4.2258121145e-01,1.7857529181e-01,0.6666658984831193
240,0.12250300,1000,6.3600346434e-01,4.9668117107e-04,4.0450065309e-01,1.6362117707e-01,0.6666658543992011
240,0.12581700,1000,6.2213519394e-01,5.5039814290e-04,3.8705250217e-01,1.4981010790e-01,0.66666562431688
240,0.12908900,1000,6.0835436957e-01,5.5142747759e-04,3.7009534275e-01,1.3697101229e-01,0.6666655725963879
240,0.13232100,1000,5.9464317093e-01,5.9215850868e-04,3.5360085104e-01,1.2503405724e-01,0.666665345991936
240,0.13551300,1000,5.8111009389e-01,6.5245534157e-04,3.3768936650e-01,1.1403468263e-01,0.6666649876757706
240,0.13866500,1000,5.6769874732e-01,6.5189402428e-04,3.2228229225e-01,1.0386642311e-01,0.6666649105134179
240,0.14177600,1000,5.5450772533e-01,6.5333815553e-04,3.0747924388e-01,9.4544009775e-02,0.6666648179233502
240,0.14484600,1000,5.4152481156e-01,6.5441219087e-04,2.9324954936e-01,8.5995800013e-02,0.6666647215515056
240,0.14787700,1000,5.2877703299e-01,6.0759351200e-04,2.7960551941e-01,7.8179658927e-02,0.6666649081431031
240,0.15086600,1000,5.1632990596e-01,6.0695634774e-04,2.6659693982e-01,7.1074320727e-02,0.6666648262958261
240,0.15381600,1000,5.0401420240e-01,6.1490187034e-04,2.5403069395e-01,6.4531977172e-02,0.6666646846692166
240,0.15672500,1000,4.9201415473e-01,6.1078352429e-04,2.4207830114e-01,5.8602264786e-02,0.666664613810342
240,0.15959300,1000,4.8021126577e-01,5.6132651330e-04,2.3060317454e-01,5.3178114459e-02,0.6666648466762626
