L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
140,0.2599980,4.2732190671e-02,1.5585653685e-02,2.0689527203e-03,6.1305028539e-06,5.2260956673e-01
140,0.2600000,4.3299525729e-02,1.5777667565e-02,2.1237837221e-03,6.4473229715e-06,5.2352776781e-01
140,0.2600020,4.3388774490e-02,1.5818497305e-02,2.1328106087e-03,6.4899989346e-06,5.2442525225e-01
140,0.2600090,4.3374743367e-02,1.5613735696e-02,2.1251571046e-03,6.4075731214e-06,5.2707722020e-01
140,0.2600250,4.3492601020e-02,1.5386118412e-02,2.1283389833e-03,6.3691164316e-06,5.3132009429e-01
140,0.2600530,4.2239923615e-02,1.5651911831e-02,2.0291934910e-03,5.9488897576e-06,5.1842077334e-01
140,0.2600970,4.1743978353e-02,1.5436417381e-02,1.9808427103e-03,5.6780569859e-06,5.1763197804e-01
140,0.2601600,4.1015746720e-02,1.5362982351e-02,1.9183127057e-03,5.3791011733e-06,5.1275246410e-01
140,0.2602460,3.9210098688e-02,1.5057090787e-02,1.7641478221e-03,4.6483014379e-06,5.0214475897e-01
140,0.2603590,3.7947044971e-02,1.5006116380e-02,1.6651617508e-03,4.2343086785e-06,4.9096410620e-01
140,0.2605010,3.5936279592e-02,1.4673628571e-02,1.5067315663e-03,3.5756077519e-06,4.7500297597e-01
140,0.2606760,3.3569191035e-02,1.3876291307e-02,1.3194420472e-03,2.7850405063e-06,4.6675152550e-01
140,0.2608890,3.1130898032e-02,1.3553526655e-02,1.1528308971e-03,2.2406338650e-06,4.3802314969e-01
140,0.2611410,2.8188909985e-02,1.2645567499e-02,9.5452502354e-04,1.5958634993e-06,4.1615192791e-01
140,0.2614380,2.4563684985e-02,1.1343679978e-02,7.3205369551e-04,9.8464826187e-07,3.8754527546e-01
140,0.2617810,2.1714317201e-02,1.0279798719e-02,5.7718583322e-04,6.4353883427e-07,3.5609443459e-01
140,0.2621760,1.8527476531e-02,8.9747117430e-03,4.2381283746e-04,3.6248227472e-07,3.2730638616e-01
140,0.2626250,1.5782128353e-02,7.7800951503e-03,3.0960545589e-04,2.0366949116e-07,2.9174848340e-01
140,0.2631310,1.3009708309e-02,6.4689699757e-03,2.1110008283e-04,1.0095818966e-07,2.4483215020e-01
140,0.2636990,1.0790530831e-02,5.2859282773e-03,1.4437659337e-04,4.7215351714e-08,2.4496272253e-01
140,0.2643320,8.7784026239e-03,4.1497012066e-03,9.4280372732e-05,1.9266380738e-08,2.7750257743e-01
140,0.2650340,7.0991111516e-03,3.2197414455e-03,6.0764114119e-05,7.9718095855e-09,2.8031687344e-01
140,0.2658070,5.8180158163e-03,2.5336783120e-03,4.0268833828e-05,3.2742397351e-09,3.2694413289e-01
140,0.2666550,4.6950208455e-03,1.9477932578e-03,2.5837119314e-05,1.2951321951e-09,3.5329731628e-01
140,0.2675830,3.8057126093e-03,1.4659802336e-03,1.6632546510e-05,4.9636094263e-10,4.0192058786e-01
140,0.2685930,3.0654844023e-03,1.1624381481e-03,1.0748457069e-05,2.1264896419e-10,3.8645027672e-01
140,0.2696880,2.5271329446e-03,8.9512253966e-04,7.1876452807e-06,8.7053286882e-11,4.3831781850e-01
140,0.2708730,2.0880300292e-03,6.9131454479e-04,4.8377852025e-06,3.6523631735e-11,4.7981294930e-01
140,0.2721510,1.7312185860e-03,5.5676352435e-04,3.3071034146e-06,1.7043341325e-11,4.8055695524e-01
140,0.2735260,1.4162366618e-03,4.2398583635e-04,2.1854902717e-06,7.0162042427e-12,5.1035287043e-01
140,0.2750000,1.1916092566e-03,3.4890580111e-04,1.5416678784e-06,3.4575838750e-12,5.1508030645e-01
180,0.2450000,1.6743009979e-01,1.2964563515e-03,2.8034519116e-02,7.8612261002e-04,6.6658678384e-01
180,0.2464740,1.6064452785e-01,1.4412250742e-03,2.5808741457e-02,6.6630533329e-04,6.6655947527e-01
180,0.2478490,1.5400639335e-01,1.5602193364e-03,2.3720403476e-02,5.6288829176e-04,6.6652996380e-01
180,0.2491270,1.4746727822e-01,1.6999231406e-03,2.1749487885e-02,4.7329130372e-04,6.6648973989e-01
