sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
10, 871839, 10038, 416622, 415948, 9629, 9801, 9801, 3750134137
8, 870283, 1633, 427740, 427071, 1231, 6304, 6304, 1204196876
1, 868829, 1921, 422359, 421700, 1451, 10699, 10699, 78104286
5, 869271, 33825, 392367, 391829, 33432, 8909, 8909, 2296126594
11, 869375, 424778, 3421, 3032, 424144, 7000, 7000, 3145218006
2, 869165, 399016, 23614, 23163, 398392, 12490, 12490, 3664759986
9, 872141, 12941, 410622, 410170, 12536, 12936, 12936, 80530949
3, 869956, 425923, 1310, 911, 425412, 8200, 8200, 1713568521
0, 869157, 221392, 195508, 195061, 220958, 18119, 18119, 1713735009
4, 870124, 206206, 205380, 204924, 205778, 23918, 23918, 602386804
7, 869230, 17593, 406016, 405539, 17164, 11459, 11459, 3030543236
6, 869098, 244225, 159127, 158666, 243704, 31688, 31688, 2935543629
12, 869919, 141336, 277518, 277064, 140851, 16575, 16575, 31358229
19, 869127, 1244, 426394, 425697, 822, 7485, 7485, 2772855010
13, 869962, 425237, 3173, 2703, 424619, 7115, 7115, 1260123463
16, 870051, 421140, 6675, 6248, 420572, 7708, 7708, 3088868686
14, 871507, 374338, 32410, 31993, 373838, 29464, 29464, 3951505534
22, 869418, 235078, 190117, 189561, 234390, 10136, 10136, 1116266217
18, 871047, 360184, 46607, 46188, 359558, 29255, 29255, 2660193420
17, 869781, 2416, 425849, 425448, 2024, 7022, 7022, 2406646779
21, 869999, 418809, 1774, 1342, 418322, 14876, 14876, 1534953927
15, 870283, 19154, 407268, 406811, 18718, 9166, 9166, 713279392
20, 871045, 427979, 1386, 983, 427377, 6660, 6660, 3635862340
23, 869451, 336417, 19395, 18933, 335824, 79441, 79441, 793145829
26, 869862, 83180, 340630, 339910, 82728, 11707, 11707, 1147877608
28, 870477, 49388, 377634, 377123, 48960, 8686, 8686, 2772068249
33, 871687, 2509, 427190, 426703, 2079, 6603, 6603, 908203903
25, 870488, 316470, 107852, 107284, 315960, 11461, 11461, 2465964529
29, 871009, 7218, 413358, 412898, 6763, 15386, 15386, 3415991234
24, 871415, 283074, 91363, 90887, 282477, 61807, 61807, 2610360439
27, 869246, 377620, 47324, 46879, 376881, 10271, 10271, 1299679042
30, 868197, 346830, 74522, 74035, 346292, 13259, 13259, 1184258656
32, 869281, 426356, 1472, 1030, 425693, 7365, 7365, 86630197
31, 870725, 338920, 76001, 75531, 338407, 20933, 20933, 3566935685
35, 867203, 322871, 84792, 84285, 322249, 26503, 26503, 2335005845
34, 869979, 363114, 53444, 52972, 362621, 18914, 18914, 809348881
36, 869289, 244016, 177236, 176746, 243473, 13909, 13909, 2275157535
37, 868186, 417136, 1698, 1245, 416447, 15830, 15830, 3548591283
40, 869793, 81090, 344535, 343983, 80617, 9784, 9784, 590530507
38, 872337, 418457, 10508, 10073, 417755, 7772, 7772, 2842869919
39, 870304, 409065, 17739, 17301, 408615, 8792, 8792, 2245835069
46, 868118, 158537, 259569, 259027, 158019, 16483, 16483, 2073853114
43, 870458, 97691, 311247, 310754, 97210, 26778, 26778, 444157899
42, 869157, 412895, 14211, 13743, 412414, 7947, 7947, 3236816681
45, 869352, 399163, 27181, 26749, 398643, 8808, 8808, 3652058435
41, 868669, 376838, 46204, 45788, 376327, 11756, 11756, 877912208
47, 869383, 311973, 108303, 107871, 311410, 14913, 14913, 3236969770
44, 869572, 381995, 39094, 38672, 381431, 14190, 14190, 2490312662
49, 868478, 164902, 259100, 258514, 164398, 10782, 10782, 4054474477
48, 870490, 424226, 1447, 1027, 423614, 10088, 10088, 2322862983
53, 869073, 2935, 423878, 423233, 2527, 8250, 8250, 3348716814
50, 868991, 77648, 347185, 346731, 77163, 10132, 10132, 3612659165
52, 871953, 426718, 2641, 2203, 426251, 7070, 7070, 3173101214
55, 869703, 1172, 413992, 413390, 795, 20177, 20177, 3627896382
51, 871008, 283626, 136301, 135845, 283104, 16066, 16066, 102371199
54, 870365, 256404, 166545, 165993, 255931, 12746, 12746, 3292504520
57, 869309, 368175, 50462, 49968, 367512, 16596, 16596, 3988406986
58, 867782, 371093, 54059, 53644, 370538, 9224, 9224, 1518834630
56, 869341, 414993, 12203, 11788, 414467, 7945, 7945, 1907557803
61, 870148, 414175, 13568, 13082, 413487, 7918, 7918, 3610222893
60, 869326, 126350, 231886, 231346, 125916, 76914, 76914, 3302366443
59, 870323, 352308, 72514, 72056, 351669, 10888, 10888, 149477833
62, 870132, 7766, 420064, 419498, 7302, 7751, 7751, 239547098
63, 869752, 424014, 1156, 702, 423460, 10210, 10210, 1900103611
65, 870026, 396738, 29844, 29400, 396266, 8889, 8889, 1554927896
64, 869514, 246737, 165154, 164706, 246241, 23338, 23338, 1119112959
68, 870220, 131132, 287180, 286674, 130644, 17295, 17295, 3874459835
66, 869286, 387691, 38368, 37932, 387169, 9063, 9063, 2439115799
69, 869316, 110478, 299437, 298992, 109995, 25207, 25207, 3578940210
67, 870210, 99099, 234688, 234230, 98643, 101775, 101775, 1789348388
70, 869545, 341312, 62468, 61984, 340809, 31486, 31486, 1479250430
71, 869245, 85840, 333595, 333101, 85263, 15723, 15723, 407939815
74, 869573, 189278, 233351, 232725, 188771, 12724, 12724, 2293472807
72, 869919, 218924, 204030, 203589, 218424, 12476, 12476, 2168662170
73, 867921, 357383, 63405, 62896, 356885, 13676, 13676, 2577387213
75, 869026, 315704, 103165, 102662, 315139, 16178, 16178, 400987318
79, 870707, 423580, 4759, 4356, 422928, 7542, 7542, 2606680002
76, 869052, 280837, 136590, 136086, 280179, 17680, 17680, 482108216
78, 870679, 330398, 94351, 93904, 329880, 11073, 11073, 355470550
80, 869782, 51452, 374885, 374370, 51013, 9031, 9031, 51561680
77, 868674, 307848, 112782, 112248, 307360, 14218, 14218, 2312445515
81, 871482, 426532, 1865, 1468, 425907, 7855, 7855, 3654120492
84, 868062, 162042, 251502, 250990, 161522, 21003, 21003, 1436203630
83, 867503, 406439, 11477, 11018, 405861, 16354, 16354, 1026325177
86, 866975, 294521, 115988, 115496, 293866, 23552, 23552, 509628012
82, 868836, 352093, 68117, 67597, 351579, 14725, 14725, 93120373
87, 869022, 299704, 124364, 123862, 299100, 10996, 10996, 3402255143
89, 867378, 382854, 37638, 37159, 382287, 13720, 13720, 2303146184
85, 870482, 240055, 179214, 178782, 239609, 16411, 16411, 898270096
91, 869053, 5644, 422116, 421463, 5206, 7312, 7312, 2466753503
92, 868780, 104864, 314391, 313880, 104389, 15628, 15628, 861578955
93, 869960, 7258, 420655, 419918, 6827, 7651, 7651, 2026520530
90, 870715, 294420, 126675, 126211, 293769, 14820, 14820, 592711600
88, 869197, 190066, 232471, 231924, 189588, 12574, 12574, 4084787900
95, 868087, 18685, 407507, 406973, 18258, 8332, 8332, 1454134721
96, 868931, 63767, 358345, 357773, 63334, 12856, 12856, 3511340497
97, 868565, 116329, 305300, 304868, 115748, 13160, 13160, 2640015505
98, 869829, 113367, 309990, 309484, 112848, 12070, 12070, 3540284929
102, 869211, 2037, 425346, 424822, 1626, 7690, 7690, 1800369907
104, 869547, 3556, 424360, 423709, 3154, 7384, 7384, 1768402570
94, 868711, 383417, 30077, 29602, 382851, 21382, 21382, 2229335562
101, 869729, 198591, 219387, 218859, 198048, 17422, 17422, 702677474
99, 870477, 257660, 119225, 118781, 257033, 58889, 58889, 1117224606
100, 869424, 422657, 4131, 3684, 422000, 8476, 8476, 3613153305
103, 868453, 418350, 7058, 6618, 417617, 9405, 9405, 1613423427
107, 870435, 66100, 356536, 356023, 65642, 13067, 13067, 2151976967
108, 870027, 11951, 415144, 414601, 11487, 8422, 8422, 2032295244
105, 869860, 298127, 121415, 120990, 297548, 15890, 15890, 4006859244
106, 870675, 382493, 43536, 43097, 381931, 9809, 9809, 126937541
109, 869104, 5742, 421470, 420958, 5310, 7812, 7812, 1146518445
110, 870341, 77169, 347758, 347287, 76655, 10736, 10736, 278194831
114, 869028, 48668, 358078, 357504, 48218, 28280, 28280, 154872949
115, 869867, 13056, 413486, 412931, 12626, 8884, 8884, 2301735033
112, 868371, 279007, 41628, 41150, 278420, 114083, 114083, 3768750710
111, 871088, 406832, 20056, 19625, 406143, 9216, 9216, 3427783841
113, 869334, 380377, 44261, 43801, 379721, 10587, 10587, 3153253677
119, 869549, 42603, 383341, 382837, 42208, 9280, 9280, 2145299176
116, 869271, 383765, 29203, 28767, 383226, 22155, 22155, 2750142176
120, 868778, 209483, 209543, 209023, 208943, 15893, 15893, 101491324
117, 870834, 312334, 108544, 108146, 311866, 14972, 14972, 2026501173
118, 869008, 389875, 31870, 31392, 389381, 13245, 13245, 2286023001
123, 869002, 2957, 424238, 423515, 2534, 7879, 7879, 2751919980
121, 868817, 391638, 32976, 32514, 391185, 10252, 10252, 2784867346
122, 869568, 247652, 171068, 170567, 247137, 16572, 16572, 449604374
124, 869538, 12363, 412708, 412228, 11915, 10162, 10162, 4115469959
126, 869595, 6289, 420424, 419851, 5883, 8574, 8574, 1009890123
132, 869731, 3062, 419428, 418766, 2601, 12937, 12937, 2288220927
127, 869023, 318092, 104095, 103612, 317594, 12815, 12815, 2934989148
130, 869444, 7951, 418543, 417973, 7497, 8740, 8740, 2359189226
125, 868764, 386366, 32161, 31723, 385868, 16323, 16323, 136767705
129, 869771, 216680, 179466, 178920, 216147, 39279, 39279, 330085459
131, 870670, 40081, 387594, 387115, 39612, 8134, 8134, 251346999
133, 869896, 97287, 325999, 325501, 96799, 12155, 12155, 1438351795
128, 869198, 233274, 190276, 189823, 232697, 11564, 11564, 4005003765
136, 870014, 9310, 418983, 418285, 8820, 7308, 7308, 511363474
139, 869236, 12739, 409246, 408549, 12298, 13202, 13202, 1253811128
140, 869607, 30014, 393923, 393192, 29544, 11467, 11467, 1867194641
137, 868758, 74141, 349085, 348494, 73648, 11695, 11695, 3054291644
134, 869091, 320964, 98214, 97786, 320395, 15866, 15866, 285611226
135, 869857, 371775, 50280, 49821, 371171, 13405, 13405, 442437652
138, 869414, 405229, 19785, 19308, 404606, 10243, 10243, 284141646
142, 869493, 2673, 425224, 424630, 2252, 7357, 7357, 320391177
145, 869191, 1678, 424513, 423995, 1281, 8862, 8862, 3159475427
143, 869843, 3438, 423496, 422991, 2970, 8474, 8474, 4241974753
146, 869239, 2251, 425595, 424983, 1832, 7289, 7289, 3605716263
141, 870149, 385139, 42605, 42167, 384454, 7892, 7892, 3312130399
144, 871249, 2611, 220673, 220235, 2162, 212784, 212784, 679300965
147, 868619, 147195, 262350, 261806, 146718, 25275, 25275, 3243231821
149, 868790, 252764, 145349, 144794, 252309, 36787, 36787, 3412712596
151, 870444, 209622, 206060, 205566, 209184, 20006, 20006, 1699510760
150, 870142, 137704, 287336, 286903, 137277, 10461, 10461, 1486872506
148, 869685, 338384, 85344, 84861, 337886, 11605, 11605, 1039721917
152, 871287, 235224, 181910, 181434, 234699, 19010, 19010, 702209832
153, 868486, 418341, 7841, 7387, 417581, 8668, 8668, 2253883692
156, 871014, 1256, 428304, 427766, 832, 6428, 6428, 3184457223
154, 869388, 169431, 182376, 181926, 168951, 83352, 83352, 843326450
155, 868374, 240496, 170090, 169586, 240024, 24089, 24089, 2224985731
157, 867781, 396549, 29309, 28839, 395922, 8581, 8581, 1995885451
158, 870123, 21938, 402735, 402224, 21498, 10864, 10864, 1199248261
159, 869480, 12017, 414079, 413494, 11588, 9151, 9151, 3474536942
166, 871280, 4458, 424265, 423454, 4047, 7528, 7528, 925862163
163, 869708, 1274, 427188, 426570, 858, 6909, 6909, 2386303352
162, 869454, 415702, 11753, 11327, 414974, 7849, 7849, 2992338126
160, 869084, 352109, 26474, 26040, 351433, 56514, 56514, 2854133543
161, 870684, 256323, 166765, 166242, 255826, 12764, 12764, 1264705100
164, 869563, 427625, 1404, 979, 426903, 6326, 6326, 2105939707
165, 869403, 183052, 226376, 225918, 182581, 25738, 25738, 708391752
168, 870082, 417525, 1398, 960, 416905, 16647, 16647, 3616943822
167, 867523, 347153, 61967, 61456, 346661, 25143, 25143, 3652447379
172, 869086, 410046, 16075, 15602, 409341, 9011, 9011, 119792523
171, 868820, 415477, 10653, 10224, 415006, 8730, 8730, 4153839997
174, 868382, 91370, 330581, 329835, 90852, 12872, 12872, 2329941348
169, 869534, 396856, 4470, 4060, 396320, 33914, 33914, 3123441424
