sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
10, 2264491, 1329, 1118632, 1118174, 1122, 12617, 12617, 1872580250
1, 2263859, 4967, 1113121, 1112593, 4738, 14220, 14220, 2207066620
9, 2266651, 38043, 1077319, 1076722, 37793, 18387, 18387, 1345286247
5, 2264180, 85725, 1031808, 1031355, 85478, 14907, 14907, 179398253
6, 2261727, 36217, 1078109, 1077666, 35961, 16887, 16887, 4086159895
3, 2263465, 1118709, 1605, 1385, 1118170, 11798, 11798, 1134672646
7, 2263737, 1118193, 1530, 1298, 1117674, 12521, 12521, 1567291406
4, 2262810, 1114894, 2796, 2536, 1114366, 14109, 14109, 3416739179
2, 2265482, 2105, 1118342, 1117989, 1872, 12587, 12587, 2434855422
11, 2264646, 500058, 597919, 597601, 499740, 34664, 34664, 2709050461
0, 2262557, 2182, 1099017, 1098736, 1944, 30339, 30339, 117043423
8, 2263906, 1117177, 1445, 1226, 1116832, 13613, 13613, 4170286186
12, 2264384, 1337, 1118994, 1118559, 1118, 12188, 12188, 1125871680
13, 2262888, 121762, 980767, 980273, 121466, 29310, 29310, 3027564333
14, 2263049, 1866, 1089778, 1089393, 1624, 40194, 40194, 4213334520
15, 2261695, 3816, 1114254, 1113785, 3584, 13128, 13128, 3773730239
21, 2264855, 2799, 1117298, 1116597, 2575, 12793, 12793, 26255221
16, 2262440, 400149, 704834, 704357, 399744, 26678, 26678, 2665214599
18, 2264995, 1436, 1118967, 1118476, 1226, 12445, 12445, 3388138501
19, 2264617, 222121, 893465, 892946, 221861, 17112, 17112, 2422754693
20, 2265030, 2058, 1118084, 1117742, 1808, 12669, 12669, 977439486
25, 2263554, 1935, 1116195, 1115754, 1734, 13968, 13968, 421400186
23, 2263586, 1808, 1116982, 1116652, 1556, 13294, 13294, 1492231736
24, 2265613, 1120034, 1244, 1018, 1119473, 11922, 11922, 1419948691
26, 2262828, 1343, 1116974, 1116373, 1128, 13505, 13505, 3423325685
22, 2262983, 168105, 941187, 940937, 167816, 22469, 22469, 2497186457
17, 2262278, 1116266, 2656, 2441, 1116025, 12445, 12445, 4216913394
33, 2262216, 1753, 1116792, 1115964, 1485, 13111, 13111, 2362062565
28, 2264860, 1117723, 1557, 1306, 1117360, 13457, 13457, 3601360066
34, 2264387, 1368, 1118075, 1117558, 1160, 13113, 13113, 1841786394
29, 2263677, 399256, 702889, 702570, 399018, 29972, 29972, 435153693
31, 2264705, 1819, 1118715, 1118145, 1592, 12217, 12217, 2797395129
27, 2264144, 279015, 781141, 780852, 278762, 72187, 72187, 3847915568
30, 2261507, 1116443, 2057, 1803, 1116216, 12494, 12494, 3299877288
32, 2260586, 119738, 992357, 992030, 119459, 18501, 18501, 58398055
37, 2262423, 1585, 1117335, 1116983, 1384, 12568, 12568, 1716248200
38, 2260627, 1113405, 2710, 2469, 1112935, 14554, 14554, 1089029843
36, 2264128, 1589, 1118547, 1118243, 1377, 12186, 12186, 3782364083
40, 2263149, 1115886, 1824, 1598, 1115357, 14242, 14242, 233420304
39, 2263658, 1117447, 1838, 1590, 1117063, 12860, 12860, 2267357420
45, 2264411, 2349, 1118244, 1117611, 2099, 12054, 12054, 4275587667
35, 2262791, 1116577, 1897, 1654, 1116337, 13163, 13163, 3571457628
44, 2262239, 2340, 1115088, 1114538, 2069, 14102, 14102, 307711146
42, 2265015, 2455, 1117699, 1117363, 2212, 12643, 12643, 2274083514
46, 2263308, 1118523, 1510, 1271, 1118064, 11970, 11970, 2036471103
48, 2264837, 45742, 1068881, 1068258, 45490, 18233, 18233, 2014771899
43, 2263767, 509733, 596243, 595975, 509470, 26173, 26173, 1714025503
41, 2264567, 1079803, 1411, 1212, 1079241, 51450, 51450, 508259672
53, 2263821, 1117131, 1881, 1638, 1116573, 13299, 13299, 2616914019
