# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
3 60 60 0.1200000000 5000 128 1.2740072664 16.4396600385 -0.0160870444 0.9798819895 0.9601741030 -0.0154434653 0.9408678645 0.9219549758 0.9582839323 0.9601736853 0.9201130283 0.9219525713 0.9219533727 0.0902325853 1.0739321295 1.1641647157 0.0268201604 408.2768716524 206933.4300898392 207341.7069614916 0.6666591941 0.6660115004 0.6666597734 0.6666597737 0 0.0000000000
3 60 60 0.1218750000 5000 128 1.7980466354 18.2010370396 -0.0106914592 0.9776159826 0.9557398389 -0.0102100202 0.9343598829 0.9134647013 0.9544267649 0.9557393549 0.9121854265 0.9134619297 0.9134628534 0.1045488603 1.3706364771 1.4751853375 0.0348693082 283.6239851697 206131.4908421238 206415.1148272935 0.6666571562 0.6662074377 0.6666578300 0.6666578306 0 0.0000000000
3 60 60 0.1237500000 5000 128 1.7895320681 16.0192021400 -0.0195029207 0.9750614112 0.9507537092 -0.0184365386 0.9270606938 0.9039665875 0.9479724714 0.9507531277 0.9012770035 0.9039632762 0.9039643798 0.1256125319 1.8083465005 1.9339590325 0.0502614722 600.7473760945 204679.8952073851 205280.6425834796 0.6666541392 0.6656929128 0.6666549525 0.6666549533 0 0.0000000000
3 60 60 0.1256250000 5000 128 2.8488623182 21.4202518723 -0.0163379451 0.9722087513 0.9452022627 -0.0153054881 0.9189579635 0.8934539481 0.9429536684 0.9452016005 0.8913109104 0.8934501989 0.8934514483 0.1430385072 2.5367892507 2.6798277578 0.1683844974 485.6963650709 203620.3358389591 204106.0322040301 0.6666492686 0.6658609303 0.6666502004 0.6666502013 0 0.0000000000
3 60 60 0.1275000000 5000 128 5.3370688294 24.0324819401 -0.0170518459 0.9688744396 0.9387349480 -0.0157657070 0.9095496552 0.8812877471 0.9363358814 0.9387341419 0.8790015037 0.8812832276 0.8812847330 0.1741048182 3.5558283175 3.7299331358 0.1808254951 518.1983876999 202185.7450354182 202703.9434231181 0.6666422897 0.6658010888 0.6666434268 0.6666434299 0 0.0000000000
3 60 60 0.1293750000 5000 128 6.1422526784 18.9478269518 -0.0142363423 0.9650978400 0.9314371874 -0.0130307457 0.8989729457 0.8676616968 0.9296152648 0.9314362405 0.8659541045 0.8676564259 0.8676581818 0.2045195932 4.8383486421 5.0428682346 0.1922923489 393.5352715240 200753.1197376662 201146.6550091902 0.6666334466 0.6659841103 0.6666347940 0.6666347971 0 0.0000000000
3 60 60 0.1312500000 5000 128 8.7016206355 27.9836442701 -0.0154250176 0.9606625188 0.9229066380 -0.0139294184 0.8866671825 0.8518817418 0.9205483318 0.9229051464 0.8496812784 0.8518735861 0.8518762968 0.3221839481 7.0570107689 7.3791947162 0.2750337087 509.3941309990 198787.0465345813 199296.4406655803 0.6666177171 0.6657729437 0.6666198312 0.6666198480 0 0.0000000000
3 60 60 0.1331250000 5000 128 2.8236191005 5.5495446333 -0.0239678593 0.9556669658 0.9133493984 -0.0217070487 0.8729530309 0.8343881518 0.9115567053 0.9133475119 0.8327243309 0.8343779410 0.8343813382 0.4074946476 10.4030848871 10.8105795341 0.3643322823 387.2217198456 196772.1653480774 197159.3870679230 0.6665943312 0.6659491205 0.6665970340 0.6665970538 0 0.0000000000
3 60 60 0.1350000000 5000 128 13.4417475969 22.1187808176 -0.0151103886 0.9494565890 0.9015506140 -0.0132414566 0.8561388826 0.8130863942 0.8988736346 0.9015479757 0.8106345232 0.8130723942 0.8130770448 0.5698556277 17.3148401465 17.8846957741 0.8608122703 578.2275351819 194107.3871304955 194685.6146656774 0.6665465522 0.6655689776 0.6665503422 0.6665503865 0 0.0000000000
3 60 60 0.1357377049 5000 128 3.1687252509 4.7817110583 -0.0170112641 0.9468001431 0.8965311958 -0.0148850798 0.8490242861 0.8041208856 0.8931695161 0.8965280945 0.8011118609 0.8041044893 0.8041099402 0.6698848429 21.0780141839 21.7478990270 1.1212415551 726.1228159814 192862.1087192754 193588.2315352568 0.6665203970 0.6652626893 0.6665248896 0.6665249362 0 0.0000000000
