# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
2 300 300 0.0970491803 5000 128 34.5483884206 234.8831126967 -0.0016575493 0.9806825765 0.9623079528 -0.0008165322 0.9445995913 0.9274367070 0.9507422717 0.9622813542 0.9161134919 0.9273405167 0.9273684862 2.3938752613 48.8734510655 51.2673263269 14.5706194900 1040.9112985745 85566.5571850638 86607.4684836383 0.6661626870 0.6621667301 0.6661788577 0.6661872435 0 0.0000000000
2 300 300 0.0983606557 5000 128 31.8810149112 211.1794843978 0.0051321682 0.9778722723 0.9570518243 0.0054056842 0.9371652951 0.9180366174 0.9462839318 0.9570188117 0.9076023545 0.9179342691 0.9179631423 2.9711317051 70.6167714023 73.5879031078 15.9071471674 969.1103259947 85163.1833349090 86132.2936609037 0.6659066444 0.6621441620 0.6659208441 0.6659333836 0 0.0000000000
2 300 300 0.0996721311 5000 128 31.2287202664 200.9589493763 0.0003904251 0.9736057342 0.9497402103 0.0007120520 0.9273122674 0.9059574101 0.9404849209 0.9497065235 0.8969104735 0.9058269135 0.9058670846 3.0318150582 161.8558067095 164.8876217675 31.4848656756 832.9760474340 84643.6291649957 85476.6052124296 0.6652066095 0.6619941887 0.6652310863 0.6652399890 0 0.0000000000
2 300 300 0.1009836066 5000 128 84.2399075206 497.3703280970 -0.0050236985 0.9664751894 0.9381218896 -0.0040144475 0.9121670052 0.8878667529 0.9285933645 0.9379950326 0.8786284919 0.8875230282 0.8876289287 11.4171318175 352.8666785103 364.2838103279 51.0909161856 857.5672564729 83571.1314286538 84428.6986851266 0.6637146100 0.6603490172 0.6637538668 0.6638046875 0 0.0000000000
2 300 300 0.1022950820 5000 128 71.1360104752 357.9830974880 -0.0213714573 0.9574370544 0.9237275399 -0.0202516955 0.8937636356 0.8662121441 0.9139638239 0.9235314632 0.8568054387 0.8657051859 0.8658479220 17.6469018230 616.1175080704 633.7644098932 68.0232261215 878.7344358518 82215.6376287700 83094.3720646218 0.6616117848 0.6580969715 0.6616662106 0.6617540692 0 0.0000000000
2 300 300 0.1036065574 5000 128 41.2577157893 217.2766432473 -0.0116774527 0.9449528727 0.9044789924 -0.0116106996 0.8697460471 0.8385420129 0.8949284435 0.9041264582 0.8292931081 0.8377030541 0.8379526151 31.7280812407 1007.1473873484 1038.8754685890 86.2240159942 859.5493984458 80531.2872580083 81390.8366564540 0.6583301923 0.6548481715 0.6584058009 0.6585703465 0 0.0000000000
2 300 300 0.1049180328 5000 128 102.9589549530 432.7253160982 -0.0002050427 0.9329459073 0.8855492750 0.0009753858 0.8457288097 0.8104819926 0.8776941004 0.8851215170 0.8030348558 0.8094165133 0.8097270222 38.4982201837 1326.0106020210 1364.5088222046 97.5323349313 706.9657184098 78992.4652484928 79699.4309669026 0.6554941098 0.6525224240 0.6556143801 0.6558150198 0 0.0000000000
2 300 300 0.1062295082 5000 128 120.2715686605 420.2231968698 -0.0118470317 0.9112765952 0.8531567156 -0.0094978087 0.8064302393 0.7662833827 0.8459637656 0.8525621325 0.7592400604 0.7649423283 0.7653379554 53.5124810230 1992.3389546159 2045.8514356389 113.9082827733 647.3655010862 76124.1072126391 76771.4727137253 0.6490780567 0.6463657366 0.6492034121 0.6495110182 0 0.0000000000
2 300 300 0.1075409836 5000 128 69.4821270991 144.9605815333 -0.0065178502 0.8883202738 0.8192194397 -0.0028071062 0.7657300347 0.7210170706 0.8118372209 0.8184707064 0.7138812617 0.7192421190 0.7197629469 67.3860009788 2642.2017850199 2709.5877859991 124.7606264773 664.3996941653 73061.5264692232 73725.9261633885 0.6418839434 0.6389504483 0.6421116376 0.6425068438 0 0.0000000000
2 300 300 0.1088524590 5000 128 65.6534280126 113.2051828861 -0.0018924444 0.8581877464 0.7763969511 0.0005692516 0.7156316800 0.6662855426 0.7700057345 0.7753319245 0.6601378449 0.6639574218 0.6646539582 95.8523952163 3496.1144686653 3591.9668638816 135.1175892783 575.2094953114 69300.1937815659 69875.4032768773 0.6315559966 0.6288705164 0.6318340313 0.6324582336 0 0.0000000000
2 300 300 0.1101639344 5000 128 87.3396349388 123.7241286308 0.0011731544 0.8232767800 0.7286501504 0.0019299200 0.6615264879 0.6086947487 0.7227790846 0.7272439767 0.6028259700 0.6058448802 0.6066893249 126.5556337396 4451.3388178034 4577.8944515432 140.2764356119 528.3959173776 65049.9937506903 65578.3896680679 0.6178444399 0.6153554835 0.6181613186 0.6191035010 0 0.0000000000
