sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
8, 828511, 183292, 167962, 160261, 175110, 70943, 70943, 2739517184
3, 829698, 167497, 179930, 172144, 159475, 75326, 75326, 3956988969
6, 830483, 169833, 185152, 177335, 162103, 68030, 68030, 1123435237
2, 828123, 178926, 167526, 159525, 170680, 75733, 75733, 1832296499
13, 830105, 178294, 172436, 164617, 170190, 72284, 72284, 3611481118
0, 830047, 158878, 195709, 187438, 151266, 68378, 68378, 2229992128
14, 830430, 182777, 173135, 165127, 174999, 67196, 67196, 1384595751
5, 831821, 163329, 190513, 182659, 155828, 69746, 69746, 1867832287
1, 832736, 172093, 185258, 177396, 164403, 66793, 66793, 1127479501
4, 833877, 159491, 194525, 186307, 152068, 70743, 70743, 3189695822
11, 830243, 166090, 188506, 180390, 158169, 68544, 68544, 222817127
15, 830181, 170838, 182515, 174514, 162802, 69756, 69756, 3852624994
12, 831916, 178025, 173383, 165631, 170109, 72384, 72384, 2190241297
7, 832136, 178861, 172322, 164377, 170742, 72917, 72917, 2350741715
9, 827986, 195845, 155097, 147418, 187304, 71161, 71161, 3364029072
10, 833581, 179899, 167701, 160076, 172175, 76865, 76865, 620371597
17, 828798, 157867, 195088, 186638, 149785, 69710, 69710, 2537453902
19, 831140, 178081, 175009, 167228, 170554, 70134, 70134, 1881215631
20, 832287, 200337, 150184, 142839, 192275, 73326, 73326, 142397167
23, 828361, 147031, 205405, 196283, 139578, 70032, 70032, 166974596
22, 831406, 181898, 175269, 167670, 173853, 66358, 66358, 3766176600
16, 833154, 180530, 170327, 162419, 172598, 73640, 73640, 3498687731
24, 828301, 161456, 192231, 183928, 153468, 68609, 68609, 1861159148
18, 834176, 160147, 193962, 185992, 152915, 70580, 70580, 1018223764
29, 827452, 158089, 191372, 183060, 150111, 72410, 72410, 41788332
28, 830365, 169779, 183793, 175532, 161807, 69727, 69727, 3206243148
21, 835009, 176740, 180155, 172258, 168898, 68479, 68479, 515426842
26, 825848, 197730, 155090, 147579, 189131, 68159, 68159, 702096286
27, 831329, 187880, 163611, 155999, 179597, 72121, 72121, 2784851611
25, 830898, 175017, 178794, 171170, 167513, 69202, 69202, 92243656
30, 830004, 199965, 153080, 145403, 191760, 69898, 69898, 957045955
31, 833407, 183095, 169833, 162148, 174983, 71674, 71674, 630019069
32, 831919, 170736, 183673, 175618, 162798, 69547, 69547, 2367466887
34, 828897, 178023, 175715, 167818, 170039, 68651, 68651, 2565877229
37, 829262, 194207, 153070, 145621, 185908, 75228, 75228, 2730101316
36, 830790, 189637, 165892, 158231, 181540, 67745, 67745, 2983244856
43, 831508, 171976, 180043, 172278, 164125, 71543, 71543, 4023113402
33, 828626, 181200, 168712, 161116, 173098, 72250, 72250, 3268306930
40, 832775, 197954, 151968, 144459, 189934, 74230, 74230, 464434218
39, 831474, 175634, 178491, 170802, 167641, 69453, 69453, 2236463152
35, 829655, 173028, 177009, 169214, 164614, 72895, 72895, 277992505
42, 831725, 155796, 194738, 186317, 148622, 73126, 73126, 3559353167
41, 831337, 191340, 164330, 156791, 182946, 67965, 67965, 2943393197
44, 832958, 164747, 189281, 181292, 156986, 70326, 70326, 2054710513
38, 830957, 165963, 188568, 180415, 158625, 68693, 68693, 3377353695
46, 833277, 178427, 175676, 168365, 170365, 70222, 70222, 3478882197
45, 828775, 155005, 195789, 187635, 147204, 71571, 71571, 1356730793
47, 829972, 187076, 163995, 156331, 178880, 71845, 71845, 2523344891
48, 829128, 179970, 171813, 163954, 171903, 70744, 70744, 1662747022
49, 833035, 186566, 165580, 157891, 178626, 72186, 72186, 1197818125
50, 832593, 165901, 186643, 178979, 158468, 71301, 71301, 4074618372
51, 832262, 182620, 174778, 167195, 174271, 66699, 66699, 4132418025
52, 830016, 184798, 165180, 157380, 176196, 73231, 73231, 800954131
54, 829524, 175474, 174775, 166828, 167509, 72469, 72469, 1677870737
57, 829692, 169726, 185150, 176842, 161834, 68070, 68070, 1272338163
62, 832765, 177578, 172868, 164919, 169738, 73831, 73831, 3624233418
53, 832686, 168922, 180905, 172999, 161112, 74374, 74374, 2541289303
59, 825312, 197004, 152058, 144387, 188267, 71798, 71798, 2879929946
58, 832218, 191151, 164949, 157570, 182944, 67802, 67802, 3243584009
55, 835697, 168778, 178556, 170772, 161507, 78042, 78042, 4255156051
56, 831460, 162750, 185828, 177931, 155095, 74928, 74928, 142099392
60, 832416, 168166, 186445, 178635, 160488, 69341, 69341, 639702740
61, 830483, 183400, 168164, 160620, 175551, 71374, 71374, 1523502209
63, 828326, 172250, 177005, 169096, 164203, 72886, 72886, 17603003
64, 830637, 188217, 162445, 154755, 180006, 72607, 72607, 3079625866
65, 827032, 181202, 167260, 159197, 173073, 73150, 73150, 2564334299
67, 828463, 189571, 161333, 153320, 181465, 71387, 71387, 457911815
66, 830844, 186314, 165203, 157377, 178020, 71965, 71965, 2467046647
69, 829077, 164336, 184569, 176680, 156402, 73545, 73545, 3753986180
70, 830650, 159120, 195146, 187049, 151677, 68829, 68829, 841214002
72, 830876, 158269, 199162, 190632, 150673, 66070, 66070, 628113809
73, 828094, 189854, 162294, 154842, 181324, 69890, 69890, 2815613587
75, 828268, 183628, 172879, 164829, 175134, 65899, 65899, 3480808841
68, 832354, 177952, 173684, 166231, 170013, 72237, 72237, 3473511076
71, 831312, 156020, 200940, 192530, 148744, 66539, 66539, 3976997964
76, 832132, 193397, 158757, 151236, 185126, 71808, 71808, 1526382502
74, 831959, 193905, 162072, 154244, 185736, 68001, 68001, 2656079137
77, 833599, 175462, 182326, 174429, 167820, 66781, 66781, 2280331546
78, 831377, 164476, 181921, 173882, 156572, 77263, 77263, 2732228428
80, 833255, 170905, 183558, 175461, 163235, 70048, 70048, 3613653156
81, 828545, 175587, 172213, 164377, 167268, 74550, 74550, 2121438503
79, 831520, 175879, 168974, 161554, 167667, 78723, 78723, 1508398804
82, 829126, 170823, 181996, 173987, 163126, 69597, 69597, 435982167
83, 831044, 171068, 173766, 165769, 163207, 78617, 78617, 669059000
85, 832900, 182918, 166431, 158961, 174956, 74817, 74817, 2932111654
87, 828396, 170920, 178875, 171005, 162690, 72453, 72453, 3729316513
86, 830369, 195996, 157750, 150088, 187423, 69556, 69556, 1151182317
84, 831853, 160238, 195718, 186869, 152392, 68318, 68318, 3048077037
90, 828229, 161563, 186222, 178067, 153625, 74376, 74376, 2547784594
89, 829059, 173612, 179546, 171256, 165619, 69513, 69513, 2907111351
88, 826604, 186192, 162878, 155420, 177914, 72100, 72100, 3599961602
91, 834111, 178124, 171942, 164334, 170273, 74719, 74719, 2373773086
93, 834106, 180378, 172388, 164579, 172679, 72041, 72041, 267077269
92, 830290, 181431, 168235, 160260, 173986, 73189, 73189, 4213622481
95, 832749, 179643, 173815, 165418, 172011, 70931, 70931, 3652739817
94, 830632, 204869, 147152, 139643, 197124, 70922, 70922, 3115725833
96, 832636, 171199, 177695, 170234, 163324, 75092, 75092, 1617659190
97, 831026, 166251, 183954, 175930, 158903, 72994, 72994, 3327112621
98, 833421, 197973, 152113, 144914, 190125, 74148, 74148, 1510597300
100, 831488, 171815, 182692, 174292, 164077, 69306, 69306, 1167437412
104, 828036, 160340, 192925, 184332, 152577, 68931, 68931, 4185051339
99, 835085, 179442, 176223, 168628, 171726, 69533, 69533, 3639639101
101, 828606, 190937, 159833, 152280, 182794, 71381, 71381, 663873161
103, 829689, 186642, 166467, 159169, 178597, 69407, 69407, 4254165994
102, 831853, 192395, 162957, 155618, 183941, 68471, 68471, 2757670321
105, 829784, 167289, 184979, 177265, 159387, 70432, 70432, 1777819767
106, 829849, 176222, 177055, 169168, 167840, 69782, 69782, 3941119690
107, 829342, 178565, 174708, 166905, 170756, 69204, 69204, 752029306
109, 828500, 169316, 181917, 173941, 161404, 70961, 70961, 2535757494
110, 832059, 181193, 170561, 162793, 173266, 72123, 72123, 2321336478
111, 832014, 163226, 192769, 184232, 155441, 68173, 68173, 434935831
112, 831792, 185475, 167352, 159371, 178072, 70761, 70761, 996640393
113, 828893, 204715, 143341, 136039, 196254, 74272, 74272, 80600579
108, 836925, 177221, 177113, 169827, 169792, 71486, 71486, 4197279976
114, 834461, 183986, 172275, 164618, 176260, 68661, 68661, 3554313566
115, 831711, 179929, 176401, 168566, 171859, 67478, 67478, 3359692420
116, 834009, 193800, 160537, 152603, 186041, 70514, 70514, 2897844625
118, 829967, 181290, 174260, 166426, 173201, 67395, 67395, 3318340409
119, 830461, 186501, 169442, 161641, 178613, 67132, 67132, 2067862093
121, 831619, 198224, 152446, 145057, 190048, 72922, 72922, 2828027298
120, 831307, 174649, 184373, 176702, 166749, 64417, 64417, 2817746434
124, 831329, 176373, 179590, 171660, 168376, 67665, 67665, 1776602657
117, 832736, 159847, 192705, 184223, 152189, 71886, 71886, 2968522896
125, 832115, 179559, 175808, 168066, 171602, 68540, 68540, 554282371
122, 829251, 172941, 177554, 169707, 165223, 71913, 71913, 2073085780
126, 832583, 178209, 174957, 166854, 170199, 71182, 71182, 1587066924
123, 830090, 180682, 166178, 158553, 172403, 76137, 76137, 1732787876
127, 831952, 185040, 168718, 161212, 176958, 70012, 70012, 1569521416
128, 834124, 195313, 160802, 153345, 187202, 68731, 68731, 1358937441
130, 834958, 166282, 192789, 184555, 159056, 66138, 66138, 1438134944
129, 831691, 197843, 158077, 150499, 189228, 68022, 68022, 2245002990
131, 832214, 181312, 173184, 165328, 173594, 69398, 69398, 3973765841
132, 829685, 187912, 169230, 161341, 180432, 65385, 65385, 1304144348
134, 832749, 166852, 183927, 175576, 159254, 73570, 73570, 382997908
133, 830093, 165432, 178512, 170518, 158087, 78772, 78772, 2451072865
135, 831617, 178007, 173869, 166241, 170332, 71584, 71584, 1229796208
142, 831335, 175721, 178001, 169846, 167739, 70014, 70014, 122947789
137, 829840, 197544, 153578, 145785, 189067, 71933, 71933, 213436021
139, 830679, 192175, 159036, 151379, 183855, 72117, 72117, 3751928759
140, 829747, 180703, 166187, 158408, 172741, 75854, 75854, 826582950
141, 828847, 165652, 186082, 177944, 158031, 70569, 70569, 862039522
138, 833941, 164131, 191314, 183686, 156574, 69118, 69118, 3999139552
136, 832327, 165567, 185852, 177696, 157708, 72752, 72752, 4063381218
143, 831367, 176253, 178475, 170711, 168778, 68575, 68575, 1915545055
144, 831798, 165770, 190591, 182675, 158514, 67124, 67124, 239972345
146, 830830, 187151, 163436, 155946, 178967, 72665, 72665, 2419117229
145, 830345, 162805, 184780, 176644, 155192, 75462, 75462, 1139974473
147, 834651, 171153, 185172, 177073, 163649, 68802, 68802, 383245972
148, 829042, 198362, 156479, 148913, 189674, 67807, 67807, 2875744086
149, 830385, 166987, 182306, 174479, 159401, 73606, 73606, 1764833369
150, 833696, 190713, 165192, 157712, 182585, 68747, 68747, 1519299270
