rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.080000	0.992348	0.986727	0.044421	0.975581	0.992610	0.987249	0.044433	0.976615
0.081000	0.992969	0.986974	0.031413	0.975094	0.993245	0.987524	0.031423	0.976179
0.082000	0.993581	0.987204	0.000216	0.974571	0.993871	0.987780	0.000215	0.975709
0.083000	0.992181	0.985409	0.031391	0.972003	0.992485	0.986012	0.031401	0.973193
0.084000	0.991755	0.984563	0.031377	0.970336	0.992074	0.985196	0.031387	0.971584
0.085000	0.990138	0.982349	0.044455	0.966985	0.990471	0.983011	0.044469	0.968289
0.086000	0.989952	0.981209	0.034706	0.964352	0.990300	0.981900	0.034718	0.965712
0.087000	0.988597	0.978618	0.035958	0.959948	0.988963	0.979341	0.035971	0.961367
0.088000	0.983736	0.970477	0.052347	0.947644	0.984117	0.971229	0.052367	0.949113
0.089000	0.974579	0.956415	0.081302	0.926862	0.974973	0.957188	0.081335	0.928361
0.090000	0.960487	0.937059	0.120520	0.902430	0.960893	0.937853	0.120571	0.903959
0.091000	0.932857	0.897064	0.163837	0.849041	0.933269	0.897858	0.163909	0.850544
0.092000	0.916909	0.871801	0.176293	0.813781	0.917333	0.872607	0.176374	0.815286
0.093000	0.850402	0.779987	0.238333	0.700751	0.850812	0.780739	0.238448	0.702103
0.094000	0.787274	0.694544	0.273395	0.596955	0.787670	0.695244	0.273531	0.598157
0.095000	0.734918	0.620754	0.283987	0.502391	0.735305	0.621407	0.284136	0.503449
0.096000	0.641340	0.501695	0.300629	0.370961	0.641692	0.502246	0.300794	0.371777
0.097000	0.568474	0.414626	0.302428	0.281936	0.568801	0.415101	0.302601	0.282583
0.098000	0.501052	0.329853	0.280712	0.192439	0.501352	0.330248	0.280880	0.192900
0.099000	0.446730	0.270284	0.265924	0.139652	0.447009	0.270620	0.266089	0.140000
0.100000	0.384982	0.209674	0.247917	0.093146	0.385232	0.209946	0.248077	0.093388
0.101000	0.331991	0.162459	0.228563	0.062575	0.332215	0.162678	0.228717	0.062743
0.102000	0.315833	0.143481	0.209119	0.046805	0.316056	0.143683	0.209265	0.046937
0.103000	0.271324	0.108091	0.185671	0.028397	0.271523	0.108249	0.185806	0.028480
0.104000	0.238391	0.086595	0.172526	0.019623	0.238572	0.086727	0.172657	0.019683
0.105000	0.208961	0.065854	0.148963	0.011459	0.209126	0.065959	0.149081	0.011495
0.106000	0.191171	0.055541	0.137821	0.008665	0.191328	0.055632	0.137935	0.008694
0.107000	0.174433	0.046088	0.125146	0.005708	0.174582	0.046167	0.125253	0.005728
0.108000	0.153963	0.036622	0.113656	0.003731	0.154100	0.036687	0.113757	0.003744
0.109000	0.147440	0.034154	0.111424	0.003309	0.147575	0.034217	0.111526	0.003321
0.110000	0.129176	0.026049	0.096761	0.001922	0.129300	0.026099	0.096854	0.001930
0.111000	0.115526	0.020640	0.085403	0.001273	0.115640	0.020681	0.085488	0.001279
0.112000	0.110264	0.018737	0.081111	0.001054	0.110378	0.018776	0.081196	0.001058
0.113000	0.098990	0.015205	0.073523	0.000655	0.099096	0.015237	0.073602	0.000658
0.114000	0.094567	0.013759	0.069400	0.000575	0.094673	0.013790	0.069477	0.000577
0.115000	0.089360	0.012396	0.066411	0.000440	0.089463	0.012424	0.066489	0.000442
0.116000	0.083016	0.010690	0.061632	0.000341	0.083116	0.010716	0.061707	0.000342
0.117000	0.079425	0.009565	0.057068	0.000253	0.079524	0.009589	0.057138	0.000255
0.118000	0.070217	0.007978	0.055201	0.000205	0.070307	0.007998	0.055271	0.000206
0.119000	0.066383	0.006789	0.048806	0.000128	0.066472	0.006807	0.048871	0.000128
0.120000	0.060508	0.005812	0.046372	0.000103	0.060593	0.005828	0.046436	0.000104
0.121000	0.056095	0.004868	0.041491	0.000067	0.056175	0.004882	0.041551	0.000067
0.122000	0.054404	0.004690	0.041594	0.000064	0.054485	0.004704	0.041655	0.000065
0.123000	0.052938	0.004290	0.038566	0.000051	0.053019	0.004303	0.038624	0.000051
0.124000	0.047921	0.003652	0.036816	0.000041	0.047998	0.003664	0.036875	0.000042
0.125000	0.046378	0.003362	0.034801	0.000031	0.046456	0.003373	0.034859	0.000032
0.126000	0.041492	0.002669	0.030784	0.000020	0.041563	0.002678	0.030837	0.000020
0.127000	0.039281	0.002427	0.029737	0.000017	0.039351	0.002436	0.029789	0.000017
0.128000	0.038859	0.002374	0.029390	0.000017	0.038929	0.002382	0.029443	0.000017
0.129000	0.037535	0.002201	0.028154	0.000014	0.037607	0.002210	0.028206	0.000014
0.130000	0.035852	0.002015	0.027011	0.000012	0.035922	0.002023	0.027063	0.000012
