rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.080000	0.990379	0.984790	0.062758	0.973706	0.990641	0.985311	0.062774	0.974737
0.081000	0.989044	0.983123	0.070103	0.971388	0.989317	0.983666	0.070123	0.972461
0.082000	0.986632	0.980305	0.082832	0.967773	0.986919	0.980875	0.082856	0.968899
0.083000	0.990210	0.983464	0.054308	0.970114	0.990513	0.984067	0.054324	0.971302
0.084000	0.990792	0.983635	0.044352	0.969478	0.991109	0.984265	0.044366	0.970721
0.085000	0.985365	0.977787	0.082722	0.962809	0.985698	0.978448	0.082749	0.964110
0.086000	0.989846	0.981759	0.044311	0.965784	0.990195	0.982452	0.044327	0.967148
0.087000	0.986341	0.977755	0.069906	0.960812	0.986706	0.978480	0.069932	0.962236
0.088000	0.986749	0.977584	0.062537	0.959513	0.987131	0.978341	0.062562	0.960999
0.089000	0.987977	0.978066	0.044363	0.958579	0.988377	0.978858	0.044382	0.960132
0.090000	0.986569	0.975723	0.049045	0.954764	0.986984	0.976545	0.049065	0.956374
0.091000	0.985166	0.972742	0.046786	0.948854	0.985603	0.973604	0.046806	0.950536
0.092000	0.980981	0.966347	0.063426	0.939396	0.981436	0.967243	0.063455	0.941139
0.093000	0.978332	0.962205	0.071213	0.933114	0.978804	0.963134	0.071247	0.934917
0.094000	0.969539	0.948210	0.090575	0.912844	0.970030	0.949171	0.090621	0.914693
0.095000	0.960527	0.934163	0.107474	0.892060	0.961034	0.935149	0.107530	0.893943
0.096000	0.941012	0.906337	0.144336	0.854539	0.941528	0.907331	0.144417	0.856414
0.097000	0.911632	0.864140	0.181842	0.799484	0.912155	0.865131	0.181946	0.801319
0.098000	0.898683	0.840354	0.180895	0.762063	0.899219	0.841356	0.181001	0.763881
0.099000	0.854604	0.777999	0.218292	0.681910	0.855135	0.778966	0.218425	0.683605
0.100000	0.804826	0.710454	0.250417	0.603004	0.805346	0.711372	0.250578	0.604563
0.101000	0.760229	0.651661	0.271502	0.534208	0.760740	0.652539	0.271686	0.535648
0.102000	0.672636	0.541693	0.298754	0.414591	0.673108	0.542454	0.298963	0.415755
0.103000	0.628079	0.482556	0.296771	0.345980	0.628538	0.483264	0.296990	0.346997
0.104000	0.571115	0.413961	0.296290	0.275666	0.571549	0.414588	0.296513	0.276500
0.105000	0.527911	0.364075	0.292207	0.227664	0.528328	0.364650	0.292437	0.228384
0.106000	0.470809	0.298218	0.276689	0.164256	0.471197	0.298710	0.276917	0.164798
0.107000	0.419317	0.244130	0.261348	0.118805	0.419677	0.244549	0.261572	0.119212
0.108000	0.383400	0.212748	0.256423	0.097759	0.383741	0.213126	0.256648	0.098106
0.109000	0.347213	0.175973	0.235406	0.069726	0.347534	0.176298	0.235623	0.069984
0.110000	0.330416	0.159899	0.225221	0.057877	0.330733	0.160206	0.225436	0.058098
0.111000	0.287769	0.124020	0.202999	0.037385	0.288057	0.124268	0.203203	0.037535
0.112000	0.274345	0.110066	0.186551	0.029138	0.274628	0.110294	0.186745	0.029259
0.113000	0.254511	0.097036	0.179613	0.023884	0.254783	0.097245	0.179806	0.023986
0.114000	0.227732	0.077775	0.160975	0.015578	0.227986	0.077948	0.161153	0.015647
0.115000	0.212314	0.067625	0.150159	0.011700	0.212559	0.067780	0.150330	0.011753
0.116000	0.194790	0.060570	0.150423	0.010728	0.195022	0.060715	0.150604	0.010780
0.117000	0.176176	0.048459	0.131987	0.006793	0.176396	0.048580	0.132154	0.006827
0.118000	0.172061	0.045822	0.127347	0.006033	0.172282	0.045940	0.127512	0.006064
0.119000	0.164747	0.041843	0.121248	0.004808	0.164968	0.041955	0.121410	0.004834
0.120000	0.144498	0.032179	0.106301	0.002910	0.144697	0.032269	0.106449	0.002926
0.121000	0.134212	0.028011	0.099993	0.002175	0.134402	0.028091	0.100137	0.002188
0.122000	0.136049	0.028775	0.101318	0.002389	0.136251	0.028860	0.101468	0.002403
0.123000	0.126917	0.024739	0.092906	0.001768	0.127114	0.024815	0.093046	0.001779
0.124000	0.109449	0.018913	0.083270	0.001076	0.109625	0.018974	0.083402	0.001083
0.125000	0.110498	0.019259	0.083957	0.001080	0.110681	0.019322	0.084091	0.001087
0.126000	0.105847	0.017344	0.078361	0.000829	0.106028	0.017404	0.078497	0.000835
0.127000	0.100224	0.015632	0.074748	0.000702	0.100404	0.015688	0.074881	0.000707
0.128000	0.090940	0.013336	0.071178	0.000582	0.091107	0.013385	0.071308	0.000586
0.129000	0.088682	0.012316	0.066723	0.000458	0.088849	0.012363	0.066847	0.000461
0.130000	0.083073	0.010684	0.061507	0.000327	0.083237	0.010726	0.061627	0.000329
