rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.080000	0.993351	0.987735	0.031429	0.976597	0.993615	0.988259	0.031438	0.977634
0.081000	0.992985	0.987006	0.031417	0.975156	0.993261	0.987555	0.031426	0.976242
0.082000	0.989640	0.983319	0.062713	0.970801	0.989928	0.983893	0.062731	0.971934
0.083000	0.993180	0.986408	0.000431	0.973001	0.993485	0.987013	0.000429	0.974195
0.084000	0.990796	0.983645	0.044353	0.969496	0.991113	0.984275	0.044369	0.970739
0.085000	0.990285	0.982629	0.044332	0.967497	0.990618	0.983291	0.044347	0.968801
0.086000	0.991635	0.983352	0.003629	0.967028	0.991985	0.984047	0.003630	0.968394
0.087000	0.989590	0.980539	0.035365	0.963033	0.989956	0.981264	0.035378	0.964457
0.088000	0.987211	0.977626	0.055142	0.958938	0.987592	0.978381	0.055162	0.960422
0.089000	0.987690	0.977534	0.044742	0.957649	0.988091	0.978327	0.044760	0.959203
0.090000	0.987752	0.976738	0.032931	0.955312	0.988170	0.977565	0.032945	0.956929
0.091000	0.982800	0.969449	0.059602	0.944498	0.983234	0.970305	0.059628	0.946168
0.092000	0.976152	0.958984	0.078167	0.929733	0.976603	0.959869	0.078202	0.931450
0.093000	0.969603	0.948425	0.091078	0.914225	0.970071	0.949340	0.091122	0.915991
0.094000	0.952966	0.924287	0.127052	0.880971	0.953445	0.925216	0.127117	0.882743
0.095000	0.935600	0.899106	0.154140	0.847382	0.936091	0.900051	0.154221	0.849163
0.096000	0.917151	0.870171	0.170311	0.806948	0.917654	0.871126	0.170404	0.808720
0.097000	0.882019	0.817523	0.198909	0.735984	0.882523	0.818457	0.199022	0.737668
0.098000	0.840382	0.761496	0.235064	0.666547	0.840882	0.762404	0.235205	0.668137
0.099000	0.769515	0.665710	0.271215	0.550172	0.769993	0.666539	0.271384	0.551543
0.100000	0.706832	0.586507	0.294779	0.463656	0.707290	0.587267	0.294970	0.464858
0.101000	0.652334	0.511649	0.293445	0.377285	0.652773	0.512338	0.293641	0.378301
0.102000	0.618004	0.466627	0.291028	0.325557	0.618439	0.467283	0.291233	0.326473
0.103000	0.547282	0.384532	0.291572	0.243716	0.547684	0.385097	0.291786	0.244432
0.104000	0.491235	0.322095	0.284225	0.187996	0.491608	0.322585	0.284440	0.188567
0.105000	0.431291	0.253326	0.259450	0.125404	0.431632	0.253728	0.259656	0.125801
0.106000	0.404147	0.228427	0.255132	0.107165	0.404479	0.228802	0.255340	0.107516
0.107000	0.341685	0.168986	0.228555	0.065142	0.341977	0.169274	0.228749	0.065365
0.108000	0.325159	0.154631	0.221141	0.056597	0.325448	0.154907	0.221338	0.056799
0.109000	0.296591	0.130156	0.205403	0.041526	0.296864	0.130395	0.205591	0.041678
0.110000	0.257327	0.097644	0.177278	0.024271	0.257572	0.097831	0.177448	0.024364
0.111000	0.238786	0.087584	0.174828	0.020204	0.239026	0.087758	0.175000	0.020284
0.112000	0.228469	0.079094	0.163998	0.016402	0.228704	0.079257	0.164168	0.016470
0.113000	0.211216	0.067021	0.149695	0.011987	0.211443	0.067165	0.149855	0.012038
0.114000	0.183719	0.051350	0.132655	0.006812	0.183923	0.051464	0.132802	0.006842
0.115000	0.181863	0.050276	0.131156	0.006788	0.182073	0.050392	0.131307	0.006820
0.116000	0.165507	0.042162	0.121530	0.004738	0.165707	0.042264	0.121675	0.004760
0.117000	0.145990	0.032433	0.105450	0.002881	0.146171	0.032513	0.105581	0.002895
0.118000	0.141841	0.030518	0.101979	0.002558	0.142023	0.030597	0.102110	0.002572
0.119000	0.129658	0.025544	0.093451	0.001768	0.129830	0.025612	0.093577	0.001777
0.120000	0.125035	0.024019	0.091571	0.001592	0.125207	0.024085	0.091697	0.001601
0.121000	0.113243	0.020455	0.087357	0.001297	0.113405	0.020514	0.087483	0.001304
0.122000	0.109450	0.018866	0.082987	0.001107	0.109612	0.018922	0.083110	0.001114
0.123000	0.104678	0.017240	0.079264	0.000875	0.104840	0.017294	0.079386	0.000881
0.124000	0.096564	0.014366	0.071004	0.000578	0.096717	0.014412	0.071116	0.000582
0.125000	0.087036	0.011881	0.065620	0.000423	0.087180	0.011921	0.065728	0.000426
0.126000	0.086408	0.011946	0.066932	0.000465	0.086557	0.011987	0.067048	0.000469
0.127000	0.085741	0.011588	0.065087	0.000402	0.085893	0.011629	0.065202	0.000405
0.128000	0.080170	0.010152	0.061028	0.000305	0.080317	0.010189	0.061141	0.000307
0.129000	0.074590	0.008837	0.057217	0.000242	0.074732	0.008871	0.057326	0.000244
0.130000	0.069251	0.007471	0.051725	0.000166	0.069386	0.007500	0.051826	0.000167
