rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.080000	0.986408	0.980846	0.088573	0.969819	0.986669	0.981365	0.088597	0.970846
0.081000	0.991032	0.985100	0.054359	0.973344	0.991308	0.985649	0.054374	0.974428
0.082000	0.985673	0.979384	0.088504	0.966929	0.985961	0.979957	0.088531	0.968061
0.083000	0.991200	0.984447	0.044373	0.971079	0.991502	0.985047	0.044387	0.972265
0.084000	0.989799	0.982650	0.054293	0.968509	0.990119	0.983286	0.054310	0.969763
0.085000	0.989357	0.981772	0.054262	0.966779	0.989690	0.982433	0.054282	0.968081
0.086000	0.986876	0.978817	0.069944	0.962901	0.987224	0.979508	0.069969	0.964261
0.087000	0.990302	0.981681	0.031346	0.964667	0.990668	0.982406	0.031358	0.966092
0.088000	0.986663	0.977430	0.062656	0.959265	0.987045	0.978186	0.062680	0.960750
0.089000	0.986022	0.976149	0.062531	0.956735	0.986418	0.976934	0.062556	0.958276
0.090000	0.985292	0.974708	0.062513	0.953916	0.985708	0.975532	0.062540	0.955530
0.091000	0.979492	0.968132	0.093423	0.945885	0.979926	0.968990	0.093464	0.947562
0.092000	0.980876	0.968178	0.077847	0.943781	0.981329	0.969073	0.077883	0.945526
0.093000	0.981121	0.967041	0.066644	0.940348	0.981595	0.967974	0.066677	0.942165
0.094000	0.977134	0.960378	0.074751	0.929565	0.977628	0.961349	0.074788	0.931446
0.095000	0.965529	0.943700	0.107024	0.907290	0.966037	0.944694	0.107082	0.909202
0.096000	0.961138	0.936339	0.112037	0.895055	0.961666	0.937367	0.112099	0.897022
0.097000	0.939659	0.906460	0.153301	0.855311	0.940196	0.907496	0.153388	0.857267
0.098000	0.925823	0.883964	0.163756	0.824124	0.926375	0.885018	0.163853	0.826090
0.099000	0.890300	0.834321	0.204174	0.760479	0.890854	0.835360	0.204301	0.762374
0.100000	0.876299	0.808757	0.202133	0.722032	0.876866	0.809804	0.202263	0.723901
0.101000	0.822791	0.736404	0.243760	0.632966	0.823348	0.737400	0.243923	0.634678
0.102000	0.780151	0.679307	0.265842	0.565749	0.780700	0.680264	0.266029	0.567345
0.103000	0.734153	0.616436	0.278309	0.489791	0.734689	0.617335	0.278509	0.491219
0.104000	0.666229	0.530675	0.294642	0.396935	0.666740	0.531488	0.294866	0.398150
0.105000	0.641610	0.498994	0.295519	0.360253	0.642116	0.499782	0.295752	0.361392
0.106000	0.579430	0.426584	0.301405	0.288236	0.579908	0.427286	0.301651	0.289185
0.107000	0.523733	0.360619	0.293808	0.221652	0.524180	0.361234	0.294058	0.222410
0.108000	0.481050	0.308977	0.278511	0.173229	0.481476	0.309525	0.278758	0.173844
0.109000	0.436684	0.259772	0.262828	0.131033	0.437089	0.260254	0.263072	0.131520
0.110000	0.393233	0.220254	0.256169	0.103669	0.393607	0.220673	0.256411	0.104062
0.111000	0.376216	0.202878	0.247670	0.088810	0.376590	0.203282	0.247915	0.089164
0.112000	0.339754	0.167089	0.227281	0.062371	0.340104	0.167433	0.227514	0.062628
0.113000	0.305635	0.136780	0.208249	0.043743	0.305964	0.137076	0.208475	0.043933
0.114000	0.276864	0.115185	0.196295	0.032507	0.277173	0.115443	0.196515	0.032653
0.115000	0.255959	0.100518	0.187091	0.026316	0.256253	0.100748	0.187304	0.026437
0.116000	0.250861	0.092714	0.172577	0.021296	0.251161	0.092937	0.172786	0.021398
0.117000	0.226960	0.078417	0.164029	0.016115	0.227240	0.078610	0.164231	0.016195
0.118000	0.212128	0.068313	0.152691	0.012254	0.212404	0.068490	0.152887	0.012317
0.119000	0.192601	0.055835	0.136893	0.008396	0.192859	0.055984	0.137073	0.008441
0.120000	0.193134	0.057754	0.143014	0.009389	0.193401	0.057913	0.143209	0.009441
0.121000	0.171793	0.045751	0.127427	0.005734	0.172042	0.045883	0.127611	0.005767
0.122000	0.168025	0.045082	0.129805	0.005735	0.168274	0.045216	0.130001	0.005770
0.123000	0.154102	0.036566	0.113218	0.003660	0.154341	0.036680	0.113394	0.003683
0.124000	0.143906	0.031784	0.105240	0.002782	0.144135	0.031886	0.105408	0.002800
0.125000	0.133445	0.028060	0.101254	0.002349	0.133665	0.028153	0.101422	0.002365
0.126000	0.134323	0.027372	0.096587	0.002068	0.134554	0.027466	0.096752	0.002082
0.127000	0.123184	0.023600	0.091790	0.001588	0.123398	0.023682	0.091948	0.001599
0.128000	0.113161	0.020291	0.086517	0.001254	0.113367	0.020364	0.086673	0.001263
0.129000	0.109668	0.018627	0.081240	0.000991	0.109876	0.018698	0.081393	0.000998
0.130000	0.104525	0.016982	0.077825	0.000851	0.104727	0.017048	0.077977	0.000858
