sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
10, 940898, 161469, 258232, 254443, 157754, 54500, 54500, 1714988551
12, 940134, 108206, 310249, 306242, 105123, 55157, 55157, 3782409431
14, 939113, 224630, 192880, 189237, 220924, 55721, 55721, 3902165292
13, 937377, 149910, 266846, 262877, 146256, 55744, 55744, 106513728
1, 942670, 160672, 261290, 257451, 157227, 53015, 53015, 527522796
11, 937856, 202042, 215306, 211678, 198756, 55037, 55037, 2673178049
2, 940781, 162561, 253958, 250361, 159353, 57274, 57274, 3134320020
6, 945558, 79798, 344838, 340972, 76860, 51545, 51545, 2784941013
5, 938389, 236172, 181394, 177726, 232459, 55319, 55319, 92769391
7, 940099, 270761, 148275, 144737, 267174, 54576, 54576, 2876816178
3, 935557, 300339, 105348, 102038, 296502, 65665, 65665, 3203914748
15, 937196, 303286, 113085, 109883, 298922, 56010, 56010, 1251328829
4, 940036, 111211, 271823, 268413, 108001, 90294, 90294, 3060627537
8, 938400, 280097, 139631, 136482, 276190, 53000, 53000, 2948604774
9, 942391, 195421, 218756, 215601, 191945, 60334, 60334, 4077524986
0, 942793, 338415, 87746, 84866, 334800, 48483, 48483, 573618234
16, 939150, 121455, 294729, 290886, 118074, 57003, 57003, 1842347086
19, 944966, 170166, 250537, 246963, 167104, 55098, 55098, 3112752036
23, 939094, 235363, 185073, 181619, 231879, 52580, 52580, 2867827358
27, 940474, 189048, 223558, 220169, 185445, 61127, 61127, 1957816132
26, 941486, 197108, 221687, 218033, 193434, 55612, 55612, 411128587
29, 939086, 93168, 333615, 329539, 90224, 46270, 46270, 1856881679
28, 943611, 198000, 222372, 218502, 194537, 55100, 55100, 3771210027
22, 939972, 296183, 127591, 124338, 292246, 49807, 49807, 506696138
17, 941900, 266854, 150077, 146779, 263038, 57576, 57576, 29840938
21, 940058, 206309, 209414, 205792, 202737, 57903, 57903, 1781366427
20, 941780, 104597, 313772, 310438, 101385, 55794, 55794, 3864304007
24, 939366, 217536, 198934, 195431, 214001, 56732, 56732, 615172763
18, 941876, 207119, 206064, 202456, 203925, 61156, 61156, 600655075
25, 940217, 273325, 146304, 143260, 269174, 54077, 54077, 3792514869
30, 940520, 122013, 301175, 297412, 118810, 50555, 50555, 2874346427
31, 943920, 269716, 144561, 141331, 265972, 61170, 61170, 2225815077
32, 941319, 245589, 173804, 169996, 242084, 54923, 54923, 139028249
33, 937677, 296907, 115950, 112815, 293007, 59499, 59499, 943245062
36, 943895, 127261, 291696, 287663, 124105, 56585, 56585, 3815234162
34, 939189, 202355, 216224, 212852, 198368, 54695, 54695, 1530758842
35, 938161, 210937, 202419, 199106, 207507, 59096, 59096, 3892043776
37, 937852, 194309, 221282, 217497, 190852, 56956, 56956, 134395105
38, 940031, 192819, 225773, 221673, 189384, 55191, 55191, 481271335
43, 938441, 190773, 229794, 226144, 187282, 52224, 52224, 2970637734
42, 940828, 216521, 204761, 201403, 212755, 52694, 52694, 2588605256
40, 941259, 235677, 184596, 181177, 232025, 53892, 53892, 1413615077
46, 939533, 153792, 263832, 259865, 150586, 55729, 55729, 1521823285
45, 937900, 192230, 218252, 214600, 188512, 62153, 62153, 932200856
44, 939349, 278271, 139392, 136031, 274831, 55412, 55412, 3177199116
39, 939717, 119659, 300591, 297203, 116606, 52829, 52829, 951931202
41, 941125, 214122, 200160, 196686, 210455, 59851, 59851, 3595564381
47, 945013, 107403, 313450, 309961, 104221, 54989, 54989, 2026266835
48, 944826, 197845, 228887, 225028, 194548, 49259, 49259, 4124711123
49, 944840, 141418, 284121, 280308, 138435, 50279, 50279, 1731131152
50, 940883, 178360, 239353, 236020, 174912, 56119, 56119, 818897330
53, 943045, 141935, 284568, 280572, 138702, 48634, 48634, 1905595081
54, 936668, 144215, 273233, 269366, 140634, 54610, 54610, 3326243564
52, 944531, 299011, 125827, 122775, 295494, 50712, 50712, 702028405
51, 942089, 185609, 230042, 226636, 182436, 58683, 58683, 3846751872
55, 940483, 252529, 146538, 143262, 248936, 74609, 74609, 872367616
56, 941067, 185625, 230124, 226590, 182202, 58263, 58263, 2760208063
