sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
2, 902587, 272, 448184, 448037, 224, 2935, 2935, 3611151946
5, 903648, 213, 448688, 448474, 169, 3052, 3052, 3132464684
6, 901509, 141, 447677, 447596, 103, 2996, 2996, 4106748588
4, 903109, 448511, 361, 319, 448282, 2818, 2818, 4025901909
10, 902903, 260, 448540, 448484, 211, 2704, 2704, 2529642286
11, 904320, 449336, 184, 145, 449279, 2688, 2688, 3818666561
8, 903952, 448741, 254, 207, 448654, 3048, 3048, 2873030363
7, 903953, 448760, 243, 199, 448591, 3080, 3080, 4283592083
3, 902657, 195, 448050, 447968, 152, 3146, 3146, 460639116
9, 903068, 447795, 317, 259, 447693, 3502, 3502, 3912635726
1, 902644, 356, 447556, 447494, 306, 3466, 3466, 355904153
0, 903535, 236, 448663, 448624, 184, 2914, 2914, 643945875
16, 904105, 236, 448874, 448641, 188, 3083, 3083, 2589027891
12, 903884, 449032, 168, 136, 448812, 2868, 2868, 3300718181
13, 902959, 448187, 318, 268, 448112, 3037, 3037, 2597929459
14, 903028, 448347, 183, 145, 448221, 3066, 3066, 3514724705
15, 904567, 449049, 328, 285, 448979, 2963, 2963, 1266437607
19, 903852, 179, 448788, 448699, 142, 3022, 3022, 2600248752
21, 902648, 250, 448171, 448012, 219, 2998, 2998, 4043849717
18, 902314, 311, 447715, 447649, 245, 3197, 3197, 3822002879
23, 902492, 447888, 291, 243, 447706, 3182, 3182, 3909546095
17, 904284, 448801, 279, 218, 448702, 3142, 3142, 1642063410
24, 904619, 193, 449101, 448924, 151, 3125, 3125, 2978594180
22, 901750, 447713, 242, 189, 447560, 3023, 3023, 3158265398
20, 902909, 447980, 227, 172, 447930, 3300, 3300, 1162064736
29, 902900, 232, 448345, 448040, 189, 3047, 3047, 1103098160
27, 905455, 193, 449690, 449585, 151, 2918, 2918, 178948679
31, 901034, 266, 447270, 447043, 225, 3115, 3115, 1483882611
26, 904000, 449376, 119, 84, 449191, 2615, 2615, 1955127542
30, 903755, 410, 448280, 448189, 362, 3257, 3257, 3264449620
25, 903098, 448324, 331, 290, 448195, 2979, 2979, 2960575374
28, 904106, 448517, 339, 282, 448456, 3256, 3256, 1013267949
34, 904377, 448959, 254, 207, 448737, 3110, 3110, 20929246
37, 903463, 292, 448577, 448431, 237, 2963, 2963, 2674569336
36, 904253, 268, 448805, 448616, 218, 3173, 3173, 672580525
32, 903291, 448624, 209, 160, 448528, 2885, 2885, 1824936853
33, 903421, 448654, 389, 341, 448519, 2759, 2759, 3902442733
40, 902607, 168, 448275, 448051, 133, 2990, 2990, 3778133640
42, 903043, 255, 448554, 448310, 202, 2861, 2861, 604132334
35, 903213, 448158, 676, 627, 448072, 2840, 2840, 2275557719
41, 903467, 205, 448744, 448621, 169, 2864, 2864, 1451825420
39, 903742, 275, 448674, 448612, 231, 2975, 2975, 1581516207
46, 903410, 240, 448780, 448600, 200, 2795, 2795, 3449935463
38, 901748, 447556, 216, 169, 447467, 3170, 3170, 2445720188
43, 904745, 449359, 188, 145, 449273, 2890, 2890, 1892743722
44, 903206, 198, 448271, 448158, 157, 3211, 3211, 1659727961
50, 901440, 462, 447402, 447147, 403, 3013, 3013, 875070027
48, 901628, 447919, 152, 112, 447643, 2901, 2901, 1863253195
47, 904685, 313, 449164, 449113, 257, 2919, 2919, 2646631382
53, 902787, 401, 448119, 447970, 341, 2978, 2978, 3612971120
55, 903460, 448854, 161, 115, 448518, 2906, 2906, 1322755489
49, 903540, 247, 448703, 448629, 199, 2881, 2881, 3460621614
52, 902745, 447871, 342, 287, 447793, 3226, 3226, 2458959142
45, 902466, 447528, 238, 195, 447467, 3519, 3519, 1746905347
54, 902590, 448212, 164, 118, 448142, 2977, 2977, 1024827343
56, 902078, 447453, 172, 127, 447380, 3473, 3473, 394788982
51, 901584, 233, 447574, 447523, 184, 3035, 3035, 1005742693
57, 902611, 448205, 224, 183, 448133, 2933, 2933, 3411021334
58, 902379, 447491, 520, 469, 447363, 3268, 3268, 177749807
63, 901214, 288, 447267, 446906, 239, 3257, 3257, 3390218675
62, 903954, 448600, 251, 202, 448429, 3236, 3236, 694363765
59, 902058, 447637, 245, 201, 447577, 3199, 3199, 3641040084
64, 903176, 194, 448471, 448332, 151, 3014, 3014, 296399675
60, 902009, 682, 447072, 447006, 631, 3309, 3309, 930004705
65, 903122, 186, 448749, 448693, 142, 2676, 2676, 4214205838
61, 901003, 447100, 301, 243, 447035, 3162, 3162, 2743465627
66, 902790, 300, 447938, 447830, 250, 3236, 3236, 3866451299
70, 903627, 422, 448539, 448397, 373, 2948, 2948, 2766673077
73, 903159, 368, 448372, 448189, 308, 2961, 2961, 583035071
