sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 2546700, 501733, 516977, 489073, 473965, 282476, 282476
1, 2546477, 512932, 510126, 482019, 485010, 278195, 278195
2, 2552544, 509015, 516691, 488297, 480807, 278867, 278867
3, 2551129, 517480, 508211, 480652, 489458, 277664, 277664
4, 2543759, 521653, 497241, 469740, 492943, 281091, 281091
5, 2549747, 508413, 522214, 494221, 480835, 272032, 272032
6, 2545802, 517752, 507847, 480254, 489931, 275009, 275009
7, 2546855, 521445, 498861, 471153, 492840, 281278, 281278
8, 2540688, 493093, 522146, 493682, 465335, 283216, 283216
9, 2548022, 514442, 505212, 477566, 486252, 282275, 282275
10, 2549011, 504287, 511753, 483738, 476571, 286331, 286331
11, 2548302, 502092, 506099, 477770, 474141, 294100, 294100
12, 2549555, 507292, 511335, 483871, 479527, 283765, 283765
13, 2549914, 511333, 512573, 484646, 483516, 278923, 278923
14, 2544045, 498908, 518743, 490773, 470847, 282387, 282387
15, 2548940, 499697, 523314, 495217, 472038, 279337, 279337
16, 2548852, 511975, 506373, 478480, 484550, 283737, 283737
17, 2551308, 509772, 515430, 487720, 481954, 278216, 278216
18, 2548650, 519159, 504266, 476855, 490834, 278768, 278768
19, 2544773, 494810, 519721, 491544, 467362, 285668, 285668
20, 2545997, 517048, 503363, 475308, 488704, 280787, 280787
21, 2550915, 513744, 500904, 473534, 486063, 288335, 288335
22, 2547643, 502734, 517690, 489500, 475061, 281329, 281329
23, 2544091, 515094, 508418, 480465, 486704, 276705, 276705
24, 2544882, 504796, 518094, 489979, 477371, 277321, 277321
25, 2551839, 506299, 510501, 483293, 478792, 286477, 286477
26, 2541746, 503755, 514696, 486560, 476099, 280318, 280318
27, 2549393, 521018, 496926, 469711, 492950, 284394, 284394
28, 2547611, 512678, 506907, 479026, 484966, 282017, 282017
29, 2548598, 507252, 512396, 484309, 479555, 282543, 282543
30, 2546960, 515948, 501841, 474266, 488161, 283372, 283372
31, 2548767, 510365, 508514, 480719, 482591, 283289, 283289
32, 2548859, 515652, 505579, 478386, 487670, 280786, 280786
33, 2542635, 506957, 514136, 485969, 478819, 278377, 278377
34, 2546629, 508049, 517936, 490165, 480325, 275077, 275077
35, 2541684, 507522, 506310, 478181, 479677, 284997, 284997
36, 2550331, 500459, 516652, 488510, 472644, 286033, 286033
37, 2547334, 514192, 508041, 480301, 485670, 279565, 279565
38, 2544291, 509022, 510718, 482700, 480917, 280467, 280467
39, 2548310, 516012, 502980, 475748, 487980, 282795, 282795
40, 2546888, 507648, 517654, 489308, 479644, 276317, 276317
41, 2547814, 510237, 507023, 479597, 482357, 284300, 284300
42, 2542759, 513528, 511242, 483056, 485259, 274837, 274837
43, 2547100, 505961, 515506, 487984, 477937, 279856, 279856
44, 2554004, 503550, 522760, 494961, 475629, 278552, 278552
45, 2548635, 517136, 502918, 475421, 489064, 282048, 282048
46, 2550218, 504386, 522165, 494054, 476691, 276461, 276461
47, 2550341, 524478, 500591, 472999, 496381, 277946, 277946
48, 2543867, 503478, 515405, 487337, 475733, 280957, 280957
49, 2545642, 516379, 502384, 474578, 488293, 282004, 282004
50, 2553912, 515388, 503404, 475479, 487659, 285991, 285991
