sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
11, 6050733, 784, 3007046, 3005354, 515, 18517, 18517, 24,6012400,1322904523
3, 6056243, 956, 3009237, 3008415, 631, 18502, 18502, 41,6017643,435302661
1, 6054261, 3008123, 881, 586, 3007253, 18709, 18709, 6015370,45,167217984
8, 6057291, 3010832, 860, 545, 3008592, 18231, 18231, 6019424,23,2697776255
7, 6055416, 861, 3008711, 3007983, 561, 18650, 18650, 37,6016689,4147308028
5, 6051051, 928, 3006494, 3005778, 601, 18625, 18625, 27,6012269,2720001347
14, 6049295, 3006275, 830, 539, 3004739, 18456, 18456, 6011014,35,1500832917
10, 6049018, 3004928, 974, 625, 3004227, 19132, 19132, 6009149,54,2014015596
0, 6055377, 3008620, 967, 636, 3008220, 18467, 18467, 6016837,106,3211980670
9, 6044556, 3003044, 1057, 728, 3001287, 19220, 19220, 6004331,63,1891180158
4, 6055800, 892, 3010218, 3007824, 562, 18152, 18152, 47,6018042,3061938007
16, 6059494, 805, 3011434, 3010136, 511, 18304, 18304, 54,6021567,2161244593
15, 6050168, 852, 3006728, 3005209, 551, 18414, 18414, 41,6011931,2905950926
13, 6051122, 3006818, 1089, 739, 3004858, 18809, 18809, 6011676,48,893500040
2, 6047640, 923, 3004625, 3004036, 606, 18725, 18725, 33,6008657,2459181218
6, 6057150, 817, 3009817, 3008885, 525, 18553, 18553, 31,6018699,1148384825
21, 6055044, 1036, 3007946, 3007117, 713, 19116, 19116, 74,6015063,4156857939
12, 6054720, 3008847, 938, 626, 3007783, 18263, 18263, 6016627,43,2414006359
26, 6054192, 823, 3008767, 3007985, 545, 18036, 18036, 56,6016749,879778978
23, 6052487, 3007906, 891, 590, 3006318, 18391, 18391, 6014221,46,615149029
22, 6059708, 3011582, 978, 653, 3009689, 18403, 18403, 6021271,41,1657576157
27, 6053850, 889, 3008904, 3007316, 603, 18069, 18069, 31,6016220,755618758
20, 6050557, 935, 3006185, 3005608, 623, 18603, 18603, 39,6011793,279933336
28, 6054807, 803, 3009014, 3007366, 526, 18549, 18549, 33,6016380,2352957267
19, 6048723, 3005541, 923, 606, 3004931, 18361, 18361, 6010472,44,2582370129
25, 6058828, 3010643, 1003, 654, 3009890, 18319, 18319, 6020533,32,2016254753
24, 6053830, 3007586, 1010, 697, 3007073, 18732, 18732, 6014656,135,1807378730
18, 6050699, 847, 3006691, 3005554, 559, 18524, 18524, 34,6012240,3813047602
32, 6055013, 992, 3008336, 3007241, 668, 18888, 18888, 113,6015577,3863950027
30, 6055949, 992, 3008508, 3007631, 672, 19073, 19073, 62,6016136,4248296318
29, 6054413, 3009396, 857, 566, 3007320, 18137, 18137, 6016713,58,2761947343
17, 6058324, 3010316, 907, 578, 3009897, 18313, 18313, 6020213,25,314498210
36, 6054514, 997, 3008118, 3007321, 668, 18705, 18705, 63,6015439,1759844631
34, 6056917, 828, 3009454, 3008835, 528, 18636, 18636, 39,6018289,4244525947
31, 6052894, 3007570, 867, 565, 3007128, 18382, 18382, 6014693,38,1328566234
35, 6061420, 3012075, 1021, 678, 3010606, 18520, 18520, 6022678,41,666853489
37, 6052394, 3006907, 910, 586, 3006583, 18704, 18704, 6013490,45,3659621114
33, 6046863, 1043, 3004925, 3003421, 686, 18394, 18394, 51,6008346,2920562870
40, 6050680, 3006094, 1114, 782, 3005112, 18789, 18789, 6011206,107,1820127306
44, 6052022, 3008283, 868, 567, 3006342, 17981, 17981, 6014625,69,1286575725
47, 6055712, 3009425, 971, 654, 3007868, 18397, 18397, 6017290,60,1504760722
46, 6048965, 3005690, 843, 539, 3004339, 18777, 18777, 6010022,33,2981718175
43, 6052323, 914, 3007215, 3006830, 596, 18384, 18384, 43,6014045,1584642294
41, 6053496, 1019, 3008397, 3006922, 674, 18242, 18242, 49,6015316,2473057786
42, 6053640, 1002, 3008360, 3006814, 658, 18403, 18403, 57,6015168,2547578825
38, 6054786, 914, 3008441, 3007824, 619, 18494, 18494, 75,6016265,2841910996
53, 6049450, 918, 3006305, 3004373, 594, 18630, 18630, 55,6010670,2684539683
49, 6051002, 3006413, 1013, 678, 3005968, 18465, 18465, 6012378,35,2366486103
39, 6052631, 3007544, 833, 534, 3007068, 18326, 18326, 6014609,43,445566149
48, 6052617, 947, 3007633, 3006755, 632, 18325, 18325, 45,6014388,1595048300
54, 6053009, 3007589, 949, 630, 3006483, 18679, 18679, 6014067,43,435494172
45, 6049392, 984, 3005303, 3004807, 630, 18834, 18834, 42,6010110,3587773213
59, 6056026, 3010341, 847, 577, 3008179, 18041, 18041, 6018520,73,3136411780
55, 6052191, 3007117, 912, 587, 3005863, 18856, 18856, 6012980,27,1598828083
51, 6054796, 3008008, 978, 655, 3007489, 18833, 18833, 6015494,44,4169148198
56, 6056682, 3009320, 908, 592, 3008640, 18611, 18611, 6017957,48,2555240777
63, 6051280, 800, 3007018, 3005475, 509, 18739, 18739, 29,6012493,3291617467
60, 6053316, 947, 3007383, 3006899, 625, 18731, 18731, 41,6014282,1600430840
50, 6055053, 3008560, 866, 553, 3007980, 18547, 18547, 6016540,40,3451489289
62, 6056692, 873, 3009579, 3009221, 573, 18223, 18223, 59,6018800,1504735216
57, 6056513, 935, 3009127, 3008783, 630, 18519, 18519, 79,6017910,1089983243
58, 6055026, 964, 3008869, 3007878, 647, 18334, 18334, 58,6016747,320129253
52, 6059107, 3010804, 912, 603, 3010308, 18240, 18240, 6021109,68,671477233
69, 6046613, 968, 3004347, 3003600, 642, 18528, 18528, 37,6007947,347400328
66, 6058535, 3010361, 896, 584, 3009182, 18756, 18756, 6019536,22,2189371573
65, 6053655, 3007967, 921, 605, 3007464, 18349, 18349, 6015431,37,1139246514
67, 6052000, 3007511, 940, 611, 3006122, 18408, 18408, 6013630,43,1053560463
72, 6056735, 3009359, 986, 660, 3008696, 18517, 18517, 6018052,55,2636025151
76, 6049117, 1173, 3005812, 3003856, 800, 18738, 18738, 68,6009668,80325191
74, 6046966, 3005178, 801, 529, 3003466, 18496, 18496, 6008641,39,898015049
61, 6055975, 1000, 3008389, 3007959, 679, 18974, 18974, 55,6016348,2007599136
79, 6054298, 884, 3008887, 3006588, 591, 18674, 18674, 47,6015475,4201028356
64, 6059365, 3011067, 954, 643, 3010647, 18027, 18027, 6021708,50,1839816311
75, 6048537, 937, 3005593, 3004641, 612, 18377, 18377, 44,6010234,1252254086
70, 6053431, 873, 3008606, 3007194, 558, 18100, 18100, 28,6015800,3414619190
73, 6048532, 3005552, 875, 587, 3005042, 18238, 18238, 6010591,43,3454784977
71, 6057371, 3009914, 988, 674, 3009571, 18112, 18112, 6019485,59,2063119671
68, 6048841, 914, 3005324, 3004906, 605, 18546, 18546, 86,6010230,1515100160
77, 6058014, 3010688, 873, 585, 3010104, 17882, 17882, 6020789,30,892752885
81, 6058680, 3011088, 833, 545, 3010230, 17992, 17992, 6021312,68,983298529
89, 6057518, 830, 3010636, 3009155, 533, 18182, 18182, 51,6019785,4282813243
83, 6050346, 3006904, 923, 611, 3005300, 18304, 18304, 6012201,42,339153195
90, 6052457, 972, 3007605, 3005967, 631, 18641, 18641, 37,6013566,4284128877
84, 6054228, 3008445, 922, 601, 3007580, 18340, 18340, 6016025,33,4065881508
85, 6049534, 3006326, 984, 652, 3005020, 18276, 18276, 6011346,40,1380823419
87, 6055481, 937, 3008651, 3008003, 638, 18626, 18626, 118,6016651,1076429907
92, 6060044, 874, 3012527, 3010016, 577, 18025, 18025, 40,6022543,570097668
82, 6052616, 3007233, 1047, 732, 3006606, 18499, 18499, 6013836,55,1336335857
78, 6052411, 925, 3007378, 3006733, 595, 18390, 18390, 24,6014111,2689727911
91, 6056410, 922, 3009765, 3008347, 608, 18384, 18384, 52,6018112,993731997
80, 6051871, 927, 3006696, 3005883, 603, 18881, 18881, 53,6012573,252321392
86, 6053255, 1074, 3007591, 3006438, 744, 18704, 18704, 67,6014029,2863557684
94, 6060952, 3012197, 920, 607, 3011196, 18016, 18016, 6023390,49,578131213
88, 6052653, 3007110, 994, 664, 3006713, 18586, 18586, 6013820,47,3747920542
101, 6049436, 892, 3005782, 3004665, 581, 18758, 18758, 37,6010447,2563993518
100, 6052989, 1014, 3007483, 3006587, 667, 18619, 18619, 32,6014070,2191228727
97, 6051344, 3007178, 906, 589, 3005517, 18577, 18577, 6012692,36,2632469550
93, 6044775, 956, 3003839, 3002016, 616, 18674, 18674, 35,6005848,2547423082
104, 6050768, 3007179, 868, 573, 3005160, 18494, 18494, 6012339,40,2735469401
103, 6056465, 942, 3009864, 3008219, 620, 18410, 18410, 30,6018074,1721542081
99, 6052667, 843, 3008658, 3006217, 541, 18204, 18204, 34,6014875,2822050945
106, 6058901, 848, 3011321, 3010336, 542, 17927, 17927, 30,6021654,937933752
96, 6050398, 3006047, 910, 594, 3004897, 18975, 18975, 6010941,65,4271191657
95, 6053700, 3008433, 874, 579, 3007496, 18159, 18159, 6015921,37,54326172
98, 6057225, 3009902, 873, 579, 3009043, 18414, 18414, 6018945,82,3990909682
102, 6052274, 900, 3007191, 3006807, 576, 18400, 18400, 26,6013992,380533958
107, 6047861, 897, 3005056, 3004163, 561, 18592, 18592, 21,6009210,3976664167
