sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1554366, 310661, 303275, 283270, 290360, 183400, 183400
1, 1553473, 314830, 304293, 284599, 294221, 177765, 177765
2, 1554870, 305706, 314192, 293824, 285760, 177694, 177694
3, 1557972, 309362, 309130, 289338, 289310, 180416, 180416
4, 1551396, 306778, 316955, 296499, 286714, 172225, 172225
5, 1553815, 305828, 312273, 291948, 285964, 178901, 178901
6, 1552717, 310725, 305995, 286070, 290385, 179771, 179771
7, 1553892, 313014, 305993, 285778, 292521, 178293, 178293
8, 1555436, 312977, 305900, 286362, 292725, 178736, 178736
9, 1554205, 311736, 307089, 287060, 291614, 178353, 178353
10, 1558200, 311030, 307906, 287849, 290873, 180271, 180271
11, 1556078, 310506, 306026, 285968, 290778, 181400, 181400
12, 1555403, 307943, 310991, 290501, 288018, 178975, 178975
13, 1555527, 311946, 308273, 288073, 291915, 177660, 177660
14, 1555999, 308295, 306946, 286834, 288356, 182784, 182784
15, 1551827, 307486, 310753, 290389, 287079, 178060, 178060
16, 1556348, 310869, 312355, 291808, 290812, 175252, 175252
17, 1551709, 308645, 309208, 288806, 288662, 178194, 178194
18, 1554679, 312698, 304345, 284290, 292620, 180363, 180363
19, 1553440, 309999, 306952, 286668, 289739, 180041, 180041
20, 1555845, 316261, 302848, 283100, 296168, 178734, 178734
21, 1553635, 309872, 307790, 287780, 289881, 179156, 179156
22, 1553391, 311756, 308723, 288534, 291674, 176352, 176352
23, 1554033, 311629, 304988, 284881, 291811, 180362, 180362
24, 1552905, 307007, 309336, 289283, 287057, 180111, 180111
25, 1552640, 304636, 310335, 290200, 284573, 181448, 181448
26, 1553749, 299690, 315599, 294906, 279948, 181803, 181803
27, 1559543, 313066, 305185, 285363, 293145, 181392, 181392
28, 1560301, 306170, 312980, 293198, 286269, 180842, 180842
29, 1556879, 314927, 305201, 285446, 294459, 178423, 178423
30, 1549682, 303175, 312212, 291869, 283348, 179539, 179539
31, 1548516, 311853, 304924, 284465, 291486, 177894, 177894
32, 1555919, 307640, 305829, 285673, 287667, 184555, 184555
33, 1553966, 314820, 307799, 287771, 294734, 174421, 174421
34, 1555638, 310088, 308440, 288521, 289825, 179382, 179382
35, 1552611, 316175, 301915, 281972, 295805, 178372, 178372
36, 1553912, 301772, 315167, 295028, 281945, 180000, 180000
37, 1550615, 308695, 312356, 291680, 288394, 174745, 174745
38, 1558854, 310618, 312354, 291978, 290392, 176756, 176756
39, 1552230, 313149, 302479, 282549, 292835, 180609, 180609
40, 1550035, 305425, 315132, 294831, 285235, 174706, 174706
41, 1556079, 301907, 315622, 295481, 282237, 180416, 180416
42, 1551880, 310022, 310110, 289609, 289883, 176128, 176128
43, 1549182, 299364, 315666, 295155, 279297, 179850, 179850
44, 1555062, 310179, 304140, 284284, 289861, 183299, 183299
45, 1551777, 311536, 305714, 285699, 291048, 178890, 178890
46, 1555971, 313311, 301887, 281831, 293040, 182951, 182951
47, 1556139, 311390, 308866, 288755, 291286, 177921, 177921
48, 1554404, 308536, 309982, 289771, 288431, 178842, 178842
49, 1550159, 309538, 304319, 284215, 289255, 181416, 181416
50, 1550227, 315522, 297527, 277389, 294993, 182398, 182398
51, 1553781, 309756, 307184, 287376, 289593, 179936, 179936
52, 1555180, 303809, 313116, 292788, 283791, 180838, 180838
53, 1552142, 308879, 310208, 290182, 288743, 177065, 177065
54, 1551574, 308003, 308107, 288163, 287781, 179760, 179760
55, 1555051, 305261, 313558, 293306, 285242, 178842, 178842
