sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 1585849, 320797, 313975, 285437, 292318, 186661, 186661
1, 1585388, 325456, 314909, 286899, 296354, 180885, 180885
2, 1587555, 316530, 324962, 296113, 288040, 180955, 180955
3, 1590024, 319824, 319957, 291624, 291387, 183616, 183616
4, 1584025, 317416, 327751, 298734, 288760, 175682, 175682
5, 1586468, 316274, 323096, 294223, 288105, 182385, 182385
6, 1585370, 321037, 316925, 288463, 292337, 183304, 183304
7, 1585711, 323514, 316541, 287945, 294575, 181568, 181568
8, 1587510, 323617, 316448, 288428, 294973, 182022, 182022
9, 1585595, 321929, 317766, 289144, 293514, 181621, 181621
10, 1590620, 321617, 318509, 290176, 293012, 183653, 183653
11, 1588235, 320948, 316923, 288428, 292968, 184484, 184484
12, 1586457, 318193, 321548, 292698, 289936, 182041, 182041
13, 1586951, 322420, 318740, 290207, 293978, 180803, 180803
14, 1587610, 318978, 317253, 288822, 290649, 185954, 185954
15, 1583210, 317965, 321312, 292404, 289129, 181200, 181200
16, 1586660, 321074, 322662, 293783, 292657, 178242, 178242
17, 1583989, 319260, 319749, 290838, 290842, 181650, 181650
18, 1587428, 323611, 314963, 286532, 295082, 183620, 183620
19, 1584813, 320437, 317468, 288771, 291841, 183148, 183148
20, 1586931, 326709, 313026, 285028, 298238, 181965, 181965
21, 1585435, 320647, 318250, 289838, 292098, 182301, 182301
22, 1584858, 322233, 319297, 290570, 293756, 179501, 179501
23, 1585705, 322058, 315456, 286808, 293857, 183763, 183763
24, 1585425, 317794, 320047, 291463, 289363, 183379, 183379
25, 1584874, 315312, 320956, 292305, 286775, 184763, 184763
26, 1586134, 310356, 326384, 297229, 282225, 184970, 184970
27, 1591506, 323845, 315660, 287433, 295364, 184602, 184602
28, 1590816, 316291, 323333, 295254, 288106, 183916, 183916
29, 1588665, 325943, 315541, 287378, 296841, 181481, 181481
30, 1583621, 313989, 323434, 294375, 285611, 183106, 183106
31, 1581976, 322914, 315776, 286706, 293902, 181339, 181339
32, 1586933, 318341, 315883, 287706, 289915, 187544, 187544
33, 1586812, 325806, 318410, 289891, 297143, 177781, 177781
34, 1587694, 320686, 318963, 290718, 291897, 182715, 182715
35, 1584649, 327261, 312125, 283848, 298207, 181604, 181604
36, 1585424, 312401, 325398, 297098, 284091, 183218, 183218
37, 1583593, 319553, 323123, 293886, 290755, 178138, 178138
38, 1589044, 320647, 322617, 293912, 292158, 179855, 179855
39, 1584739, 323711, 313313, 284906, 295025, 183892, 183892
40, 1583240, 316369, 325984, 297122, 287645, 178060, 178060
41, 1588812, 312631, 326526, 297789, 284482, 183692, 183692
42, 1584542, 320784, 320850, 291832, 292120, 179478, 179478
43, 1581585, 309998, 326557, 297302, 281414, 183157, 183157
44, 1586990, 320688, 314746, 286386, 291946, 186612, 186612
45, 1584167, 322190, 316482, 287849, 293298, 182174, 182174
46, 1587249, 323766, 312272, 283920, 295195, 186048, 186048
47, 1587094, 321638, 319173, 290737, 293272, 181137, 181137
48, 1586190, 319012, 320711, 292065, 290520, 181941, 181941
49, 1583529, 320409, 315257, 286535, 291630, 184849, 184849
50, 1582276, 325974, 308298, 279590, 297024, 185695, 185695
51, 1586448, 320440, 317849, 289782, 291791, 183293, 183293
52, 1586416, 314064, 323492, 294799, 285795, 184133, 184133
53, 1583943, 319640, 320654, 292140, 290945, 180282, 180282
54, 1585288, 319325, 318918, 290334, 290457, 183127, 183127
55, 1587137, 315989, 324047, 295407, 287462, 182116, 182116
56, 1584765, 317896, 318315, 289781, 289131, 184821, 184821
57, 1583779, 324004, 313821, 284920, 295568, 182733, 182733
58, 1586561, 323103, 316158, 287775, 294395, 182565, 182565
59, 1584726, 325083, 311083, 282401, 296277, 184941, 184941
60, 1585637, 325638, 318925, 290352, 296570, 177076, 177076
61, 1587239, 313982, 324134, 295394, 285975, 183877, 183877
62, 1587407, 318118, 318497, 290013, 289561, 185609, 185609
63, 1583182, 318819, 319035, 290413, 290039, 182438, 182438
64, 1584611, 318308, 318519, 290344, 289456, 183992, 183992
65, 1583111, 319815, 313258, 284422, 290904, 187356, 187356
66, 1587560, 320847, 319677, 291174, 292182, 181840, 181840
67, 1584710, 316590, 322259, 293373, 288072, 182208, 182208
68, 1588611, 317981, 322345, 293927, 289576, 182391, 182391
69, 1584198, 311494, 323880, 295102, 283228, 185247, 185247
70, 1583888, 318724, 320428, 291239, 290295, 181601, 181601
71, 1586215, 309878, 327665, 298420, 281890, 184181, 184181
72, 1586666, 313202, 322253, 293717, 285068, 186213, 186213
73, 1584186, 315825, 324444, 295498, 287129, 180645, 180645
