L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
6200,0.24663319,2.6667163669e-01,7.3451337509e-02,5.9257799189e-03
6200,0.24673164,2.5613971469e-01,6.8297595916e-02,5.2345487833e-03
6200,0.24682430,2.4477954228e-01,6.2924637491e-02,4.5542661265e-03
6200,0.24691117,2.3579865056e-01,5.8789501176e-02,4.0512175381e-03
6200,0.24699226,2.2567656772e-01,5.4232244755e-02,3.5211272446e-03
6200,0.24706754,2.1721374032e-01,5.0626107149e-02,3.1368999699e-03
6200,0.24713704,2.0719106707e-01,4.6433777685e-02,2.7045200494e-03
6200,0.24720075,2.0024189423e-01,4.3614766798e-02,2.4265675506e-03
6200,0.24725866,1.9183297413e-01,4.0390768724e-02,2.1370357342e-03
6200,0.24731078,1.8560491271e-01,3.7961453701e-02,1.9137634021e-03
6200,0.24735712,1.8006326540e-01,3.5930749815e-02,1.7473933941e-03
6200,0.24739766,1.7483913617e-01,3.4100369113e-02,1.6027303347e-03
6200,0.24743240,1.7066032918e-01,3.2637295459e-02,1.4922249183e-03
6200,0.24746136,1.6809117123e-01,3.1706783972e-02,1.4139353498e-03
6200,0.24748453,1.6484312403e-01,3.0560881614e-02,1.3252779495e-03
6200,0.24750190,1.6180882272e-01,2.9562287947e-02,1.2557636710e-03
6200,0.24751348,1.6038272498e-01,2.9073690620e-02,1.2192278974e-03
6200,0.24751928,1.6090020634e-01,2.9191525652e-02,1.2173448748e-03
6200,0.24752072,1.5865318711e-01,2.8492321452e-02,1.1755904308e-03
6200,0.24752652,1.5887947224e-01,2.8637724397e-02,1.1939564121e-03
6200,0.24753810,1.5887565774e-01,2.8540566145e-02,1.1747855897e-03
6200,0.24755547,1.5692374408e-01,2.7890373368e-02,1.1298202109e-03
6200,0.24757864,1.5338818181e-01,2.6702414685e-02,1.0434540189e-03
6200,0.24760760,1.4963119602e-01,2.5520213796e-02,9.6786899414e-04
6200,0.24764234,1.4616122800e-01,2.4444931677e-02,9.0186466146e-04
6200,0.24768288,1.4058020907e-01,2.2713943631e-02,7.9038569364e-04
