sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1377021, 272385, 267901, 244930, 248591, 171607, 171607
1, 1380805, 274732, 269290, 245370, 251269, 170072, 170072
2, 1382106, 277456, 268501, 245217, 253860, 168536, 168536
3, 1382939, 271465, 273938, 250295, 247949, 169646, 169646
4, 1378038, 266330, 273888, 250186, 242974, 172330, 172330
5, 1385050, 277161, 270687, 247343, 253689, 168085, 168085
6, 1383119, 271018, 273035, 249494, 247474, 171049, 171049
7, 1387213, 271511, 276535, 252568, 247977, 169311, 169311
8, 1381685, 271745, 273268, 249383, 247897, 169696, 169696
9, 1387585, 272128, 274868, 250857, 248872, 170430, 170430
10, 1384025, 269315, 277320, 253397, 246009, 168992, 168992
11, 1381193, 273987, 265929, 242602, 250209, 174233, 174233
12, 1386707, 269280, 276009, 252469, 246243, 171353, 171353
13, 1380241, 273368, 271710, 247961, 249338, 168932, 168932
14, 1382321, 277434, 269685, 246386, 253462, 167677, 167677
15, 1388057, 273035, 277343, 253586, 249351, 167371, 167371
16, 1385565, 275314, 274833, 250993, 251367, 166529, 166529
17, 1386173, 274463, 273881, 250176, 250823, 168415, 168415
18, 1380478, 273089, 266639, 243476, 249798, 173738, 173738
19, 1378849, 266936, 273051, 249292, 243920, 172825, 172825
20, 1378440, 268158, 273466, 249703, 244749, 171182, 171182
21, 1368478, 272998, 269959, 246537, 249062, 164961, 164961
22, 1382867, 273348, 273871, 249731, 249419, 168249, 168249
23, 1377881, 269440, 270335, 246748, 246136, 172611, 172611
24, 1385166, 274329, 274680, 250687, 250458, 167506, 167506
25, 1376646, 274387, 266976, 243776, 250181, 170663, 170663
26, 1382121, 270448, 274844, 250853, 247044, 169466, 169466
27, 1378787, 270225, 270547, 246736, 246775, 172252, 172252
28, 1381518, 271584, 270917, 247779, 247756, 171741, 171741
29, 1382075, 272598, 271821, 248204, 249016, 170218, 170218
30, 1378871, 272334, 267232, 243975, 249138, 173096, 173096
31, 1382118, 268313, 276823, 253060, 244928, 169497, 169497
32, 1380084, 267693, 273604, 250088, 244023, 172338, 172338
33, 1385926, 270646, 276424, 252393, 247303, 169580, 169580
34, 1385731, 271664, 275722, 252423, 248082, 168920, 168920
35, 1383554, 269037, 278277, 254264, 245494, 168241, 168241
36, 1374748, 274024, 266112, 242903, 250301, 170704, 170704
37, 1382947, 269888, 276615, 252965, 246315, 168582, 168582
38, 1386028, 275293, 273452, 249785, 251648, 167925, 167925
39, 1379743, 272611, 268185, 245147, 249050, 172375, 172375
40, 1384422, 270592, 275677, 251718, 246951, 169742, 169742
41, 1375810, 270004, 268266, 244599, 246093, 173424, 173424
42, 1384147, 270205, 273133, 249224, 246651, 172467, 172467
43, 1382708, 269321, 272684, 249013, 245720, 172985, 172985
44, 1382669, 271896, 274819, 251279, 248625, 168025, 168025
45, 1380923, 270491, 272145, 248531, 246856, 171450, 171450
46, 1378915, 269364, 275457, 251243, 245741, 168555, 168555
47, 1389411, 276051, 271398, 248596, 252510, 170428, 170428
48, 1386118, 277156, 268835, 245159, 253158, 170905, 170905
49, 1384271, 274442, 272312, 248953, 250292, 169136, 169136
50, 1378700, 269740, 271904, 248016, 246196, 171422, 171422
51, 1386400, 272443, 274188, 250368, 248749, 170326, 170326
52, 1380686, 271353, 272727, 248939, 247925, 169871, 169871
53, 1386264, 270038, 274485, 250705, 246480, 172278, 172278
54, 1383769, 267205, 277193, 253524, 244093, 170877, 170877
55, 1387328, 272337, 276558, 252638, 248541, 168627, 168627
56, 1381052, 274059, 271367, 247884, 249998, 168872, 168872
57, 1378366, 272314, 269819, 246323, 248590, 170660, 170660
58, 1378776, 269094, 270276, 246871, 245825, 173355, 173355
59, 1380763, 271961, 274205, 250347, 248342, 167954, 167954
60, 1381243, 267535, 276948, 253022, 244168, 169785, 169785
61, 1379787, 269013, 274231, 250645, 245322, 170288, 170288
62, 1382215, 269870, 275449, 251717, 246107, 169536, 169536
63, 1382147, 271470, 273756, 250101, 248030, 169395, 169395
64, 1380610, 274080, 270738, 247221, 250485, 169043, 169043
65, 1382585, 267472, 276093, 252095, 243923, 171501, 171501
66, 1384727, 276009, 266436, 243131, 252459, 173346, 173346
67, 1385842, 271658, 272422, 249009, 247895, 172429, 172429
68, 1383159, 274846, 270572, 246968, 251193, 169790, 169790
69, 1378232, 270045, 275917, 251915, 246481, 166937, 166937
70, 1381045, 274214, 269712, 246148, 250397, 170287, 170287
71, 1379603, 264076, 277075, 253279, 240623, 172275, 172275
72, 1378185, 272026, 272371, 248806, 248786, 168098, 168098
73, 1384377, 273871, 271144, 247701, 250051, 170805, 170805
74, 1380661, 271951, 272402, 248666, 248512, 169565, 169565
75, 1385344, 276454, 269396, 246176, 252500, 170409, 170409
76, 1385233, 274526, 273488, 249617, 250868, 168367, 168367
77, 1388327, 274163, 268190, 244882, 250630, 175231, 175231
78, 1381154, 262711, 285722, 261212, 239597, 165956, 165956
79, 1380299, 267583, 278017, 254184, 244171, 168172, 168172
80, 1384522, 282603, 264411, 240745, 258533, 169115, 169115
81, 1380176, 266017, 280368, 256149, 242900, 167371, 167371
82, 1384507, 273396, 273096, 249337, 249848, 169415, 169415
83, 1381762, 278918, 264938, 241823, 255437, 170323, 170323
84, 1382802, 274068, 274039, 250249, 250184, 167131, 167131
85, 1385680, 269005, 271897, 248360, 245524, 175447, 175447
86, 1384467, 271764, 275715, 252003, 248121, 168432, 168432
87, 1389407, 271748, 274936, 251252, 248083, 171694, 171694
88, 1382224, 276105, 268612, 245299, 252670, 169769, 169769
89, 1384814, 273905, 271576, 247830, 250429, 170537, 170537
90, 1381156, 269297, 275098, 251553, 245748, 169730, 169730
91, 1384334, 271314, 272481, 249123, 247808, 171804, 171804
92, 1387545, 273750, 273875, 250154, 249972, 169897, 169897
93, 1385441, 275303, 269707, 246077, 251652, 171351, 171351
94, 1382632, 274574, 270203, 246578, 250931, 170173, 170173
95, 1386103, 274707, 274728, 250961, 250763, 167472, 167472
96, 1383740, 265904, 283265, 258716, 242403, 166726, 166726
97, 1379922, 272351, 274202, 250515, 248788, 167033, 167033
98, 1388211, 273349, 274001, 250705, 249920, 170118, 170118
99, 1378079, 265746, 276861, 252698, 242604, 170085, 170085
100, 1387164, 278532, 271439, 248128, 254965, 167050, 167050
101, 1384030, 272092, 275685, 251926, 248461, 167933, 167933
102, 1381681, 271640, 274373, 250896, 248250, 168261, 168261
