sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
70, 5116308, 2473550, 14548, 11692, 2469952, 73283, 73283, 4943436,1634,2686464112
67, 5128924, 13743, 2482736, 2479514, 11145, 70893, 70893, 1214,4962187,3207365450
72, 5126542, 13413, 2481148, 2478466, 10683, 71416, 71416, 519,4959560,2183788305
73, 5121719, 12780, 2479378, 2476244, 10161, 71578, 71578, 685,4955568,1263643129
71, 5118664, 2478343, 12912, 10108, 2475303, 70999, 70999, 4953584,414,722620857
75, 5118011, 13165, 2477940, 2475133, 10437, 70668, 70668, 751,4953019,1980216910
68, 5118026, 12880, 2477358, 2474172, 10196, 71710, 71710, 490,4951445,1037398560
80, 5128992, 12790, 2483902, 2480774, 10210, 70658, 70658, 1145,4964586,3546237697
79, 5129766, 12512, 2486059, 2483476, 9925, 68897, 68897, 726,4969465,342842542
84, 5126262, 11770, 2485333, 2481467, 9090, 69301, 69301, 305,4966727,3563038023
82, 5124562, 2482567, 12111, 9454, 2478056, 71187, 71187, 4960553,479,1243123812
77, 5117380, 2476057, 13274, 10593, 2473212, 72122, 72122, 4949201,1269,871632924
78, 5126518, 2484319, 12772, 10015, 2480526, 69443, 69443, 4964786,636,1809414457
85, 5122172, 2481035, 12855, 10055, 2477329, 70449, 70449, 4958299,335,855796833
74, 5127956, 13328, 2483362, 2480516, 10564, 70093, 70093, 749,4963816,313509249
88, 5116992, 12214, 2479359, 2476190, 9573, 69828, 69828, 630,4955485,1637897027
89, 5123667, 13048, 2482142, 2478839, 10342, 69648, 69648, 572,4960922,757551336
83, 5129241, 2484552, 11722, 9042, 2481285, 71320, 71320, 4965762,429,1333390044
81, 5127396, 2481663, 13273, 10641, 2478661, 71579, 71579, 4960266,999,540884801
86, 5130767, 2486121, 11879, 9233, 2483204, 70165, 70165, 4969272,712,2645326918
87, 5122710, 13430, 2481088, 2477660, 10798, 69867, 69867, 726,4958704,1632101783
90, 5126867, 12441, 2484633, 2479997, 9894, 69951, 69951, 953,4964541,1019850001
97, 5125196, 14044, 2480369, 2476850, 11313, 71310, 71310, 841,4957128,3151497923
