sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
7, 2226177, 417885, 661800, 661215, 417417, 33930, 33930, 2838719518
1, 2226066, 102056, 966575, 965888, 101675, 44936, 44936, 534397227
2, 2225901, 488252, 580583, 579960, 487704, 44701, 44701, 973956788
10, 2223192, 351062, 728862, 728266, 350492, 32255, 32255, 775378366
11, 2225666, 427317, 654327, 653656, 426752, 31807, 31807, 2988928940
0, 2224503, 464726, 609694, 609186, 464159, 38369, 38369, 98755622
6, 2225132, 819049, 250433, 249948, 818448, 43627, 43627, 211216826
4, 2221223, 657381, 383988, 383450, 656636, 69884, 69884, 408553032
8, 2222790, 864669, 211490, 211038, 864079, 35757, 35757, 2484835691
3, 2221525, 328681, 733912, 733391, 328197, 48672, 48672, 826409761
5, 2226734, 313361, 710746, 710294, 312855, 89739, 89739, 409892662
9, 2222793, 924897, 158088, 157641, 924365, 28901, 28901, 898115108
14, 2221907, 6739, 1085402, 1084283, 6359, 19562, 19562, 1456600143
13, 2221894, 488428, 590378, 589681, 487855, 32776, 32776, 1268572649
17, 2225884, 245519, 840334, 839563, 245052, 27708, 27708, 252849664
15, 2225729, 499512, 567632, 566981, 498992, 46306, 46306, 82976677
12, 2226722, 566857, 499401, 498961, 566391, 47556, 47556, 3482258321
20, 2225314, 473903, 601226, 600704, 473341, 38070, 38070, 2802174466
19, 2226462, 573754, 494771, 494260, 573103, 45287, 45287, 1724893138
18, 2224915, 907457, 180144, 179737, 907015, 25281, 25281, 135141537
22, 2227189, 103114, 989145, 988556, 102710, 21832, 21832, 1638355168
16, 2224387, 691226, 387305, 386688, 690508, 34330, 34330, 812213461
21, 2221032, 844443, 216997, 216514, 843874, 49602, 49602, 3131348105
23, 2224660, 557299, 519001, 518511, 556779, 36535, 36535, 1702700486
26, 2227110, 259694, 818025, 817315, 259264, 36406, 36406, 105204000
24, 2227415, 964906, 51777, 51386, 964440, 97453, 97453, 3185764768
28, 2223963, 114566, 968885, 968027, 114117, 29184, 29184, 2705915780
27, 2224243, 185752, 874646, 873816, 185379, 52325, 52325, 2242399933
29, 2227767, 78943, 998159, 997482, 78543, 37320, 37320, 1783510573
25, 2224178, 774247, 300722, 300328, 773473, 37704, 37704, 3904566359
33, 2224923, 367366, 696886, 696190, 366915, 48783, 48783, 1189849173
32, 2226184, 1007929, 79139, 78738, 1007354, 26512, 26512, 3747804679
31, 2221492, 755023, 329334, 328862, 754431, 26921, 26921, 370809352
34, 2222762, 172292, 885726, 885094, 171904, 53873, 53873, 1675583859
30, 2225798, 761704, 285555, 285132, 761033, 66187, 66187, 1202711758
35, 2224810, 372385, 693783, 693138, 371858, 46823, 46823, 2874045418
36, 2224218, 191314, 890291, 889767, 190850, 30998, 30998, 533511658
37, 2227069, 224188, 865250, 864674, 223815, 24571, 24571, 3145906434
39, 2226213, 334049, 749358, 748686, 333614, 30253, 30253, 2422746342
38, 2223372, 516261, 554094, 553497, 515614, 41953, 41953, 4157988495
40, 2223798, 1009863, 77341, 76854, 1009190, 25275, 25275, 3815300864
41, 2229078, 563284, 513141, 512629, 562764, 38630, 38630, 1913655479
44, 2225548, 313977, 759950, 759236, 313491, 39447, 39447, 4043586695
46, 2225461, 507474, 566499, 565704, 506822, 39481, 39481, 2475456104
42, 2225687, 208170, 875631, 875225, 207735, 29463, 29463, 2629927365
43, 2222489, 852594, 220920, 220378, 852079, 38259, 38259, 1869538516
45, 2225568, 620600, 418764, 418205, 619961, 74019, 74019, 2461195895
48, 2224068, 1010803, 73519, 73071, 1010155, 28260, 28260, 611563300
51, 2224020, 971161, 118100, 117636, 970277, 23423, 23423, 2216634121
49, 2224939, 371726, 708745, 708240, 371218, 32505, 32505, 1546801385
47, 2224905, 670828, 401690, 401259, 670084, 40522, 40522, 1450918099
50, 2222182, 386760, 688590, 688024, 386282, 36263, 36263, 1011914136
52, 2221736, 178132, 907646, 906999, 177707, 25626, 25626, 3170232180
53, 2227061, 853310, 235926, 235501, 852644, 24840, 24840, 143197427
54, 2222397, 765706, 318000, 317457, 764976, 28129, 28129, 2681226057
55, 2226740, 683160, 398552, 397971, 682549, 32254, 32254, 1240299722
58, 2225303, 207442, 880130, 879524, 206953, 25627, 25627, 2140673722
56, 2222987, 1050564, 36692, 36317, 1050054, 24680, 24680, 712778116
57, 2222962, 519788, 558304, 557850, 519146, 33937, 33937, 2432225349
60, 2223859, 71916, 1018266, 1017283, 71506, 22444, 22444, 912887874
61, 2221738, 127652, 909895, 909159, 127144, 73944, 73944, 1414455488
64, 2224130, 55116, 1029198, 1028477, 54713, 28313, 28313, 2504835676
63, 2226069, 838419, 214258, 213781, 837811, 60900, 60900, 2166803008
59, 2226354, 573627, 498317, 497923, 572961, 41763, 41763, 2322955768
62, 2224313, 647704, 348003, 347403, 646981, 117111, 117111, 4177401258
65, 2225363, 340596, 718610, 717961, 340004, 54096, 54096, 3440630149
67, 2222479, 163262, 916495, 915714, 162818, 32095, 32095, 4214875749
66, 2223567, 772013, 297375, 296837, 771148, 43097, 43097, 2311640344
69, 2222194, 124507, 959259, 958575, 124023, 27915, 27915, 1483292304
71, 2225554, 426657, 645522, 644870, 426147, 41179, 41179, 3523439532
68, 2226961, 112014, 979842, 979334, 111579, 22096, 22096, 328325445
72, 2227162, 560327, 521966, 521516, 559805, 31774, 31774, 209095333
73, 2226602, 326306, 753029, 752341, 325868, 34529, 34529, 3491456513
70, 2223245, 549859, 465858, 465356, 549266, 96453, 96453, 3620040525
75, 2224890, 115289, 947965, 947099, 114899, 49819, 49819, 3250244872
74, 2224484, 431374, 646664, 646015, 430863, 34784, 34784, 1296003202
76, 2223422, 1071067, 22341, 21966, 1070224, 18912, 18912, 3047692538
78, 2222718, 96594, 986607, 985828, 96061, 28814, 28814, 4114394979
77, 2223788, 381931, 649251, 648826, 381284, 81248, 81248, 3005990246
81, 2225938, 134765, 942192, 941410, 134257, 36657, 36657, 53903693
80, 2222509, 617887, 458663, 458207, 617380, 35186, 35186, 2806203413
79, 2225972, 1024337, 68847, 68442, 1023434, 20456, 20456, 4259144772
84, 2224824, 211201, 863280, 862290, 210719, 38667, 38667, 2401105381
85, 2224510, 566336, 512062, 511526, 565866, 34360, 34360, 2282556584
83, 2222804, 510879, 549159, 548683, 510327, 51878, 51878, 2259562812
82, 2227045, 1027140, 65721, 65328, 1026642, 21107, 21107, 1735994704
87, 2224179, 1042915, 47987, 47593, 1042096, 21794, 21794, 2079369929
89, 2222705, 632519, 442218, 441586, 631984, 37199, 37199, 1571713880
88, 2225893, 419998, 662624, 662198, 419419, 30827, 30827, 3244351296
86, 2225628, 983130, 100285, 99910, 982645, 29829, 29829, 361405085
90, 2225038, 494353, 581722, 581192, 493665, 37053, 37053, 1755222162
92, 2225957, 517877, 564917, 564482, 517297, 30692, 30692, 3901091016
91, 2226002, 998211, 92721, 92317, 997541, 22606, 22606, 3516019796
93, 2223970, 928552, 155016, 154564, 928000, 28919, 28919, 1489727013
95, 2224443, 309329, 770828, 770121, 308967, 32599, 32599, 1646248742
94, 2225791, 788905, 296067, 295602, 788365, 28426, 28426, 3135182262
99, 2222448, 138930, 941176, 940451, 138505, 31693, 31693, 1014507904
96, 2225977, 775345, 313573, 313073, 774694, 24646, 24646, 470807473
98, 2225411, 892481, 112157, 111710, 891831, 108616, 108616, 587897850
97, 2228815, 584009, 493712, 493279, 583311, 37252, 37252, 637988249
100, 2226034, 574359, 473630, 472986, 573663, 65698, 65698, 3428806884
102, 2228135, 472348, 609945, 609298, 471746, 32399, 32399, 4261858627
101, 2224506, 717908, 351955, 351471, 717102, 43035, 43035, 3705557776
103, 2227136, 268405, 812784, 812245, 267996, 32853, 32853, 1520184557
104, 2224595, 792731, 292493, 292003, 792120, 27624, 27624, 3507341766
105, 2225401, 612663, 462131, 461503, 611982, 38561, 38561, 1066844970
106, 2222678, 1003446, 83860, 83446, 1002868, 24529, 24529, 3472847145
109, 2224382, 950093, 48559, 48110, 949424, 114098, 114098, 3738118476
107, 2226434, 656431, 421264, 420814, 655909, 36008, 36008, 2376136716
108, 2224611, 434105, 641846, 641240, 433724, 36848, 36848, 1310775430
110, 2223896, 575940, 497241, 496544, 575421, 39375, 39375, 3147556740
113, 2225389, 216966, 869053, 868332, 216476, 27281, 27281, 1204279733
112, 2225064, 463300, 596107, 595578, 462891, 53594, 53594, 2058674642
111, 2223685, 762025, 320872, 320419, 761233, 29568, 29568, 402405760
117, 2222854, 478331, 594010, 593324, 477735, 39727, 39727, 921195222
115, 2223862, 222577, 849738, 849192, 222179, 40088, 40088, 3171515599
116, 2226394, 259911, 822928, 822410, 259455, 30845, 30845, 3257192666
114, 2225337, 807449, 276095, 275640, 806827, 29663, 29663, 3762587720
118, 2225979, 249704, 834705, 834109, 249221, 29120, 29120, 3707553316
121, 2227548, 78856, 997616, 997029, 78457, 37795, 37795, 3328056289
120, 2227079, 202790, 880914, 880256, 202389, 30365, 30365, 1020034303
124, 2221941, 9236, 1082362, 1081499, 8894, 19975, 19975, 1535180539
122, 2224882, 195340, 864174, 863414, 194890, 53532, 53532, 4171063628
119, 2221314, 537395, 528727, 528276, 536860, 45028, 45028, 37936974
128, 2226429, 32477, 1058346, 1057300, 32090, 23108, 23108, 1421802452
123, 2223566, 752362, 328751, 328218, 751811, 31212, 31212, 1367996015
126, 2223939, 107451, 953857, 953397, 107016, 51109, 51109, 164927851
125, 2224011, 1061704, 28566, 28184, 1060763, 22397, 22397, 2327124570
127, 2224240, 474467, 588644, 588125, 473966, 49519, 49519, 393974914
129, 2226124, 1077069, 15502, 15142, 1076327, 21042, 21042, 694116187
130, 2223706, 377226, 690770, 690138, 376692, 44440, 44440, 4021984154
131, 2223087, 484437, 527753, 527319, 483852, 99863, 99863, 1251999188
136, 2224735, 16721, 1072700, 1071743, 16383, 23594, 23594, 3985128433
133, 2221752, 503106, 551007, 550320, 502471, 57424, 57424, 3613659598
135, 2226832, 413808, 638282, 637671, 413401, 61835, 61835, 3220280997
132, 2222894, 897405, 189414, 189002, 896779, 25147, 25147, 4283165190
134, 2225059, 91060, 986732, 986159, 90530, 35289, 35289, 2637495613
137, 2222997, 659556, 406190, 405687, 658926, 46319, 46319, 2720942912
141, 2226578, 23557, 1070007, 1069395, 23203, 20208, 20208, 811260584
138, 2222181, 1002374, 49189, 48793, 1001839, 59993, 59993, 1767658454
140, 2224448, 321485, 758223, 757554, 320832, 33177, 33177, 1427875276
139, 2224125, 942129, 139472, 139091, 941483, 30975, 30975, 2051304938
143, 2225102, 1036918, 53857, 53456, 1035939, 22466, 22466, 1943082649
142, 2226548, 449148, 629393, 628959, 448700, 35174, 35174, 2161940982
144, 2223154, 741494, 320465, 319953, 740980, 50131, 50131, 1836885518
145, 2223988, 494546, 567452, 566780, 493966, 50622, 50622, 2726129348
146, 2225294, 105229, 979435, 978935, 104765, 28465, 28465, 2554509784
148, 2224760, 107081, 587108, 586537, 106746, 418644, 418644, 4242450847
151, 2222504, 721674, 359381, 358857, 720988, 30802, 30802, 2740039670
149, 2222943, 739921, 336580, 336076, 739330, 35518, 35518, 1813436871
147, 2227782, 974018, 117546, 117145, 973487, 22793, 22793, 3852598974
150, 2223134, 451813, 617583, 617105, 451231, 42701, 42701, 2387283083
152, 2221510, 149645, 934781, 934100, 149208, 26888, 26888, 2346601843
154, 2225073, 508020, 567217, 566516, 507472, 37924, 37924, 2553363982
156, 2223838, 619538, 452220, 451776, 619006, 40649, 40649, 921500667
155, 2223296, 314276, 740783, 740142, 313759, 57168, 57168, 4077304090
159, 2225965, 264264, 817908, 817297, 263766, 31365, 31365, 4163862826
158, 2224831, 517510, 560798, 560219, 516974, 34665, 34665, 485210515
153, 2226693, 960238, 124324, 123944, 959539, 29324, 29324, 703366575
160, 2225231, 240774, 838213, 837566, 240366, 34156, 34156, 713111740
157, 2225077, 1051240, 42754, 42360, 1050377, 19173, 19173, 560032126
162, 2224556, 192991, 891845, 891153, 192597, 27985, 27985, 4080344619
161, 2225272, 632403, 423400, 422792, 631595, 57541, 57541, 1699993494
163, 2225929, 983126, 107766, 107312, 982495, 22615, 22615, 1769414141
164, 2224526, 878455, 144422, 143982, 877819, 89924, 89924, 1261136854
167, 2226471, 265997, 804598, 804057, 265541, 43139, 43139, 1034597259
166, 2224597, 218552, 864116, 863444, 218115, 30185, 30185, 2544745732
165, 2221293, 408701, 620269, 619637, 408184, 82251, 82251, 3281273679
169, 2223650, 325307, 753443, 752714, 324800, 33693, 33693, 201269030
174, 2224218, 103299, 983359, 982773, 102829, 25979, 25979, 2510569098
168, 2223451, 582142, 491475, 490922, 581692, 38610, 38610, 2884418987
170, 2222477, 1009787, 68047, 67578, 1009253, 33906, 33906, 3679538076
173, 2225390, 29318, 1065173, 1064573, 28946, 18690, 18690, 1613143593
