sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
10, 3056253, 641034, 620538, 554199, 573288, 333597, 333597, 1137535,1091431,1761284342
11, 3054775, 639008, 624551, 557789, 571259, 331084, 331084, 1133943,1105466,3776136985
5, 3066606, 624233, 637727, 571003, 558779, 337432, 337432, 1103751,1132563,1877911669
8, 3057909, 627744, 634213, 567136, 561418, 333699, 333699, 1110747,1120516,1435682473
6, 3064449, 635037, 629561, 563404, 567963, 334242, 334242, 1126153,1112291,3438219956
9, 3062911, 631720, 633722, 567767, 564774, 332464, 332464, 1121793,1123486,1329879676
0, 3065376, 632157, 631696, 565742, 565211, 335285, 335285, 1114956,1119387,2047460898
4, 3059355, 638626, 619329, 553450, 571040, 338455, 338455, 1129733,1094445,1537638787
14, 3059591, 607331, 653591, 585738, 542007, 335462, 335462, 1067245,1166987,2679536050
3, 3060547, 646236, 618811, 552846, 578560, 332047, 332047, 1153481,1087577,3291237696
2, 3057389, 624307, 636209, 569320, 557921, 334816, 334816, 1097503,1129353,3433966723
1, 3057805, 629797, 626482, 560066, 562978, 339241, 339241, 1117611,1105844,4094481636
16, 3059006, 621338, 638331, 571643, 555234, 336230, 336230, 1096682,1131602,309124477
17, 3062848, 623387, 640441, 573393, 556719, 334454, 334454, 1100267,1137683,1058793878
20, 3050593, 639557, 617466, 551414, 571834, 335161, 335161, 1128877,1085211,1702181189
18, 3064705, 632304, 632622, 566607, 566548, 333312, 333312, 1123738,1119425,3219162088
19, 3060117, 624170, 631453, 565359, 557743, 340696, 340696, 1097380,1118637,802027193
22, 3061589, 632407, 628733, 563216, 565329, 335952, 335952, 1117407,1111135,1822288954
23, 3068909, 638608, 627461, 561855, 572097, 334444, 334444, 1128906,1106821,1539605345
25, 3066287, 635267, 630752, 564251, 568641, 333688, 333688, 1128668,1117183,2769907830
24, 3060305, 619406, 644398, 576994, 554019, 332744, 332744, 1086704,1145261,2402746863
26, 3054552, 639524, 616735, 551217, 572490, 337293, 337293, 1133051,1083416,2086476620
27, 3052713, 634094, 620345, 554511, 566567, 338598, 338598, 1119965,1089911,2243857773
28, 3061201, 634627, 626929, 559828, 567707, 336055, 336055, 1124699,1109792,2307612625
29, 3058714, 641967, 620004, 554327, 574840, 333788, 333788, 1142503,1093012,3423385114
31, 3063106, 619366, 643392, 576300, 553464, 335292, 335292, 1086401,1139872,2689749955
30, 3064393, 627738, 632097, 566250, 561942, 338183, 338183, 1107151,1118790,1931356066
33, 3054917, 616552, 640957, 573554, 549878, 336988, 336988, 1085930,1134240,3451596571
37, 3056855, 623278, 638987, 571884, 556826, 332940, 332940, 1097590,1130734,3698473457
35, 3066452, 633249, 632047, 565365, 566847, 334472, 334472, 1126380,1122178,1069468364
34, 3057126, 648699, 610860, 545114, 581061, 335696, 335696, 1154150,1068003,2324390580
36, 3066855, 637203, 627020, 561879, 570495, 335129, 335129, 1132699,1110832,4077145801
38, 3059570, 634970, 626614, 560339, 568225, 334711, 334711, 1125508,1105357,1207939423
41, 3060506, 630063, 630717, 564312, 563292, 336061, 336061, 1110776,1113493,3848620985
42, 3061905, 639398, 622675, 556692, 572156, 335492, 335492, 1132473,1097033,2537423640
43, 3059451, 628787, 629642, 562985, 562843, 337597, 337597, 1111008,1115214,3542011195
44, 3063211, 629788, 637084, 569922, 563679, 331369, 331369, 1117122,1132006,177280012
46, 3060824, 646598, 615539, 549782, 579033, 334936, 334936, 1152928,1090906,2270393739
45, 3064330, 627208, 631660, 565800, 561538, 339062, 339062, 1109425,1122203,1173568772
47, 3056182, 626209, 636447, 568801, 559203, 332761, 332761, 1106019,1122318,4111362220
48, 3064157, 638593, 624600, 559729, 571339, 334948, 334948, 1134370,1099345,2713766219
13, 3059259, 634736, 625105, 558868, 568572, 335989, 335989, 1117408,1103614,1647768045
51, 3062427, 629560, 632968, 566814, 563139, 334973, 334973, 1105788,1118421,520891595
15, 3058955, 639674, 620980, 554907, 573144, 335125, 335125, 1137840,1095385,1298319316
12, 3056024, 632486, 629464, 562544, 565370, 333080, 333080, 1117788,1116652,2827552542
7, 3052640, 628111, 632374, 565556, 562111, 332244, 332244, 1110833,1122641,2616173413
53, 3055576, 622647, 637484, 569841, 556490, 334557, 334557, 1099910,1125950,1245072866
56, 3061087, 622951, 640254, 573219, 557251, 333706, 333706, 1100720,1138845,770826080
57, 3058756, 612945, 646985, 579577, 547593, 335828, 335828, 1069708,1148272,611590243
58, 3062512, 633243, 633079, 566412, 566248, 331765, 331765, 1119497,1118851,3781582373
60, 3061447, 635901, 625134, 558716, 569352, 336172, 336172, 1126578,1108386,2154853201
59, 3063598, 639303, 621913, 555629, 572671, 337041, 337041, 1135604,1099635,2288974661
61, 3067354, 620395, 645061, 578517, 555161, 334110, 334110, 1101161,1151679,892749011
62, 3064301, 621355, 642934, 575407, 556207, 334199, 334199, 1098423,1144669,528332160
63, 3052897, 645688, 618045, 552515, 577641, 329504, 329504, 1146156,1088369,2365704689
21, 3058584, 632600, 628532, 561776, 565590, 335043, 335043, 1121684,1110568,2344926251
64, 3063150, 629241, 636215, 569308, 563380, 332503, 332503, 1111424,1132932,2836706642
65, 3053829, 632744, 631165, 563754, 566594, 329786, 329786, 1123959,1116706,2297372306
68, 3065576, 623066, 646449, 579201, 557010, 329925, 329925, 1103293,1151680,3573778115
69, 3062631, 628084, 637166, 570354, 560797, 333115, 333115, 1108273,1132140,1133357893
70, 3059437, 635825, 624833, 558325, 569538, 335458, 335458, 1128373,1097789,159213093
71, 3055382, 623677, 634492, 566979, 558014, 336110, 336110, 1100738,1118305,1038034503
72, 3057754, 628444, 633263, 567403, 561744, 333450, 333450, 1109789,1121736,4107671785
73, 3062458, 628241, 639256, 572826, 562181, 329977, 329977, 1116001,1135685,3571541597
32, 3055920, 617208, 639186, 572768, 551526, 337616, 337616, 1089655,1140333,3218661447
74, 3059265, 622111, 637741, 571422, 556445, 335773, 335773, 1102784,1133584,345475058
75, 3051957, 618393, 636576, 568149, 551511, 338664, 338664, 1084354,1127900,1567575496
76, 3053523, 640100, 618288, 551425, 573074, 335318, 335318, 1139378,1085518,3283171767
39, 3050225, 638539, 614955, 548546, 571115, 338535, 338535, 1133455,1078863,3249985579
79, 3053229, 620384, 638777, 571884, 554322, 333931, 333931, 1091500,1131135,3966800861
40, 3062474, 623177, 643474, 575998, 557151, 331337, 331337, 1102644,1146916,593371157
81, 3063529, 623228, 645847, 578260, 557266, 329464, 329464, 1101211,1147753,929685182
82, 3057814, 615088, 648114, 580286, 548804, 332761, 332761, 1079448,1154750,2275139637
84, 3064605, 634002, 625239, 558671, 567765, 339464, 339464, 1124385,1105423,3328134998
85, 3053115, 639350, 622943, 556794, 572790, 330619, 330619, 1134952,1099514,672572205
86, 3064128, 623204, 642222, 575286, 556810, 333303, 333303, 1099774,1142910,444962875
87, 3058055, 639206, 624463, 558297, 571463, 332313, 332313, 1139648,1103604,2074627774
49, 3055058, 631959, 632124, 565192, 564973, 330405, 330405, 1120017,1123231,1059053017
50, 3056846, 633594, 623072, 557475, 566799, 337953, 337953, 1121357,1099982,1498606883
91, 3058351, 624620, 636105, 570245, 558181, 334600, 334600, 1101593,1126260,858720677
52, 3064601, 648250, 613837, 548867, 580549, 336549, 336549, 1157536,1078271,3090273753
93, 3062455, 636148, 634658, 567797, 569184, 327334, 327334, 1130151,1123837,2939838625
54, 3063382, 650946, 614000, 548156, 583726, 333277, 333277, 1167587,1072048,2483158910
55, 3060292, 631608, 630697, 565001, 564456, 334265, 334265, 1117153,1115717,3138474239
94, 3061793, 634613, 629954, 563451, 566547, 333614, 333614, 1124114,1113358,17671545
95, 3070766, 628354, 633372, 566978, 562632, 339715, 339715, 1112070,1119765,3302492859
97, 3060979, 620381, 642353, 575349, 555552, 333672, 333672, 1093036,1141898,3720667133
98, 3060386, 636818, 626970, 560275, 569991, 333166, 333166, 1130771,1105956,3493723170
100, 3052663, 624746, 632503, 565423, 558361, 335815, 335815, 1099676,1115852,3159138239
101, 3063027, 631888, 636185, 569393, 565375, 330093, 330093, 1120181,1127520,1033763204
102, 3056131, 619230, 639186, 572056, 552899, 336380, 336380, 1093015,1134694,3207093208
103, 3060023, 644305, 622455, 556571, 576904, 329894, 329894, 1147671,1093329,2410671856
104, 3066160, 624390, 635026, 569383, 558257, 339552, 339552, 1102218,1122590,2721759920
67, 3061806, 623986, 638115, 570446, 557271, 335994, 335994, 1087182,1127188,3670700182
66, 3049558, 633398, 627435, 560581, 566056, 331044, 331044, 1117996,1104517,2516665050
105, 3063949, 625084, 637471, 570148, 559186, 336030, 336030, 1108247,1130624,2154365317
106, 3054377, 628461, 633898, 567469, 561561, 331494, 331494, 1112931,1120461,2627250241
107, 3055955, 634374, 623089, 557301, 568795, 336198, 336198, 1121990,1096716,2293329194
108, 3061378, 622577, 638323, 571847, 556299, 336166, 336166, 1102115,1134206,1066166619
109, 3063622, 615693, 642692, 575377, 550460, 339700, 339700, 1084695,1143517,282819224
110, 3061360, 628791, 633026, 566591, 562478, 335237, 335237, 1111704,1116229,1177901768
111, 3063523, 633710, 633265, 567156, 566840, 331276, 331276, 1123158,1123301,837326856
77, 3057268, 627980, 629832, 563007, 561633, 337408, 337408, 1110248,1114082,1402784771
112, 3062914, 643381, 617135, 552342, 577086, 336485, 336485, 1146454,1093140,3532319609
113, 3062940, 637357, 628146, 562611, 570006, 332410, 332410, 1128650,1108673,1722626668
78, 3059239, 627873, 632525, 565839, 561420, 335791, 335791, 1108785,1120676,3826941775
116, 3057982, 627423, 630736, 564670, 560723, 337215, 337215, 1105853,1119278,525728431
117, 3058184, 617158, 643254, 575546, 552200, 335013, 335013, 1084866,1143308,2862659347
80, 3062706, 643166, 622315, 556170, 576631, 332212, 332212, 1146931,1097818,1887701540
83, 3055281, 628815, 630340, 563178, 561546, 335701, 335701, 1108881,1115220,272299878
119, 3068590, 625413, 634485, 567842, 559070, 340890, 340890, 1103954,1126114,2493781307
118, 3066043, 614316, 646585, 579553, 548753, 338418, 338418, 1080410,1147407,2895337128
120, 3058704, 644885, 619646, 553436, 576941, 331898, 331898, 1148420,1094737,117626014
121, 3066651, 630012, 633535, 568029, 563693, 335691, 335691, 1116076,1122141,429132065
88, 3056831, 632811, 626695, 560478, 566533, 335157, 335157, 1125913,1106078,2820635556
122, 3056162, 619333, 631239, 565265, 553021, 343652, 343652, 1083189,1118068,3736795137
90, 3054400, 643806, 617861, 552312, 575811, 332305, 332305, 1140815,1084435,3468396048
123, 3058984, 624170, 631587, 565432, 557987, 339904, 339904, 1100622,1120588,2955493266
124, 3061277, 637954, 624236, 558168, 571177, 334871, 334871, 1132576,1104542,2161064383
89, 3049523, 635583, 620444, 553331, 568515, 335825, 335825, 1125589,1093539,1480612022
125, 3060658, 632216, 630657, 564144, 566235, 333703, 333703, 1120683,1121668,1416903437
127, 3052484, 630041, 628423, 560936, 562772, 335156, 335156, 1108684,1108869,4198033778
126, 3055627, 631336, 630067, 563736, 564318, 333085, 333085, 1118330,1117463,2899846468
92, 3062329, 625194, 639817, 572948, 559178, 332596, 332596, 1105032,1139265,2251907866
128, 3060292, 627576, 634408, 567199, 561847, 334631, 334631, 1109720,1121650,3329397266
130, 3058072, 622945, 634172, 567797, 556734, 338212, 338212, 1104239,1126221,2556049859
131, 3054653, 640512, 622541, 556299, 573599, 330851, 330851, 1136921,1093467,3887381011
132, 3053351, 623797, 638073, 569900, 557655, 331963, 331963, 1100164,1125384,1548893397
96, 3053688, 635228, 624637, 558358, 568239, 333613, 333613, 1126570,1099419,498295344
133, 3061752, 628763, 636436, 568903, 562654, 332498, 332498, 1111127,1129551,3775313147
135, 3055325, 639279, 621983, 555424, 572247, 333196, 333196, 1138294,1099257,3745906259
99, 3065233, 635775, 630366, 564229, 569207, 332828, 332828, 1133228,1115524,747486585
136, 3058068, 635335, 626920, 560379, 568696, 333369, 333369, 1124215,1107071,852395200
134, 3060559, 628187, 635108, 567673, 562013, 333789, 333789, 1115754,1126155,1648050646
137, 3057436, 629345, 634314, 567520, 562717, 331770, 331770, 1113291,1125140,4109508332
139, 3063288, 638819, 625314, 559378, 571737, 334020, 334020, 1139953,1101798,3551630947
138, 3061355, 638956, 623089, 557486, 571398, 335213, 335213, 1134063,1097715,4040487699
140, 3053196, 636720, 620553, 554774, 569595, 335777, 335777, 1131762,1093564,1331528741
141, 3050651, 622684, 635996, 569014, 556265, 333346, 333346, 1096993,1127742,962548098
142, 3060584, 622639, 632139, 565228, 556238, 342170, 342170, 1099216,1122293,2119793251
144, 3064076, 641245, 622558, 557231, 574706, 334168, 334168, 1144409,1093869,2410089336
143, 3063260, 635888, 631397, 565171, 568682, 331061, 331061, 1127460,1120530,1792712906
145, 3056019, 640374, 620307, 554032, 573530, 333888, 333888, 1132859,1084106,1536034833
146, 3059619, 625980, 633700, 567347, 560468, 336062, 336062, 1100860,1125459,1394544180
148, 3061392, 630370, 629260, 562350, 564242, 337585, 337585, 1115498,1113148,3368606041
150, 3063741, 637250, 626245, 559356, 570836, 335027, 335027, 1134208,1104765,1775201115
152, 3057032, 632671, 632761, 565543, 565889, 330084, 330084, 1116438,1118282,1554184594
153, 3058950, 625361, 638627, 571957, 558731, 332137, 332137, 1099849,1134527,2183756387
115, 3058648, 634831, 631192, 564149, 568004, 330236, 330236, 1116884,1116295,4177892528
114, 3049781, 641731, 617052, 550609, 574949, 332720, 332720, 1137743,1083361,620786
155, 3066324, 622468, 640107, 573342, 557037, 336685, 336685, 1098450,1134368,4228504603
156, 3062500, 624464, 634262, 567573, 559259, 338471, 338471, 1102129,1124970,3424470625
157, 3067194, 636075, 628964, 562822, 569991, 334671, 334671, 1132169,1109696,3732891637
158, 3054293, 631878, 634315, 567289, 564741, 328035, 328035, 1121901,1125702,3732008594
160, 3054890, 634683, 624026, 558674, 567615, 334946, 334946, 1121845,1104626,616909097
159, 3051223, 622342, 636271, 568482, 555752, 334188, 334188, 1094381,1128966,548524306
161, 3060798, 634373, 624959, 558868, 566900, 337849, 337849, 1124379,1105665,2964643962
162, 3062161, 630233, 630153, 564569, 563610, 336798, 336798, 1110812,1115557,2157648755
163, 3056576, 639809, 614185, 547982, 572974, 340813, 340813, 1140660,1071770,1786637125
164, 3057465, 640189, 623293, 556046, 572919, 332509, 332509, 1137756,1093972,1218514764
165, 3060994, 648844, 612905, 547137, 580790, 335659, 335659, 1156148,1072701,293077637
166, 3066354, 632437, 634344, 568208, 565483, 332941, 332941, 1121286,1126373,740186323
167, 3061941, 625021, 638070, 571607, 558701, 334271, 334271, 1099595,1130989,3606767478
129, 3056260, 635776, 625850, 558250, 569232, 333576, 333576, 1129004,1105923,1196526704
168, 3070064, 620309, 642266, 575595, 555826, 338034, 338034, 1091409,1147084,1170274898
171, 3055007, 642638, 613253, 548161, 575205, 337875, 337875, 1139291,1078017,155614799
172, 3062442, 636726, 626470, 560812, 569914, 334260, 334260, 1132437,1104637,3749052646
175, 3054085, 622499, 637983, 571018, 556177, 333204, 333204, 1093226,1128202,1746584110
174, 3062142, 628869, 633054, 566370, 563013, 335418, 335418, 1109235,1122692,541727621
176, 3063993, 619930, 638071, 572231, 554267, 339747, 339747, 1090268,1135001,3343175813
177, 3058970, 627913, 636770, 569624, 561175, 331744, 331744, 1109832,1131097,320112263
179, 3056383, 634090, 627966, 561581, 567504, 332621, 332621, 1127182,1106616,705104585
180, 3060310, 627448, 631798, 565779, 560317, 337484, 337484, 1108987,1121234,2332080342
182, 3058185, 640047, 622026, 556354, 572122, 333818, 333818, 1133088,1096398,3882431315
183, 3060247, 634450, 625004, 558631, 568440, 336861, 336861, 1121843,1099570,556602032
184, 3059290, 635226, 622306, 557057, 568445, 338128, 338128, 1127262,1093778,561931032
185, 3066370, 618609, 643350, 575879, 553196, 337668, 337668, 1087886,1145866,872338218
187, 3056263, 634166, 622549, 555969, 566943, 338318, 338318, 1119711,1096128,1835538100
188, 3062116, 636849, 630062, 564346, 569937, 330461, 330461, 1127108,1112717,1431200698
147, 3062096, 647459, 617663, 552297, 579303, 332687, 332687, 1154845,1086106,823758365
190, 3057885, 635648, 622271, 556161, 568349, 337728, 337728, 1127815,1099129,3751849725
149, 3053163, 616192, 643510, 576335, 550196, 333465, 333465, 1079378,1142789,354924104
191, 3064594, 627119, 632978, 566647, 561788, 338031, 338031, 1108625,1125514,137255329
192, 3057496, 632925, 629122, 562819, 566532, 333049, 333049, 1117646,1109769,1114723136
151, 3059897, 622663, 637203, 570701, 556472, 336429, 336429, 1099227,1132506,3111491223
193, 3055228, 647964, 615501, 549977, 581092, 330347, 330347, 1159486,1086753,3570755165
194, 3058616, 634547, 629023, 562666, 566820, 332780, 332780, 1128882,1115321,1763298565
195, 3065077, 636244, 631984, 565982, 569951, 330458, 330458, 1129525,1118858,351296215
154, 3057938, 632579, 627364, 561190, 565523, 335641, 335641, 1123123,1105454,1216884321
197, 3064805, 627034, 635965, 569366, 560936, 335752, 335752, 1108577,1126943,2084042308
198, 3059849, 616934, 646292, 578466, 551125, 333516, 333516, 1088054,1151163,2615479948
199, 3056919, 635103, 626947, 560666, 568593, 332805, 332805, 1129290,1108356,1128431287
200, 3060458, 632241, 628886, 562090, 565781, 335730, 335730, 1117941,1107171,2180596787
204, 3064698, 632480, 630959, 564717, 566100, 335221, 335221, 1117813,1117545,3939598493
205, 3057518, 635400, 627664, 560937, 568945, 332286, 332286, 1126627,1109785,2877704073
206, 3058512, 624548, 635595, 569313, 557778, 335639, 335639, 1101180,1124015,1803035689
208, 3058673, 624765, 636848, 570190, 558412, 334229, 334229, 1104329,1127979,1843173879
209, 3052993, 629117, 629840, 563239, 562349, 334224, 334224, 1107872,1114977,1491154374
211, 3057747, 628747, 627393, 560547, 561716, 339672, 339672, 1107869,1104495,4154124792
169, 3059574, 639862, 621946, 556429, 572821, 334258, 334258, 1138249,1099510,483128224
212, 3055702, 620859, 637662, 570419, 555240, 335761, 335761, 1093920,1127382,1773399470
170, 3055810, 641239, 622032, 555623, 574558, 331179, 331179, 1137911,1097727,3210656356
173, 3052113, 628171, 632108, 564789, 561875, 332585, 332585, 1110160,1114951,3974787304
214, 3064672, 642481, 617109, 551357, 575859, 338933, 338933, 1143937,1084013,1163111666
215, 3063402, 628014, 634431, 567285, 562422, 335625, 335625, 1109762,1127236,657224915
216, 3066360, 641165, 625812, 559960, 573955, 332734, 332734, 1136244,1103511,2446975580
178, 3063397, 624749, 641509, 574536, 558427, 332088, 332088, 1100897,1143857,1882802510
217, 3063404, 635188, 628392, 561766, 569038, 334510, 334510, 1126872,1111544,793176838
218, 3053053, 643027, 619493, 553056, 575517, 330980, 330980, 1147068,1091679,1269255588
181, 3055839, 644238, 615308, 549284, 576699, 335155, 335155, 1142781,1078826,4174726105
219, 3052123, 626086, 633178, 565705, 558616, 334269, 334269, 1106571,1121210,1240682494
220, 3059074, 640162, 623934, 558153, 572401, 332212, 332212, 1137975,1100321,3678499522
221, 3064273, 630458, 630426, 564666, 563853, 337435, 337435, 1120384,1122035,2266222093
222, 3061853, 620142, 639453, 571925, 555007, 337663, 337663, 1093995,1137348,1094348190
223, 3061938, 625532, 635396, 568755, 558861, 336697, 336697, 1105263,1124057,1734475992
186, 3059488, 623566, 636069, 569439, 556900, 336757, 336757, 1098299,1126058,3356236879
189, 3066255, 632970, 631649, 566383, 566261, 334496, 334496, 1117992,1119830,2405610344
224, 3058570, 623388, 635051, 567338, 557285, 337754, 337754, 1094926,1128016,2840925586
225, 3060939, 628803, 630092, 563639, 563435, 337485, 337485, 1113103,1114464,3611928610
226, 3061319, 641585, 620768, 554924, 573912, 335065, 335065, 1138250,1097059,1418348186
227, 3061088, 636969, 623517, 557510, 570316, 336388, 336388, 1134382,1101265,4256314392
